   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_395.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.335939, 0, 7.26807e-09, 3.78816e-32, 1.41421, -7.26807e-09, 0, 3.78816e-32, 3.78816e-32, 3.78816e-32, 3.78816e-32, 3.78816e-32, 3.78816e-32, 3.78816e-32, 3.78816e-32, 3.78816e-32, 3.78816e-32, 4.13201e-11, 3.78816e-32, 3.78816e-32, 1.90695e-10, 3.78816e-32, 1.65881e-11, 3.78816e-32, 7.01947e-09, 3.78816e-32, 3.78816e-32
0.343797, 0, 9.81864e-09, 2.15339e-31, 1.41421, -9.81864e-09, 0, 2.15339e-31, 2.15339e-31, 2.15339e-31, 2.15339e-31, 2.15339e-31, 2.15339e-31, 2.15339e-31, 2.15339e-31, 2.15339e-31, 2.15339e-31, 5.58138e-11, 2.15339e-31, 2.15339e-31, 2.84322e-10, 2.15339e-31, 2.4225e-11, 2.15339e-31, 9.45428e-09, 2.15339e-31, 2.15339e-31
0.351655, 0, 1.32115e-08, 1.14575e-30, 1.41421, -1.32115e-08, 0, 1.14575e-30, 1.14575e-30, 1.14575e-30, 1.14575e-30, 1.14575e-30, 1.14575e-30, 1.14575e-30, 1.14575e-30, 1.14575e-30, 1.14575e-30, 7.50839e-11, 1.14575e-30, 1.14575e-30, 4.23936e-10, 1.14575e-30, 3.53123e-11, 1.14575e-30, 1.26771e-08, 1.14575e-30, 1.14575e-30
0.359513, 0, 1.77075e-08, 5.71905e-30, 1.41421, -1.77075e-08, 0, 5.71905e-30, 5.71905e-30, 5.71905e-30, 5.71905e-30, 5.71905e-30, 5.71905e-30, 5.71905e-30, 5.71905e-30, 5.71905e-30, 5.71905e-30, 1.00601e-10, 5.71905e-30, 5.71905e-30, 6.31971e-10, 5.71905e-30, 5.13774e-11, 5.71905e-30, 1.69236e-08, 5.71905e-30, 5.71905e-30
0.367371, 0, 2.3644e-08, 2.68699e-29, 1.41421, -2.3644e-08, 0, 2.68699e-29, 2.68699e-29, 2.68699e-29, 2.68699e-29, 2.68699e-29, 2.68699e-29, 2.68699e-29, 2.68699e-29, 2.68699e-29, 2.68699e-29, 1.34257e-10, 2.68699e-29, 2.68699e-29, 9.41613e-10, 2.68699e-29, 7.46069e-11, 2.68699e-29, 2.24935e-08, 2.68699e-29, 2.68699e-29
0.375229, 0, 3.14548e-08, 1.19272e-28, 1.41421, -3.14548e-08, 0, 1.19272e-28, 1.19272e-28, 1.19272e-28, 1.19272e-28, 1.19272e-28, 1.19272e-28, 1.19272e-28, 1.19272e-28, 1.19272e-28, 1.19272e-28, 1.78474e-10, 1.19272e-28, 1.19272e-28, 1.40179e-09, 1.19272e-28, 1.08121e-10, 1.19272e-28, 2.97665e-08, 1.19272e-28, 1.19272e-28
0.383087, 0, 4.16978e-08, 5.0145e-28, 1.41421, -4.16978e-08, 0, 5.0145e-28, 5.0145e-28, 5.0145e-28, 5.0145e-28, 5.0145e-28, 5.0145e-28, 5.0145e-28, 5.0145e-28, 5.0145e-28, 5.0145e-28, 2.36344e-10, 5.0145e-28, 5.0145e-28, 2.08437e-09, 5.0145e-28, 1.56356e-10, 5.0145e-28, 3.92207e-08, 5.0145e-28, 5.0145e-28
0.390945, 0, 5.50881e-08, 2.00197e-27, 1.41421, -5.50881e-08, 0, 2.00197e-27, 2.00197e-27, 2.00197e-27, 2.00197e-27, 2.00197e-27, 2.00197e-27, 2.00197e-27, 2.00197e-27, 2.00197e-27, 2.00197e-27, 3.118e-10, 2.00197e-27, 2.00197e-27, 3.09454e-09, 2.00197e-27, 2.25601e-10, 2.00197e-27, 5.14562e-08, 2.00197e-27, 2.00197e-27
0.398803, 0, 7.25413e-08, 7.6094e-27, 1.41421, -7.25413e-08, 0, 7.6094e-27, 7.6094e-27, 7.6094e-27, 7.6094e-27, 7.6094e-27, 7.6094e-27, 7.6094e-27, 7.6094e-27, 7.6094e-27, 7.6094e-27, 4.09822e-10, 7.6094e-27, 7.6094e-27, 4.58551e-09, 7.6094e-27, 3.24724e-10, 7.6094e-27, 6.72212e-08, 7.6094e-27, 7.6094e-27
0.406661, 0, 9.52279e-08, 2.7605e-26, 1.41421, -9.52279e-08, 0, 2.7605e-26, 2.7605e-26, 2.7605e-26, 2.7605e-26, 2.7605e-26, 2.7605e-26, 1.15196e-13, 2.7605e-26, 2.7605e-26, 2.7605e-26, 5.36698e-10, 2.7605e-26, 2.7605e-26, 6.77945e-09, 2.7605e-26, 4.66185e-10, 2.7605e-26, 8.74454e-08, 2.7605e-26, 2.7605e-26
