   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_69.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.411686, 0, 4.94111e-10, 2.92378e-35, 1.41421, -4.94111e-10, 2.92378e-35, 0, 2.92378e-35, 2.92378e-35, 2.92378e-35, 2.92378e-35, 2.92378e-35, 2.92378e-35, 2.92378e-35, 2.92378e-35, 2.92378e-35, 2.92378e-35, 2.92378e-35, 7.48575e-12, 2.92378e-35, 2.92378e-35, 7.41355e-15, 1.24293e-13, 2.92378e-35, 4.86493e-10, 2.92378e-35, 2.92378e-35, 2.92378e-35
0.419471, 0, 7.86671e-10, 1.96224e-34, 1.41421, -7.86671e-10, 1.96224e-34, 0, 1.96224e-34, 1.96224e-34, 1.96224e-34, 1.96224e-34, 1.96224e-34, 1.96224e-34, 1.96224e-34, 1.96224e-34, 1.96224e-34, 1.96224e-34, 1.96224e-34, 1.19319e-11, 1.96224e-34, 1.96224e-34, 1.2661e-14, 2.09156e-13, 1.96224e-34, 7.74517e-10, 1.96224e-34, 1.96224e-34, 1.96224e-34
0.427257, 0, 1.24164e-09, 1.30944e-33, 1.41421, -1.24164e-09, 1.30944e-33, 0, 1.30944e-33, 1.30944e-33, 1.30944e-33, 1.30944e-33, 1.30944e-33, 1.30944e-33, 1.30944e-33, 1.30944e-33, 1.30944e-33, 1.30944e-33, 1.30944e-33, 1.88599e-11, 1.30944e-33, 1.30944e-33, 2.15983e-14, 3.50986e-13, 1.30944e-33, 1.22241e-09, 1.30944e-33, 1.30944e-33, 1.30944e-33
0.435042, 0, 1.94292e-09, 8.33272e-33, 1.41421, -1.94292e-09, 8.33272e-33, 0, 8.33272e-33, 8.33272e-33, 8.33272e-33, 8.33272e-33, 8.33272e-33, 8.33272e-33, 8.33272e-33, 8.33272e-33, 8.33272e-33, 8.33272e-33, 8.33272e-33, 2.9564e-11, 8.33272e-33, 8.33272e-33, 3.68189e-14, 5.87812e-13, 8.33272e-33, 1.91274e-09, 8.33272e-33, 8.33272e-33, 8.33272e-33
0.442827, 0, 3.01433e-09, 4.983e-32, 1.41421, -3.01433e-09, 4.983e-32, 0, 4.983e-32, 4.983e-32, 4.983e-32, 4.983e-32, 4.983e-32, 4.983e-32, 4.983e-32, 4.983e-32, 4.983e-32, 4.983e-32, 4.983e-32, 4.59653e-11, 4.983e-32, 4.983e-32, 6.27414e-14, 9.83214e-13, 4.983e-32, 2.96732e-09, 4.983e-32, 4.983e-32, 4.983e-32
0.450612, 0, 4.63686e-09, 2.79336e-31, 1.41421, -4.63686e-09, 2.79336e-31, 0, 2.79336e-31, 2.79336e-31, 2.79336e-31, 2.79336e-31, 2.79336e-31, 2.79336e-31, 2.79336e-31, 2.79336e-31, 2.79336e-31, 2.79336e-31, 2.79336e-31, 7.08903e-11, 2.79336e-31, 2.79336e-31, 1.06888e-13, 1.64371e-12, 2.79336e-31, 4.56422e-09, 2.79336e-31, 2.79336e-31, 2.79336e-31
0.458397, 0, 7.07261e-09, 1.47002e-30, 1.41421, -7.07261e-09, 1.47002e-30, 0, 1.47002e-30, 1.47002e-30, 1.47002e-30, 1.47002e-30, 1.47002e-30, 1.47002e-30, 1.47002e-30, 1.47002e-30, 1.47002e-30, 1.47002e-30, 1.47002e-30, 1.08465e-10, 1.47002e-30, 1.47002e-30, 1.82046e-13, 2.7482e-12, 1.47002e-30, 6.96121e-09, 1.47002e-30, 1.47002e-30, 1.47002e-30
0.466183, 0, 1.06975e-08, 7.28196e-30, 1.41421, -1.06975e-08, 7.28196e-30, 0, 7.28196e-30, 7.28196e-30, 7.28196e-30, 7.28196e-30, 7.28196e-30, 7.28196e-30, 7.28196e-30, 7.28196e-30, 7.28196e-30, 7.28196e-30, 7.28196e-30, 1.64665e-10, 7.28196e-30, 7.28196e-30, 3.099e-13, 4.59758e-12, 7.28196e-30, 1.0528e-08, 7.28196e-30, 7.28196e-30, 7.28196e-30
0.473968, 0, 1.6046e-08, 3.40565e-29, 1.41421, -1.6046e-08, 3.40565e-29, 0, 3.40565e-29, 3.40565e-29, 3.40565e-29, 3.40565e-29, 3.40565e-29, 3.40565e-29, 3.40565e-29, 3.40565e-29, 3.40565e-29, 3.40565e-29, 3.40565e-29, 2.48076e-10, 3.40565e-29, 3.40565e-29, 5.27093e-13, 7.69847e-12, 3.40565e-29, 1.57897e-08, 3.40565e-29, 3.40565e-29, 3.40565e-29
0.481753, 0, 2.38702e-08, 1.50837e-28, 1.41421, -2.38702e-08, 1.50837e-28, 0, 1.50837e-28, 1.50837e-28, 1.50837e-28, 1.50837e-28, 1.50837e-28, 1.50837e-28, 1.50837e-28, 1.50837e-28, 1.50837e-28, 1.50837e-28, 1.50837e-28, 3.70942e-10, 1.50837e-28, 1.50837e-28, 8.95283e-13, 1.29038e-11, 1.50837e-28, 2.34854e-08, 1.50837e-28, 1.50837e-28, 1.50837e-28
0.489538, 0, 3.52197e-08, 6.34512e-28, 1.41421, -3.52197e-08, 6.34512e-28, 0, 6.34512e-28, 6.34512e-28, 6.34512e-28, 6.34512e-28, 6.34512e-28, 6.34512e-28, 6.34512e-28, 6.34512e-28, 6.34512e-28, 6.34512e-28, 6.34512e-28, 5.50602e-10, 6.34512e-28, 6.34512e-28, 1.51766e-12, 2.16475e-11, 6.34512e-28, 3.46459e-08, 6.34512e-28, 6.34512e-28, 6.34512e-28
0.497324, 0, 5.15453e-08, 2.54218e-27, 1.41421, -5.15453e-08, 2.54218e-27, 0, 2.54218e-27, 2.54218e-27, 2.54218e-27, 2.54218e-27, 2.54218e-27, 2.54218e-27, 2.54218e-27, 2.54218e-27, 2.54218e-27, 2.54218e-27, 2.54218e-27, 8.11435e-10, 2.54218e-27, 2.54218e-27, 2.56589e-12, 3.63342e-11, 2.54218e-27, 5.06949e-08, 2.54218e-27, 2.54218e-27, 2.54218e-27
0.505109, 0, 7.48349e-08, 9.72653e-27, 1.41421, -7.48349e-08, 9.72653e-27, 0, 9.72653e-27, 9.72653e-27, 9.72653e-27, 9.72653e-27, 9.72653e-27, 9.72653e-27, 9.72653e-27, 1.44606e-13, 9.72653e-27, 9.72653e-27, 9.72653e-27, 1.18749e-09, 9.72653e-27, 9.72653e-27, 4.32361e-12, 6.09793e-11, 9.72653e-27, 7.35819e-08, 9.72653e-27, 9.72653e-27, 9.72653e-27
0.512894, 0, 1.07787e-07, 3.56285e-26, 1.41421, -1.07787e-07, 3.56285e-26, 0, 3.56285e-26, 3.56285e-26, 3.56285e-26, 3.56285e-26, 3.56285e-26, 3.56285e-26, 3.56285e-26, 6.05392e-13, 3.56285e-26, 3.56285e-26, 3.56285e-26, 1.72597e-09, 3.56285e-26, 3.56285e-26, 7.25588e-12, 1.02252e-10, 3.56285e-26, 1.05951e-07, 3.56285e-26, 3.56285e-26, 3.56285e-26
0.520679, 0, 1.54035e-07, 1.25392e-25, 1.41421, -1.54035e-07, 1.25392e-25, 0, 1.25392e-25, 1.25392e-25, 1.25392e-25, 1.25392e-25, 1.25392e-25, 1.25392e-25, 1.25392e-25, 1.77507e-12, 1.25392e-25, 1.25392e-25, 1.25392e-25, 2.49197e-09, 1.25392e-25, 1.25392e-25, 1.21194e-11, 1.71155e-10, 1.25392e-25, 1.51358e-07, 1.25392e-25, 1.25392e-25, 1.25392e-25
0.528464, 0, 2.19982e-07, 4.2805e-25, 1.41421, -2.19982e-07, 1.6519e-12, 0, 2.47882e-14, 1.69433e-14, 3.95379e-14, 1.4419e-13, 1.56601e-13, 6.14939e-13, 1.46974e-13, 1.58701e-11, 6.3709e-12, 4.87379e-12, 1.49215e-09, 3.57465e-09, 6.97053e-13, 3.244e-14, 2.01347e-11, 2.85693e-10, 1.26856e-15, 2.14565e-07, 4.2805e-25, 4.2805e-25, 1.38366e-11
0.53625, 0, 3.13468e-07, 5.07725e-10, 1.41421, -3.13468e-07, 5.13658e-10, 5.07725e-10, 5.07814e-10, 5.07786e-10, 5.07867e-10, 5.08243e-10, 5.08287e-10, 5.09933e-10, 5.08253e-10, 5.59565e-10, 5.30607e-10, 5.2523e-10, 5.86708e-09, 5.60289e-09, 5.10228e-10, 5.07841e-10, 5.40982e-10, 9.828e-10, 5.07729e-10, 3.0235e-07, 5.07725e-10, 5.07725e-10, 5.57422e-10
0.544035, 0, 4.46845e-07, 1.82194e-09, 1.41421, -4.46845e-07, 1.83865e-09, 1.82194e-09, 1.82219e-09, 1.82211e-09, 1.82234e-09, 1.8234e-09, 1.82353e-09, 1.82816e-09, 1.82343e-09, 1.96305e-09, 1.88638e-09, 1.87124e-09, 1.69152e-08, 9.03923e-09, 1.82899e-09, 1.82227e-09, 1.87652e-09, 2.60813e-09, 1.82195e-09, 4.23264e-07, 1.82194e-09, 1.82194e-09, 1.9619e-09
0.55182, 0, 6.4087e-07, 5.12601e-09, 1.41421, -6.4087e-07, 5.1691e-09, 5.12601e-09, 5.12666e-09, 5.12646e-09, 5.12705e-09, 5.12978e-09, 5.1301e-09, 5.14205e-09, 5.12985e-09, 5.48272e-09, 5.29217e-09, 5.25313e-09, 4.40425e-08, 1.52868e-08, 5.14419e-09, 5.12686e-09, 5.21499e-09, 6.41951e-09, 5.12605e-09, 5.89307e-07, 5.12601e-09, 5.12601e-09, 5.48689e-09
