   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_103.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.363555, 0, 2.50143e-08, 6.79638e-31, 1.41421, -2.50143e-08, 6.79638e-31, 0, 6.79638e-31, 6.79638e-31, 6.79638e-31, 6.79638e-31, 6.79638e-31, 6.79638e-31, 6.79638e-31, 6.79638e-31, 6.79638e-31, 6.79638e-31, 6.79638e-31, 1.47785e-10, 6.79638e-31, 1.70733e-12, 6.79638e-31, 1.77792e-11, 6.79638e-31, 2.4847e-08, 6.79638e-31, 6.79638e-31, 6.79638e-31
0.371441, 0, 3.37682e-08, 3.48283e-30, 1.41421, -3.37682e-08, 3.48283e-30, 0, 3.48283e-30, 3.48283e-30, 3.48283e-30, 3.48283e-30, 3.48283e-30, 3.48283e-30, 3.48283e-30, 3.48283e-30, 3.48283e-30, 3.48283e-30, 3.48283e-30, 2.00196e-10, 3.48283e-30, 2.55527e-12, 3.48283e-30, 2.62121e-11, 3.48283e-30, 3.35392e-08, 3.48283e-30, 3.48283e-30, 3.48283e-30
0.379327, 0, 4.53758e-08, 1.67703e-29, 1.41421, -4.53758e-08, 1.67703e-29, 0, 1.67703e-29, 1.67703e-29, 1.67703e-29, 1.67703e-29, 1.67703e-29, 1.67703e-29, 1.67703e-29, 1.67703e-29, 1.67703e-29, 1.67703e-29, 1.67703e-29, 2.70062e-10, 1.67703e-29, 3.82246e-12, 1.67703e-29, 3.85695e-11, 1.67703e-29, 4.50634e-08, 1.67703e-29, 1.67703e-29, 1.67703e-29
0.387213, 0, 6.06949e-08, 7.61199e-29, 1.41421, -6.06949e-08, 7.61199e-29, 0, 7.61199e-29, 7.61199e-29, 7.61199e-29, 7.61199e-29, 7.61199e-29, 7.61199e-29, 7.61199e-29, 7.61199e-29, 7.61199e-29, 7.61199e-29, 7.61199e-29, 3.62813e-10, 7.61199e-29, 5.71368e-12, 7.61199e-29, 5.66353e-11, 7.61199e-29, 6.02697e-08, 7.61199e-29, 7.61199e-29, 7.61199e-29
0.395099, 0, 8.08173e-08, 3.26699e-28, 1.41421, -8.08173e-08, 3.26699e-28, 0, 3.26699e-28, 3.26699e-28, 3.26699e-28, 3.26699e-28, 3.26699e-28, 3.26699e-28, 3.26699e-28, 3.26699e-28, 3.26699e-28, 3.26699e-28, 3.26699e-28, 4.85447e-10, 3.26699e-28, 8.53141e-12, 3.26699e-28, 8.29787e-11, 3.26699e-28, 8.02403e-08, 3.26699e-28, 3.26699e-28, 3.26699e-28
0.402985, 0, 1.07127e-07, 1.32976e-27, 1.41421, -1.07127e-07, 1.32976e-27, 0, 1.32976e-27, 1.32976e-27, 1.32976e-27, 1.32976e-27, 1.32976e-27, 1.32976e-27, 1.32976e-27, 1.32976e-27, 1.32976e-27, 1.32976e-27, 1.32976e-27, 6.46953e-10, 1.32976e-27, 1.27208e-11, 1.32976e-27, 1.21285e-10, 1.32976e-27, 1.06346e-07, 1.32976e-27, 1.32976e-27, 1.32976e-27
0.41087, 0, 1.41366e-07, 5.14687e-27, 1.41421, -1.41366e-07, 5.14687e-27, 0, 5.14687e-27, 5.14687e-27, 5.14687e-27, 5.14687e-27, 5.14687e-27, 5.14687e-27, 5.14687e-27, 5.14687e-27, 5.14687e-27, 5.14687e-27, 5.14687e-27, 8.58825e-10, 5.14687e-27, 1.89345e-11, 5.14687e-27, 1.76815e-10, 5.14687e-27, 1.40311e-07, 5.14687e-27, 5.14687e-27, 5.14687e-27
0.418756, 0, 1.85722e-07, 1.8993e-26, 1.41421, -1.85722e-07, 1.8993e-26, 0, 1.8993e-26, 1.8993e-26, 1.8993e-26, 1.8993e-26, 1.8993e-26, 1.8993e-26, 1.8993e-26, 4.65229e-14, 1.8993e-26, 1.8993e-26, 1.8993e-26, 1.13571e-09, 1.8993e-26, 2.81242e-11, 1.8993e-26, 2.57044e-10, 1.8993e-26, 1.84302e-07, 1.8993e-26, 1.8993e-26, 1.8993e-26
0.426642, 0, 2.42925e-07, 6.69883e-26, 1.41421, -2.42925e-07, 6.69883e-26, 0, 6.69883e-26, 6.69883e-26, 6.69883e-26, 6.69883e-26, 6.69883e-26, 6.69883e-26, 6.69883e-26, 1.41131e-13, 6.69883e-26, 6.69883e-26, 6.69883e-26, 1.49619e-09, 6.69883e-26, 4.16728e-11, 6.69883e-26, 3.72539e-10, 6.69883e-26, 2.41014e-07, 6.69883e-26, 6.69883e-26, 6.69883e-26
0.434528, 0, 3.16361e-07, 2.28354e-25, 1.41421, -3.16361e-07, 2.28354e-25, 0, 2.28354e-25, 2.28354e-25, 2.28354e-25, 2.28354e-25, 2.28354e-25, 2.28354e-25, 2.28354e-25, 3.30074e-13, 2.28354e-25, 2.28354e-25, 2.28354e-25, 1.96377e-09, 2.28354e-25, 6.15775e-11, 2.28354e-25, 5.3815e-10, 2.28354e-25, 3.13797e-07, 2.28354e-25, 2.28354e-25, 2.28354e-25
0.442414, 0, 4.12941e-07, 6.00299e-10, 1.41421, -4.12941e-07, 6.0319e-10, 6.00299e-10, 6.00319e-10, 6.00337e-10, 6.00332e-10, 6.00629e-10, 6.03382e-10, 6.00636e-10, 6.00828e-10, 6.0306e-10, 6.08016e-10, 6.03743e-10, 2.63001e-09, 3.16844e-09, 6.00323e-10, 6.91009e-10, 6.00325e-10, 1.37493e-09, 6.00302e-10, 4.07439e-07, 6.00299e-10, 6.00299e-10, 6.17235e-10
0.4503, 0, 5.37878e-07, 1.80325e-09, 1.41421, -5.37878e-07, 1.81199e-09, 1.80325e-09, 1.80331e-09, 1.80337e-09, 1.80335e-09, 1.80425e-09, 1.81258e-09, 1.80427e-09, 1.80485e-09, 1.8109e-09, 1.82659e-09, 1.81367e-09, 7.94082e-09, 5.1497e-09, 1.80332e-09, 1.93644e-09, 1.80388e-09, 2.91406e-09, 1.80326e-09, 5.27035e-07, 1.80325e-09, 1.80325e-09, 1.85446e-09
0.458186, 0, 7.00258e-07, 4.19007e-09, 1.41421, -7.00258e-07, 4.21047e-09, 4.19007e-09, 4.19022e-09, 4.19034e-09, 4.19031e-09, 4.1924e-09, 4.21183e-09, 4.19245e-09, 4.1938e-09, 4.20739e-09, 4.24452e-09, 4.21437e-09, 1.85096e-08, 8.53526e-09, 4.19024e-09, 4.38492e-09, 4.19194e-09, 5.77651e-09, 4.19009e-09, 6.79543e-07, 4.19007e-09, 4.19007e-09, 4.30956e-09
