   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_77.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.482328, 0, 5.89271e-10, 5.34113e-33, 1.41421, -5.89271e-10, 5.34113e-33, 0, 5.34113e-33, 5.34113e-33, 5.34113e-33, 5.34113e-33, 5.34113e-33, 5.34113e-33, 5.34113e-33, 5.34113e-33, 5.34113e-33, 5.34113e-33, 5.34113e-33, 5.34113e-33, 6.48318e-15, 8.67797e-14, 5.34113e-33, 5.89178e-10, 5.34113e-33, 5.34113e-33, 5.34113e-33
0.490252, 0, 1.04833e-09, 3.44159e-32, 1.41421, -1.04833e-09, 3.44159e-32, 0, 3.44159e-32, 3.44159e-32, 3.44159e-32, 3.44159e-32, 3.44159e-32, 3.44159e-32, 3.44159e-32, 3.44159e-32, 3.44159e-32, 3.44159e-32, 3.44159e-32, 3.44159e-32, 1.25093e-14, 1.61383e-13, 3.44159e-32, 1.04816e-09, 3.44159e-32, 3.44159e-32, 3.44159e-32
0.498177, 0, 1.83987e-09, 2.08273e-31, 1.41421, -1.83987e-09, 2.08273e-31, 0, 2.08273e-31, 2.08273e-31, 2.08273e-31, 2.08273e-31, 2.08273e-31, 2.08273e-31, 2.08273e-31, 2.08273e-31, 2.08273e-31, 2.08273e-31, 2.08273e-31, 2.08273e-31, 2.4118e-14, 2.97969e-13, 2.08273e-31, 1.83955e-09, 2.08273e-31, 2.08273e-31, 2.08273e-31
0.506102, 0, 3.18581e-09, 1.18295e-30, 1.41421, -3.18581e-09, 1.18295e-30, 0, 1.18295e-30, 1.18295e-30, 1.18295e-30, 1.18295e-30, 1.18295e-30, 1.18295e-30, 1.18295e-30, 1.18295e-30, 1.18295e-30, 1.18295e-30, 1.18295e-30, 1.18295e-30, 4.64992e-14, 5.47132e-13, 1.18295e-30, 3.18522e-09, 1.18295e-30, 1.18295e-30, 1.18295e-30
0.514026, 0, 5.44305e-09, 6.31828e-30, 1.41421, -5.44305e-09, 6.31828e-30, 0, 6.31828e-30, 6.31828e-30, 6.31828e-30, 6.31828e-30, 6.31828e-30, 6.31828e-30, 6.31828e-30, 6.31828e-30, 6.31828e-30, 6.31828e-30, 6.31828e-30, 6.31828e-30, 8.96777e-14, 1.00107e-12, 6.31828e-30, 5.44195e-09, 6.31828e-30, 6.31828e-30, 6.31828e-30
0.521951, 0, 9.17705e-09, 3.1822e-29, 1.41421, -9.17705e-09, 3.1822e-29, 0, 3.1822e-29, 3.1822e-29, 3.1822e-29, 3.1822e-29, 3.1822e-29, 3.1822e-29, 3.1822e-29, 3.1822e-29, 3.1822e-29, 3.1822e-29, 3.1822e-29, 3.1822e-29, 1.72971e-13, 1.82896e-12, 3.1822e-29, 9.17505e-09, 3.1822e-29, 3.1822e-29, 3.1822e-29
0.529876, 0, 1.52706e-08, 1.516e-28, 1.41421, -1.52706e-08, 1.516e-28, 0, 1.516e-28, 1.516e-28, 1.516e-28, 1.516e-28, 1.516e-28, 1.516e-28, 1.516e-28, 1.516e-28, 1.516e-28, 1.516e-28, 1.516e-28, 1.516e-28, 3.33434e-13, 3.34388e-12, 1.516e-28, 1.52669e-08, 1.516e-28, 1.516e-28, 1.516e-28
0.5378, 0, 2.50817e-08, 6.85277e-28, 1.41421, -2.50817e-08, 6.85277e-28, 0, 6.85277e-28, 6.85277e-28, 6.85277e-28, 6.85277e-28, 6.85277e-28, 6.85277e-28, 6.85277e-28, 6.85277e-28, 6.85277e-28, 6.85277e-28, 6.85277e-28, 6.85277e-28, 6.41662e-13, 6.13022e-12, 6.85277e-28, 2.50749e-08, 6.85277e-28, 6.85277e-28, 6.85277e-28
0.545725, 0, 4.06698e-08, 2.94795e-27, 1.41421, -4.06698e-08, 2.94795e-27, 0, 2.94795e-27, 2.94795e-27, 2.94795e-27, 2.94795e-27, 2.94795e-27, 2.94795e-27, 2.94795e-27, 2.94795e-27, 2.94795e-27, 2.94795e-27, 2.94795e-27, 2.94795e-27, 1.23096e-12, 1.12869e-11, 2.94795e-27, 4.06573e-08, 2.94795e-27, 2.94795e-27, 2.94795e-27
0.553649, 0, 6.51128e-08, 1.21033e-26, 1.41421, -6.51128e-08, 1.21033e-26, 0, 1.21033e-26, 1.21033e-26, 1.21033e-26, 1.21033e-26, 1.21033e-26, 1.21033e-26, 1.21033e-26, 1.21033e-26, 1.21033e-26, 1.21033e-26, 1.21033e-26, 1.21033e-26, 2.3503e-12, 2.08911e-11, 1.21033e-26, 6.50895e-08, 1.21033e-26, 1.21033e-26, 1.21033e-26
0.561574, 0, 1.02946e-07, 4.75539e-26, 1.41421, -1.02946e-07, 4.75539e-26, 0, 4.75539e-26, 4.75539e-26, 4.75539e-26, 4.75539e-26, 4.75539e-26, 4.75539e-26, 2.10033e-13, 4.75539e-26, 4.75539e-26, 4.75539e-26, 4.75539e-26, 4.75539e-26, 4.45903e-12, 3.88767e-11, 4.75539e-26, 1.02903e-07, 4.75539e-26, 4.75539e-26, 4.75539e-26
0.569499, 0, 1.60762e-07, 1.79252e-25, 1.41421, -1.60762e-07, 1.79252e-25, 0, 1.79252e-25, 1.79252e-25, 1.79252e-25, 1.79252e-25, 1.79252e-25, 1.79252e-25, 8.99811e-13, 1.79252e-25, 1.79252e-25, 1.79252e-25, 1.79252e-25, 1.79252e-25, 8.39315e-12, 7.26828e-11, 1.79252e-25, 1.6068e-07, 1.79252e-25, 1.79252e-25, 1.79252e-25
0.577423, 0, 2.49729e-07, 6.53465e-25, 1.41421, -2.49729e-07, 3.20562e-12, 0, 2.32657e-14, 5.03955e-14, 2.17443e-13, 1.09056e-12, 2.15057e-13, 3.42256e-13, 1.25687e-11, 6.49216e-12, 7.20535e-12, 1.64125e-09, 1.42925e-12, 3.25611e-14, 1.56522e-11, 1.36302e-10, 1.56072e-15, 2.47882e-07, 6.53465e-25, 6.53465e-25, 2.12354e-11
