   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_167.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.42939, 0, 1.30138e-10, 4.01782e-37, 1.41421, -1.30138e-10, 4.01782e-37, 0, 4.01782e-37, 4.01782e-37, 4.01782e-37, 4.01782e-37, 4.01782e-37, 4.01782e-37, 4.01782e-37, 4.01782e-37, 4.01782e-37, 4.01782e-37, 4.01782e-37, 8.99489e-13, 4.01782e-37, 4.01782e-37, 8.36282e-16, 1.53044e-14, 4.01782e-37, 1.29222e-10, 4.01782e-37, 4.01782e-37, 4.01782e-37
0.437256, 0, 2.30613e-10, 3.43877e-36, 1.41421, -2.30613e-10, 3.43877e-36, 0, 3.43877e-36, 3.43877e-36, 3.43877e-36, 3.43877e-36, 3.43877e-36, 3.43877e-36, 3.43877e-36, 3.43877e-36, 3.43877e-36, 3.43877e-36, 3.43877e-36, 1.59491e-12, 3.43877e-36, 3.43877e-36, 1.55692e-15, 2.81644e-14, 3.43877e-36, 2.28989e-10, 3.43877e-36, 3.43877e-36, 3.43877e-36
0.445122, 0, 4.03626e-10, 2.70548e-35, 1.41421, -4.03626e-10, 2.70548e-35, 0, 2.70548e-35, 2.70548e-35, 2.70548e-35, 2.70548e-35, 2.70548e-35, 2.70548e-35, 2.70548e-35, 2.70548e-35, 2.70548e-35, 2.70548e-35, 2.70548e-35, 2.79368e-12, 2.70548e-35, 2.70548e-35, 2.88441e-15, 5.13869e-14, 2.70548e-35, 4.00778e-10, 2.70548e-35, 2.70548e-35, 2.70548e-35
0.452988, 0, 6.978e-10, 1.9658e-34, 1.41421, -6.978e-10, 1.9658e-34, 0, 1.9658e-34, 1.9658e-34, 1.9658e-34, 1.9658e-34, 1.9658e-34, 1.9658e-34, 1.9658e-34, 1.9658e-34, 1.9658e-34, 1.9658e-34, 1.9658e-34, 4.83481e-12, 1.9658e-34, 1.9658e-34, 5.32386e-15, 9.30435e-14, 1.9658e-34, 6.92866e-10, 1.9658e-34, 1.9658e-34, 1.9658e-34
0.460855, 0, 1.19174e-09, 1.37919e-33, 1.41421, -1.19174e-09, 1.37919e-33, 0, 1.37919e-33, 1.37919e-33, 1.37919e-33, 1.37919e-33, 1.37919e-33, 1.37919e-33, 1.37919e-33, 1.37919e-33, 1.37919e-33, 1.37919e-33, 1.37919e-33, 8.2682e-12, 1.37919e-33, 1.37919e-33, 9.80048e-15, 1.67372e-13, 1.37919e-33, 1.18329e-09, 1.37919e-33, 1.37919e-33, 1.37919e-33
0.468721, 0, 2.01083e-09, 9.35841e-33, 1.41421, -2.01083e-09, 9.35841e-33, 0, 9.35841e-33, 9.35841e-33, 9.35841e-33, 9.35841e-33, 9.35841e-33, 9.35841e-33, 9.35841e-33, 9.35841e-33, 9.35841e-33, 9.35841e-33, 9.35841e-33, 1.39749e-11, 9.35841e-33, 9.35841e-33, 1.80112e-14, 2.99501e-13, 9.35841e-33, 1.99653e-09, 9.35841e-33, 9.35841e-33, 9.35841e-33
0.476587, 0, 3.35242e-09, 5.99591e-32, 1.41421, -3.35242e-09, 5.99591e-32, 0, 5.99591e-32, 5.99591e-32, 5.99591e-32, 5.99591e-32, 5.99591e-32, 5.99591e-32, 5.99591e-32, 5.99591e-32, 5.99591e-32, 5.99591e-32, 5.99591e-32, 2.33494e-11, 5.99591e-32, 5.99591e-32, 3.30702e-14, 5.33891e-13, 5.99591e-32, 3.3285e-09, 5.99591e-32, 5.99591e-32, 5.99591e-32
0.484453, 0, 5.52304e-09, 3.6033e-31, 1.41421, -5.52304e-09, 3.6033e-31, 0, 3.6033e-31, 3.6033e-31, 3.6033e-31, 3.6033e-31, 3.6033e-31, 3.6033e-31, 3.6033e-31, 3.6033e-31, 3.6033e-31, 3.6033e-31, 3.6033e-31, 3.85724e-11, 3.6033e-31, 3.6033e-31, 6.06924e-14, 9.49517e-13, 3.6033e-31, 5.48346e-09, 3.6033e-31, 3.6033e-31, 3.6033e-31
0.492319, 0, 8.99293e-09, 3.6369e-30, 1.41421, -8.99293e-09, 3.6369e-30, 0, 3.6369e-30, 3.6369e-30, 3.6369e-30, 3.6369e-30, 3.6369e-30, 3.6369e-30, 3.6369e-30, 3.6369e-30, 3.6369e-30, 3.6369e-30, 3.6369e-30, 6.30191e-11, 3.6369e-30, 3.6369e-30, 1.11466e-13, 1.68966e-12, 3.6369e-30, 8.92811e-09, 3.6369e-30, 3.6369e-30, 3.6369e-30
0.500185, 0, 1.44728e-08, 1.82682e-29, 1.41421, -1.44728e-08, 1.82682e-29, 0, 1.82682e-29, 1.82682e-29, 1.82682e-29, 1.82682e-29, 1.82682e-29, 1.82682e-29, 1.82682e-29, 1.82682e-29, 1.82682e-29, 1.82682e-29, 1.82682e-29, 1.01841e-10, 1.82682e-29, 1.82682e-29, 2.04365e-13, 3.00451e-12, 1.82682e-29, 1.43677e-08, 1.82682e-29, 1.82682e-29, 1.82682e-29
0.508051, 0, 2.30254e-08, 8.67815e-29, 1.41421, -2.30254e-08, 8.67815e-29, 0, 8.67815e-29, 8.67815e-29, 8.67815e-29, 8.67815e-29, 8.67815e-29, 8.67815e-29, 8.67815e-29, 8.67815e-29, 8.67815e-29, 8.67815e-29, 8.67815e-29, 1.62843e-10, 8.67815e-29, 8.67815e-29, 3.74275e-13, 5.3525e-12, 8.67815e-29, 2.28568e-08, 8.67815e-29, 8.67815e-29, 8.67815e-29
0.515917, 0, 3.62179e-08, 3.91026e-28, 1.41421, -3.62179e-08, 3.91026e-28, 0, 3.91026e-28, 3.91026e-28, 3.91026e-28, 3.91026e-28, 3.91026e-28, 3.91026e-28, 3.91026e-28, 3.91026e-28, 3.91026e-28, 3.91026e-28, 3.91026e-28, 2.57708e-10, 3.91026e-28, 3.91026e-28, 6.84106e-13, 9.561e-12, 3.91026e-28, 3.59499e-08, 3.91026e-28, 3.91026e-28, 3.91026e-28
0.523783, 0, 5.63331e-08, 1.67604e-27, 1.41421, -5.63331e-08, 1.67604e-27, 0, 1.67604e-27, 1.67604e-27, 1.67604e-27, 1.67604e-27, 1.67604e-27, 1.67604e-27, 1.67604e-27, 1.67604e-27, 1.67604e-27, 1.67604e-27, 1.67604e-27, 4.03757e-10, 1.67604e-27, 1.67604e-27, 1.24666e-12, 1.71304e-11, 1.67604e-27, 5.5911e-08, 1.67604e-27, 1.67604e-27, 1.67604e-27
0.531649, 0, 8.66556e-08, 6.85277e-27, 1.41421, -8.66556e-08, 6.85277e-27, 0, 6.85277e-27, 6.85277e-27, 6.85277e-27, 6.85277e-27, 6.85277e-27, 6.85277e-27, 6.85277e-27, 6.85277e-27, 6.85277e-27, 6.85277e-27, 6.85277e-27, 6.26437e-10, 6.85277e-27, 6.85277e-27, 2.26239e-12, 3.07792e-11, 6.85277e-27, 8.59961e-08, 6.85277e-27, 6.85277e-27, 6.85277e-27
0.539516, 0, 1.31854e-07, 2.67972e-26, 1.41421, -1.31854e-07, 2.67972e-26, 0, 2.67972e-26, 2.67972e-26, 2.67972e-26, 2.67972e-26, 2.67972e-26, 2.67972e-26, 2.67972e-26, 9.72706e-14, 2.67972e-26, 2.67972e-26, 2.67972e-26, 9.62777e-10, 2.67972e-26, 2.67972e-26, 4.08382e-12, 5.54172e-11, 2.67972e-26, 1.30831e-07, 2.67972e-26, 2.67972e-26, 2.67972e-26
0.547382, 0, 1.9848e-07, 1.00465e-25, 1.41421, -1.9848e-07, 1.00465e-25, 0, 1.00465e-25, 1.00465e-25, 1.00465e-25, 1.00465e-25, 1.00465e-25, 1.00465e-25, 1.00465e-25, 3.9623e-13, 1.00465e-25, 1.00465e-25, 1.00465e-25, 1.46617e-09, 1.00465e-25, 1.00465e-25, 7.32402e-12, 9.98571e-11, 1.00465e-25, 1.96906e-07, 1.00465e-25, 1.00465e-25, 1.00465e-25
