   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_7.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.395076, 0, 4.86892e-08, 1.10683e-28, 1.41421, -4.86892e-08, 0, 1.10683e-28, 1.10683e-28, 1.10683e-28, 1.10683e-28, 1.10683e-28, 1.10683e-28, 1.10683e-28, 1.10683e-28, 1.10683e-28, 1.10683e-28, 1.10683e-28, 2.0716e-09, 1.10683e-28, 1.10683e-28, 4.74376e-11, 1.10683e-28, 9.53131e-10, 1.10683e-28, 4.56171e-08, 1.10683e-28, 1.10683e-28, 1.10683e-28
0.402925, 0, 6.61965e-08, 5.06356e-28, 1.41421, -6.61965e-08, 0, 5.06356e-28, 5.06356e-28, 5.06356e-28, 5.06356e-28, 5.06356e-28, 5.06356e-28, 5.06356e-28, 5.06356e-28, 5.06356e-28, 5.06356e-28, 5.06356e-28, 2.82962e-09, 5.06356e-28, 5.06356e-28, 7.22147e-11, 5.06356e-28, 1.42589e-09, 5.06356e-28, 6.18688e-08, 5.06356e-28, 5.06356e-28, 5.06356e-28
0.410774, 0, 8.95804e-08, 2.19065e-27, 1.41421, -8.95804e-08, 0, 2.19065e-27, 2.19065e-27, 2.19065e-27, 2.19065e-27, 2.19065e-27, 2.19065e-27, 2.19065e-27, 2.19065e-27, 2.19065e-27, 2.19065e-27, 2.19065e-27, 3.84898e-09, 2.19065e-27, 2.19065e-27, 1.09811e-10, 2.19065e-27, 2.12862e-09, 2.19065e-27, 8.34929e-08, 2.19065e-27, 2.19065e-27, 2.19065e-27
0.418623, 0, 1.2067e-07, 8.98836e-27, 1.41421, -1.2067e-07, 0, 8.98836e-27, 8.98836e-27, 8.98836e-27, 8.98836e-27, 8.98836e-27, 8.98836e-27, 8.98836e-27, 8.98836e-27, 8.98836e-27, 8.98836e-27, 8.98836e-27, 5.21434e-09, 8.98836e-27, 8.98836e-27, 1.66734e-10, 8.98836e-27, 3.17035e-09, 8.98836e-27, 1.12119e-07, 8.98836e-27, 8.98836e-27, 8.98836e-27
0.426473, 0, 1.6182e-07, 3.50718e-26, 1.41421, -1.6182e-07, 0, 3.50718e-26, 3.50718e-26, 3.50718e-26, 3.50718e-26, 3.50718e-26, 3.50718e-26, 3.50718e-26, 3.50718e-26, 3.50718e-26, 3.50718e-26, 3.50718e-26, 7.03607e-09, 3.50718e-26, 3.50718e-26, 2.52694e-10, 3.50718e-26, 4.70987e-09, 3.50718e-26, 1.49821e-07, 3.50718e-26, 3.50718e-26, 3.50718e-26
0.434322, 0, 2.16086e-07, 1.30477e-25, 1.41421, -2.16086e-07, 0, 1.30477e-25, 1.30477e-25, 1.30477e-25, 1.30477e-25, 1.30477e-25, 1.30477e-25, 1.30477e-25, 3.96408e-11, 1.30477e-25, 1.30477e-25, 1.30477e-25, 9.45751e-09, 1.30477e-25, 1.30477e-25, 3.82117e-10, 1.30477e-25, 6.97737e-09, 1.30477e-25, 1.99229e-07, 1.30477e-25, 1.30477e-25, 1.30477e-25
0.442171, 0, 2.87321e-07, 4.63979e-25, 1.41421, -2.87321e-07, 0, 4.63979e-25, 4.63979e-25, 4.63979e-25, 4.63979e-25, 4.63979e-25, 4.63979e-25, 4.63979e-25, 1.22762e-10, 4.63979e-25, 4.63979e-25, 4.63979e-25, 1.26641e-08, 4.63979e-25, 4.63979e-25, 5.76316e-10, 4.63979e-25, 1.03047e-08, 4.63979e-25, 2.63653e-07, 4.63979e-25, 4.63979e-25, 4.63979e-25
0.45002, 0, 3.80466e-07, 1.58934e-24, 1.41421, -3.80466e-07, 0, 1.58934e-24, 1.58934e-24, 1.58934e-24, 1.58934e-24, 1.58934e-24, 1.58934e-24, 1.58934e-24, 2.93637e-10, 1.58934e-24, 1.58934e-24, 1.58934e-24, 1.68949e-08, 1.58934e-24, 1.58934e-24, 8.66616e-10, 1.58934e-24, 1.51675e-08, 1.58934e-24, 3.47244e-07, 1.58934e-24, 1.58934e-24, 1.58934e-24
0.457869, 0, 5.23271e-07, 7.6064e-09, 1.41421, -5.23271e-07, 7.6064e-09, 7.60655e-09, 7.60679e-09, 7.60709e-09, 7.61799e-09, 7.63318e-09, 8.84699e-09, 9.69952e-09, 9.99562e-09, 7.95522e-09, 7.63185e-09, 1.52518e-08, 3.00641e-08, 8.15931e-09, 7.60679e-09, 8.90521e-09, 7.61222e-09, 2.98496e-08, 7.60641e-09, 4.62846e-07, 7.6064e-09, 7.6064e-09, 7.68994e-09
0.465718, 0, 7.25668e-07, 2.34625e-08, 1.41421, -7.25668e-07, 2.34625e-08, 2.34629e-08, 2.34637e-08, 2.34646e-08, 2.34982e-08, 2.35451e-08, 2.72919e-08, 2.99235e-08, 3.01893e-08, 2.45392e-08, 2.3541e-08, 4.70623e-08, 5.32077e-08, 2.51692e-08, 2.34636e-08, 2.54021e-08, 2.35771e-08, 5.59529e-08, 2.34625e-08, 6.17517e-07, 2.34625e-08, 2.34625e-08, 2.37203e-08
0.473567, 0, 1.0217e-06, 5.59489e-08, 1.41421, -1.0217e-06, 5.59489e-08, 5.595e-08, 5.59518e-08, 5.5954e-08, 5.60343e-08, 5.61462e-08, 6.50862e-08, 7.13653e-08, 7.15005e-08, 5.85181e-08, 5.61364e-08, 1.12259e-07, 9.52074e-08, 6.00213e-08, 5.59518e-08, 5.88341e-08, 5.63113e-08, 1.03205e-07, 5.5949e-08, 8.2778e-07, 5.59489e-08, 5.59489e-08, 5.65643e-08
0.481416, 0, 1.47054e-06, 1.21361e-07, 1.41421, -1.47054e-06, 1.21361e-07, 1.21363e-07, 1.21367e-07, 1.21372e-07, 1.21546e-07, 1.21789e-07, 1.41195e-07, 1.54825e-07, 1.54566e-07, 1.26938e-07, 1.21768e-07, 2.43592e-07, 1.72994e-07, 1.302e-07, 1.21367e-07, 1.25634e-07, 1.22265e-07, 1.89778e-07, 1.21361e-07, 1.11977e-06, 1.21361e-07, 1.21361e-07, 1.22696e-07
0.489265, 0, 2.17737e-06, 2.50936e-07, 1.41421, -2.17737e-06, 2.50936e-07, 2.50941e-07, 2.50949e-07, 2.50959e-07, 2.5132e-07, 2.51822e-07, 2.91966e-07, 3.20162e-07, 3.18836e-07, 2.62473e-07, 2.51778e-07, 5.03791e-07, 3.18609e-07, 2.69223e-07, 2.50949e-07, 2.57238e-07, 2.52971e-07, 3.49522e-07, 2.50937e-07, 1.53702e-06, 2.50936e-07, 2.50936e-07, 2.53699e-07
0.497115, 0, 3.33355e-06, 5.03356e-07, 1.41421, -3.33355e-06, 5.03356e-07, 5.03366e-07, 5.03382e-07, 5.03402e-07, 5.04125e-07, 5.05134e-07, 5.85685e-07, 6.42261e-07, 6.4172e-07, 5.26505e-07, 5.05045e-07, 1.01072e-06, 5.91746e-07, 5.40049e-07, 5.03382e-07, 5.12605e-07, 5.07679e-07, 6.44843e-07, 5.03357e-07, 2.1534e-06, 5.03356e-07, 5.03356e-07, 5.089e-07
0.504964, 0, 5.30625e-06, 9.86934e-07, 1.41421, -5.30625e-06, 9.86934e-07, 9.86953e-07, 9.86985e-07, 9.87023e-07, 9.88442e-07, 9.9042e-07, 1.1484e-06, 1.25935e-06, 1.29205e-06, 1.03233e-06, 9.90246e-07, 1.98197e-06, 1.10199e-06, 1.05889e-06, 9.86984e-07, 1.00044e-06, 9.9578e-07, 1.18881e-06, 9.86935e-07, 3.09618e-06, 9.86934e-07, 9.86934e-07, 9.97807e-07
0.512813, 0, 8.98864e-06, 1.89804e-06, 1.41421, -8.98864e-06, 1.89804e-06, 1.89808e-06, 1.89814e-06, 1.89822e-06, 1.90095e-06, 1.90475e-06, 2.20862e-06, 2.42205e-06, 2.81655e-06, 1.98537e-06, 1.90441e-06, 3.81205e-06, 2.04729e-06, 2.03646e-06, 1.89814e-06, 1.91767e-06, 1.91565e-06, 2.18451e-06, 1.89805e-06, 4.58553e-06, 1.89804e-06, 1.89804e-06, 1.91896e-06
0.520662, 0, 1.54911e-05, 3.58623e-06, 1.41421, -1.54911e-05, 3.58623e-06, 3.5863e-06, 3.58642e-06, 3.58656e-06, 3.59172e-06, 3.59891e-06, 4.17316e-06, 4.57649e-06, 5.72485e-06, 3.75126e-06, 3.59827e-06, 7.20326e-06, 3.77916e-06, 3.84781e-06, 3.58642e-06, 3.61461e-06, 3.62051e-06, 3.99052e-06, 3.58624e-06, 7.00127e-06, 3.58623e-06, 3.58623e-06, 3.62576e-06
0.528511, 0, 2.70208e-05, 6.66255e-06, 1.41421, -2.70208e-05, 6.66255e-06, 6.66269e-06, 6.6629e-06, 6.66316e-06, 6.67274e-06, 6.6861e-06, 7.75313e-06, 8.50256e-06, 1.11923e-05, 6.9692e-06, 6.68493e-06, 1.33834e-05, 6.9111e-06, 7.1486e-06, 6.6629e-06, 6.7034e-06, 6.728e-06, 7.22994e-06, 6.66256e-06, 1.09937e-05, 6.66255e-06, 6.66255e-06, 6.736e-06
0.53636, 0, 4.73978e-05, 1.21759e-05, 1.41421, -4.73978e-05, 1.21759e-05, 1.21761e-05, 1.21765e-05, 1.2177e-05, 1.21945e-05, 1.22189e-05, 1.41692e-05, 1.5539e-05, 2.12891e-05, 1.27364e-05, 1.22168e-05, 2.44602e-05, 1.2495e-05, 1.30643e-05, 1.21765e-05, 1.22343e-05, 1.22986e-05, 1.29677e-05, 1.21759e-05, 1.76633e-05, 1.21759e-05, 1.21759e-05, 1.23101e-05
0.544209, 0, 8.32649e-05, 2.18935e-05, 1.41421, -8.32649e-05, 2.18935e-05, 2.18939e-05, 2.18946e-05, 2.18955e-05, 2.1927e-05, 2.19709e-05, 2.54783e-05, 2.79418e-05, 3.97326e-05, 2.29014e-05, 2.1967e-05, 4.39855e-05, 2.23018e-05, 2.34912e-05, 2.18946e-05, 2.19767e-05, 2.21199e-05, 2.29924e-05, 2.18935e-05, 2.88476e-05, 2.18935e-05, 2.18935e-05, 2.21349e-05
