   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_235.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.479484, 0, 8.61558e-07, 1.01075e-26, 1.41421, -8.61558e-07, 1.01075e-26, 0, 1.01075e-26, 1.01075e-26, 1.01075e-26, 1.01075e-26, 1.01075e-26, 1.01075e-26, 3.16201e-09, 1.01075e-26, 1.01075e-26, 1.36721e-11, 4.52781e-10, 1.01075e-26, 8.5793e-07, 1.01075e-26, 1.01075e-26
0.487541, 0, 1.26145e-06, 4.21383e-26, 1.41421, -1.26145e-06, 4.21383e-26, 0, 4.21383e-26, 4.21383e-26, 4.21383e-26, 4.21383e-26, 4.21383e-26, 4.21383e-26, 4.66728e-09, 4.21383e-26, 4.21383e-26, 2.3107e-11, 7.63672e-10, 4.21383e-26, 1.256e-06, 4.21383e-26, 4.21383e-26
0.495598, 0, 1.83235e-06, 1.67203e-25, 1.41421, -1.83235e-06, 1.67203e-25, 0, 1.67203e-25, 1.67203e-25, 1.67203e-25, 1.04604e-12, 1.67203e-25, 1.67203e-25, 6.84275e-09, 1.67203e-25, 1.67203e-25, 3.89181e-11, 1.28633e-09, 1.67203e-25, 1.82418e-06, 1.67203e-25, 1.67203e-25
0.503655, 0, 2.64077e-06, 6.33209e-25, 1.41421, -2.64077e-06, 6.33209e-25, 0, 6.33209e-25, 6.33209e-25, 6.33209e-25, 3.75883e-12, 6.33209e-25, 6.33209e-25, 9.96641e-09, 6.33209e-25, 6.33209e-25, 6.52782e-11, 2.16207e-09, 6.33209e-25, 2.62857e-06, 6.33209e-25, 6.33209e-25
0.511712, 0, 3.77639e-06, 2.30056e-24, 1.41421, -3.77639e-06, 2.30056e-24, 0, 2.30056e-24, 2.30056e-24, 2.30056e-24, 1.05877e-11, 2.30056e-24, 2.30056e-24, 1.44232e-08, 2.30056e-24, 2.30056e-24, 1.08971e-10, 3.62295e-09, 2.30056e-24, 3.75823e-06, 2.30056e-24, 2.30056e-24
0.519769, 0, 5.36077e-06, 8.08887e-24, 1.41421, -5.36077e-06, 2.04904e-10, 0, 1.28047e-13, 1.16187e-13, 5.24962e-13, 7.30907e-11, 3.32027e-11, 1.21339e-10, 2.07432e-08, 4.56631e-12, 1.87357e-14, 1.80936e-10, 6.04668e-09, 8.69965e-16, 5.33277e-06, 8.08887e-24, 5.89221e-10
0.527826, 0, 7.56895e-06, 1.53327e-08, 1.41421, -7.56895e-06, 1.60668e-08, 1.53327e-08, 1.53331e-08, 1.53331e-08, 1.53345e-08, 1.55638e-08, 1.54516e-08, 1.57674e-08, 4.49835e-08, 1.5349e-08, 1.53327e-08, 1.56313e-08, 2.53748e-08, 1.53327e-08, 7.52531e-06, 1.53327e-08, 1.74437e-08
0.535883, 0, 1.0624e-05, 5.47753e-08, 1.41421, -1.0624e-05, 5.68389e-08, 5.47753e-08, 5.47766e-08, 5.47765e-08, 5.47806e-08, 5.53958e-08, 5.51097e-08, 5.59973e-08, 9.69059e-08, 5.48213e-08, 5.47755e-08, 5.52653e-08, 7.13556e-08, 5.47753e-08, 1.05545e-05, 5.47753e-08, 6.07093e-08
0.54394, 0, 1.4843e-05, 1.5361e-07, 1.41421, -1.4843e-05, 1.58924e-07, 1.5361e-07, 1.53614e-07, 1.53613e-07, 1.53624e-07, 1.55165e-07, 1.54471e-07, 1.56757e-07, 2.13122e-07, 1.53729e-07, 1.53611e-07, 1.54409e-07, 1.80802e-07, 1.5361e-07, 1.47292e-05, 1.5361e-07, 1.6889e-07
0.551997, 0, 2.06853e-05, 3.94971e-07, 1.41421, -2.06853e-05, 4.08017e-07, 3.94971e-07, 3.94979e-07, 3.94978e-07, 3.95005e-07, 3.9871e-07, 3.97085e-07, 4.02697e-07, 4.78546e-07, 3.95262e-07, 3.94972e-07, 3.96263e-07, 4.39235e-07, 3.94971e-07, 2.04917e-05, 3.94971e-07, 4.32487e-07
0.560054, 0, 2.88474e-05, 9.68834e-07, 1.41421, -2.88474e-05, 9.9979e-07, 9.68834e-07, 9.68853e-07, 9.68852e-07, 9.68913e-07, 9.77637e-07, 9.7385e-07, 9.87165e-07, 1.08553e-06, 9.69524e-07, 9.68837e-07, 9.70908e-07, 1.04038e-06, 9.68834e-07, 2.85042e-05, 9.68834e-07, 1.05785e-06
0.568111, 0, 4.04472e-05, 2.29709e-06, 1.41421, -4.04472e-05, 2.36842e-06, 2.29709e-06, 2.29713e-06, 2.29713e-06, 2.29727e-06, 2.31801e-06, 2.30865e-06, 2.33933e-06, 2.4591e-06, 2.29868e-06, 2.2971e-06, 2.3004e-06, 2.41168e-06, 2.29709e-06, 3.98142e-05, 2.29709e-06, 2.50221e-06
0.576168, 0, 5.73866e-05, 5.28994e-06, 1.41421, -5.73866e-05, 5.44989e-06, 5.28994e-06, 5.29004e-06, 5.29003e-06, 5.29035e-06, 5.34518e-06, 5.31586e-06, 5.38466e-06, 5.5136e-06, 5.2935e-06, 5.28995e-06, 5.29517e-06, 5.47182e-06, 5.28994e-06, 5.61759e-05, 5.28994e-06, 5.74988e-06
0.584225, 0, 8.30237e-05, 1.18546e-05, 1.41421, -8.30237e-05, 1.22038e-05, 1.18546e-05, 1.18548e-05, 1.18548e-05, 1.18555e-05, 1.19869e-05, 1.19112e-05, 1.20614e-05, 1.21616e-05, 1.18623e-05, 1.18546e-05, 1.18628e-05, 1.21406e-05, 1.18546e-05, 8.06639e-05, 1.18546e-05, 1.28589e-05
0.592282, 0, 0.000123469, 2.58716e-05, 1.41421, -0.000123469, 2.66147e-05, 2.58716e-05, 2.58721e-05, 2.5872e-05, 2.58735e-05, 2.6174e-05, 2.5992e-05, 2.63116e-05, 2.62907e-05, 2.58882e-05, 2.58717e-05, 2.58844e-05, 2.63172e-05, 2.58716e-05, 0.00011883, 2.58716e-05, 2.80083e-05
0.600339, 0, 0.000189938, 5.50077e-05, 1.41421, -0.000189938, 5.65481e-05, 5.50077e-05, 5.50086e-05, 5.50085e-05, 5.50116e-05, 5.56776e-05, 5.52573e-05, 5.59199e-05, 5.55766e-05, 5.5042e-05, 5.50078e-05, 5.50274e-05, 5.56955e-05, 5.50077e-05, 0.000180819, 5.50077e-05, 5.94372e-05
0.608396, 0, 0.000302944, 0.000113965, 1.41421, -0.000302944, 0.000117077, 0.000113965, 0.000113967, 0.000113967, 0.000113973, 0.000115417, 0.000114469, 0.000115808, 0.000114733, 0.000114034, 0.000113965, 0.000113995, 0.000115017, 0.000113965, 0.000285152, 0.000113965, 0.000122914
0.616453, 0, 0.000499506, 0.000230105, 1.41421, -0.000499506, 0.000236233, 0.000230105, 0.000230108, 0.000230108, 0.00023012, 0.000233184, 0.000231098, 0.000233734, 0.000231136, 0.000230241, 0.000230105, 0.000230151, 0.0002317, 0.000230105, 0.000465221, 0.000230105, 0.000247727
0.62451, 0, 0.000845152, 0.000452826, 1.41421, -0.000845152, 0.000464589, 0.000452826, 0.000452833, 0.000452832, 0.000452856, 0.000459244, 0.000454732, 0.000459792, 0.000454205, 0.000453088, 0.000452827, 0.000452895, 0.000455225, 0.000452826, 0.000780115, 0.000452826, 0.000486653
0.632567, 0, 0.00145315, 0.000868638, 1.41421, -0.00145315, 0.000890652, 0.000868638, 0.000868652, 0.000868651, 0.000868694, 0.000881785, 0.000872205, 0.000881674, 0.000870473, 0.000869129, 0.00086864, 0.000868743, 0.00087222, 0.000868638, 0.00133198, 0.000868638, 0.000931941
0.640624, 0.983581, 0.0025142, 0.00162439, 1.7273, 0.981067, 0.00166456, 0.00162439, 0.00162442, 0.00162442, 0.0016245, 0.00165085, 0.0016309, 0.00164818, 0.00162682, 0.00162529, 0.0016244, 0.00162455, 0.00162971, 0.00162439, 0.00229282, 0.00162439, 0.0017399
0.648681, 0.0164186, 0.0043403, 0.00296167, 1.42001, 0.0120783, 0.00303314, 0.00296167, 0.00296171, 0.00296171, 0.00296185, 0.00301397, 0.00297325, 0.00300399, 0.00296488, 0.00296326, 0.00296168, 0.0029619, 0.00296951, 0.00296167, 0.00394397, 0.00296167, 0.00316718
