   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_70.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.419534, 0, 4.99158e-12, 2.23626e-40, 1.41421, -4.99158e-12, 0, 2.23626e-40, 2.23626e-40, 2.23626e-40, 2.23626e-40, 2.23626e-40, 2.23626e-40, 2.23626e-40, 2.23626e-40, 2.23626e-40, 2.23626e-40, 5.62128e-14, 2.23626e-40, 2.23626e-40, 8.67818e-17, 1.96055e-15, 2.23626e-40, 4.93332e-12, 2.23626e-40, 2.23626e-40, 2.23626e-40
0.427373, 0, 9.7592e-12, 2.60625e-39, 1.41421, -9.7592e-12, 0, 2.60625e-39, 2.60625e-39, 2.60625e-39, 2.60625e-39, 2.60625e-39, 2.60625e-39, 2.60625e-39, 2.60625e-39, 2.60625e-39, 2.60625e-39, 1.09906e-13, 2.60625e-39, 2.60625e-39, 1.74747e-16, 3.92474e-15, 2.60625e-39, 9.64519e-12, 2.60625e-39, 2.60625e-39, 2.60625e-39
0.435212, 0, 1.88204e-11, 8.09093e-38, 1.41421, -1.88204e-11, 0, 8.09093e-38, 8.09093e-38, 8.09093e-38, 8.09093e-38, 8.09093e-38, 8.09093e-38, 8.09093e-38, 8.09093e-38, 8.09093e-38, 8.09093e-38, 2.11973e-13, 8.09093e-38, 8.09093e-38, 3.49154e-16, 7.76631e-15, 8.09093e-38, 1.86003e-11, 8.09093e-38, 8.09093e-38, 8.09093e-38
0.443051, 0, 3.57756e-11, 7.11104e-37, 1.41421, -3.57756e-11, 0, 7.11104e-37, 7.11104e-37, 7.11104e-37, 7.11104e-37, 7.11104e-37, 7.11104e-37, 7.11104e-37, 7.11104e-37, 7.11104e-37, 7.11104e-37, 4.02998e-13, 7.11104e-37, 7.11104e-37, 6.90001e-16, 1.5165e-14, 7.11104e-37, 3.53567e-11, 7.11104e-37, 7.11104e-37, 7.11104e-37
0.450891, 0, 6.70684e-11, 5.74109e-36, 1.41421, -6.70684e-11, 0, 5.74109e-36, 5.74109e-36, 5.74109e-36, 5.74109e-36, 5.74109e-36, 5.74109e-36, 5.74109e-36, 5.74109e-36, 5.74109e-36, 5.74109e-36, 7.55688e-13, 5.74109e-36, 5.74109e-36, 1.35303e-15, 2.927e-14, 5.74109e-36, 6.6282e-11, 5.74109e-36, 5.74109e-36, 5.74109e-36
0.45873, 0, 1.24011e-10, 4.27856e-35, 1.41421, -1.24011e-10, 0, 4.27856e-35, 4.27856e-35, 4.27856e-35, 4.27856e-35, 4.27856e-35, 4.27856e-35, 4.27856e-35, 4.27856e-35, 4.27856e-35, 4.27856e-35, 1.39782e-12, 4.27856e-35, 4.27856e-35, 2.63587e-15, 5.58797e-14, 4.27856e-35, 1.22555e-10, 4.27856e-35, 4.27856e-35, 4.27856e-35
0.466569, 0, 2.26182e-10, 2.99872e-34, 1.41421, -2.26182e-10, 0, 2.99872e-34, 2.99872e-34, 2.99872e-34, 2.99872e-34, 2.99872e-34, 2.99872e-34, 2.99872e-34, 2.99872e-34, 2.99872e-34, 2.99872e-34, 2.55088e-12, 2.99872e-34, 2.99872e-34, 5.10829e-15, 1.05609e-13, 2.99872e-34, 2.2352e-10, 2.99872e-34, 2.99872e-34, 2.99872e-34
0.474408, 0, 4.06955e-10, 2.05947e-33, 1.41421, -4.06955e-10, 0, 2.05947e-33, 2.05947e-33, 2.05947e-33, 2.05947e-33, 2.05947e-33, 2.05947e-33, 2.05947e-33, 2.05947e-33, 2.05947e-33, 2.05947e-33, 4.59324e-12, 2.05947e-33, 2.05947e-33, 9.86118e-15, 1.97796e-13, 2.05947e-33, 4.02154e-10, 2.05947e-33, 2.05947e-33, 2.05947e-33
0.482247, 0, 7.22389e-10, 1.34505e-32, 1.41421, -7.22389e-10, 0, 1.34505e-32, 1.34505e-32, 1.34505e-32, 1.34505e-32, 1.34505e-32, 1.34505e-32, 1.34505e-32, 1.34505e-32, 1.34505e-32, 1.34505e-32, 8.16224e-12, 1.34505e-32, 1.34505e-32, 1.89853e-14, 3.67573e-13, 1.34505e-32, 7.1384e-10, 1.34505e-32, 1.34505e-32, 1.34505e-32
0.490087, 0, 1.26525e-09, 8.26663e-32, 1.41421, -1.26525e-09, 0, 8.26663e-32, 8.26663e-32, 8.26663e-32, 8.26663e-32, 8.26663e-32, 8.26663e-32, 8.26663e-32, 8.26663e-32, 8.26663e-32, 8.26663e-32, 1.43165e-11, 8.26663e-32, 8.26663e-32, 3.64914e-14, 6.78765e-13, 8.26663e-32, 1.25022e-09, 8.26663e-32, 8.26663e-32, 8.26663e-32
0.497926, 0, 2.18679e-09, 4.77168e-31, 1.41421, -2.18679e-09, 0, 4.77168e-31, 4.77168e-31, 4.77168e-31, 4.77168e-31, 4.77168e-31, 4.77168e-31, 4.77168e-31, 4.77168e-31, 4.77168e-31, 4.77168e-31, 2.47909e-11, 4.77168e-31, 4.77168e-31, 7.00757e-14, 1.24762e-12, 4.77168e-31, 2.16068e-09, 4.77168e-31, 4.77168e-31, 4.77168e-31
