   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_120.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.360025, 0, 4.13821e-09, 2.14448e-34, 1.41421, -4.13821e-09, 2.14448e-34, 0, 2.14448e-34, 2.14448e-34, 2.14448e-34, 2.14448e-34, 2.14448e-34, 2.14448e-34, 2.14448e-34, 2.14448e-34, 2.14448e-34, 2.06851e-11, 2.14448e-34, 3.11889e-13, 1.17877e-10, 2.14448e-34, 3.99933e-09, 2.14448e-34, 2.14448e-34
0.367897, 0, 5.92309e-09, 1.46023e-33, 1.41421, -5.92309e-09, 1.46023e-33, 0, 1.46023e-33, 1.46023e-33, 1.46023e-33, 1.46023e-33, 1.46023e-33, 1.46023e-33, 1.46023e-33, 1.46023e-33, 1.46023e-33, 2.96007e-11, 1.46023e-33, 4.84157e-13, 1.82266e-10, 1.46023e-33, 5.71074e-09, 1.46023e-33, 1.46023e-33
0.37577, 0, 8.43108e-09, 9.51849e-33, 1.41421, -8.43108e-09, 9.51849e-33, 0, 9.51849e-33, 9.51849e-33, 9.51849e-33, 9.51849e-33, 9.51849e-33, 9.51849e-33, 9.51849e-33, 9.51849e-33, 9.51849e-33, 4.21263e-11, 9.51849e-33, 7.51621e-13, 2.81333e-10, 9.51849e-33, 8.10687e-09, 9.51849e-33, 9.51849e-33
0.383642, 0, 1.19359e-08, 5.81618e-32, 1.41421, -1.19359e-08, 5.81618e-32, 0, 5.81618e-32, 5.81618e-32, 5.81618e-32, 5.81618e-32, 5.81618e-32, 5.81618e-32, 5.81618e-32, 5.81618e-32, 5.81618e-32, 5.96275e-11, 5.81618e-32, 1.16696e-12, 4.33526e-10, 5.81618e-32, 1.14416e-08, 5.81618e-32, 5.81618e-32
0.391514, 0, 1.68076e-08, 3.32033e-31, 1.41421, -1.68076e-08, 3.32033e-31, 0, 3.32033e-31, 3.32033e-31, 3.32033e-31, 3.32033e-31, 3.32033e-31, 3.32033e-31, 3.32033e-31, 3.32033e-31, 3.32033e-31, 8.39493e-11, 3.32033e-31, 1.81191e-12, 6.66985e-10, 3.32033e-31, 1.60549e-08, 3.32033e-31, 3.32033e-31
0.399387, 0, 2.35441e-08, 1.77391e-30, 1.41421, -2.35441e-08, 1.77391e-30, 0, 1.77391e-30, 1.77391e-30, 1.77391e-30, 1.77391e-30, 1.77391e-30, 1.77391e-30, 1.77391e-30, 1.77391e-30, 1.77391e-30, 1.17572e-10, 1.77391e-30, 2.81309e-12, 1.02453e-09, 1.77391e-30, 2.23992e-08, 1.77391e-30, 1.77391e-30
0.407259, 0, 3.28123e-08, 8.8949e-30, 1.41421, -3.28123e-08, 8.8949e-30, 0, 8.8949e-30, 8.8949e-30, 8.8949e-30, 8.8949e-30, 8.8949e-30, 8.8949e-30, 8.8949e-30, 8.8949e-30, 8.8949e-30, 1.63812e-10, 8.8949e-30, 4.36623e-12, 1.57116e-09, 8.8949e-30, 3.1073e-08, 8.8949e-30, 8.8949e-30
0.415131, 0, 4.55013e-08, 4.1995e-29, 1.41421, -4.55013e-08, 4.1995e-29, 0, 4.1995e-29, 4.1995e-29, 4.1995e-29, 4.1995e-29, 4.1995e-29, 4.1995e-29, 4.1995e-29, 4.1995e-29, 4.1995e-29, 2.27083e-10, 4.1995e-29, 6.77291e-12, 2.40521e-09, 4.1995e-29, 4.28622e-08, 4.1995e-29, 4.1995e-29
0.423004, 0, 6.27922e-08, 1.87268e-28, 1.41421, -6.27922e-08, 1.87268e-28, 0, 1.87268e-28, 1.87268e-28, 1.87268e-28, 1.87268e-28, 1.87268e-28, 1.87268e-28, 1.87268e-28, 1.87268e-28, 1.87268e-28, 3.1323e-10, 1.87268e-28, 1.04964e-11, 3.67499e-09, 1.87268e-28, 5.87935e-08, 1.87268e-28, 1.87268e-28
0.430876, 0, 8.62475e-08, 7.91068e-28, 1.41421, -8.62475e-08, 7.91068e-28, 0, 7.91068e-28, 7.91068e-28, 7.91068e-28, 7.91068e-28, 7.91068e-28, 7.91068e-28, 7.91068e-28, 7.91068e-28, 7.91068e-28, 4.29957e-10, 7.91068e-28, 1.62455e-11, 5.60314e-09, 7.91068e-28, 8.01982e-08, 7.91068e-28, 7.91068e-28
0.438748, 0, 1.17929e-07, 3.17467e-27, 1.41421, -1.17929e-07, 3.17467e-27, 0, 3.17467e-27, 3.17467e-27, 3.17467e-27, 3.17467e-27, 3.17467e-27, 3.17467e-27, 3.17467e-27, 3.17467e-27, 3.17467e-27, 5.8737e-10, 3.17467e-27, 2.50994e-11, 8.52251e-09, 3.17467e-27, 1.08794e-07, 3.17467e-27, 3.17467e-27
0.446621, 0, 1.60546e-07, 1.2136e-26, 1.41421, -1.60546e-07, 1.2136e-26, 0, 1.2136e-26, 1.2136e-26, 1.2136e-26, 1.2136e-26, 1.2136e-26, 7.53848e-14, 1.2136e-26, 1.2136e-26, 1.2136e-26, 7.98666e-10, 1.2136e-26, 3.86939e-11, 1.2928e-08, 1.2136e-26, 1.4678e-07, 1.2136e-26, 1.2136e-26
0.454493, 0, 2.17652e-07, 4.43047e-26, 1.41421, -2.17652e-07, 4.43047e-26, 0, 4.43047e-26, 4.43047e-26, 4.43047e-26, 4.43047e-26, 4.43047e-26, 2.8449e-13, 4.43047e-26, 4.43047e-26, 4.43047e-26, 1.081e-09, 4.43047e-26, 5.94944e-11, 1.95513e-08, 4.43047e-26, 1.9696e-07, 4.43047e-26, 4.43047e-26
0.462365, 0, 2.93896e-07, 1.55054e-25, 1.41421, -2.93896e-07, 1.55054e-25, 0, 1.55054e-25, 1.55054e-25, 1.55054e-25, 1.55054e-25, 1.55054e-25, 7.33917e-13, 1.55054e-25, 1.55054e-25, 1.55054e-25, 1.45658e-09, 1.55054e-25, 9.11952e-11, 2.94677e-08, 1.55054e-25, 2.6288e-07, 1.55054e-25, 1.55054e-25
0.470238, 0, 3.97415e-07, 5.26655e-25, 1.41421, -3.97415e-07, 2.26878e-12, 0, 1.57633e-14, 8.3948e-14, 3.24336e-12, 3.16936e-13, 6.94513e-14, 7.57075e-12, 1.18159e-11, 3.64859e-12, 1.97321e-09, 1.95406e-09, 1.30203e-13, 1.39299e-10, 4.42467e-08, 1.56528e-15, 3.49053e-07, 5.26655e-25, 1.88369e-11
0.47811, 0, 5.37193e-07, 7.17459e-10, 1.41421, -5.37193e-07, 7.24668e-10, 7.17459e-10, 7.17509e-10, 7.17726e-10, 7.27765e-10, 7.18466e-10, 7.1768e-10, 7.39808e-10, 7.55005e-10, 7.29053e-10, 6.98755e-09, 3.32758e-09, 7.17873e-10, 9.29427e-10, 6.68809e-08, 7.17464e-10, 4.61786e-07, 7.17459e-10, 7.77315e-10
0.485983, 0, 7.26285e-07, 2.26845e-09, 1.41421, -7.26285e-07, 2.28618e-09, 2.26845e-09, 2.26857e-09, 2.2691e-09, 2.2938e-09, 2.27092e-09, 2.26899e-09, 2.32208e-09, 2.36083e-09, 2.29697e-09, 1.76964e-08, 5.74006e-09, 2.26946e-09, 2.58963e-09, 1.00758e-07, 2.26846e-09, 6.08205e-07, 2.26845e-09, 2.41573e-09
0.493855, 0, 9.84394e-07, 5.56513e-09, 1.41421, -9.84394e-07, 5.60486e-09, 5.56513e-09, 5.5654e-09, 5.5666e-09, 5.62193e-09, 5.57068e-09, 5.56634e-09, 5.6837e-09, 5.77207e-09, 5.62903e-09, 4.01239e-08, 1.01632e-08, 5.56741e-09, 6.04956e-09, 1.51459e-07, 5.56515e-09, 7.98032e-07, 5.56513e-09, 5.89503e-09
0.501727, 0, 1.34122e-06, 1.24407e-08, 1.41421, -1.34122e-06, 1.25255e-08, 1.24407e-08, 1.24413e-08, 1.24438e-08, 1.25619e-08, 1.24526e-08, 1.24433e-08, 1.26915e-08, 1.28824e-08, 1.25771e-08, 8.61967e-08, 1.85056e-08, 1.24456e-08, 1.31678e-08, 2.27449e-07, 1.24408e-08, 1.04391e-06, 1.24407e-08, 1.31448e-08
0.5096, 0, 1.84347e-06, 2.65125e-08, 1.41421, -1.84347e-06, 2.66879e-08, 2.65125e-08, 2.65137e-08, 2.6519e-08, 2.67632e-08, 2.6537e-08, 2.65179e-08, 2.70276e-08, 2.7426e-08, 2.67946e-08, 1.79065e-07, 3.44793e-08, 2.65226e-08, 2.75982e-08, 3.41786e-07, 2.65126e-08, 1.36295e-06, 2.65125e-08, 2.79688e-08
0.517472, 0, 2.5663e-06, 5.47737e-08, 1.41421, -2.5663e-06, 5.51278e-08, 5.47737e-08, 5.47762e-08, 5.47868e-08, 5.528e-08, 5.48232e-08, 5.47846e-08, 5.59218e-08, 5.6618e-08, 5.53432e-08, 3.62758e-07, 6.51964e-08, 5.4794e-08, 5.63861e-08, 5.14588e-07, 5.4774e-08, 1.779e-06, 5.47737e-08, 5.77138e-08
