   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_124.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.351132, 0, 5.08725e-09, 1.62658e-34, 1.41421, -5.08725e-09, 1.62658e-34, 0, 1.62658e-34, 1.62658e-34, 1.62658e-34, 1.62658e-34, 1.62658e-34, 1.62658e-34, 1.62658e-34, 3.88981e-11, 9.20342e-14, 4.51198e-10, 1.62658e-34, 4.59706e-09, 1.62658e-34, 1.62658e-34
0.359007, 0, 7.26149e-09, 1.10747e-33, 1.41421, -7.26149e-09, 1.10747e-33, 0, 1.10747e-33, 1.10747e-33, 1.10747e-33, 1.10747e-33, 1.10747e-33, 1.10747e-33, 1.10747e-33, 5.52329e-11, 1.41684e-13, 6.92419e-10, 1.10747e-33, 6.5137e-09, 1.10747e-33, 1.10747e-33
0.366883, 0, 1.03166e-08, 7.26205e-33, 1.41421, -1.03166e-08, 7.26205e-33, 0, 7.26205e-33, 7.26205e-33, 7.26205e-33, 7.26205e-33, 7.26205e-33, 7.26205e-33, 7.26205e-33, 7.80135e-11, 2.1815e-13, 1.06068e-09, 7.26205e-33, 9.1777e-09, 7.26205e-33, 7.26205e-33
0.374758, 0, 1.45912e-08, 4.46939e-32, 1.41421, -1.45912e-08, 4.46939e-32, 0, 4.46939e-32, 4.46939e-32, 4.46939e-32, 4.46939e-32, 4.46939e-32, 4.46939e-32, 4.46939e-32, 1.09617e-10, 3.35949e-13, 1.62203e-09, 4.46939e-32, 1.28593e-08, 4.46939e-32, 4.46939e-32
0.382634, 0, 2.0548e-08, 2.5697e-31, 1.41421, -2.0548e-08, 2.5697e-31, 0, 2.5697e-31, 2.5697e-31, 2.5697e-31, 2.5697e-31, 2.5697e-31, 2.5697e-31, 2.5697e-31, 1.53234e-10, 5.17436e-13, 2.47632e-09, 2.5697e-31, 1.79179e-08, 2.5697e-31, 2.5697e-31
0.39051, 0, 2.88174e-08, 1.38217e-30, 1.41421, -2.88174e-08, 1.38217e-30, 0, 1.38217e-30, 1.38217e-30, 1.38217e-30, 1.38217e-30, 1.38217e-30, 1.38217e-30, 1.38217e-30, 2.13126e-10, 7.96977e-13, 3.77422e-09, 1.38217e-30, 2.48293e-08, 1.38217e-30, 1.38217e-30
0.398385, 0, 4.02575e-08, 6.97418e-30, 1.41421, -4.02575e-08, 6.97418e-30, 0, 6.97418e-30, 6.97418e-30, 6.97418e-30, 6.97418e-30, 6.97418e-30, 6.97418e-30, 6.97418e-30, 2.94957e-10, 1.2273e-12, 5.74251e-09, 6.97418e-30, 3.42188e-08, 6.97418e-30, 6.97418e-30
0.406261, 0, 5.60331e-08, 3.31179e-29, 1.41421, -5.60331e-08, 3.31179e-29, 0, 3.31179e-29, 3.31179e-29, 3.31179e-29, 3.31179e-29, 3.31179e-29, 3.31179e-29, 3.31179e-29, 4.06222e-10, 1.88908e-12, 8.7214e-09, 3.31179e-29, 4.69036e-08, 3.31179e-29, 3.31179e-29
0.414136, 0, 7.77241e-08, 1.48468e-28, 1.41421, -7.77241e-08, 1.48468e-28, 0, 1.48468e-28, 1.48468e-28, 1.48468e-28, 1.48468e-28, 1.48468e-28, 1.48468e-28, 1.48468e-28, 5.56783e-10, 2.90534e-12, 1.32195e-08, 1.48468e-28, 6.39449e-08, 1.48468e-28, 1.48468e-28
0.422012, 0, 1.07471e-07, 6.30256e-28, 1.41421, -1.07471e-07, 6.30256e-28, 0, 6.30256e-28, 6.30256e-28, 6.30256e-28, 6.30256e-28, 6.30256e-28, 6.30256e-28, 6.30256e-28, 7.59571e-10, 4.46298e-12, 1.99941e-08, 6.30256e-28, 8.67129e-08, 6.30256e-28, 6.30256e-28
