   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_379.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.305034, 0, 8.74924e-11, 1.26397e-42, 1.41421, -8.74924e-11, 1.26397e-42, 0, 1.26397e-42, 1.26397e-42, 1.26397e-42, 1.26397e-42, 1.26397e-42, 1.26397e-42, 1.26397e-42, 1.26397e-42, 1.26397e-42, 1.26397e-42, 1.03433e-12, 1.26397e-42, 1.26397e-42, 3.00713e-16, 1.26397e-42, 4.51408e-11, 1.26397e-42, 4.13169e-11, 1.26397e-42, 1.26397e-42
0.312897, 0, 1.38437e-10, 1.85518e-41, 1.41421, -1.38437e-10, 1.85518e-41, 0, 1.85518e-41, 1.85518e-41, 1.85518e-41, 1.85518e-41, 1.85518e-41, 1.85518e-41, 1.85518e-41, 1.85518e-41, 1.85518e-41, 1.85518e-41, 1.59485e-12, 1.85518e-41, 1.85518e-41, 4.83112e-16, 1.85518e-41, 7.31593e-11, 1.85518e-41, 6.36825e-11, 1.85518e-41, 1.85518e-41
0.32076, 0, 2.18019e-10, 2.47524e-40, 1.41421, -2.18019e-10, 2.47524e-40, 0, 2.47524e-40, 2.47524e-40, 2.47524e-40, 2.47524e-40, 2.47524e-40, 2.47524e-40, 2.47524e-40, 2.47524e-40, 2.47524e-40, 2.47524e-40, 2.44253e-12, 2.47524e-40, 2.47524e-40, 7.73501e-16, 2.47524e-40, 1.18092e-10, 2.47524e-40, 9.74834e-11, 2.47524e-40, 2.47524e-40
0.328624, 0, 3.41837e-10, 2.97019e-39, 1.41421, -3.41837e-10, 2.97019e-39, 0, 2.97019e-39, 2.97019e-39, 2.97019e-39, 2.97019e-39, 2.97019e-39, 2.97019e-39, 2.97019e-39, 2.97019e-39, 2.97019e-39, 2.97019e-39, 3.71569e-12, 2.97019e-39, 2.97019e-39, 1.23478e-15, 2.97019e-39, 1.89911e-10, 2.97019e-39, 1.48209e-10, 2.97019e-39, 2.97019e-39
0.336487, 0, 5.33774e-10, 3.21832e-38, 1.41421, -5.33774e-10, 3.21832e-38, 0, 3.21832e-38, 3.21832e-38, 3.21832e-38, 3.21832e-38, 3.21832e-38, 3.21832e-38, 3.21832e-38, 3.21832e-38, 3.21832e-38, 3.21832e-38, 5.61485e-12, 3.21832e-38, 3.21832e-38, 1.96622e-15, 3.21832e-38, 3.04354e-10, 3.21832e-38, 2.23804e-10, 3.21832e-38, 3.21832e-38
0.34435, 0, 8.30345e-10, 3.15658e-37, 1.41421, -8.30345e-10, 3.15658e-37, 0, 3.15658e-37, 3.15658e-37, 3.15658e-37, 3.15658e-37, 3.15658e-37, 3.15658e-37, 3.15658e-37, 3.15658e-37, 3.15658e-37, 3.15658e-37, 8.42879e-12, 3.15658e-37, 3.15658e-37, 3.12467e-15, 3.15658e-37, 4.86234e-10, 3.15658e-37, 3.35679e-10, 3.15658e-37, 3.15658e-37
0.352213, 0, 1.28729e-09, 2.82065e-36, 1.41421, -1.28729e-09, 2.82065e-36, 0, 2.82065e-36, 2.82065e-36, 2.82065e-36, 2.82065e-36, 2.82065e-36, 2.82065e-36, 2.82065e-36, 2.82065e-36, 2.82065e-36, 2.82065e-36, 1.25702e-11, 2.82065e-36, 2.82065e-36, 4.95796e-15, 2.82065e-36, 7.74608e-10, 2.82065e-36, 5.00103e-10, 2.82065e-36, 2.82065e-36
0.360076, 0, 1.98963e-09, 2.30846e-35, 1.41421, -1.98963e-09, 2.30846e-35, 0, 2.30846e-35, 2.30846e-35, 2.30846e-35, 2.30846e-35, 2.30846e-35, 2.30846e-35, 2.30846e-35, 2.30846e-35, 2.30846e-35, 2.30846e-35, 1.86253e-11, 2.30846e-35, 2.30846e-35, 7.85819e-15, 2.30846e-35, 1.2309e-09, 2.30846e-35, 7.40103e-10, 2.30846e-35, 2.30846e-35
0.367939, 0, 3.06706e-09, 1.7373e-34, 1.41421, -3.06706e-09, 1.7373e-34, 0, 1.7373e-34, 1.7373e-34, 1.7373e-34, 1.7373e-34, 1.7373e-34, 1.7373e-34, 1.7373e-34, 1.7373e-34, 1.7373e-34, 1.7373e-34, 2.74206e-11, 1.7373e-34, 1.7373e-34, 1.24462e-14, 1.7373e-34, 1.9516e-09, 1.7373e-34, 1.08802e-09, 1.7373e-34, 1.7373e-34
0.375803, 0, 4.72124e-09, 3.50441e-33, 1.41421, -4.72124e-09, 3.50441e-33, 0, 3.50441e-33, 3.50441e-33, 3.50441e-33, 3.50441e-33, 3.50441e-33, 3.50441e-33, 3.50441e-33, 3.50441e-33, 3.50441e-33, 3.50441e-33, 4.0116e-11, 3.50441e-33, 3.50441e-33, 1.97363e-14, 3.50441e-33, 3.09207e-09, 3.50441e-33, 1.58903e-09, 3.50441e-33, 3.50441e-33
