   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_126.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.399134, 0, 2.7994e-08, 2.16472e-30, 1.41421, -2.7994e-08, 2.16472e-30, 0, 2.16472e-30, 2.16472e-30, 2.16472e-30, 2.16472e-30, 2.16472e-30, 2.16472e-30, 2.16472e-30, 2.16472e-30, 1.6041e-10, 2.16472e-30, 2.16472e-30, 2.13006e-12, 4.66226e-09, 2.16472e-30, 2.31692e-08, 2.16472e-30, 2.16472e-30
0.407008, 0, 3.94158e-08, 1.0884e-29, 1.41421, -3.94158e-08, 1.0884e-29, 0, 1.0884e-29, 1.0884e-29, 1.0884e-29, 1.0884e-29, 1.0884e-29, 1.0884e-29, 1.0884e-29, 1.0884e-29, 2.22899e-10, 1.0884e-29, 1.0884e-29, 3.30178e-12, 7.13569e-09, 1.0884e-29, 3.20539e-08, 1.0884e-29, 1.0884e-29
0.414883, 0, 5.53114e-08, 5.15151e-29, 1.41421, -5.53114e-08, 5.15151e-29, 0, 5.15151e-29, 5.15151e-29, 5.15151e-29, 5.15151e-29, 5.15151e-29, 5.15151e-29, 5.15151e-29, 5.15151e-29, 3.08171e-10, 5.15151e-29, 5.15151e-29, 5.11476e-12, 1.09013e-08, 5.15151e-29, 4.40967e-08, 5.15151e-29, 5.15151e-29
0.422757, 0, 7.73794e-08, 2.3026e-28, 1.41421, -7.73794e-08, 2.3026e-28, 0, 2.3026e-28, 2.3026e-28, 2.3026e-28, 2.3026e-28, 2.3026e-28, 2.3026e-28, 2.3026e-28, 2.3026e-28, 4.23962e-10, 2.3026e-28, 2.3026e-28, 7.91533e-12, 1.6621e-08, 2.3026e-28, 6.03265e-08, 2.3026e-28, 2.3026e-28
0.430632, 0, 1.07952e-07, 9.7487e-28, 1.41421, -1.07952e-07, 9.7487e-28, 0, 9.7487e-28, 9.7487e-28, 9.7487e-28, 9.7487e-28, 9.7487e-28, 9.7487e-28, 9.7487e-28, 9.7487e-28, 5.80438e-10, 9.7487e-28, 9.7487e-28, 1.22321e-11, 2.52852e-08, 9.7487e-28, 8.20743e-08, 9.7487e-28, 9.7487e-28
0.438506, 0, 1.50231e-07, 3.92046e-27, 1.41421, -1.50231e-07, 3.92046e-27, 0, 3.92046e-27, 3.92046e-27, 3.92046e-27, 3.92046e-27, 3.92046e-27, 3.92046e-27, 3.92046e-27, 3.92046e-27, 7.90897e-10, 3.92046e-27, 3.92046e-27, 1.88684e-11, 3.837e-08, 3.92046e-27, 1.11052e-07, 3.92046e-27, 3.92046e-27
0.446381, 0, 2.08622e-07, 2.55474e-26, 1.41421, -2.08622e-07, 2.55474e-26, 0, 2.55474e-26, 2.55474e-26, 2.55474e-26, 2.55474e-26, 1.0955e-13, 2.55474e-26, 2.55474e-26, 2.55474e-26, 1.07267e-09, 2.55474e-26, 2.55474e-26, 2.90507e-11, 5.80744e-08, 2.55474e-26, 1.49446e-07, 2.55474e-26, 2.55474e-26
0.454255, 0, 2.8913e-07, 8.97643e-26, 1.41421, -2.8913e-07, 8.97643e-26, 0, 8.97643e-26, 8.97643e-26, 8.97643e-26, 8.97643e-26, 2.85463e-13, 8.97643e-26, 8.97643e-26, 8.97643e-26, 1.44819e-09, 8.97643e-26, 8.97643e-26, 4.45844e-11, 8.76026e-08, 8.97643e-26, 2.00035e-07, 8.97643e-26, 8.97643e-26
0.46213, 0, 4.00794e-07, 3.06066e-25, 1.41421, -4.00794e-07, 3.39795e-12, 0, 9.42987e-15, 2.76663e-14, 6.89783e-12, 5.09364e-14, 2.9236e-12, 4.08861e-12, 4.41668e-13, 7.17344e-10, 1.94648e-09, 2.26708e-13, 1.243e-14, 6.82085e-11, 1.31685e-07, 1.18981e-15, 2.66351e-07, 3.06066e-25, 8.08704e-12
0.470004, 0, 5.55552e-07, 4.70686e-10, 1.41421, -5.55552e-07, 4.81585e-10, 4.70686e-10, 4.70717e-10, 4.70775e-10, 4.9281e-10, 4.7085e-10, 4.79389e-10, 4.838e-10, 4.72103e-10, 2.77151e-09, 3.07544e-09, 4.71413e-10, 4.70726e-10, 5.7467e-10, 1.97659e-07, 4.7069e-10, 3.53271e-07, 4.70686e-10, 4.96625e-10
0.477879, 0, 7.70002e-07, 1.50568e-09, 1.41421, -7.70002e-07, 1.53277e-09, 1.50568e-09, 1.50575e-09, 1.5059e-09, 1.56068e-09, 1.50609e-09, 1.52677e-09, 1.53828e-09, 1.5092e-09, 7.2258e-09, 4.97633e-09, 1.50749e-09, 1.50578e-09, 1.66358e-09, 2.95535e-07, 1.50569e-09, 4.66417e-07, 1.50568e-09, 1.57017e-09
0.485753, 0, 1.06804e-06, 3.73527e-09, 1.41421, -1.06804e-06, 3.79664e-09, 3.73527e-09, 3.73544e-09, 3.73577e-09, 3.85985e-09, 3.73619e-09, 3.78242e-09, 3.80911e-09, 3.74325e-09, 1.6691e-08, 8.34007e-09, 3.73936e-09, 3.73549e-09, 3.974e-09, 4.40154e-07, 3.73529e-09, 6.13352e-07, 3.73527e-09, 3.88133e-09
0.493627, 0, 1.48394e-06, 8.44557e-09, 1.41421, -1.48394e-06, 8.57807e-09, 8.44557e-09, 8.44594e-09, 8.44665e-09, 8.71454e-09, 8.44756e-09, 8.54646e-09, 8.605e-09, 8.46279e-09, 3.64175e-08, 1.45296e-08, 8.45441e-09, 8.44606e-09, 8.80484e-09, 6.53057e-07, 8.44562e-09, 8.03906e-07, 8.44557e-09, 8.76092e-09
0.501502, 0, 2.06791e-06, 1.82065e-08, 1.41421, -2.06791e-06, 1.84838e-08, 1.82065e-08, 1.82072e-08, 1.82087e-08, 1.87694e-08, 1.82106e-08, 1.84161e-08, 1.85401e-08, 1.82425e-08, 7.67524e-08, 2.62118e-08, 1.8225e-08, 1.82075e-08, 1.87445e-08, 9.65634e-07, 1.82066e-08, 1.05128e-06, 1.82065e-08, 1.88665e-08
0.509376, 0, 2.89431e-06, 3.80596e-08, 1.41421, -2.89431e-06, 3.86263e-08, 3.80596e-08, 3.80612e-08, 3.80643e-08, 3.921e-08, 3.80681e-08, 3.85298e-08, 3.87415e-08, 3.81333e-08, 1.57693e-07, 4.855e-08, 3.80975e-08, 3.80617e-08, 3.88611e-08, 1.42336e-06, 3.80598e-08, 1.37374e-06, 3.80596e-08, 3.94083e-08
0.517251, 0, 4.07383e-06, 7.7688e-08, 1.41421, -4.07383e-06, 7.88221e-08, 7.7688e-08, 7.76912e-08, 7.76973e-08, 7.99902e-08, 7.7705e-08, 7.8812e-08, 7.90526e-08, 7.78354e-08, 3.17102e-07, 9.13793e-08, 7.77637e-08, 7.76922e-08, 7.88755e-08, 2.09088e-06, 7.76884e-08, 1.79746e-06, 7.7688e-08, 8.03871e-08
0.525125, 0, 5.77722e-06, 1.5532e-07, 1.41421, -5.77722e-06, 1.57546e-07, 1.5532e-07, 1.55327e-07, 1.55338e-07, 1.59839e-07, 1.55354e-07, 1.58096e-07, 1.57999e-07, 1.5561e-07, 6.25246e-07, 1.73117e-07, 1.55469e-07, 1.55328e-07, 1.5707e-07, 3.06367e-06, 1.55321e-07, 2.36139e-06, 1.5532e-07, 1.60618e-07
0.533, 0, 8.26815e-06, 3.0459e-07, 1.41421, -8.26815e-06, 3.08878e-07, 3.0459e-07, 3.04602e-07, 3.04625e-07, 3.13295e-07, 3.04654e-07, 3.10712e-07, 3.0975e-07, 3.05147e-07, 1.20993e-06, 3.27632e-07, 3.04876e-07, 3.04606e-07, 3.07154e-07, 4.48069e-06, 3.04591e-07, 3.12564e-06, 3.0459e-07, 3.14796e-07
0.540874, 0, 1.19593e-05, 5.86301e-07, 1.41421, -1.19593e-05, 5.94413e-07, 5.86301e-07, 5.86323e-07, 5.86367e-07, 6.02769e-07, 5.86422e-07, 5.99067e-07, 5.96062e-07, 5.87355e-07, 2.29894e-06, 6.16016e-07, 5.86842e-07, 5.8633e-07, 5.90036e-07, 6.54597e-06, 5.86304e-07, 4.18532e-06, 5.86301e-07, 6.05608e-07
0.548749, 0, 1.75004e-05, 1.10815e-06, 1.41421, -1.75004e-05, 1.12323e-06, 1.10815e-06, 1.1082e-06, 1.10828e-06, 1.13875e-06, 1.10838e-06, 1.13396e-06, 1.12629e-06, 1.11011e-06, 4.29005e-06, 1.14633e-06, 1.10916e-06, 1.10821e-06, 1.11356e-06, 9.56067e-06, 1.10816e-06, 5.69354e-06, 1.10815e-06, 1.14403e-06
0.556623, 0, 2.5916e-05, 2.05709e-06, 1.41421, -2.5916e-05, 2.0846e-06, 2.05709e-06, 2.05717e-06, 2.05732e-06, 2.11293e-06, 2.0575e-06, 2.10761e-06, 2.09019e-06, 2.06067e-06, 7.86396e-06, 2.10594e-06, 2.05893e-06, 2.05719e-06, 2.06488e-06, 1.39719e-05, 2.0571e-06, 7.89906e-06, 2.05709e-06, 2.12256e-06
0.564498, 0, 3.8819e-05, 3.75092e-06, 1.41421, -3.8819e-05, 3.80024e-06, 3.75092e-06, 3.75106e-06, 3.75133e-06, 3.85103e-06, 3.75166e-06, 3.84847e-06, 3.81026e-06, 3.75733e-06, 1.41616e-05, 3.8132e-06, 3.75421e-06, 3.7511e-06, 3.76207e-06, 2.04454e-05, 3.75094e-06, 1.12056e-05, 3.75092e-06, 3.86829e-06
0.572372, 0, 5.87333e-05, 6.71902e-06, 1.41421, -5.87333e-05, 6.80589e-06, 6.71902e-06, 6.71926e-06, 6.71973e-06, 6.89535e-06, 6.72032e-06, 6.90469e-06, 6.82354e-06, 6.73031e-06, 2.50569e-05, 6.79812e-06, 6.72482e-06, 6.71934e-06, 6.73488e-06, 2.99751e-05, 6.71905e-06, 1.62646e-05, 6.71902e-06, 6.92576e-06
