   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_533.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.25649, 0, 7.44083e-09, 1.55318e-37, 1.41421, -7.44083e-09, 0, 1.55318e-37, 1.55318e-37, 1.55318e-37, 1.55318e-37, 1.55318e-37, 1.55318e-37, 1.55318e-37, 1.55318e-37, 1.55318e-37, 1.55318e-37, 1.55318e-37, 2.44156e-11, 1.55318e-37, 1.55318e-37, 3.82485e-11, 1.55318e-37, 1.35105e-09, 1.55318e-37, 6.02711e-09, 1.55318e-37, 1.55318e-37, 1.55318e-37
0.264362, 0, 1.01262e-08, 1.37747e-36, 1.41421, -1.01262e-08, 0, 1.37747e-36, 1.37747e-36, 1.37747e-36, 1.37747e-36, 1.37747e-36, 1.37747e-36, 1.37747e-36, 1.37747e-36, 1.37747e-36, 1.37747e-36, 1.37747e-36, 3.28864e-11, 1.37747e-36, 1.37747e-36, 5.52453e-11, 1.37747e-36, 1.93128e-09, 1.37747e-36, 8.10676e-09, 1.37747e-36, 1.37747e-36, 1.37747e-36
0.272234, 0, 1.3741e-08, 1.1164e-35, 1.41421, -1.3741e-08, 0, 1.1164e-35, 1.1164e-35, 1.1164e-35, 1.1164e-35, 1.1164e-35, 1.1164e-35, 1.1164e-35, 1.1164e-35, 1.1164e-35, 1.1164e-35, 1.1164e-35, 4.41334e-11, 1.1164e-35, 1.1164e-35, 7.98264e-11, 1.1164e-35, 2.75511e-09, 1.1164e-35, 1.0862e-08, 1.1164e-35, 1.1164e-35, 1.1164e-35
0.280106, 0, 1.85947e-08, 8.30935e-35, 1.41421, -1.85947e-08, 0, 8.30935e-35, 8.30935e-35, 8.30935e-35, 8.30935e-35, 8.30935e-35, 8.30935e-35, 8.30935e-35, 8.30935e-35, 8.30935e-35, 8.30935e-35, 8.30935e-35, 5.90116e-11, 8.30935e-35, 8.30935e-35, 1.15394e-10, 8.30935e-35, 3.92266e-09, 8.30935e-35, 1.44977e-08, 8.30935e-35, 8.30935e-35, 8.30935e-35
0.287978, 0, 2.50961e-08, 5.62916e-34, 1.41421, -2.50961e-08, 0, 5.62916e-34, 5.62916e-34, 5.62916e-34, 5.62916e-34, 5.62916e-34, 5.62916e-34, 5.62916e-34, 5.62916e-34, 5.62916e-34, 5.62916e-34, 5.62916e-34, 7.86214e-11, 5.62916e-34, 5.62916e-34, 1.6688e-10, 5.62916e-34, 5.57436e-09, 5.62916e-34, 1.92763e-08, 5.62916e-34, 5.62916e-34, 5.62916e-34
0.295849, 0, 3.3785e-08, 3.76356e-33, 1.41421, -3.3785e-08, 0, 3.76356e-33, 3.76356e-33, 3.76356e-33, 3.76356e-33, 3.76356e-33, 3.76356e-33, 3.76356e-33, 3.76356e-33, 3.76356e-33, 3.76356e-33, 3.76356e-33, 1.04375e-10, 3.76356e-33, 3.76356e-33, 2.41424e-10, 3.76356e-33, 7.9068e-09, 3.76356e-33, 2.55324e-08, 3.76356e-33, 3.76356e-33, 3.76356e-33
0.303721, 0, 4.53731e-08, 2.29232e-32, 1.41421, -4.53731e-08, 0, 2.29232e-32, 2.29232e-32, 2.29232e-32, 2.29232e-32, 2.29232e-32, 2.29232e-32, 2.29232e-32, 2.29232e-32, 2.29232e-32, 2.29232e-32, 2.29232e-32, 1.38076e-10, 2.29232e-32, 2.29232e-32, 3.49354e-10, 2.29232e-32, 1.11947e-08, 2.29232e-32, 3.36909e-08, 2.29232e-32, 2.29232e-32, 2.29232e-32
0.311593, 0, 6.07977e-08, 1.31032e-31, 1.41421, -6.07977e-08, 0, 1.31032e-31, 1.31032e-31, 1.31032e-31, 1.31032e-31, 1.31032e-31, 1.31032e-31, 1.31032e-31, 1.31032e-31, 1.31032e-31, 1.31032e-31, 1.31032e-31, 1.82025e-10, 1.31032e-31, 1.31032e-31, 5.05591e-10, 1.31032e-31, 1.58213e-08, 1.31032e-31, 4.42888e-08, 1.31032e-31, 1.31032e-31, 1.31032e-31
0.319465, 0, 8.12923e-08, 7.20832e-31, 1.41421, -8.12923e-08, 0, 7.20832e-31, 7.20832e-31, 7.20832e-31, 7.20832e-31, 7.20832e-31, 7.20832e-31, 7.20832e-31, 7.20832e-31, 7.20832e-31, 7.20832e-31, 7.20832e-31, 2.39138e-10, 7.20832e-31, 7.20832e-31, 7.31639e-10, 7.20832e-31, 2.23195e-08, 7.20832e-31, 5.8002e-08, 7.20832e-31, 7.20832e-31, 7.20832e-31
0.327337, 0, 1.08479e-07, 3.73879e-30, 1.41421, -1.08479e-07, 0, 3.73879e-30, 3.73879e-30, 3.73879e-30, 3.73879e-30, 3.73879e-30, 3.73879e-30, 3.73879e-30, 3.73879e-30, 3.73879e-30, 3.73879e-30, 3.73879e-30, 3.13108e-10, 3.73879e-30, 3.73879e-30, 1.05844e-09, 3.73879e-30, 3.14292e-08, 3.73879e-30, 7.56781e-08, 3.73879e-30, 3.73879e-30, 3.73879e-30
