   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_78.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.487801, 0, 5.58181e-07, 4.82865e-09, 1.41421, -5.58181e-07, 4.84052e-09, 4.82865e-09, 4.82875e-09, 4.82921e-09, 4.82888e-09, 4.82961e-09, 4.88292e-09, 4.83064e-09, 4.83289e-09, 4.88874e-09, 4.90592e-09, 4.87006e-09, 1.99259e-08, 7.71364e-09, 4.82902e-09, 5.12689e-09, 5.89322e-09, 4.82867e-09, 5.3845e-07, 4.82865e-09, 4.96174e-09
0.495666, 0, 7.50872e-07, 1.08476e-08, 1.41421, -7.50872e-07, 1.08743e-08, 1.08476e-08, 1.08479e-08, 1.08489e-08, 1.08482e-08, 1.08498e-08, 1.09697e-08, 1.08521e-08, 1.08572e-08, 1.09804e-08, 1.10214e-08, 1.09408e-08, 4.47997e-08, 1.46768e-08, 1.08485e-08, 1.12978e-08, 1.24272e-08, 1.08477e-08, 7.10194e-07, 1.08476e-08, 1.11469e-08
0.503532, 0, 1.01805e-06, 2.32348e-08, 1.41421, -1.01805e-06, 2.3292e-08, 2.32348e-08, 2.32353e-08, 2.32375e-08, 2.32359e-08, 2.32395e-08, 2.34964e-08, 2.32444e-08, 2.32553e-08, 2.35157e-08, 2.36073e-08, 2.34345e-08, 9.601e-08, 2.8296e-08, 2.32366e-08, 2.3911e-08, 2.55662e-08, 2.32349e-08, 9.35352e-07, 2.32348e-08, 2.38763e-08
0.511397, 0, 1.39855e-06, 4.82516e-08, 1.41421, -1.39855e-06, 4.83705e-08, 4.82516e-08, 4.82526e-08, 4.82573e-08, 4.82539e-08, 4.82613e-08, 4.87952e-08, 4.82716e-08, 4.82941e-08, 4.88294e-08, 4.90256e-08, 4.86664e-08, 1.99463e-07, 5.49139e-08, 4.82554e-08, 4.92624e-08, 5.16764e-08, 4.82518e-08, 1.23239e-06, 4.82516e-08, 4.95846e-08
0.519263, 0, 1.95835e-06, 9.78304e-08, 1.41421, -1.95835e-06, 9.80716e-08, 9.78304e-08, 9.78323e-08, 9.78418e-08, 9.7835e-08, 9.785e-08, 9.89329e-08, 9.78709e-08, 9.79165e-08, 9.9112e-08, 9.94003e-08, 9.86718e-08, 4.04548e-07, 1.06564e-07, 9.78379e-08, 9.93331e-08, 1.0283e-07, 9.78308e-08, 1.62848e-06, 9.78304e-08, 1.00534e-07
0.527129, 0, 2.81188e-06, 1.94266e-07, 1.41421, -2.81188e-06, 1.94745e-07, 1.94266e-07, 1.94269e-07, 1.94288e-07, 1.94275e-07, 1.94305e-07, 1.96456e-07, 1.94346e-07, 1.94437e-07, 1.97768e-07, 1.97384e-07, 1.95937e-07, 8.03547e-07, 2.05669e-07, 1.94281e-07, 1.96488e-07, 2.0152e-07, 1.94266e-07, 2.16504e-06, 1.94266e-07, 1.99637e-07
0.534994, 0, 4.15679e-06, 3.78357e-07, 1.41421, -4.15679e-06, 3.79291e-07, 3.78357e-07, 3.78365e-07, 3.78402e-07, 3.78375e-07, 3.78433e-07, 3.82624e-07, 3.78514e-07, 3.78691e-07, 3.8668e-07, 3.84433e-07, 3.81614e-07, 1.5654e-06, 3.93187e-07, 3.78386e-07, 3.81624e-07, 3.88818e-07, 3.78359e-07, 2.90721e-06, 3.78357e-07, 3.88821e-07
0.54286, 0, 6.33553e-06, 7.23278e-07, 1.41421, -6.33553e-06, 7.25063e-07, 7.23278e-07, 7.23293e-07, 7.23363e-07, 7.23313e-07, 7.23424e-07, 7.31438e-07, 7.23578e-07, 7.23916e-07, 7.41311e-07, 7.34897e-07, 7.29505e-07, 2.99316e-06, 7.42487e-07, 7.23334e-07, 7.28058e-07, 7.38268e-07, 7.23281e-07, 3.95956e-06, 7.23278e-07, 7.43288e-07
0.550725, 0, 9.9362e-06, 1.35756e-06, 1.41421, -9.9362e-06, 1.36091e-06, 1.35756e-06, 1.35759e-06, 1.35772e-06, 1.35762e-06, 1.35783e-06, 1.37288e-06, 1.35812e-06, 1.35876e-06, 1.39478e-06, 1.37937e-06, 1.36925e-06, 5.61932e-06, 1.38234e-06, 1.35766e-06, 1.36451e-06, 1.37891e-06, 1.35756e-06, 5.492e-06, 1.35756e-06, 1.39513e-06
0.558591, 0, 1.59564e-05, 2.50241e-06, 1.41421, -1.59564e-05, 2.50859e-06, 2.50241e-06, 2.50246e-06, 2.50271e-06, 2.50253e-06, 2.50291e-06, 2.53066e-06, 2.50345e-06, 2.50462e-06, 2.57708e-06, 2.54263e-06, 2.52397e-06, 1.03606e-05, 2.53426e-06, 2.5026e-06, 2.51245e-06, 2.53262e-06, 2.50242e-06, 7.78153e-06, 2.50241e-06, 2.57168e-06
0.566457, 0, 2.60612e-05, 4.53067e-06, 1.41421, -2.60612e-05, 4.54186e-06, 4.53067e-06, 4.53076e-06, 4.53121e-06, 4.53089e-06, 4.53158e-06, 4.58183e-06, 4.53255e-06, 4.53467e-06, 4.6762e-06, 4.60352e-06, 4.56972e-06, 1.87627e-05, 4.57145e-06, 4.53102e-06, 4.54511e-06, 4.57316e-06, 4.53069e-06, 1.12782e-05, 4.53067e-06, 4.65613e-06
0.574322, 0, 4.29859e-05, 8.05775e-06, 1.41421, -4.29859e-05, 8.07766e-06, 8.05775e-06, 8.05791e-06, 8.0587e-06, 8.05814e-06, 8.05937e-06, 8.14877e-06, 8.06109e-06, 8.06486e-06, 8.33734e-06, 8.18735e-06, 8.12721e-06, 3.33779e-05, 8.10977e-06, 8.05838e-06, 8.07838e-06, 8.11717e-06, 8.05778e-06, 1.67068e-05, 8.05775e-06, 8.28096e-06
