   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_24.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.259071, 0, 1.83849e-10, 0, 1.41421, -1.83849e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96363e-12, 0, 0, 9.84076e-15, 0, 5.5987e-13, 0, 1.81315e-10, 0, 0
0.266931, 0, 2.80191e-10, 0, 1.41421, -2.80191e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99361e-12, 0, 0, 1.55157e-14, 0, 8.91399e-13, 0, 2.76291e-10, 0, 0
0.274791, 0, 4.24497e-10, 1.17709e-43, 1.41421, -4.24497e-10, 1.17709e-43, 0, 1.17709e-43, 1.17709e-43, 1.17709e-43, 1.17709e-43, 1.17709e-43, 1.17709e-43, 1.17709e-43, 1.17709e-43, 1.17709e-43, 1.17709e-43, 1.17709e-43, 4.53729e-12, 1.17709e-43, 1.17709e-43, 2.43752e-14, 1.17709e-43, 1.41352e-12, 1.17709e-43, 4.18522e-10, 1.17709e-43, 1.17709e-43
0.282651, 0, 6.3934e-10, 2.18603e-42, 1.41421, -6.3934e-10, 2.18603e-42, 0, 2.18603e-42, 2.18603e-42, 2.18603e-42, 2.18603e-42, 2.18603e-42, 2.18603e-42, 2.18603e-42, 2.18603e-42, 2.18603e-42, 2.18603e-42, 2.18603e-42, 6.83723e-12, 2.18603e-42, 2.18603e-42, 3.81674e-14, 2.18603e-42, 2.23281e-12, 2.18603e-42, 6.30232e-10, 2.18603e-42, 2.18603e-42
0.29051, 0, 9.57273e-10, 3.25339e-41, 1.41421, -9.57273e-10, 3.25339e-41, 0, 3.25339e-41, 3.25339e-41, 3.25339e-41, 3.25339e-41, 3.25339e-41, 3.25339e-41, 3.25339e-41, 3.25339e-41, 3.25339e-41, 3.25339e-41, 3.25339e-41, 1.02439e-11, 3.25339e-41, 3.25339e-41, 5.95877e-14, 3.25339e-41, 3.51395e-12, 3.25339e-41, 9.43456e-10, 3.25339e-41, 3.25339e-41
0.29837, 0, 1.42494e-09, 4.27898e-40, 1.41421, -1.42494e-09, 4.27898e-40, 0, 4.27898e-40, 4.27898e-40, 4.27898e-40, 4.27898e-40, 4.27898e-40, 4.27898e-40, 4.27898e-40, 4.27898e-40, 4.27898e-40, 4.27898e-40, 4.27898e-40, 1.52605e-11, 4.27898e-40, 4.27898e-40, 9.27884e-14, 4.27898e-40, 5.51077e-12, 4.27898e-40, 1.40407e-09, 4.27898e-40, 4.27898e-40
0.30623, 0, 2.10874e-09, 5.03375e-39, 1.41421, -2.10874e-09, 5.03375e-39, 0, 5.03375e-39, 5.03375e-39, 5.03375e-39, 5.03375e-39, 5.03375e-39, 5.03375e-39, 5.03375e-39, 5.03375e-39, 5.03375e-39, 5.03375e-39, 5.03375e-39, 2.26057e-11, 5.03375e-39, 5.03375e-39, 1.44169e-13, 5.03375e-39, 8.61373e-12, 5.03375e-39, 2.07738e-09, 5.03375e-39, 5.03375e-39
0.31409, 0, 3.10262e-09, 5.33719e-38, 1.41421, -3.10262e-09, 5.33719e-38, 0, 5.33719e-38, 5.33719e-38, 5.33719e-38, 5.33719e-38, 5.33719e-38, 5.33719e-38, 5.33719e-38, 5.33719e-38, 5.33719e-38, 5.33719e-38, 5.33719e-38, 3.32989e-11, 5.33719e-38, 5.33719e-38, 2.23592e-13, 5.33719e-38, 1.3422e-11, 5.33719e-38, 3.05568e-09, 5.33719e-38, 5.33719e-38
0.32195, 0, 4.53863e-09, 5.12661e-37, 1.41421, -4.53863e-09, 5.12661e-37, 0, 5.12661e-37, 5.12661e-37, 5.12661e-37, 5.12661e-37, 5.12661e-37, 5.12661e-37, 5.12661e-37, 5.12661e-37, 5.12661e-37, 5.12661e-37, 5.12661e-37, 4.87791e-11, 5.12661e-37, 5.12661e-37, 3.4627e-13, 5.12661e-37, 2.08537e-11, 5.12661e-37, 4.46865e-09, 5.12661e-37, 5.12661e-37
0.32981, 0, 6.60122e-09, 4.48561e-36, 1.41421, -6.60122e-09, 4.48561e-36, 0, 4.48561e-36, 4.48561e-36, 4.48561e-36, 4.48561e-36, 4.48561e-36, 4.48561e-36, 4.48561e-36, 4.48561e-36, 4.48561e-36, 4.48561e-36, 4.48561e-36, 7.10653e-11, 4.48561e-36, 4.48561e-36, 5.35684e-13, 4.48561e-36, 3.23129e-11, 4.48561e-36, 6.4973e-09, 4.48561e-36, 4.48561e-36
0.337669, 0, 9.54638e-09, 3.59287e-35, 1.41421, -9.54638e-09, 3.59287e-35, 0, 3.59287e-35, 3.59287e-35, 3.59287e-35, 3.59287e-35, 3.59287e-35, 3.59287e-35, 3.59287e-35, 3.59287e-35, 3.59287e-35, 3.59287e-35, 3.59287e-35, 1.02975e-10, 3.59287e-35, 3.59287e-35, 8.28111e-13, 3.59287e-35, 4.99446e-11, 3.59287e-35, 9.39264e-09, 3.59287e-35, 3.59287e-35
0.345529, 0, 1.37273e-08, 2.64755e-34, 1.41421, -1.37273e-08, 2.64755e-34, 0, 2.64755e-34, 2.64755e-34, 2.64755e-34, 2.64755e-34, 2.64755e-34, 2.64755e-34, 2.64755e-34, 2.64755e-34, 2.64755e-34, 2.64755e-34, 2.64755e-34, 1.48417e-10, 2.64755e-34, 2.64755e-34, 1.27964e-12, 2.64755e-34, 7.70199e-11, 2.64755e-34, 1.35006e-08, 2.64755e-34, 2.64755e-34
0.353389, 0, 1.96279e-08, 1.8028e-33, 1.41421, -1.96279e-08, 1.8028e-33, 0, 1.8028e-33, 1.8028e-33, 1.8028e-33, 1.8028e-33, 1.8028e-33, 1.8028e-33, 1.8028e-33, 1.8028e-33, 1.8028e-33, 1.8028e-33, 1.8028e-33, 2.12794e-10, 1.8028e-33, 1.8028e-33, 1.97702e-12, 1.8028e-33, 1.18522e-10, 1.8028e-33, 1.92947e-08, 1.8028e-33, 1.8028e-33
0.361249, 0, 2.7908e-08, 1.22105e-32, 1.41421, -2.7908e-08, 1.22105e-32, 0, 1.22105e-32, 1.22105e-32, 1.22105e-32, 1.22105e-32, 1.22105e-32, 1.22105e-32, 1.22105e-32, 1.22105e-32, 1.22105e-32, 1.22105e-32, 1.22105e-32, 3.03521e-10, 1.22105e-32, 1.22105e-32, 3.05455e-12, 1.22105e-32, 1.82031e-10, 1.22105e-32, 2.74194e-08, 1.22105e-32, 1.22105e-32
0.369109, 0, 3.94603e-08, 7.88551e-32, 1.41421, -3.94603e-08, 7.88551e-32, 0, 7.88551e-32, 7.88551e-32, 7.88551e-32, 7.88551e-32, 7.88551e-32, 7.88551e-32, 7.88551e-32, 7.88551e-32, 7.88551e-32, 7.88551e-32, 7.88551e-32, 4.30741e-10, 7.88551e-32, 7.88551e-32, 4.71994e-12, 7.88551e-32, 2.7906e-10, 7.88551e-32, 3.87458e-08, 7.88551e-32, 7.88551e-32
0.376969, 0, 5.54873e-08, 4.76773e-31, 1.41421, -5.54873e-08, 4.76773e-31, 0, 4.76773e-31, 4.76773e-31, 4.76773e-31, 4.76773e-31, 4.76773e-31, 4.76773e-31, 4.76773e-31, 4.76773e-31, 4.76773e-31, 4.76773e-31, 4.76773e-31, 6.08255e-10, 4.76773e-31, 4.76773e-31, 7.29449e-12, 4.76773e-31, 4.27069e-10, 4.76773e-31, 5.44446e-08, 4.76773e-31, 4.76773e-31
0.384828, 0, 7.75972e-08, 2.69403e-30, 1.41421, -7.75972e-08, 2.69403e-30, 0, 2.69403e-30, 2.69403e-30, 2.69403e-30, 2.69403e-30, 2.69403e-30, 2.69403e-30, 2.69403e-30, 2.69403e-30, 2.69403e-30, 2.69403e-30, 2.69403e-30, 8.54758e-10, 2.69403e-30, 2.69403e-30, 1.12745e-11, 2.69403e-30, 6.52488e-10, 2.69403e-30, 7.60787e-08, 2.69403e-30, 2.69403e-30
0.392688, 0, 1.07929e-07, 1.42519e-29, 1.41421, -1.07929e-07, 1.42519e-29, 0, 1.42519e-29, 1.42519e-29, 1.42519e-29, 1.42519e-29, 1.42519e-29, 1.42519e-29, 1.42519e-29, 1.42519e-29, 1.42519e-29, 1.42519e-29, 1.42519e-29, 1.19546e-09, 1.42519e-29, 1.42519e-29, 1.74251e-11, 1.42519e-29, 9.95224e-10, 1.42519e-29, 1.05721e-07, 1.42519e-29, 1.42519e-29
