   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_139.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.462321, 0, 3.57966e-07, 1.61375e-25, 1.41421, -3.57966e-07, 1.61375e-25, 0, 1.61375e-25, 1.61375e-25, 1.61375e-25, 1.61375e-25, 1.61375e-25, 3.85233e-13, 1.61375e-25, 1.61375e-25, 1.61375e-25, 1.69074e-09, 1.61375e-25, 1.61375e-25, 7.11425e-11, 7.90965e-08, 1.61375e-25, 2.77107e-07, 1.61375e-25, 1.61375e-25
0.470199, 0, 4.91389e-07, 5.50459e-25, 1.41421, -4.91389e-07, 4.7626e-12, 0, 1.54141e-14, 5.65954e-14, 7.76568e-12, 1.80748e-13, 1.41331e-11, 3.97318e-12, 1.08234e-11, 1.37515e-12, 1.30193e-09, 2.27167e-09, 2.27637e-13, 4.79705e-14, 1.08967e-10, 1.19054e-07, 1.68868e-15, 3.68594e-07, 5.50459e-25, 1.55634e-11
0.478077, 0, 6.74245e-07, 5.52716e-10, 1.41421, -6.74245e-07, 5.67962e-10, 5.52716e-10, 5.52766e-10, 5.52898e-10, 5.77575e-10, 5.53295e-10, 5.97957e-10, 5.64525e-10, 5.87363e-10, 5.57118e-10, 4.72025e-09, 3.59139e-09, 5.53445e-10, 5.5287e-10, 7.18974e-10, 1.78997e-07, 5.52722e-10, 4.88241e-07, 5.52716e-10, 6.02536e-10
0.485955, 0, 9.25001e-07, 1.76064e-09, 1.41421, -9.25001e-07, 1.79844e-09, 1.76064e-09, 1.76077e-09, 1.76109e-09, 1.82227e-09, 1.76208e-09, 1.87279e-09, 1.78919e-09, 1.84653e-09, 1.77156e-09, 1.20917e-08, 5.80758e-09, 1.76245e-09, 1.76102e-09, 2.01322e-09, 2.6799e-07, 1.76066e-09, 6.43677e-07, 1.76064e-09, 1.88414e-09
0.493832, 0, 1.27042e-06, 4.35098e-09, 1.41421, -1.27042e-06, 4.43626e-09, 4.35098e-09, 4.35126e-09, 4.352e-09, 4.49004e-09, 4.35422e-09, 4.60405e-09, 4.41455e-09, 4.54479e-09, 4.37561e-09, 2.76632e-08, 9.7176e-09, 4.35506e-09, 4.35184e-09, 4.73292e-09, 3.99576e-07, 4.35101e-09, 8.45085e-07, 4.35098e-09, 4.62966e-09
0.50171, 0, 1.74924e-06, 9.79561e-09, 1.41421, -1.74924e-06, 9.97891e-09, 9.79561e-09, 9.7962e-09, 9.79778e-09, 1.00945e-08, 9.80256e-09, 1.03396e-08, 9.93101e-09, 1.02122e-08, 9.84853e-09, 5.99049e-08, 1.68821e-08, 9.80437e-09, 9.79745e-09, 1.03703e-08, 5.93461e-07, 9.79567e-09, 1.10555e-06, 9.79561e-09, 1.03946e-08
0.509588, 0, 2.4193e-06, 2.10179e-08, 1.41421, -2.4193e-06, 2.13997e-08, 2.10179e-08, 2.10192e-08, 2.10225e-08, 2.16404e-08, 2.10324e-08, 2.21507e-08, 2.12978e-08, 2.18855e-08, 2.11282e-08, 1.2537e-07, 3.03363e-08, 2.10362e-08, 2.10218e-08, 2.18781e-08, 8.78597e-07, 2.10181e-08, 1.4425e-06, 2.10179e-08, 2.22654e-08
0.517466, 0, 3.3678e-06, 4.37047e-08, 1.41421, -3.3678e-06, 4.44804e-08, 4.37047e-08, 4.37072e-08, 4.37139e-08, 4.49695e-08, 4.37342e-08, 4.60066e-08, 4.43314e-08, 4.54675e-08, 4.39287e-08, 2.55747e-07, 5.5907e-08, 4.37418e-08, 4.37125e-08, 4.49851e-08, 1.29669e-06, 4.3705e-08, 1.87972e-06, 4.37047e-08, 4.62395e-08
0.525343, 0, 4.72857e-06, 8.869e-08, 1.41421, -4.72857e-06, 9.02329e-08, 8.869e-08, 8.8695e-08, 8.87084e-08, 9.12057e-08, 8.87486e-08, 9.32685e-08, 9.01901e-08, 9.21963e-08, 8.91355e-08, 5.10452e-07, 1.04603e-07, 8.87638e-08, 8.87056e-08, 9.05853e-08, 1.90763e-06, 8.86906e-08, 2.45076e-06, 8.869e-08, 9.37318e-08
0.533221, 0, 6.71328e-06, 1.762e-07, 1.41421, -6.71328e-06, 1.79209e-07, 1.762e-07, 1.7621e-07, 1.76236e-07, 1.81106e-07, 1.76315e-07, 1.85128e-07, 1.79917e-07, 1.83038e-07, 1.77069e-07, 9.98633e-07, 1.96868e-07, 1.76344e-07, 1.76231e-07, 1.78989e-07, 2.8004e-06, 1.76201e-07, 3.20476e-06, 1.762e-07, 1.86032e-07
