   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_765.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.514215, 0, 1.77808e-08, 3.04228e-28, 1.41421, -1.77808e-08, 0, 3.04228e-28, 3.04228e-28, 3.04228e-28, 3.04228e-28, 3.04228e-28, 3.04228e-28, 3.04228e-28, 3.04228e-28, 3.04228e-28, 1.50793e-10, 3.04228e-28, 3.04228e-28, 7.13659e-11, 3.04228e-28, 5.58424e-12, 3.04228e-28, 1.75531e-08, 3.04228e-28, 3.04228e-28
0.522141, 0, 2.78543e-08, 1.3761e-27, 1.41421, -2.78543e-08, 0, 1.3761e-27, 1.3761e-27, 1.3761e-27, 1.3761e-27, 1.3761e-27, 1.3761e-27, 1.3761e-27, 1.3761e-27, 1.3761e-27, 2.37551e-10, 1.3761e-27, 1.3761e-27, 1.32195e-10, 1.3761e-27, 1.00271e-11, 1.3761e-27, 2.74746e-08, 1.3761e-27, 1.3761e-27
0.530066, 0, 4.31528e-08, 5.91614e-27, 1.41421, -4.31528e-08, 0, 5.91614e-27, 5.91614e-27, 5.91614e-27, 5.91614e-27, 5.91614e-27, 5.91614e-27, 5.91614e-27, 5.91614e-27, 5.91614e-27, 3.70466e-10, 5.91614e-27, 5.91614e-27, 2.43705e-10, 5.91614e-27, 1.80597e-11, 5.91614e-27, 4.25206e-08, 5.91614e-27, 5.91614e-27
0.537992, 0, 6.6128e-08, 2.42414e-26, 1.41421, -6.6128e-08, 0, 2.42414e-26, 2.42414e-26, 2.42414e-26, 2.42414e-26, 2.42414e-26, 2.42414e-26, 2.42414e-26, 2.42414e-26, 2.42414e-26, 5.72113e-10, 2.42414e-26, 2.42414e-26, 4.46561e-10, 2.42414e-26, 3.26057e-11, 2.42414e-26, 6.50768e-08, 2.42414e-26, 2.42414e-26
0.545918, 0, 1.00257e-07, 1.24933e-25, 1.41421, -1.00257e-07, 0, 1.24933e-25, 1.24933e-25, 1.24933e-25, 1.24933e-25, 1.24933e-25, 1.24933e-25, 1.24933e-25, 1.24933e-25, 1.24933e-25, 8.75157e-10, 1.24933e-25, 1.24933e-25, 8.12633e-10, 1.24933e-25, 5.89675e-11, 1.24933e-25, 9.85107e-08, 1.24933e-25, 1.24933e-25
0.553844, 0, 1.50602e-07, 4.57357e-25, 1.41421, -1.50602e-07, 0, 3.67284e-15, 6.85912e-13, 9.76292e-15, 6.41135e-13, 1.04737e-11, 8.78775e-11, 4.69412e-12, 1.96053e-11, 3.2965e-11, 1.32641e-09, 7.31049e-13, 5.97381e-14, 1.46604e-09, 9.0746e-14, 1.0656e-10, 1.08737e-16, 1.47529e-07, 4.57357e-25, 1.58223e-11
0.56177, 0, 2.24146e-07, 1.53294e-11, 1.41421, -2.24146e-07, 1.53294e-11, 1.53445e-11, 1.81445e-11, 1.53695e-11, 1.79607e-11, 5.83156e-11, 3.75996e-10, 3.4595e-11, 9.57935e-11, 1.50624e-10, 2.00772e-09, 1.83298e-11, 1.55746e-11, 2.63631e-09, 1.65693e-11, 2.07498e-10, 1.53298e-11, 2.18627e-07, 1.53294e-11, 8.02672e-11
0.569696, 0, 3.30939e-07, 6.32995e-11, 1.41421, -3.30939e-07, 6.32995e-11, 6.33484e-11, 7.24221e-11, 6.34294e-11, 7.18266e-11, 2.02599e-10, 1.23207e-09, 1.25731e-10, 3.24049e-10, 5.01733e-10, 3.02996e-09, 7.30224e-11, 6.4094e-11, 4.70335e-09, 6.8905e-11, 4.0847e-10, 6.3301e-11, 3.20673e-07, 6.32995e-11, 2.73735e-10
0.577622, 0, 4.85718e-07, 2.05745e-10, 1.41421, -4.85718e-07, 2.05745e-10, 2.0589e-10, 2.32798e-10, 2.0613e-10, 2.31032e-10, 6.18834e-10, 3.67169e-09, 3.90884e-10, 9.7899e-10, 1.50591e-09, 4.58549e-09, 2.34578e-10, 2.08101e-10, 8.33569e-09, 2.24843e-10, 8.22078e-10, 2.05749e-10, 4.65727e-07, 2.05745e-10, 8.29786e-10
0.585547, 0, 7.10978e-07, 6.10832e-10, 1.41421, -7.10978e-07, 6.10832e-10, 6.1124e-10, 6.8689e-10, 6.11915e-10, 6.81925e-10, 1.77221e-09, 1.03552e-08, 1.13134e-09, 2.78478e-09, 4.26618e-09, 7.02281e-09, 6.91895e-10, 6.17456e-10, 1.47039e-08, 6.69036e-10, 1.703e-09, 6.10844e-10, 6.70077e-07, 6.10832e-10, 2.36529e-09
0.593473, 0, 1.04325e-06, 1.71756e-09, 1.41421, -1.04325e-06, 1.71756e-09, 1.71865e-09, 1.92248e-09, 1.72047e-09, 1.9091e-09, 4.84671e-09, 2.79721e-08, 3.11998e-09, 7.57488e-09, 1.15663e-08, 1.10276e-08, 1.93597e-09, 1.7354e-09, 2.5882e-08, 1.88389e-09, 3.63546e-09, 1.71759e-09, 9.55835e-07, 1.71756e-09, 6.44466e-09
