   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_764.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.353867, 0, 2.09629e-10, 3.95058e-38, 1.41421, -2.09629e-10, 0, 3.95058e-38, 3.95058e-38, 3.95058e-38, 3.95058e-38, 3.95058e-38, 3.95058e-38, 3.95058e-38, 3.95058e-38, 1.37167e-12, 3.95058e-38, 3.95058e-38, 2.37505e-13, 3.95058e-38, 3.95058e-38, 2.0802e-10, 3.95058e-38, 3.95058e-38, 3.95058e-38
0.36187, 0, 3.26071e-10, 3.66057e-37, 1.41421, -3.26071e-10, 0, 3.66057e-37, 3.66057e-37, 3.66057e-37, 3.66057e-37, 3.66057e-37, 3.66057e-37, 3.66057e-37, 3.66057e-37, 2.13498e-12, 3.66057e-37, 3.66057e-37, 3.93138e-13, 3.66057e-37, 3.66057e-37, 3.23543e-10, 3.66057e-37, 3.66057e-37, 3.66057e-37
0.369874, 0, 5.03482e-10, 3.09217e-36, 1.41421, -5.03482e-10, 0, 3.09217e-36, 3.09217e-36, 3.09217e-36, 3.09217e-36, 3.09217e-36, 3.09217e-36, 3.09217e-36, 3.09217e-36, 3.29925e-12, 3.09217e-36, 3.09217e-36, 6.49927e-13, 3.09217e-36, 3.09217e-36, 4.99533e-10, 3.09217e-36, 3.09217e-36, 3.09217e-36
0.377877, 0, 7.71754e-10, 2.39394e-35, 1.41421, -7.71754e-10, 0, 2.39394e-35, 2.39394e-35, 2.39394e-35, 2.39394e-35, 2.39394e-35, 2.39394e-35, 2.39394e-35, 2.39394e-35, 5.06215e-12, 2.39394e-35, 2.39394e-35, 1.07356e-12, 2.39394e-35, 2.39394e-35, 7.65618e-10, 2.39394e-35, 2.39394e-35, 2.39394e-35
0.385881, 0, 1.17439e-09, 1.69463e-34, 1.41421, -1.17439e-09, 0, 1.69463e-34, 1.69463e-34, 1.69463e-34, 1.69463e-34, 1.69463e-34, 1.69463e-34, 1.69463e-34, 1.69463e-34, 7.7123e-12, 1.69463e-34, 1.69463e-34, 1.7725e-12, 1.69463e-34, 1.69463e-34, 1.16491e-09, 1.69463e-34, 1.69463e-34, 1.69463e-34
0.393884, 0, 1.77419e-09, 1.18196e-33, 1.41421, -1.77419e-09, 0, 1.18196e-33, 1.18196e-33, 1.18196e-33, 1.18196e-33, 1.18196e-33, 1.18196e-33, 1.18196e-33, 1.18196e-33, 1.16679e-11, 1.18196e-33, 1.18196e-33, 2.92594e-12, 1.18196e-33, 1.18196e-33, 1.75959e-09, 1.18196e-33, 1.18196e-33, 1.18196e-33
0.401888, 0, 2.66108e-09, 7.90584e-33, 1.41421, -2.66108e-09, 0, 7.90584e-33, 7.90584e-33, 7.90584e-33, 7.90584e-33, 7.90584e-33, 7.90584e-33, 7.90584e-33, 7.90584e-33, 1.75303e-11, 7.90584e-33, 7.90584e-33, 4.82985e-12, 7.90584e-33, 7.90584e-33, 2.63872e-09, 7.90584e-33, 7.90584e-33, 7.90584e-33
0.409891, 0, 3.96281e-09, 4.95776e-32, 1.41421, -3.96281e-09, 0, 4.95776e-32, 4.95776e-32, 4.95776e-32, 4.95776e-32, 4.95776e-32, 4.95776e-32, 4.95776e-32, 4.95776e-32, 2.61588e-11, 4.95776e-32, 4.95776e-32, 7.9726e-12, 4.95776e-32, 4.95776e-32, 3.92868e-09, 4.95776e-32, 4.95776e-32, 4.95776e-32
0.417895, 0, 5.85947e-09, 2.90478e-31, 1.41421, -5.85947e-09, 0, 2.90478e-31, 2.90478e-31, 2.90478e-31, 2.90478e-31, 2.90478e-31, 2.90478e-31, 2.90478e-31, 2.90478e-31, 3.87716e-11, 2.90478e-31, 2.90478e-31, 1.3159e-11, 2.90478e-31, 2.90478e-31, 5.80754e-09, 2.90478e-31, 2.90478e-31, 2.90478e-31
0.425898, 0, 8.60287e-09, 1.59105e-30, 1.41421, -8.60287e-09, 0, 1.59105e-30, 1.59105e-30, 1.59105e-30, 1.59105e-30, 1.59105e-30, 1.59105e-30, 1.59105e-30, 1.59105e-30, 5.7085e-11, 1.59105e-30, 1.59105e-30, 2.1712e-11, 1.59105e-30, 1.59105e-30, 8.52407e-09, 1.59105e-30, 1.59105e-30, 1.59105e-30
0.433902, 0, 1.25424e-08, 8.16842e-30, 1.41421, -1.25424e-08, 0, 8.16842e-30, 8.16842e-30, 8.16842e-30, 8.16842e-30, 8.16842e-30, 8.16842e-30, 8.16842e-30, 8.16842e-30, 8.35e-11, 8.16842e-30, 8.16842e-30, 3.58001e-11, 8.16842e-30, 8.16842e-30, 1.24231e-08, 8.16842e-30, 8.16842e-30, 8.16842e-30
0.441905, 0, 1.81592e-08, 3.94439e-29, 1.41421, -1.81592e-08, 0, 3.94439e-29, 3.94439e-29, 3.94439e-29, 3.94439e-29, 3.94439e-29, 3.94439e-29, 3.94439e-29, 3.94439e-29, 1.21356e-10, 3.94439e-29, 3.94439e-29, 5.89641e-11, 3.94439e-29, 3.94439e-29, 1.79789e-08, 3.94439e-29, 3.94439e-29, 3.94439e-29
0.449909, 0, 2.61107e-08, 1.79762e-28, 1.41421, -2.61107e-08, 0, 1.79762e-28, 1.79762e-28, 1.79762e-28, 1.79762e-28, 1.79762e-28, 1.79762e-28, 1.79762e-28, 1.79762e-28, 1.75263e-10, 1.79762e-28, 1.79762e-28, 9.69595e-11, 1.79762e-28, 1.79762e-28, 2.58385e-08, 1.79762e-28, 1.79762e-28, 1.79762e-28
0.457912, 0, 3.72886e-08, 7.75446e-28, 1.41421, -3.72886e-08, 0, 7.75446e-28, 7.75446e-28, 7.75446e-28, 7.75446e-28, 7.75446e-28, 7.75446e-28, 7.75446e-28, 7.75446e-28, 2.51555e-10, 7.75446e-28, 7.75446e-28, 1.59093e-10, 7.75446e-28, 7.75446e-28, 3.68779e-08, 7.75446e-28, 7.75446e-28, 7.75446e-28
0.465916, 0, 5.28934e-08, 3.17571e-27, 1.41421, -5.28934e-08, 0, 3.17571e-27, 3.17571e-27, 3.17571e-27, 3.17571e-27, 3.17571e-27, 3.17571e-27, 3.17571e-27, 3.17571e-27, 3.58877e-10, 3.17571e-27, 3.17571e-27, 2.60332e-10, 3.17571e-27, 3.17571e-27, 5.22742e-08, 3.17571e-27, 3.17571e-27, 3.17571e-27
