   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_557.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.441365, 0, 2.50045e-07, 1.21539e-25, 1.41421, -2.50045e-07, 0, 1.21539e-25, 1.21539e-25, 1.21539e-25, 1.21539e-25, 1.21539e-25, 1.21539e-25, 1.84665e-12, 1.21539e-25, 1.21539e-25, 1.21539e-25, 1.69443e-09, 1.21539e-25, 1.21539e-25, 1.29418e-08, 1.21539e-25, 9.95332e-10, 1.21539e-25, 2.34411e-07, 1.21539e-25, 1.21539e-25, 1.21539e-25
0.449218, 0, 3.31387e-07, 4.16704e-25, 1.41421, -3.31387e-07, 0, 4.16704e-25, 4.16704e-25, 4.16704e-25, 4.16704e-25, 4.16704e-25, 4.16704e-25, 4.39658e-12, 4.16704e-25, 4.16704e-25, 4.16704e-25, 2.24641e-09, 4.16704e-25, 4.16704e-25, 1.94851e-08, 4.16704e-25, 1.46359e-09, 4.16704e-25, 3.08187e-07, 4.16704e-25, 4.16704e-25, 4.16704e-25
0.457071, 0, 4.39587e-07, 2.555e-10, 1.41421, -4.39587e-07, 2.555e-10, 2.55512e-10, 2.63528e-10, 2.55564e-10, 2.6296e-10, 3.71386e-10, 1.2825e-09, 2.91429e-10, 2.77321e-10, 2.99665e-10, 5.67223e-10, 3.22204e-09, 2.60344e-10, 2.558e-10, 2.94903e-08, 2.56128e-10, 2.39982e-09, 2.55501e-10, 4.036e-07, 2.555e-10, 2.555e-10, 3.19089e-10
0.464924, 0, 5.82013e-07, 7.81298e-10, 1.41421, -5.82013e-07, 7.81298e-10, 7.81334e-10, 8.05974e-10, 7.81493e-10, 8.04229e-10, 1.1375e-09, 3.93805e-09, 8.82103e-10, 8.48369e-10, 9.17051e-10, 1.73946e-09, 4.68359e-09, 7.96188e-10, 7.8222e-10, 4.44823e-08, 7.92785e-10, 3.91058e-09, 7.813e-10, 5.26236e-07, 7.81298e-10, 7.81298e-10, 9.76754e-10
0.472777, 0, 7.70004e-07, 1.84695e-09, 1.41421, -7.70004e-07, 1.84695e-09, 1.84704e-09, 1.90556e-09, 1.84741e-09, 1.90142e-09, 2.69302e-09, 9.345e-09, 2.07901e-09, 2.00626e-09, 2.1694e-09, 4.12281e-09, 6.96053e-09, 1.88232e-09, 1.84914e-09, 6.69056e-08, 1.88377e-09, 6.39425e-09, 1.84696e-09, 6.83298e-07, 1.84695e-09, 1.84695e-09, 2.31121e-09
0.48063, 0, 1.01955e-06, 3.97695e-09, 1.41421, -1.01955e-06, 3.97695e-09, 3.97713e-09, 4.10358e-09, 3.97795e-09, 4.09462e-09, 5.80488e-09, 2.01764e-08, 4.4702e-09, 4.32113e-09, 4.67359e-09, 8.89391e-09, 1.06525e-08, 4.05336e-09, 3.98168e-09, 1.00409e-07, 4.06906e-09, 1.05549e-08, 3.97696e-09, 8.83961e-07, 3.97695e-09, 3.97695e-09, 4.97997e-09
0.488483, 0, 1.35347e-06, 8.16812e-09, 1.41421, -1.35347e-06, 8.16812e-09, 8.1685e-09, 8.42882e-09, 8.17018e-09, 8.41039e-09, 1.19315e-08, 4.15199e-08, 9.17208e-09, 8.87674e-09, 9.60238e-09, 1.82913e-08, 1.68502e-08, 8.32544e-09, 8.17786e-09, 1.50448e-07, 8.37524e-09, 1.76389e-08, 8.16814e-09, 1.13971e-06, 8.16812e-09, 8.16812e-09, 1.02332e-08
0.496336, 0, 1.80565e-06, 1.62835e-08, 1.41421, -1.80565e-06, 1.62835e-08, 1.62843e-08, 1.68042e-08, 1.62876e-08, 1.67674e-08, 2.37994e-08, 8.28903e-08, 1.82711e-08, 1.76987e-08, 1.91479e-08, 3.65005e-08, 2.75337e-08, 1.65977e-08, 1.6303e-08, 2.25204e-07, 1.67225e-08, 2.9865e-08, 1.62836e-08, 1.46539e-06, 1.62835e-08, 1.62835e-08, 2.04076e-08
0.504189, 0, 2.4281e-06, 3.17418e-08, 1.41421, -2.4281e-06, 3.17418e-08, 3.17432e-08, 3.27581e-08, 3.17498e-08, 3.26862e-08, 4.64134e-08, 1.61764e-07, 3.61331e-08, 3.45043e-08, 3.73332e-08, 7.12072e-08, 4.62661e-08, 3.23551e-08, 3.17797e-08, 3.36986e-07, 3.26373e-08, 5.11081e-08, 3.17418e-08, 1.88049e-06, 3.17418e-08, 3.17418e-08, 3.97923e-08
0.512042, 0, 3.30425e-06, 6.07105e-08, 1.41421, -3.30425e-06, 6.07105e-08, 6.07133e-08, 6.26567e-08, 6.07258e-08, 6.2519e-08, 8.88048e-08, 3.09687e-07, 7.30968e-08, 6.60004e-08, 7.14174e-08, 1.36282e-07, 7.93938e-08, 6.18849e-08, 6.07832e-08, 5.04406e-07, 6.24871e-08, 8.8175e-08, 6.07106e-08, 2.41117e-06, 6.07105e-08, 6.07105e-08, 7.61263e-08
0.519895, 0, 4.56254e-06, 1.14111e-07, 1.41421, -4.56254e-06, 1.14111e-07, 1.14116e-07, 1.17772e-07, 1.1414e-07, 1.17513e-07, 1.6697e-07, 5.82563e-07, 1.43457e-07, 1.24064e-07, 1.34256e-07, 2.56299e-07, 1.38057e-07, 1.1632e-07, 1.14247e-07, 7.55678e-07, 1.17557e-07, 1.52848e-07, 1.14111e-07, 3.09345e-06, 1.14111e-07, 1.14111e-07, 1.43116e-07
0.527748, 0, 6.41023e-06, 2.10937e-07, 1.41421, -6.41023e-06, 2.10937e-07, 2.10947e-07, 2.17713e-07, 2.10991e-07, 2.17234e-07, 3.08744e-07, 1.07771e-06, 2.73363e-07, 2.29354e-07, 2.48212e-07, 4.74028e-07, 2.41521e-07, 2.15026e-07, 2.11191e-07, 1.13439e-06, 2.17495e-07, 2.65276e-07, 2.10938e-07, 3.97837e-06, 2.10937e-07, 2.10937e-07, 2.64605e-07
0.535601, 0, 9.17959e-06, 3.83636e-07, 1.41421, -9.17959e-06, 3.83636e-07, 3.83654e-07, 3.9597e-07, 3.83733e-07, 3.95098e-07, 5.61684e-07, 1.96152e-06, 5.09131e-07, 4.17161e-07, 4.51491e-07, 8.62568e-07, 4.22556e-07, 3.91078e-07, 3.84097e-07, 1.70505e-06, 3.95894e-07, 4.59439e-07, 3.83637e-07, 5.13994e-06, 3.83636e-07, 3.83636e-07, 4.81334e-07
0.543454, 0, 1.34087e-05, 6.86697e-07, 1.41421, -1.34087e-05, 6.86697e-07, 6.86729e-07, 7.08795e-07, 6.86871e-07, 7.07233e-07, 1.00571e-06, 3.51384e-06, 9.31775e-07, 7.46764e-07, 8.08275e-07, 1.54481e-06, 7.36054e-07, 7.00032e-07, 6.87522e-07, 2.56757e-06, 7.09263e-07, 7.91864e-07, 6.86698e-07, 6.68766e-06, 6.86697e-07, 6.86697e-07, 8.61744e-07
0.551307, 0, 1.99495e-05, 1.20951e-06, 1.41421, -1.99495e-05, 1.20951e-06, 1.20957e-06, 1.24847e-06, 1.20982e-06, 1.24572e-06, 1.77193e-06, 6.19378e-06, 1.6733e-06, 1.31541e-06, 1.42385e-06, 2.72237e-06, 1.27189e-06, 1.23302e-06, 1.21097e-06, 3.87235e-06, 1.25032e-06, 1.35463e-06, 1.20951e-06, 8.78567e-06, 1.20951e-06, 1.20951e-06, 1.51812e-06
0.55916, 0, 3.0166e-05, 2.09693e-06, 1.41421, -3.0166e-05, 2.09693e-06, 2.09703e-06, 2.16454e-06, 2.09746e-06, 2.15976e-06, 3.07295e-06, 1.07466e-05, 2.96301e-06, 2.2807e-06, 2.4689e-06, 4.72235e-06, 2.1755e-06, 2.13773e-06, 2.09945e-06, 5.84708e-06, 2.16958e-06, 2.29614e-06, 2.09693e-06, 1.16824e-05, 2.09693e-06, 2.09693e-06, 2.63249e-06
