   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_238.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.416271, 0, 2.30596e-06, 6.32682e-27, 1.41421, -2.30596e-06, 6.32682e-27, 0, 6.32682e-27, 6.32682e-27, 6.32682e-27, 6.32682e-27, 6.32682e-27, 6.32682e-27, 4.66524e-09, 6.32682e-27, 6.32682e-27, 1.61436e-10, 3.31023e-09, 6.32682e-27, 2.29782e-06, 6.32682e-27, 6.32682e-27
0.424229, 0, 3.11503e-06, 2.65079e-26, 1.41421, -3.11503e-06, 2.65079e-26, 0, 2.65079e-26, 2.65079e-26, 2.65079e-26, 2.65079e-26, 2.65079e-26, 2.65079e-26, 6.35197e-09, 2.65079e-26, 2.65079e-26, 2.49212e-10, 5.00397e-09, 2.65079e-26, 3.10342e-06, 2.65079e-26, 2.65079e-26
0.432187, 0, 4.1846e-06, 1.0559e-25, 1.41421, -4.1846e-06, 1.0559e-25, 0, 1.0559e-25, 1.0559e-25, 1.0559e-25, 1.0559e-25, 1.0559e-25, 1.0559e-25, 8.60792e-09, 1.0559e-25, 1.0559e-25, 3.8382e-10, 7.54074e-09, 1.0559e-25, 4.16807e-06, 1.0559e-25, 1.0559e-25
0.440145, 0, 5.59058e-06, 4.00929e-25, 1.41421, -5.59058e-06, 4.00929e-25, 0, 4.00929e-25, 4.00929e-25, 4.00929e-25, 4.00929e-25, 4.00929e-25, 4.00929e-25, 1.16115e-08, 4.00929e-25, 4.00929e-25, 5.89474e-10, 1.13247e-08, 4.00929e-25, 5.56706e-06, 4.00929e-25, 4.00929e-25
0.448102, 0, 7.42851e-06, 1.45474e-24, 1.41421, -7.42851e-06, 1.45474e-24, 0, 1.45474e-24, 1.45474e-24, 1.45474e-24, 1.45474e-24, 1.45474e-24, 1.45474e-24, 1.55929e-08, 1.45474e-24, 1.45474e-24, 9.02356e-10, 1.69439e-08, 1.45474e-24, 7.39507e-06, 1.45474e-24, 1.45474e-24
0.45606, 0, 9.8203e-06, 5.11701e-24, 1.41421, -9.8203e-06, 8.38719e-11, 0, 1.55778e-13, 6.3399e-13, 1.42972e-12, 2.0285e-13, 4.1441e-11, 1.60908e-10, 2.08479e-08, 5.37011e-12, 2.156e-13, 1.37617e-09, 2.52481e-08, 1.25513e-14, 9.77166e-06, 5.11701e-24, 8.68631e-10
0.464018, 0, 1.29354e-05, 2.03876e-08, 1.41421, -1.29354e-05, 2.06565e-08, 2.03876e-08, 2.03881e-08, 2.03896e-08, 2.03922e-08, 2.03883e-08, 2.05205e-08, 2.09035e-08, 4.81415e-08, 2.04048e-08, 2.03883e-08, 2.24778e-08, 5.78439e-08, 2.03876e-08, 1.28644e-05, 2.03876e-08, 2.31728e-08
0.471976, 0, 1.69649e-05, 6.50888e-08, 1.41421, -1.69649e-05, 6.57549e-08, 6.50888e-08, 6.509e-08, 6.50938e-08, 6.51001e-08, 6.50904e-08, 6.54179e-08, 6.63667e-08, 1.0188e-07, 6.51314e-08, 6.50905e-08, 6.82492e-08, 1.20392e-07, 6.50889e-08, 1.68604e-05, 6.50888e-08, 7.19873e-08
0.479934, 0, 2.21706e-05, 1.60746e-07, 1.41421, -2.21706e-05, 1.62244e-07, 1.60746e-07, 1.60748e-07, 1.60757e-07, 1.60771e-07, 1.60749e-07, 1.61486e-07, 1.63621e-07, 2.09313e-07, 1.60842e-07, 1.60749e-07, 1.65501e-07, 2.41985e-07, 1.60746e-07, 2.20153e-05, 1.60746e-07, 1.76269e-07
0.487891, 0, 2.88951e-05, 3.60845e-07, 1.41421, -2.88951e-05, 3.64053e-07, 3.60845e-07, 3.60851e-07, 3.60869e-07, 3.609e-07, 3.60853e-07, 3.6243e-07, 3.67e-07, 4.24695e-07, 3.6105e-07, 3.60853e-07, 3.67964e-07, 4.79544e-07, 3.60846e-07, 2.8661e-05, 3.60845e-07, 3.94069e-07
