   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_58.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.454002, 0, 5.23246e-10, 2.29285e-34, 1.41421, -5.23246e-10, 2.29285e-34, 0, 2.29285e-34, 2.29285e-34, 2.29285e-34, 2.29285e-34, 2.29285e-34, 2.29285e-34, 2.29285e-34, 2.29285e-34, 2.29285e-34, 2.29285e-34, 2.29285e-34, 2.87622e-12, 2.29285e-34, 2.29285e-34, 1.59086e-14, 2.57169e-13, 2.29285e-34, 5.20097e-10, 2.29285e-34, 2.29285e-34, 2.29285e-34
0.461876, 0, 8.98541e-10, 1.60294e-33, 1.41421, -8.98541e-10, 1.60294e-33, 0, 1.60294e-33, 1.60294e-33, 1.60294e-33, 1.60294e-33, 1.60294e-33, 1.60294e-33, 1.60294e-33, 1.60294e-33, 1.60294e-33, 1.60294e-33, 1.60294e-33, 4.94529e-12, 1.60294e-33, 1.60294e-33, 2.94554e-14, 4.6305e-13, 1.60294e-33, 8.93103e-10, 1.60294e-33, 1.60294e-33, 1.60294e-33
0.46975, 0, 1.52447e-09, 1.07688e-32, 1.41421, -1.52447e-09, 1.07688e-32, 0, 1.07688e-32, 1.07688e-32, 1.07688e-32, 1.07688e-32, 1.07688e-32, 1.07688e-32, 1.07688e-32, 1.07688e-32, 1.07688e-32, 1.07688e-32, 1.07688e-32, 8.40356e-12, 1.07688e-32, 1.07688e-32, 5.44448e-14, 8.29002e-13, 1.07688e-32, 1.51518e-09, 1.07688e-32, 1.07688e-32, 1.07688e-32
0.477624, 0, 2.55558e-09, 6.818e-32, 1.41421, -2.55558e-09, 6.818e-32, 0, 6.818e-32, 6.818e-32, 6.818e-32, 6.818e-32, 6.818e-32, 6.818e-32, 6.818e-32, 6.818e-32, 6.818e-32, 6.818e-32, 6.818e-32, 1.4116e-11, 6.818e-32, 6.818e-32, 1.00537e-13, 1.47774e-12, 6.818e-32, 2.53988e-09, 6.818e-32, 6.818e-32, 6.818e-32
0.485498, 0, 4.23348e-09, 4.04774e-31, 1.41421, -4.23348e-09, 4.04774e-31, 0, 4.04774e-31, 4.04774e-31, 4.04774e-31, 4.04774e-31, 4.04774e-31, 4.04774e-31, 4.04774e-31, 4.04774e-31, 4.04774e-31, 4.04774e-31, 4.04774e-31, 2.34436e-11, 4.04774e-31, 4.04774e-31, 1.85558e-13, 2.62666e-12, 4.04774e-31, 4.20722e-09, 4.04774e-31, 4.04774e-31, 4.04774e-31
0.493372, 0, 6.9309e-09, 2.25426e-30, 1.41421, -6.9309e-09, 2.25426e-30, 0, 2.25426e-30, 2.25426e-30, 2.25426e-30, 2.25426e-30, 2.25426e-30, 2.25426e-30, 2.25426e-30, 2.25426e-30, 2.25426e-30, 2.25426e-30, 2.25426e-30, 3.85028e-11, 2.25426e-30, 2.25426e-30, 3.42342e-13, 4.66285e-12, 2.25426e-30, 6.8874e-09, 2.25426e-30, 2.25426e-30, 2.25426e-30
0.501245, 0, 1.12155e-08, 1.18046e-29, 1.41421, -1.12155e-08, 1.18046e-29, 0, 1.18046e-29, 1.18046e-29, 1.18046e-29, 1.18046e-29, 1.18046e-29, 1.18046e-29, 1.18046e-29, 1.18046e-29, 1.18046e-29, 1.18046e-29, 1.18046e-29, 6.25483e-11, 1.18046e-29, 1.18046e-29, 6.31198e-13, 8.27932e-12, 1.18046e-29, 1.1144e-08, 1.18046e-29, 1.18046e-29, 1.18046e-29
0.509119, 0, 1.79407e-08, 5.82908e-29, 1.41421, -1.79407e-08, 5.82908e-29, 0, 5.82908e-29, 5.82908e-29, 5.82908e-29, 5.82908e-29, 5.82908e-29, 5.82908e-29, 5.82908e-29, 5.82908e-29, 5.82908e-29, 5.82908e-29, 5.82908e-29, 1.00532e-10, 5.82908e-29, 5.82908e-29, 1.16238e-12, 1.47236e-11, 5.82908e-29, 1.78242e-08, 5.82908e-29, 5.82908e-29, 5.82908e-29
0.516993, 0, 2.83732e-08, 2.72279e-28, 1.41421, -2.83732e-08, 2.72279e-28, 0, 2.72279e-28, 2.72279e-28, 2.72279e-28, 2.72279e-28, 2.72279e-28, 2.72279e-28, 2.72279e-28, 2.72279e-28, 2.72279e-28, 2.72279e-28, 2.72279e-28, 1.5991e-10, 2.72279e-28, 2.72279e-28, 2.13616e-12, 2.62512e-11, 2.72279e-28, 2.81849e-08, 2.72279e-28, 2.72279e-28, 2.72279e-28
0.524867, 0, 4.437e-08, 1.20664e-27, 1.41421, -4.437e-08, 1.20664e-27, 0, 1.20664e-27, 1.20664e-27, 1.20664e-27, 1.20664e-27, 1.20664e-27, 1.20664e-27, 1.20664e-27, 1.20664e-27, 1.20664e-27, 1.20664e-27, 1.20664e-27, 2.51796e-10, 1.20664e-27, 1.20664e-27, 3.91349e-12, 4.69499e-11, 1.20664e-27, 4.40673e-08, 1.20664e-27, 1.20664e-27, 1.20664e-27
0.532741, 0, 6.86198e-08, 5.08801e-27, 1.41421, -6.86198e-08, 5.08801e-27, 0, 5.08801e-27, 5.08801e-27, 5.08801e-27, 5.08801e-27, 5.08801e-27, 5.08801e-27, 5.08801e-27, 5.08801e-27, 5.08801e-27, 5.08801e-27, 5.08801e-27, 3.926e-10, 5.08801e-27, 5.08801e-27, 7.13902e-12, 8.42327e-11, 5.08801e-27, 6.81359e-08, 5.08801e-27, 5.08801e-27, 5.08801e-27
0.540615, 0, 1.04968e-07, 2.04699e-26, 1.41421, -1.04968e-07, 2.04699e-26, 0, 2.04699e-26, 2.04699e-26, 2.04699e-26, 2.04699e-26, 2.04699e-26, 2.04699e-26, 2.04699e-26, 2.04699e-26, 2.04699e-26, 2.04699e-26, 2.04699e-26, 6.06326e-10, 2.04699e-26, 2.04699e-26, 1.29521e-11, 1.51509e-10, 2.04699e-26, 1.04197e-07, 2.04699e-26, 2.04699e-26, 2.04699e-26
0.548489, 0, 1.5885e-07, 1.02832e-25, 1.41421, -1.5885e-07, 1.02832e-25, 0, 1.02832e-25, 1.02832e-25, 1.02832e-25, 1.02832e-25, 1.02832e-25, 1.02832e-25, 1.02832e-25, 4.10141e-13, 1.02832e-25, 1.02832e-25, 1.02832e-25, 9.27775e-10, 1.02832e-25, 1.02832e-25, 2.33512e-11, 2.73027e-10, 1.02832e-25, 1.57626e-07, 1.02832e-25, 1.02832e-25, 1.02832e-25
0.556363, 0, 2.38932e-07, 3.70805e-25, 1.41421, -2.38932e-07, 7.63241e-13, 0, 7.49826e-15, 3.52421e-14, 8.51038e-14, 2.32398e-13, 2.19698e-13, 3.52754e-13, 4.4498e-13, 5.98781e-12, 5.72891e-12, 3.71072e-12, 1.0316e-09, 1.40694e-09, 6.81876e-13, 2.95043e-14, 4.1764e-11, 4.91731e-10, 1.83001e-15, 2.35933e-07, 3.70805e-25, 3.70805e-25, 9.29543e-12
0.564237, 0, 3.57247e-07, 3.87507e-10, 1.41421, -3.57247e-07, 3.90622e-10, 3.87507e-10, 3.87538e-10, 3.87651e-10, 3.87854e-10, 3.88455e-10, 3.88404e-10, 3.88947e-10, 3.89323e-10, 4.10458e-10, 4.10885e-10, 4.02649e-10, 4.5971e-09, 2.50254e-09, 3.9029e-10, 3.87628e-10, 4.61577e-10, 1.27154e-09, 3.87515e-10, 3.49853e-07, 3.87507e-10, 3.87507e-10, 4.25438e-10
0.572111, 0, 5.32729e-07, 1.57342e-09, 1.41421, -5.32729e-07, 1.58346e-09, 1.57342e-09, 1.57352e-09, 1.57388e-09, 1.57454e-09, 1.57648e-09, 1.57631e-09, 1.57806e-09, 1.57927e-09, 1.64578e-09, 1.64878e-09, 1.62223e-09, 1.51435e-08, 4.72598e-09, 1.58239e-09, 1.57381e-09, 1.70358e-09, 3.15683e-09, 1.57344e-09, 5.13936e-07, 1.57342e-09, 1.57342e-09, 1.69569e-09
0.579985, 0, 7.97667e-07, 5.05518e-09, 1.41421, -7.97667e-07, 5.08481e-09, 5.05518e-09, 5.05547e-09, 5.05655e-09, 5.05848e-09, 5.0642e-09, 5.06371e-09, 5.06888e-09, 5.07246e-09, 5.26592e-09, 5.27762e-09, 5.19926e-09, 4.51098e-08, 9.71527e-09, 5.08165e-09, 5.05632e-09, 5.28167e-09, 7.87535e-09, 5.05525e-09, 7.48856e-07, 5.05518e-09, 5.05518e-09, 5.4161e-09
0.587859, 0, 1.21173e-06, 1.48816e-08, 1.41421, -1.21173e-06, 1.49646e-08, 1.48816e-08, 1.48824e-08, 1.48854e-08, 1.48908e-08, 1.49069e-08, 1.49055e-08, 1.49199e-08, 1.493e-08, 1.54655e-08, 1.55044e-08, 1.5285e-08, 1.27035e-07, 2.17141e-08, 1.49557e-08, 1.48848e-08, 1.52717e-08, 1.9868e-08, 1.48818e-08, 1.08443e-06, 1.48816e-08, 1.48816e-08, 1.58922e-08
0.595733, 0, 1.89421e-06, 4.1571e-08, 1.41421, -1.89421e-06, 4.17938e-08, 4.1571e-08, 4.15732e-08, 4.15813e-08, 4.15958e-08, 4.16388e-08, 4.16351e-08, 4.1674e-08, 4.17009e-08, 4.31243e-08, 4.32433e-08, 4.26542e-08, 3.42701e-07, 5.15082e-08, 4.177e-08, 4.15796e-08, 4.22359e-08, 5.03123e-08, 4.15715e-08, 1.56588e-06, 4.1571e-08, 4.1571e-08, 4.42844e-08
0.603607, 0, 3.0956e-06, 1.11378e-07, 1.41421, -3.0956e-06, 1.11953e-07, 1.11378e-07, 1.11383e-07, 1.11404e-07, 1.11442e-07, 1.11553e-07, 1.11543e-07, 1.11644e-07, 1.11713e-07, 1.1546e-07, 1.15699e-07, 1.14177e-07, 8.89565e-07, 1.25716e-07, 1.11892e-07, 1.114e-07, 1.12499e-07, 1.26554e-07, 1.11379e-07, 2.26641e-06, 1.11378e-07, 1.11378e-07, 1.1839e-07
