   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_247.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.410866, 0, 1.39969e-05, 6.83777e-07, 1.41421, -1.39969e-05, 6.83777e-07, 6.83792e-07, 6.838e-07, 6.83924e-07, 6.86565e-07, 6.92877e-07, 9.49573e-07, 6.83939e-07, 6.83782e-07, 7.10881e-07, 1.69704e-06, 1.26217e-05, 6.83777e-07, 7.40524e-07
0.418975, 0, 1.79182e-05, 1.29385e-06, 1.41421, -1.79182e-05, 1.29385e-06, 1.29388e-06, 1.29389e-06, 1.29413e-06, 1.29913e-06, 1.31108e-06, 1.62681e-06, 1.29416e-06, 1.29386e-06, 1.33179e-06, 2.65155e-06, 1.6059e-05, 1.29385e-06, 1.40132e-06
0.427084, 0, 2.31243e-05, 2.398e-06, 1.41421, -2.31243e-05, 2.398e-06, 2.39805e-06, 2.39808e-06, 2.39852e-06, 2.40779e-06, 2.42996e-06, 2.81378e-06, 2.39857e-06, 2.39802e-06, 2.45088e-06, 4.209e-06, 2.06023e-05, 2.398e-06, 2.59732e-06
0.435193, 0, 3.01808e-05, 4.36357e-06, 1.41421, -3.01808e-05, 4.36357e-06, 4.36366e-06, 4.36371e-06, 4.36451e-06, 4.38139e-06, 4.42176e-06, 4.88115e-06, 4.3646e-06, 4.3636e-06, 4.43693e-06, 6.76811e-06, 2.67441e-05, 4.36357e-06, 4.72648e-06
0.443301, 0, 3.99641e-05, 7.80654e-06, 1.41421, -3.99641e-05, 7.80654e-06, 7.80671e-06, 7.8068e-06, 7.80822e-06, 7.83845e-06, 7.91071e-06, 8.44888e-06, 7.80838e-06, 7.80659e-06, 7.90788e-06, 1.09843e-05, 3.52529e-05, 7.80654e-06, 8.45616e-06
0.45141, 0, 5.38371e-05, 1.37423e-05, 1.41421, -5.38371e-05, 1.37423e-05, 1.37426e-05, 1.37427e-05, 1.37452e-05, 1.37985e-05, 1.39258e-05, 1.4537e-05, 1.37455e-05, 1.37424e-05, 1.38816e-05, 1.79222e-05, 4.73322e-05, 1.37423e-05, 1.48865e-05
0.459519, 0, 7.39337e-05, 2.38277e-05, 1.41421, -7.39337e-05, 2.38277e-05, 2.38282e-05, 2.38285e-05, 2.38328e-05, 2.39252e-05, 2.4146e-05, 2.48079e-05, 2.38333e-05, 2.38278e-05, 2.40184e-05, 2.93001e-05, 6.48772e-05, 2.38277e-05, 2.58126e-05
0.467628, 0, 0.000103511, 4.06635e-05, 1.41421, -0.000103511, 4.06635e-05, 4.06644e-05, 4.06649e-05, 4.06723e-05, 4.083e-05, 4.1207e-05, 4.1869e-05, 4.06732e-05, 4.06638e-05, 4.09235e-05, 4.77949e-05, 9.07946e-05, 4.06635e-05, 4.40526e-05
0.475737, 0, 0.000147617, 6.83711e-05, 1.41421, -0.000147617, 6.83711e-05, 6.83727e-05, 6.83734e-05, 6.83859e-05, 6.86512e-05, 6.92854e-05, 6.98492e-05, 6.83874e-05, 6.83716e-05, 6.8724e-05, 7.76217e-05, 0.000129605, 6.83711e-05, 7.40723e-05
0.483845, 0, 0.000213919, 0.000113289, 1.41421, -0.000213919, 0.000113289, 0.000113291, 0.000113293, 0.000113313, 0.000113753, 0.000114804, 0.000115096, 0.000113316, 0.000113289, 0.000113765, 0.000125235, 0.0001882, 0.000113289, 0.00012274
0.491954, 0, 0.000313883, 0.000185028, 1.41421, -0.000313883, 0.000185028, 0.000185032, 0.000185034, 0.000185068, 0.000185786, 0.000187504, 0.00018723, 0.000185071, 0.000185029, 0.000185669, 0.000200387, 0.000276904, 0.000185028, 0.000200472
0.500063, 0, 0.000464505, 0.000297928, 1.41421, -0.000464505, 0.000297928, 0.000297935, 0.000297938, 0.000297993, 0.000299151, 0.000301918, 0.000300606, 0.000297999, 0.00029793, 0.000298788, 0.000317597, 0.000411052, 0.000297928, 0.00032281
0.508172, 0, 0.000690595, 0.000473037, 1.41421, -0.000690595, 0.000473037, 0.000473048, 0.000473053, 0.000473139, 0.000474979, 0.000479376, 0.000476284, 0.000473149, 0.00047304, 0.000474184, 0.000498124, 0.000613063, 0.000473037, 0.000512564
0.516281, 0, 0.00102787, 0.00074075, 1.41421, -0.00102787, 0.00074075, 0.000740766, 0.000740775, 0.00074091, 0.000743792, 0.000750682, 0.000744676, 0.000740926, 0.000740755, 0.000742276, 0.000772632, 0.000915241, 0.00074075, 0.000802688
0.524389, 0, 0.00152695, 0.00114425, 1.41421, -0.00152695, 0.00114425, 0.00114428, 0.00114429, 0.0011445, 0.00114895, 0.0011596, 0.00114899, 0.00114452, 0.00114426, 0.00114627, 0.00118464, 0.00136342, 0.00114425, 0.00124
0.532498, 0, 0.00225853, 0.00174393, 1.41421, -0.00225853, 0.00174393, 0.00174397, 0.00174399, 0.00174431, 0.0017511, 0.00176734, 0.00174963, 0.00174434, 0.00174394, 0.00174659, 0.00179493, 0.00202166, 0.00174393, 0.00188995
0.540607, 0, 0.0033198, 0.00262283, 1.41421, -0.0033198, 0.00262283, 0.00262289, 0.00262292, 0.0026234, 0.00263362, 0.00265806, 0.00262967, 0.00262345, 0.00262285, 0.00262634, 0.00268706, 0.00297806, 0.00262283, 0.00284261
0.548716, 0, 0.00484237, 0.00389335, 1.41421, -0.00484237, 0.00389335, 0.00389344, 0.00389348, 0.0038942, 0.00390938, 0.00394569, 0.00390155, 0.00389428, 0.00389338, 0.00389794, 0.00397406, 0.00435199, 0.00389335, 0.00421985
0.556824, 0, 0.00700174, 0.00570519, 1.41421, -0.00700174, 0.00570519, 0.00570532, 0.00570539, 0.00570643, 0.0057287, 0.00578194, 0.00571501, 0.00570655, 0.00570523, 0.00571119, 0.0058064, 0.00630267, 0.00570519, 0.00618404
0.564933, 0, 0.0100281, 0.00825443, 1.41421, -0.0100281, 0.00825443, 0.00825462, 0.00825471, 0.00825623, 0.00828847, 0.00836555, 0.00826615, 0.0082564, 0.00825449, 0.00826224, 0.0083811, 0.00903906, 0.00825443, 0.00894786
