   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_124.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.343604, 0, 1.19529e-09, 3.8805e-37, 1.41421, -1.19529e-09, 3.8805e-37, 0, 3.8805e-37, 3.8805e-37, 3.8805e-37, 3.8805e-37, 3.8805e-37, 3.8805e-37, 3.8805e-37, 3.8805e-37, 3.8805e-37, 3.8805e-37, 6.21449e-12, 3.8805e-37, 3.8805e-37, 4.21953e-14, 3.8805e-37, 7.8686e-11, 3.8805e-37, 1.11035e-09, 3.8805e-37, 3.8805e-37, 3.8805e-37
0.351468, 0, 1.77038e-09, 3.19495e-36, 1.41421, -1.77038e-09, 3.19495e-36, 0, 3.19495e-36, 3.19495e-36, 3.19495e-36, 3.19495e-36, 3.19495e-36, 3.19495e-36, 3.19495e-36, 3.19495e-36, 3.19495e-36, 3.19495e-36, 9.17295e-12, 3.19495e-36, 3.19495e-36, 6.6389e-14, 3.19495e-36, 1.24252e-10, 3.19495e-36, 1.63689e-09, 3.19495e-36, 3.19495e-36, 3.19495e-36
0.359332, 0, 2.60707e-09, 2.41734e-35, 1.41421, -2.60707e-09, 2.41734e-35, 0, 2.41734e-35, 2.41734e-35, 2.41734e-35, 2.41734e-35, 2.41734e-35, 2.41734e-35, 2.41734e-35, 2.41734e-35, 2.41734e-35, 2.41734e-35, 1.34567e-11, 2.41734e-35, 2.41734e-35, 1.0437e-13, 2.41734e-35, 1.95743e-10, 2.41734e-35, 2.39777e-09, 2.41734e-35, 2.41734e-35, 2.41734e-35
0.367196, 0, 3.81756e-09, 1.68848e-34, 1.41421, -3.81756e-09, 1.68848e-34, 0, 1.68848e-34, 1.68848e-34, 1.68848e-34, 1.68848e-34, 1.68848e-34, 1.68848e-34, 1.68848e-34, 1.68848e-34, 1.68848e-34, 1.68848e-34, 1.96209e-11, 1.68848e-34, 1.68848e-34, 1.63999e-13, 1.68848e-34, 3.07715e-10, 1.68848e-34, 3.49006e-09, 1.68848e-34, 1.68848e-34, 1.68848e-34
0.37506, 0, 5.55947e-09, 1.15254e-33, 1.41421, -5.55947e-09, 1.15254e-33, 0, 1.15254e-33, 1.15254e-33, 1.15254e-33, 1.15254e-33, 1.15254e-33, 1.15254e-33, 1.15254e-33, 1.15254e-33, 1.15254e-33, 1.15254e-33, 2.84371e-11, 1.15254e-33, 1.15254e-33, 2.57643e-13, 1.15254e-33, 4.82826e-10, 1.15254e-33, 5.04795e-09, 1.15254e-33, 1.15254e-33, 1.15254e-33
0.382924, 0, 8.05322e-09, 7.58754e-33, 1.41421, -8.05322e-09, 7.58754e-33, 0, 7.58754e-33, 7.58754e-33, 7.58754e-33, 7.58754e-33, 7.58754e-33, 7.58754e-33, 7.58754e-33, 7.58754e-33, 7.58754e-33, 7.58754e-33, 4.09709e-11, 7.58754e-33, 7.58754e-33, 4.04752e-13, 7.58754e-33, 7.56299e-10, 7.58754e-33, 7.25555e-09, 7.58754e-33, 7.58754e-33, 7.58754e-33
0.390788, 0, 1.16059e-08, 4.69286e-32, 1.41421, -1.16059e-08, 4.69286e-32, 0, 4.69286e-32, 4.69286e-32, 4.69286e-32, 4.69286e-32, 4.69286e-32, 4.69286e-32, 4.69286e-32, 4.69286e-32, 4.69286e-32, 4.69286e-32, 5.86845e-11, 4.69286e-32, 4.69286e-32, 6.35904e-13, 4.69286e-32, 1.18281e-09, 4.69286e-32, 1.03637e-08, 4.69286e-32, 4.69286e-32, 4.69286e-32
0.398652, 0, 1.66437e-08, 2.7133e-31, 1.41421, -1.66437e-08, 2.7133e-31, 0, 2.7133e-31, 2.7133e-31, 2.7133e-31, 2.7133e-31, 2.7133e-31, 2.7133e-31, 2.7133e-31, 2.7133e-31, 2.7133e-31, 2.7133e-31, 8.35738e-11, 2.7133e-31, 2.7133e-31, 9.99137e-13, 2.7133e-31, 1.84712e-09, 2.7133e-31, 1.4712e-08, 2.7133e-31, 2.7133e-31, 2.7133e-31
0.406516, 0, 2.37569e-08, 1.46806e-30, 1.41421, -2.37569e-08, 1.46806e-30, 0, 1.46806e-30, 1.46806e-30, 1.46806e-30, 1.46806e-30, 1.46806e-30, 1.46806e-30, 1.46806e-30, 1.46806e-30, 1.46806e-30, 1.46806e-30, 1.18347e-10, 1.46806e-30, 1.46806e-30, 1.56979e-12, 1.46806e-30, 2.88033e-09, 1.46806e-30, 2.07566e-08, 1.46806e-30, 1.46806e-30, 1.46806e-30
0.41438, 0, 3.37604e-08, 7.45384e-30, 1.41421, -3.37604e-08, 7.45384e-30, 0, 7.45384e-30, 7.45384e-30, 7.45384e-30, 7.45384e-30, 7.45384e-30, 7.45384e-30, 7.45384e-30, 7.45384e-30, 7.45384e-30, 7.45384e-30, 1.66658e-10, 7.45384e-30, 7.45384e-30, 2.4658e-12, 7.45384e-30, 4.48473e-09, 7.45384e-30, 2.91066e-08, 7.45384e-30, 7.45384e-30, 7.45384e-30
