   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_365.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.36328, 0, 1.7218e-07, 5.07714e-28, 1.41421, -1.7218e-07, 0, 5.07714e-28, 5.07714e-28, 5.07714e-28, 5.07714e-28, 5.07714e-28, 5.07714e-28, 5.07714e-28, 5.07714e-28, 5.07714e-28, 5.07714e-28, 4.84806e-10, 5.07714e-28, 5.07714e-28, 3.73616e-09, 5.07714e-28, 2.59083e-09, 5.07714e-28, 1.65368e-07, 5.07714e-28, 5.07714e-28, 5.07714e-28
0.371132, 0, 2.23348e-07, 2.06805e-27, 1.41421, -2.23348e-07, 0, 2.06805e-27, 2.06805e-27, 2.06805e-27, 2.06805e-27, 2.06805e-27, 2.06805e-27, 2.06805e-27, 2.06805e-27, 2.06805e-27, 2.06805e-27, 6.29654e-10, 2.06805e-27, 2.06805e-27, 5.41572e-09, 2.06805e-27, 3.6438e-09, 2.06805e-27, 2.13658e-07, 2.06805e-27, 2.06805e-27, 2.06805e-27
0.378985, 0, 2.88781e-07, 8.00741e-27, 1.41421, -2.88781e-07, 0, 8.00741e-27, 8.00741e-27, 8.00741e-27, 8.00741e-27, 8.00741e-27, 8.00741e-27, 8.00741e-27, 8.00741e-27, 8.00741e-27, 8.00741e-27, 8.15115e-10, 8.00741e-27, 8.00741e-27, 7.8368e-09, 8.00741e-27, 5.11292e-09, 8.00741e-27, 2.75017e-07, 8.00741e-27, 8.00741e-27, 8.00741e-27
0.386837, 0, 3.72206e-07, 2.95477e-26, 1.41421, -3.72206e-07, 0, 2.95477e-26, 2.95477e-26, 2.95477e-26, 2.95477e-26, 2.95477e-26, 2.95477e-26, 5.13971e-13, 2.95477e-26, 2.95477e-26, 2.95477e-26, 1.05182e-09, 2.95477e-26, 2.95477e-26, 1.13175e-08, 2.95477e-26, 7.15684e-09, 2.95477e-26, 3.52679e-07, 2.95477e-26, 2.95477e-26, 2.95477e-26
0.39469, 0, 4.78259e-07, 1.04158e-25, 1.41421, -4.78259e-07, 0, 1.04158e-25, 1.04158e-25, 1.04158e-25, 1.04158e-25, 1.04158e-25, 1.04158e-25, 1.49728e-12, 1.04158e-25, 1.04158e-25, 1.04158e-25, 1.35298e-09, 1.04158e-25, 1.04158e-25, 1.63071e-08, 1.04158e-25, 9.99186e-09, 1.04158e-25, 4.50606e-07, 1.04158e-25, 1.04158e-25, 1.04158e-25
0.402542, 0, 6.127e-07, 3.53538e-25, 1.41421, -6.127e-07, 0, 3.53538e-25, 3.53538e-25, 3.53538e-25, 3.53538e-25, 3.53538e-25, 3.53538e-25, 3.35011e-12, 3.53538e-25, 3.53538e-25, 3.53538e-25, 1.73495e-09, 3.53538e-25, 3.53538e-25, 2.34369e-08, 3.53538e-25, 1.39114e-08, 3.53538e-25, 5.73614e-07, 3.53538e-25, 3.53538e-25, 3.53538e-25
0.410395, 0, 7.84743e-07, 2.04689e-10, 1.41421, -7.84743e-07, 2.04689e-10, 2.04697e-10, 2.10403e-10, 2.05041e-10, 2.16053e-10, 2.91923e-10, 1.35191e-09, 2.3405e-10, 2.31078e-10, 2.42811e-10, 5.12786e-10, 2.42268e-09, 2.09348e-10, 2.04982e-10, 3.37951e-08, 2.05112e-10, 1.95166e-08, 2.0469e-10, 7.27853e-07, 2.04689e-10, 2.04689e-10, 3.15028e-10
0.418247, 0, 1.00304e-06, 5.88655e-10, 1.41421, -1.00304e-06, 5.88655e-10, 5.88677e-10, 6.05247e-10, 5.89677e-10, 6.21655e-10, 8.41976e-10, 3.92011e-09, 6.67294e-10, 6.65286e-10, 6.99358e-10, 1.48335e-09, 3.41561e-09, 6.02184e-10, 5.89506e-10, 4.85903e-08, 5.96703e-10, 2.73146e-08, 5.88657e-10, 9.20344e-07, 5.88655e-10, 5.88655e-10, 9.09071e-10
0.4261, 0, 1.28034e-06, 1.30393e-09, 1.41421, -1.28034e-06, 1.30393e-09, 1.30398e-09, 1.34096e-09, 1.30621e-09, 1.37759e-09, 1.86936e-09, 8.73996e-09, 1.47473e-09, 1.47497e-09, 1.55102e-09, 3.30095e-09, 4.8963e-09, 1.33412e-09, 1.30583e-09, 6.96796e-08, 1.32813e-09, 3.81691e-08, 1.30393e-09, 1.16004e-06, 1.30393e-09, 1.30393e-09, 2.01912e-09
0.433952, 0, 1.633e-06, 2.62235e-09, 1.41421, -1.633e-06, 2.62235e-09, 2.62244e-09, 2.6973e-09, 2.62696e-09, 2.77143e-09, 3.76675e-09, 1.76726e-08, 2.96333e-09, 2.96853e-09, 3.12246e-09, 6.66423e-09, 7.17392e-09, 2.68346e-09, 2.62619e-09, 9.96898e-08, 2.67937e-09, 5.32979e-08, 2.62235e-09, 1.45748e-06, 2.62235e-09, 2.62235e-09, 4.06986e-09
0.441805, 0, 2.08293e-06, 5.02856e-09, 1.41421, -2.08293e-06, 5.02856e-09, 5.02875e-09, 5.17296e-09, 5.03745e-09, 5.31577e-09, 7.23325e-09, 3.40227e-08, 5.67925e-09, 5.69549e-09, 5.99203e-09, 1.28152e-08, 1.07786e-08, 5.1463e-09, 5.03597e-09, 1.42338e-07, 5.14925e-09, 7.44418e-08, 5.02858e-09, 1.82571e-06, 5.02856e-09, 5.02856e-09, 7.81719e-09
0.449657, 0, 2.65999e-06, 9.36872e-09, 1.41421, -2.65999e-06, 9.36872e-09, 9.36907e-09, 9.63867e-09, 9.38534e-09, 9.90564e-09, 1.34903e-08, 6.35727e-08, 1.0619e-08, 1.06155e-08, 1.11699e-08, 2.39257e-08, 1.66119e-08, 9.58884e-09, 9.38257e-09, 2.02886e-07, 9.60926e-09, 1.04182e-07, 9.36875e-09, 2.28072e-06, 9.36872e-09, 9.36872e-09, 1.4582e-08
0.45751, 0, 3.40568e-06, 1.71019e-08, 1.41421, -3.40568e-06, 1.71019e-08, 1.71025e-08, 1.75959e-08, 1.71323e-08, 1.80845e-08, 2.46451e-08, 1.16304e-07, 1.98279e-08, 1.93837e-08, 2.03983e-08, 4.37436e-08, 2.61998e-08, 1.75047e-08, 1.71272e-08, 2.88794e-07, 1.75632e-08, 1.46041e-07, 1.71019e-08, 2.84232e-06, 1.71019e-08, 1.71019e-08, 2.66431e-08
0.465362, 0, 4.38191e-06, 3.07089e-08, 1.41421, -4.38191e-06, 3.07089e-08, 3.071e-08, 3.15978e-08, 3.07636e-08, 3.2477e-08, 4.42818e-08, 2.09209e-07, 3.97917e-08, 3.48147e-08, 3.66403e-08, 7.86467e-08, 4.21039e-08, 3.14337e-08, 3.07545e-08, 4.10661e-07, 3.15698e-08, 2.05347e-07, 3.0709e-08, 3.53528e-06, 3.07089e-08, 3.07089e-08, 4.78768e-08
0.473215, 0, 5.67261e-06, 5.43499e-08, 1.41421, -5.67261e-06, 5.43499e-08, 5.43519e-08, 5.5926e-08, 5.4447e-08, 5.74847e-08, 7.84136e-08, 3.70814e-07, 7.52468e-08, 6.16293e-08, 6.48659e-08, 1.39339e-07, 6.85819e-08, 5.5635e-08, 5.44307e-08, 5.83578e-07, 5.59232e-08, 2.89929e-07, 5.43501e-08, 4.39117e-06, 5.43499e-08, 5.43499e-08, 8.47872e-08
0.481067, 0, 7.40441e-06, 9.49033e-08, 1.41421, -7.40441e-06, 9.49033e-08, 9.49068e-08, 9.76596e-08, 9.5073e-08, 1.00386e-07, 1.36987e-07, 6.48352e-07, 1.3748e-07, 1.07634e-07, 1.13294e-07, 2.43537e-07, 1.12629e-07, 9.71508e-08, 9.50447e-08, 8.29586e-07, 9.77286e-08, 4.11387e-07, 9.49036e-08, 5.4508e-06, 9.49033e-08, 9.49033e-08, 1.48133e-07
0.48892, 0, 9.76369e-06, 1.63583e-07, 1.41421, -9.76369e-06, 1.63583e-07, 1.6359e-07, 1.68341e-07, 1.63876e-07, 1.73047e-07, 2.36227e-07, 1.11893e-06, 2.45013e-07, 1.85559e-07, 1.95329e-07, 4.20152e-07, 1.85598e-07, 1.67463e-07, 1.63828e-07, 1.17882e-06, 1.6858e-07, 5.86995e-07, 1.63584e-07, 6.76778e-06, 1.63583e-07, 1.63583e-07, 2.55468e-07
0.496772, 0, 1.30323e-05, 2.78417e-07, 1.41421, -1.30323e-05, 2.78417e-07, 2.78428e-07, 2.86527e-07, 2.78917e-07, 2.94547e-07, 4.02231e-07, 1.9067e-06, 4.29417e-07, 3.15872e-07, 3.32525e-07, 7.15709e-07, 3.05684e-07, 2.8503e-07, 2.78833e-07, 1.67565e-06, 2.87132e-07, 8.4253e-07, 2.78418e-07, 8.41466e-06, 2.78417e-07, 2.78417e-07, 4.35025e-07
0.504625, 0, 1.76295e-05, 4.6797e-07, 1.41421, -1.76295e-05, 4.6797e-07, 4.67987e-07, 4.81619e-07, 4.6881e-07, 4.95118e-07, 6.7637e-07, 3.20867e-06, 7.38217e-07, 5.31012e-07, 5.59042e-07, 1.20401e-06, 5.01649e-07, 4.791e-07, 4.6867e-07, 2.38314e-06, 4.82971e-07, 1.21642e-06, 4.67971e-07, 1.04906e-05, 4.6797e-07, 4.6797e-07, 7.31568e-07
0.512477, 0, 2.41923e-05, 7.76875e-07, 1.41421, -2.41923e-05, 7.76875e-07, 7.76905e-07, 7.99567e-07, 7.78273e-07, 8.22009e-07, 1.12333e-06, 5.33319e-06, 1.25511e-06, 8.81681e-07, 9.2828e-07, 2.00052e-06, 8.18362e-07, 7.95378e-07, 7.78039e-07, 3.39146e-06, 8.02372e-07, 1.76586e-06, 7.76878e-07, 1.31338e-05, 7.76875e-07, 7.76875e-07, 1.2151e-06
0.52033, 0, 3.36735e-05, 1.27386e-06, 1.41421, -3.36735e-05, 1.27386e-06, 1.2739e-06, 1.31112e-06, 1.27615e-06, 1.34797e-06, 1.84278e-06, 8.75588e-06, 2.11063e-06, 1.44596e-06, 1.52248e-06, 3.28323e-06, 1.32483e-06, 1.30424e-06, 1.27577e-06, 4.82916e-06, 1.31666e-06, 2.57544e-06, 1.27386e-06, 1.65394e-05, 1.27386e-06, 1.27386e-06, 1.99347e-06
0.528182, 0, 4.7498e-05, 2.0632e-06, 1.41421, -4.7498e-05, 2.0632e-06, 2.06328e-06, 2.12365e-06, 2.06693e-06, 2.18343e-06, 2.98606e-06, 1.41998e-05, 3.51072e-06, 2.34237e-06, 2.4665e-06, 5.32262e-06, 2.12566e-06, 2.11249e-06, 2.0663e-06, 6.87891e-06, 2.1342e-06, 3.76956e-06, 2.06321e-06, 2.09894e-05, 2.0632e-06, 2.0632e-06, 3.2305e-06
0.536035, 0, 6.77637e-05, 3.30091e-06, 1.41421, -6.77637e-05, 3.30091e-06, 3.30104e-06, 3.39777e-06, 3.30688e-06, 3.49356e-06, 4.77972e-06, 2.27489e-05, 5.77645e-06, 3.74826e-06, 3.94716e-06, 8.52386e-06, 3.37725e-06, 3.37989e-06, 3.30588e-06, 9.79919e-06, 3.41727e-06, 5.52967e-06, 3.30093e-06, 2.68751e-05, 3.30091e-06, 3.30091e-06, 5.17141e-06
