   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_859.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.279716, 0, 3.74029e-10, 3.02567e-40, 1.41421, -3.74029e-10, 0, 3.02567e-40, 3.02567e-40, 3.02567e-40, 3.02567e-40, 3.02567e-40, 3.02567e-40, 3.02567e-40, 3.02567e-40, 1.76447e-12, 3.02567e-40, 3.02567e-40, 3.89745e-12, 3.02567e-40, 3.68367e-10, 3.02567e-40, 3.02567e-40, 3.02567e-40
0.287561, 0, 5.33056e-10, 3.3324e-39, 1.41421, -5.33056e-10, 0, 3.3324e-39, 3.3324e-39, 3.3324e-39, 3.3324e-39, 3.3324e-39, 3.3324e-39, 3.3324e-39, 3.3324e-39, 2.51507e-12, 3.3324e-39, 3.3324e-39, 5.8719e-12, 3.3324e-39, 5.24669e-10, 3.3324e-39, 3.3324e-39, 3.3324e-39
0.295406, 0, 7.56012e-10, 3.3176e-38, 1.41421, -7.56012e-10, 0, 3.3176e-38, 3.3176e-38, 3.3176e-38, 3.3176e-38, 3.3176e-38, 3.3176e-38, 3.3176e-38, 3.3176e-38, 3.56774e-12, 3.3176e-38, 3.3176e-38, 8.84109e-12, 3.3176e-38, 7.43603e-10, 3.3176e-38, 3.3176e-38, 3.3176e-38
0.303251, 0, 1.06706e-09, 3.00079e-37, 1.41421, -1.06706e-09, 0, 3.00079e-37, 3.00079e-37, 3.00079e-37, 3.00079e-37, 3.00079e-37, 3.00079e-37, 3.00079e-37, 3.00079e-37, 5.03684e-12, 3.00079e-37, 3.00079e-37, 1.33071e-11, 3.00079e-37, 1.04871e-09, 3.00079e-37, 3.00079e-37, 3.00079e-37
0.311096, 0, 1.49887e-09, 2.47861e-36, 1.41421, -1.49887e-09, 0, 2.47861e-36, 2.47861e-36, 2.47861e-36, 2.47861e-36, 2.47861e-36, 2.47861e-36, 2.47861e-36, 2.47861e-36, 7.07723e-12, 2.47861e-36, 2.47861e-36, 2.00269e-11, 2.47861e-36, 1.47176e-09, 2.47861e-36, 2.47861e-36, 2.47861e-36
0.318941, 0, 2.09545e-09, 1.87913e-35, 1.41421, -2.09545e-09, 0, 1.87913e-35, 1.87913e-35, 1.87913e-35, 1.87913e-35, 1.87913e-35, 1.87913e-35, 1.87913e-35, 1.87913e-35, 9.89752e-12, 1.87913e-35, 1.87913e-35, 3.01426e-11, 1.87913e-35, 2.05541e-09, 1.87913e-35, 1.87913e-35, 1.87913e-35
0.326787, 0, 2.91571e-09, 1.31403e-34, 1.41421, -2.91571e-09, 0, 1.31403e-34, 1.31403e-34, 1.31403e-34, 1.31403e-34, 1.31403e-34, 1.31403e-34, 1.31403e-34, 1.31403e-34, 1.37774e-11, 1.31403e-34, 1.31403e-34, 4.53782e-11, 1.31403e-34, 2.85655e-09, 1.31403e-34, 1.31403e-34, 1.31403e-34
0.334632, 0, 4.03821e-09, 8.69858e-34, 1.41421, -4.03821e-09, 0, 8.69858e-34, 8.69858e-34, 8.69858e-34, 8.69858e-34, 8.69858e-34, 8.69858e-34, 8.69858e-34, 8.69858e-34, 1.90901e-11, 8.69858e-34, 8.69858e-34, 6.83349e-11, 8.69858e-34, 3.95078e-09, 8.69858e-34, 8.69858e-34, 8.69858e-34
0.342477, 0, 5.56714e-09, 5.66706e-33, 1.41421, -5.56714e-09, 0, 5.66706e-33, 5.66706e-33, 5.66706e-33, 5.66706e-33, 5.66706e-33, 5.66706e-33, 5.66706e-33, 5.66706e-33, 2.63311e-11, 5.66706e-33, 5.66706e-33, 1.02937e-10, 5.66706e-33, 5.43787e-09, 5.66706e-33, 5.66706e-33, 5.66706e-33
0.350322, 0, 7.64016e-09, 3.49628e-32, 1.41421, -7.64016e-09, 0, 3.49628e-32, 3.49628e-32, 3.49628e-32, 3.49628e-32, 3.49628e-32, 3.49628e-32, 3.49628e-32, 3.49628e-32, 3.61556e-11, 3.49628e-32, 3.49628e-32, 1.55097e-10, 3.49628e-32, 7.4489e-09, 3.49628e-32, 3.49628e-32, 3.49628e-32
