   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_141.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.374179, 0, 7.1965e-09, 1.34749e-33, 1.41421, -7.1965e-09, 1.34749e-33, 0, 1.34749e-33, 1.34749e-33, 1.34749e-33, 1.34749e-33, 1.34749e-33, 1.34749e-33, 1.34749e-33, 1.34749e-33, 1.34749e-33, 3.17517e-11, 1.34749e-33, 1.34749e-33, 6.45524e-14, 4.73123e-10, 1.34749e-33, 6.69156e-09, 1.34749e-33, 1.34749e-33
0.382045, 0, 1.0333e-08, 2.49352e-32, 1.41421, -1.0333e-08, 2.49352e-32, 0, 2.49352e-32, 2.49352e-32, 2.49352e-32, 2.49352e-32, 2.49352e-32, 2.49352e-32, 2.49352e-32, 2.49352e-32, 2.49352e-32, 4.54289e-11, 2.49352e-32, 2.49352e-32, 1.00926e-13, 7.3826e-10, 2.49352e-32, 9.54916e-09, 2.49352e-32, 2.49352e-32
0.389911, 0, 1.47578e-08, 1.45194e-31, 1.41421, -1.47578e-08, 1.45194e-31, 0, 1.45194e-31, 1.45194e-31, 1.45194e-31, 1.45194e-31, 1.45194e-31, 1.45194e-31, 1.45194e-31, 1.45194e-31, 1.45194e-31, 6.4627e-11, 1.45194e-31, 1.45194e-31, 1.57583e-13, 1.14892e-09, 1.45194e-31, 1.35441e-08, 1.45194e-31, 1.45194e-31
0.397776, 0, 2.09718e-08, 7.91024e-31, 1.41421, -2.09718e-08, 7.91024e-31, 0, 7.91024e-31, 7.91024e-31, 7.91024e-31, 7.91024e-31, 7.91024e-31, 7.91024e-31, 7.91024e-31, 7.91024e-31, 7.91024e-31, 9.14268e-11, 7.91024e-31, 7.91024e-31, 2.46054e-13, 1.78529e-09, 7.91024e-31, 1.90948e-08, 7.91024e-31, 7.91024e-31
0.405642, 0, 2.96585e-08, 4.0428e-30, 1.41421, -2.96585e-08, 4.0428e-30, 0, 4.0428e-30, 4.0428e-30, 4.0428e-30, 4.0428e-30, 4.0428e-30, 4.0428e-30, 4.0428e-30, 4.0428e-30, 4.0428e-30, 1.28633e-10, 4.0428e-30, 4.0428e-30, 3.84154e-13, 2.7699e-09, 4.0428e-30, 2.67596e-08, 4.0428e-30, 4.0428e-30
0.413508, 0, 4.17502e-08, 1.94434e-29, 1.41421, -4.17502e-08, 1.94434e-29, 0, 1.94434e-29, 1.94434e-29, 1.94434e-29, 1.94434e-29, 1.94434e-29, 1.94434e-29, 1.94434e-29, 1.94434e-29, 1.94434e-29, 1.80008e-10, 1.94434e-29, 1.94434e-29, 5.99572e-13, 4.29066e-09, 1.94434e-29, 3.72789e-08, 1.94434e-29, 1.94434e-29
0.421374, 0, 5.85147e-08, 8.82694e-29, 1.41421, -5.85147e-08, 8.82694e-29, 0, 8.82694e-29, 8.82694e-29, 8.82694e-29, 8.82694e-29, 8.82694e-29, 8.82694e-29, 8.82694e-29, 8.82694e-29, 8.82694e-29, 2.50577e-10, 8.82694e-29, 8.82694e-29, 9.35216e-13, 6.63476e-09, 8.82694e-29, 5.16284e-08, 8.82694e-29, 8.82694e-29
0.42924, 0, 8.16727e-08, 3.79431e-28, 1.41421, -8.16727e-08, 3.79431e-28, 0, 3.79431e-28, 3.79431e-28, 3.79431e-28, 3.79431e-28, 3.79431e-28, 3.79431e-28, 3.79431e-28, 3.79431e-28, 3.79431e-28, 3.47009e-10, 3.79431e-28, 3.79431e-28, 1.45734e-12, 1.02394e-08, 3.79431e-28, 7.10848e-08, 3.79431e-28, 3.79431e-28
0.437105, 0, 1.13556e-07, 1.54874e-27, 1.41421, -1.13556e-07, 1.54874e-27, 0, 1.54874e-27, 1.54874e-27, 1.54874e-27, 1.54874e-27, 1.54874e-27, 1.54874e-27, 1.54874e-27, 1.54874e-27, 1.54874e-27, 4.78122e-10, 1.54874e-27, 1.54874e-27, 2.26782e-12, 1.57676e-08, 1.54874e-27, 9.73084e-08, 1.54874e-27, 1.54874e-27
0.444971, 0, 1.57322e-07, 6.0191e-27, 1.41421, -1.57322e-07, 6.0191e-27, 0, 6.0191e-27, 6.0191e-27, 6.0191e-27, 6.0191e-27, 6.0191e-27, 6.0191e-27, 6.0191e-27, 6.0191e-27, 6.0191e-27, 6.55514e-10, 6.0191e-27, 6.0191e-27, 3.52262e-12, 2.42188e-08, 6.0191e-27, 1.32444e-07, 6.0191e-27, 6.0191e-27
0.452837, 0, 2.17238e-07, 2.23304e-26, 1.41421, -2.17238e-07, 2.23304e-26, 0, 2.23304e-26, 2.23304e-26, 2.23304e-26, 2.23304e-26, 2.23304e-26, 6.5042e-14, 2.23304e-26, 2.23304e-26, 2.23304e-26, 8.94362e-10, 2.23304e-26, 2.23304e-26, 5.45922e-12, 3.70924e-08, 2.23304e-26, 1.79246e-07, 2.23304e-26, 2.23304e-26
