   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_136.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.336259, 0, 1.48279e-09, 4.9667e-37, 1.41421, -1.48279e-09, 4.9667e-37, 0, 4.9667e-37, 4.9667e-37, 4.9667e-37, 4.9667e-37, 4.9667e-37, 4.9667e-37, 4.9667e-37, 4.9667e-37, 4.9667e-37, 4.51066e-12, 4.9667e-37, 4.9667e-37, 4.77853e-14, 4.9667e-37, 4.672e-12, 4.9667e-37, 1.47356e-09, 4.9667e-37, 4.9667e-37
0.344117, 0, 2.15208e-09, 4.04089e-36, 1.41421, -2.15208e-09, 4.04089e-36, 0, 4.04089e-36, 4.04089e-36, 4.04089e-36, 4.04089e-36, 4.04089e-36, 4.04089e-36, 4.04089e-36, 4.04089e-36, 4.04089e-36, 6.55402e-12, 4.04089e-36, 4.04089e-36, 7.41314e-14, 4.04089e-36, 7.26557e-12, 4.04089e-36, 2.13818e-09, 4.04089e-36, 4.04089e-36
0.351976, 0, 3.10523e-09, 3.022e-35, 1.41421, -3.10523e-09, 3.022e-35, 0, 3.022e-35, 3.022e-35, 3.022e-35, 3.022e-35, 3.022e-35, 3.022e-35, 3.022e-35, 3.022e-35, 3.022e-35, 9.46942e-12, 3.022e-35, 3.022e-35, 1.14949e-13, 3.022e-35, 1.12746e-11, 3.022e-35, 3.08437e-09, 3.022e-35, 3.022e-35
0.359834, 0, 4.45454e-09, 2.0796e-34, 1.41421, -4.45454e-09, 2.0796e-34, 0, 2.0796e-34, 2.0796e-34, 2.0796e-34, 2.0796e-34, 2.0796e-34, 2.0796e-34, 2.0796e-34, 2.0796e-34, 2.0796e-34, 1.36055e-11, 2.0796e-34, 2.0796e-34, 1.78204e-13, 2.0796e-34, 1.74616e-11, 2.0796e-34, 4.4233e-09, 2.0796e-34, 2.0796e-34
0.367692, 0, 6.35334e-09, 1.40646e-33, 1.41421, -6.35334e-09, 1.40646e-33, 0, 1.40646e-33, 1.40646e-33, 1.40646e-33, 1.40646e-33, 1.40646e-33, 1.40646e-33, 1.40646e-33, 1.40646e-33, 1.40646e-33, 1.94406e-11, 1.40646e-33, 1.40646e-33, 2.76267e-13, 1.40646e-33, 2.69954e-11, 1.40646e-33, 6.30663e-09, 1.40646e-33, 1.40646e-33
0.37555, 0, 9.00966e-09, 9.16567e-33, 1.41421, -9.00966e-09, 9.16567e-33, 0, 9.16567e-33, 9.16567e-33, 9.16567e-33, 9.16567e-33, 9.16567e-33, 9.16567e-33, 9.16567e-33, 9.16567e-33, 9.16567e-33, 2.76274e-11, 9.16567e-33, 9.16567e-33, 4.28342e-13, 9.16567e-33, 4.16655e-11, 9.16567e-33, 8.93994e-09, 9.16567e-33, 9.16567e-33
0.383409, 0, 1.2704e-08, 5.6092e-32, 1.41421, -1.2704e-08, 5.6092e-32, 0, 5.6092e-32, 5.6092e-32, 5.6092e-32, 5.6092e-32, 5.6092e-32, 5.6092e-32, 5.6092e-32, 5.6092e-32, 5.6092e-32, 3.90515e-11, 5.6092e-32, 5.6092e-32, 6.64232e-13, 5.6092e-32, 6.42075e-11, 5.6092e-32, 1.26e-08, 5.6092e-32, 5.6092e-32
0.391267, 0, 1.78121e-08, 3.20868e-31, 1.41421, -1.78121e-08, 3.20868e-31, 0, 3.20868e-31, 3.20868e-31, 3.20868e-31, 3.20868e-31, 3.20868e-31, 3.20868e-31, 3.20868e-31, 3.20868e-31, 3.20868e-31, 5.49085e-11, 3.20868e-31, 3.20868e-31, 1.03013e-12, 3.20868e-31, 9.87954e-11, 3.20868e-31, 1.76573e-08, 3.20868e-31, 3.20868e-31
0.399125, 0, 2.48346e-08, 1.71776e-30, 1.41421, -2.48346e-08, 1.71776e-30, 0, 1.71776e-30, 1.71776e-30, 1.71776e-30, 1.71776e-30, 1.71776e-30, 1.71776e-30, 1.71776e-30, 1.71776e-30, 1.71776e-30, 7.68039e-11, 1.71776e-30, 1.71776e-30, 1.59754e-12, 1.71776e-30, 1.51785e-10, 1.71776e-30, 2.46044e-08, 1.71776e-30, 1.71776e-30
0.406984, 0, 3.44339e-08, 8.62997e-30, 1.41421, -3.44339e-08, 8.62997e-30, 0, 8.62997e-30, 8.62997e-30, 8.62997e-30, 8.62997e-30, 8.62997e-30, 8.62997e-30, 8.62997e-30, 8.62997e-30, 8.62997e-30, 1.06882e-10, 8.62997e-30, 8.62997e-30, 2.47686e-12, 8.62997e-30, 2.32826e-10, 8.62997e-30, 3.40917e-08, 8.62997e-30, 8.62997e-30
0.414842, 0, 4.74819e-08, 4.08168e-29, 1.41421, -4.74819e-08, 4.08168e-29, 0, 4.08168e-29, 4.08168e-29, 4.08168e-29, 4.08168e-29, 4.08168e-29, 4.08168e-29, 4.08168e-29, 4.08168e-29, 4.08168e-29, 1.47995e-10, 4.08168e-29, 4.08168e-29, 3.83805e-12, 4.08168e-29, 3.56529e-10, 4.08168e-29, 4.69735e-08, 4.08168e-29, 4.08168e-29
0.4227, 0, 6.5119e-08, 1.82313e-28, 1.41421, -6.5119e-08, 1.82313e-28, 0, 1.82313e-28, 1.82313e-28, 1.82313e-28, 1.82313e-28, 1.82313e-28, 1.82313e-28, 1.82313e-28, 1.82313e-28, 1.82313e-28, 2.03916e-10, 1.82313e-28, 1.82313e-28, 5.94197e-12, 1.82313e-28, 5.44935e-10, 1.82313e-28, 6.43642e-08, 1.82313e-28, 1.82313e-28
0.430558, 0, 8.88288e-08, 7.7135e-28, 1.41421, -8.88288e-08, 7.7135e-28, 0, 7.7135e-28, 7.7135e-28, 7.7135e-28, 7.7135e-28, 7.7135e-28, 7.7135e-28, 7.7135e-28, 7.7135e-28, 7.7135e-28, 2.79613e-10, 7.7135e-28, 7.7135e-28, 9.18734e-12, 7.7135e-28, 8.31156e-10, 7.7135e-28, 8.77089e-08, 7.7135e-28, 7.7135e-28
0.438417, 0, 1.2053e-07, 3.09988e-27, 1.41421, -1.2053e-07, 3.09988e-27, 0, 3.09988e-27, 3.09988e-27, 3.09988e-27, 3.09988e-27, 3.09988e-27, 3.09988e-27, 3.09988e-27, 3.09988e-27, 3.09988e-27, 3.816e-10, 3.09988e-27, 3.09988e-27, 1.41808e-11, 3.09988e-27, 1.26471e-09, 3.09988e-27, 1.18869e-07, 3.09988e-27, 3.09988e-27
0.446275, 0, 1.62689e-07, 1.18652e-26, 1.41421, -1.62689e-07, 1.18652e-26, 0, 1.18652e-26, 1.18652e-26, 1.18652e-26, 1.18652e-26, 1.18652e-26, 1.18652e-26, 1.18652e-26, 1.18652e-26, 1.18652e-26, 5.18375e-10, 1.18652e-26, 1.18652e-26, 2.18411e-11, 1.18652e-26, 1.91925e-09, 1.18652e-26, 1.6023e-07, 1.18652e-26, 1.18652e-26
0.454133, 0, 2.18464e-07, 4.33661e-26, 1.41421, -2.18464e-07, 4.33661e-26, 0, 4.33661e-26, 4.33661e-26, 4.33661e-26, 4.33661e-26, 4.33661e-26, 2.22804e-13, 4.33661e-26, 4.33661e-26, 4.33661e-26, 7.00979e-10, 4.33661e-26, 4.33661e-26, 3.35517e-11, 4.33661e-26, 2.90376e-09, 4.33661e-26, 2.14825e-07, 4.33661e-26, 4.33661e-26
0.461991, 0, 2.91871e-07, 1.51709e-25, 1.41421, -2.91871e-07, 1.51709e-25, 0, 1.51709e-25, 1.51709e-25, 1.51709e-25, 1.51709e-25, 1.51709e-25, 7.08068e-13, 1.51709e-25, 1.51709e-25, 1.51709e-25, 9.43688e-10, 1.51709e-25, 1.51709e-25, 5.13845e-11, 1.51709e-25, 4.37846e-09, 1.51709e-25, 2.86497e-07, 1.51709e-25, 1.51709e-25
