   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_15.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.361488, 0, 3.88466e-08, 1.60732e-32, 1.41421, -3.88466e-08, 1.60732e-32, 0, 1.60732e-32, 1.60732e-32, 1.60732e-32, 1.60732e-32, 1.60732e-32, 1.60732e-32, 1.60732e-32, 1.60732e-32, 1.60732e-32, 1.60732e-32, 1.60732e-32, 2.81947e-10, 1.60732e-32, 1.60732e-32, 3.34002e-12, 1.60732e-32, 1.82045e-10, 1.60732e-32, 3.83793e-08, 1.60732e-32, 1.60732e-32, 1.60732e-32
0.369332, 0, 5.44885e-08, 1.03383e-31, 1.41421, -5.44885e-08, 1.03383e-31, 0, 1.03383e-31, 1.03383e-31, 1.03383e-31, 1.03383e-31, 1.03383e-31, 1.03383e-31, 1.03383e-31, 1.03383e-31, 1.03383e-31, 1.03383e-31, 1.03383e-31, 3.97049e-10, 1.03383e-31, 1.03383e-31, 5.13426e-12, 1.03383e-31, 2.77314e-10, 1.03383e-31, 5.3809e-08, 1.03383e-31, 1.03383e-31, 1.03383e-31
0.377175, 0, 7.60208e-08, 6.23226e-31, 1.41421, -7.60208e-08, 6.23226e-31, 0, 6.23226e-31, 6.23226e-31, 6.23226e-31, 6.23226e-31, 6.23226e-31, 6.23226e-31, 6.23226e-31, 6.23226e-31, 6.23226e-31, 6.23226e-31, 6.23226e-31, 5.56478e-10, 6.23226e-31, 6.23226e-31, 7.89391e-12, 6.23226e-31, 4.21732e-10, 6.23226e-31, 7.50347e-08, 6.23226e-31, 6.23226e-31, 6.23226e-31
0.385019, 0, 1.055e-07, 3.51231e-30, 1.41421, -1.055e-07, 3.51231e-30, 0, 3.51231e-30, 3.51231e-30, 3.51231e-30, 3.51231e-30, 3.51231e-30, 3.51231e-30, 3.51231e-30, 3.51231e-30, 3.51231e-30, 3.51231e-30, 3.51231e-30, 7.76287e-10, 3.51231e-30, 3.51231e-30, 1.2138e-11, 3.51231e-30, 6.40309e-10, 3.51231e-30, 1.04072e-07, 3.51231e-30, 3.51231e-30, 3.51231e-30
0.392863, 0, 1.45643e-07, 1.85327e-29, 1.41421, -1.45643e-07, 1.85327e-29, 0, 1.85327e-29, 1.85327e-29, 1.85327e-29, 1.85327e-29, 1.85327e-29, 1.85327e-29, 1.85327e-29, 1.85327e-29, 1.85327e-29, 1.85327e-29, 1.85327e-29, 1.07798e-09, 1.85327e-29, 1.85327e-29, 1.8662e-11, 1.85327e-29, 9.70564e-10, 1.85327e-29, 1.43576e-07, 1.85327e-29, 1.85327e-29, 1.85327e-29
0.400706, 0, 2.00013e-07, 9.18205e-29, 1.41421, -2.00013e-07, 9.18205e-29, 0, 9.18205e-29, 9.18205e-29, 9.18205e-29, 9.18205e-29, 9.18205e-29, 9.18205e-29, 9.18205e-29, 9.18205e-29, 9.18205e-29, 9.18205e-29, 9.18205e-29, 1.49027e-09, 9.18205e-29, 9.18205e-29, 2.86827e-11, 9.18205e-29, 1.46864e-09, 9.18205e-29, 1.97025e-07, 9.18205e-29, 9.18205e-29, 9.18205e-29
0.40855, 0, 2.73266e-07, 4.28531e-28, 1.41421, -2.73266e-07, 4.28531e-28, 0, 4.28531e-28, 4.28531e-28, 4.28531e-28, 4.28531e-28, 4.28531e-28, 4.28531e-28, 4.28531e-28, 4.28531e-28, 4.28531e-28, 4.28531e-28, 4.28531e-28, 2.05129e-09, 4.28531e-28, 4.28531e-28, 4.40548e-11, 4.28531e-28, 2.21827e-09, 4.28531e-28, 2.68952e-07, 4.28531e-28, 4.28531e-28, 4.28531e-28
0.416393, 0, 3.71443e-07, 1.88984e-27, 1.41421, -3.71443e-07, 1.88984e-27, 0, 1.88984e-27, 1.88984e-27, 1.88984e-27, 1.88984e-27, 1.88984e-27, 1.88984e-27, 1.88984e-27, 1.88984e-27, 1.88984e-27, 1.88984e-27, 1.88984e-27, 2.81156e-09, 1.88984e-27, 1.88984e-27, 6.75963e-11, 1.88984e-27, 3.34394e-09, 1.88984e-27, 3.6522e-07, 1.88984e-27, 1.88984e-27, 1.88984e-27
0.424237, 0, 5.0235e-07, 7.89818e-27, 1.41421, -5.0235e-07, 7.89818e-27, 0, 7.89818e-27, 7.89818e-27, 7.89818e-27, 7.89818e-27, 7.89818e-27, 7.89818e-27, 7.89818e-27, 7.89818e-27, 7.89818e-27, 7.89818e-27, 7.89818e-27, 3.8377e-09, 7.89818e-27, 7.89818e-27, 1.03571e-10, 7.89818e-27, 5.02991e-09, 7.89818e-27, 4.93379e-07, 7.89818e-27, 7.89818e-27, 7.89818e-27
0.43208, 0, 6.76011e-07, 3.13684e-26, 1.41421, -6.76011e-07, 3.13684e-26, 0, 3.13684e-26, 3.13684e-26, 3.13684e-26, 3.13684e-26, 3.13684e-26, 3.13684e-26, 3.13684e-26, 3.13684e-26, 3.13684e-26, 3.13684e-26, 3.13684e-26, 5.21727e-09, 3.13684e-26, 3.13684e-26, 1.58401e-10, 3.13684e-26, 7.54778e-09, 3.13684e-26, 6.63087e-07, 3.13684e-26, 3.13684e-26, 3.13684e-26
