   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_30.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.406393, 0, 7.85104e-14, 9.80909e-45, 1.41421, -7.85104e-14, 9.80909e-45, 0, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 1.4791e-16, 9.80909e-45, 9.80909e-45, 2.32951e-18, 9.80909e-45, 1.02615e-17, 9.80909e-45, 7.83499e-14, 9.80909e-45, 9.80909e-45, 9.80909e-45
0.414297, 0, 1.79034e-13, 1.96182e-43, 1.41421, -1.79034e-13, 1.96182e-43, 0, 1.96182e-43, 1.96182e-43, 1.96182e-43, 1.96182e-43, 1.96182e-43, 1.96182e-43, 1.96182e-43, 1.96182e-43, 1.96182e-43, 1.96182e-43, 1.96182e-43, 3.37249e-16, 1.96182e-43, 1.96182e-43, 5.38044e-18, 1.96182e-43, 2.39051e-17, 1.96182e-43, 1.78668e-13, 1.96182e-43, 1.96182e-43, 1.96182e-43
0.4222, 0, 4.01166e-13, 3.04362e-42, 1.41421, -4.01166e-13, 3.04362e-42, 0, 3.04362e-42, 3.04362e-42, 3.04362e-42, 3.04362e-42, 3.04362e-42, 3.04362e-42, 3.04362e-42, 3.04362e-42, 3.04362e-42, 3.04362e-42, 3.04362e-42, 7.55579e-16, 3.04362e-42, 3.04362e-42, 1.2228e-17, 3.04362e-42, 5.47346e-17, 3.04362e-42, 4.00344e-13, 3.04362e-42, 3.04362e-42, 3.04362e-42
0.430104, 0, 8.83417e-13, 4.23991e-41, 1.41421, -8.83417e-13, 4.23991e-41, 0, 4.23991e-41, 4.23991e-41, 4.23991e-41, 4.23991e-41, 4.23991e-41, 4.23991e-41, 4.23991e-41, 4.23991e-41, 4.23991e-41, 4.23991e-41, 4.23991e-41, 1.66364e-15, 4.23991e-41, 4.23991e-41, 2.73589e-17, 4.23991e-41, 1.23207e-16, 4.23991e-41, 8.81603e-13, 4.23991e-41, 4.23991e-41, 4.23991e-41
0.438007, 0, 1.91219e-12, 5.30026e-40, 1.41421, -1.91219e-12, 5.30026e-40, 0, 5.30026e-40, 5.30026e-40, 5.30026e-40, 5.30026e-40, 5.30026e-40, 5.30026e-40, 5.30026e-40, 5.30026e-40, 5.30026e-40, 5.30026e-40, 5.30026e-40, 3.60049e-15, 5.30026e-40, 5.30026e-40, 6.03001e-17, 5.30026e-40, 2.72728e-16, 5.30026e-40, 1.90825e-12, 5.30026e-40, 5.30026e-40, 5.30026e-40
0.445911, 0, 4.06891e-12, 5.97662e-39, 1.41421, -4.06891e-12, 5.97662e-39, 0, 5.97662e-39, 5.97662e-39, 5.97662e-39, 5.97662e-39, 5.97662e-39, 5.97662e-39, 5.97662e-39, 5.97662e-39, 5.97662e-39, 5.97662e-39, 5.97662e-39, 7.66041e-15, 5.97662e-39, 5.97662e-39, 1.31019e-16, 5.97662e-39, 5.93829e-16, 5.97662e-39, 4.06053e-12, 5.97662e-39, 5.97662e-39, 5.97662e-39
0.453814, 0, 8.51274e-12, 6.1074e-38, 1.41421, -8.51274e-12, 6.1074e-38, 0, 6.1074e-38, 6.1074e-38, 6.1074e-38, 6.1074e-38, 6.1074e-38, 6.1074e-38, 6.1074e-38, 6.1074e-38, 6.1074e-38, 6.1074e-38, 6.1074e-38, 1.6025e-14, 6.1074e-38, 6.1074e-38, 2.80896e-16, 6.1074e-38, 1.27223e-15, 6.1074e-38, 8.49516e-12, 6.1074e-38, 6.1074e-38, 6.1074e-38
0.461717, 0, 1.75129e-11, 5.68636e-37, 1.41421, -1.75129e-11, 5.68636e-37, 0, 5.68636e-37, 5.68636e-37, 5.68636e-37, 5.68636e-37, 5.68636e-37, 5.68636e-37, 5.68636e-37, 5.68636e-37, 5.68636e-37, 5.68636e-37, 5.68636e-37, 3.29653e-14, 5.68636e-37, 5.68636e-37, 5.94871e-16, 5.68636e-37, 2.6828e-15, 5.68636e-37, 1.74766e-11, 5.68636e-37, 5.68636e-37, 5.68636e-37
0.469621, 0, 3.54318e-11, 4.84959e-36, 1.41421, -3.54318e-11, 4.84959e-36, 0, 4.84959e-36, 4.84959e-36, 4.84959e-36, 4.84959e-36, 4.84959e-36, 4.84959e-36, 4.84959e-36, 4.84959e-36, 4.84959e-36, 4.84959e-36, 4.84959e-36, 6.66955e-14, 4.84959e-36, 4.84959e-36, 1.24605e-15, 4.84959e-36, 5.57074e-15, 4.84959e-36, 3.53583e-11, 4.84959e-36, 4.84959e-36, 4.84959e-36
0.477524, 0, 7.05068e-11, 3.80747e-35, 1.41421, -7.05068e-11, 3.80747e-35, 0, 3.80747e-35, 3.80747e-35, 3.80747e-35, 3.80747e-35, 3.80747e-35, 3.80747e-35, 3.80747e-35, 3.80747e-35, 3.80747e-35, 3.80747e-35, 3.80747e-35, 1.32734e-13, 3.80747e-35, 3.80747e-35, 2.58554e-15, 3.80747e-35, 1.13962e-14, 3.80747e-35, 7.036e-11, 3.80747e-35, 3.80747e-35, 3.80747e-35
