   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_146.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.334631, 0, 1.02869e-09, 3.90897e-38, 1.41421, -1.02869e-09, 3.90897e-38, 0, 3.90897e-38, 3.90897e-38, 3.90897e-38, 3.90897e-38, 3.90897e-38, 3.90897e-38, 3.90897e-38, 3.90897e-38, 4.84938e-12, 3.90897e-38, 3.90897e-38, 1.98431e-14, 6.66224e-11, 3.90897e-38, 9.57197e-10, 3.90897e-38, 3.90897e-38, 3.90897e-38
0.342496, 0, 1.52606e-09, 3.56955e-37, 1.41421, -1.52606e-09, 3.56955e-37, 0, 3.56955e-37, 3.56955e-37, 3.56955e-37, 3.56955e-37, 3.56955e-37, 3.56955e-37, 3.56955e-37, 3.56955e-37, 7.16966e-12, 3.56955e-37, 3.56955e-37, 3.11242e-14, 1.05262e-10, 3.56955e-37, 1.4136e-09, 3.56955e-37, 3.56955e-37, 3.56955e-37
0.35036, 0, 2.25083e-09, 2.97842e-36, 1.41421, -2.25083e-09, 2.97842e-36, 0, 2.97842e-36, 2.97842e-36, 2.97842e-36, 2.97842e-36, 2.97842e-36, 2.97842e-36, 2.97842e-36, 2.97842e-36, 1.0535e-11, 2.97842e-36, 2.97842e-36, 4.87601e-14, 1.65884e-10, 2.97842e-36, 2.07436e-09, 2.97842e-36, 2.97842e-36, 2.97842e-36
0.358225, 0, 3.301e-09, 2.28188e-35, 1.41421, -3.301e-09, 2.28188e-35, 0, 2.28188e-35, 2.28188e-35, 2.28188e-35, 2.28188e-35, 2.28188e-35, 2.28188e-35, 2.28188e-35, 2.28188e-35, 1.53857e-11, 2.28188e-35, 2.28188e-35, 7.63251e-14, 2.6081e-10, 2.28188e-35, 3.02473e-09, 2.28188e-35, 2.28188e-35, 2.28188e-35
0.366089, 0, 4.81448e-09, 1.61298e-34, 1.41421, -4.81448e-09, 1.61298e-34, 0, 1.61298e-34, 1.61298e-34, 1.61298e-34, 1.61298e-34, 1.61298e-34, 1.61298e-34, 1.61298e-34, 1.61298e-34, 2.2335e-11, 1.61298e-34, 1.61298e-34, 1.19413e-13, 4.09203e-10, 1.61298e-34, 4.38282e-09, 1.61298e-34, 1.61298e-34, 1.61298e-34
0.373954, 0, 6.98423e-09, 1.10228e-33, 1.41421, -6.98423e-09, 1.10228e-33, 0, 1.10228e-33, 1.10228e-33, 1.10228e-33, 1.10228e-33, 1.10228e-33, 1.10228e-33, 1.10228e-33, 1.10228e-33, 3.22306e-11, 1.10228e-33, 1.10228e-33, 1.8678e-13, 6.40814e-10, 1.10228e-33, 6.311e-09, 1.10228e-33, 1.10228e-33, 1.10228e-33
0.381818, 0, 1.00794e-08, 7.31996e-33, 1.41421, -1.00794e-08, 7.31996e-33, 0, 7.31996e-33, 7.31996e-33, 7.31996e-33, 7.31996e-33, 7.31996e-33, 7.31996e-33, 7.31996e-33, 7.31996e-33, 4.62384e-11, 7.31996e-33, 7.31996e-33, 2.92132e-13, 1.0018e-09, 7.31996e-33, 9.03111e-09, 7.31996e-33, 7.31996e-33, 7.31996e-33
0.389683, 0, 1.4474e-08, 4.57438e-32, 1.41421, -1.4474e-08, 4.57438e-32, 0, 4.57438e-32, 4.57438e-32, 4.57438e-32, 4.57438e-32, 4.57438e-32, 4.57438e-32, 4.57438e-32, 4.57438e-32, 6.5952e-11, 4.57438e-32, 4.57438e-32, 4.56915e-13, 1.56361e-09, 4.57438e-32, 1.2844e-08, 4.57438e-32, 4.57438e-32, 4.57438e-32
0.397548, 0, 2.06858e-08, 2.67224e-31, 1.41421, -2.06858e-08, 2.67224e-31, 0, 2.67224e-31, 2.67224e-31, 2.67224e-31, 2.67224e-31, 2.67224e-31, 2.67224e-31, 2.67224e-31, 2.67224e-31, 9.35371e-11, 2.67224e-31, 2.67224e-31, 7.14656e-13, 2.43674e-09, 2.67224e-31, 1.81549e-08, 2.67224e-31, 2.67224e-31, 2.67224e-31
0.405412, 0, 2.94305e-08, 1.46035e-30, 1.41421, -2.94305e-08, 1.46035e-30, 0, 1.46035e-30, 1.46035e-30, 1.46035e-30, 1.46035e-30, 1.46035e-30, 1.46035e-30, 1.46035e-30, 1.46035e-30, 1.31921e-10, 1.46035e-30, 1.46035e-30, 1.11768e-12, 3.79153e-09, 1.46035e-30, 2.5506e-08, 1.46035e-30, 1.46035e-30, 1.46035e-30
0.413277, 0, 4.16947e-08, 7.48479e-30, 1.41421, -4.16947e-08, 7.48479e-30, 0, 7.48479e-30, 7.48479e-30, 7.48479e-30, 7.48479e-30, 7.48479e-30, 7.48479e-30, 7.48479e-30, 7.48479e-30, 1.85037e-10, 7.48479e-30, 7.48479e-30, 1.74746e-12, 5.89002e-09, 7.48479e-30, 3.56179e-08, 7.48479e-30, 7.48479e-30, 7.48479e-30
0.421141, 0, 5.88365e-08, 3.60921e-29, 1.41421, -5.88365e-08, 3.60921e-29, 0, 3.60921e-29, 3.60921e-29, 3.60921e-29, 3.60921e-29, 3.60921e-29, 3.60921e-29, 3.60921e-29, 3.60921e-29, 2.58149e-10, 3.60921e-29, 3.60921e-29, 2.73051e-12, 9.13386e-09, 3.60921e-29, 4.94417e-08, 3.60921e-29, 3.60921e-29, 3.60921e-29
0.429006, 0, 8.27235e-08, 1.64259e-28, 1.41421, -8.27235e-08, 1.64259e-28, 0, 1.64259e-28, 1.64259e-28, 1.64259e-28, 1.64259e-28, 1.64259e-28, 1.64259e-28, 1.64259e-28, 1.64259e-28, 3.58254e-10, 1.64259e-28, 1.64259e-28, 4.26264e-12, 1.41364e-08, 1.64259e-28, 6.82246e-08, 1.64259e-28, 1.64259e-28, 1.64259e-28
0.43687, 0, 1.15923e-07, 7.07656e-28, 1.41421, -1.15923e-07, 7.07656e-28, 0, 7.07656e-28, 7.07656e-28, 7.07656e-28, 7.07656e-28, 7.07656e-28, 7.07656e-28, 7.07656e-28, 7.07656e-28, 4.94618e-10, 7.07656e-28, 7.07656e-28, 6.64558e-12, 2.18301e-08, 7.07656e-28, 9.35912e-08, 7.07656e-28, 7.07656e-28, 7.07656e-28
0.444735, 0, 1.61969e-07, 5.11758e-27, 1.41421, -1.61969e-07, 5.11758e-27, 0, 5.11758e-27, 5.11758e-27, 5.11758e-27, 5.11758e-27, 5.11758e-27, 5.11758e-27, 5.11758e-27, 5.11758e-27, 6.79452e-10, 5.11758e-27, 5.11758e-27, 1.03473e-11, 3.36343e-08, 5.11758e-27, 1.27644e-07, 5.11758e-27, 5.11758e-27, 5.11758e-27
0.4526, 0, 2.25685e-07, 1.90706e-26, 1.41421, -2.25685e-07, 1.90706e-26, 0, 1.90706e-26, 1.90706e-26, 1.90706e-26, 1.90706e-26, 5.30739e-14, 1.90706e-26, 1.90706e-26, 1.90706e-26, 9.28739e-10, 1.90706e-26, 1.90706e-26, 1.60659e-11, 5.16546e-08, 1.90706e-26, 1.73086e-07, 1.90706e-26, 1.90706e-26, 1.90706e-26
0.460464, 0, 3.13725e-07, 6.7996e-26, 1.41421, -3.13725e-07, 6.7996e-26, 0, 6.7996e-26, 6.7996e-26, 6.7996e-26, 6.7996e-26, 1.73771e-13, 6.7996e-26, 6.7996e-26, 6.7996e-26, 1.26335e-09, 6.7996e-26, 6.7996e-26, 2.48776e-11, 7.9069e-08, 6.7996e-26, 2.33368e-07, 6.7996e-26, 6.7996e-26, 6.7996e-26
0.468329, 0, 4.3598e-07, 2.34798e-25, 1.41421, -4.3598e-07, 3.78197e-12, 0, 8.2394e-15, 1.82696e-14, 7.06184e-12, 1.82403e-14, 2.85001e-12, 5.07719e-12, 1.36191e-12, 7.13456e-10, 1.71042e-09, 2.11093e-13, 1.94413e-14, 3.84007e-11, 1.20586e-07, 1.36598e-15, 3.12903e-07, 2.34798e-25, 2.34798e-25, 8.88023e-12
0.476193, 0, 6.05542e-07, 3.8811e-10, 1.41421, -6.05542e-07, 4.00444e-10, 3.8811e-10, 3.88137e-10, 3.8817e-10, 4.11141e-10, 3.88169e-10, 3.96986e-10, 4.04668e-10, 3.92552e-10, 2.71492e-09, 2.69305e-09, 3.88798e-10, 3.88173e-10, 4.47174e-10, 1.83532e-07, 3.88114e-10, 4.17612e-07, 3.8811e-10, 3.8811e-10, 4.17071e-10
0.484058, 0, 8.40777e-07, 1.26804e-09, 1.41421, -8.40777e-07, 1.29925e-09, 1.26804e-09, 1.26811e-09, 1.26819e-09, 1.32632e-09, 1.26819e-09, 1.29017e-09, 1.30994e-09, 1.27928e-09, 7.15534e-09, 4.36e-09, 1.26978e-09, 1.2682e-09, 1.35853e-09, 2.78163e-07, 1.26805e-09, 5.54572e-07, 1.26804e-09, 1.26804e-09, 1.34132e-09
