   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_257.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.426487, 0, 8.45737e-07, 1.48245e-09, 1.41421, -8.45737e-07, 1.48245e-09, 1.48261e-09, 1.58387e-09, 1.57649e-09, 2.86692e-09, 1.27965e-08, 1.79789e-09, 1.77604e-09, 2.00583e-09, 4.94085e-09, 9.2216e-09, 1.53929e-09, 1.48626e-09, 1.47282e-07, 1.55596e-09, 1.48246e-09, 6.73846e-07, 1.48245e-09, 1.48245e-09, 2.21603e-09
0.434339, 0, 1.09148e-06, 2.84264e-09, 1.41421, -1.09148e-06, 2.84264e-09, 2.84295e-09, 3.03677e-09, 3.02265e-09, 5.4927e-09, 2.44991e-08, 3.44084e-09, 3.4046e-09, 3.84445e-09, 9.46247e-09, 1.25829e-08, 2.95144e-09, 2.84994e-09, 2.08148e-07, 2.99707e-09, 2.84266e-09, 8.413e-07, 2.84264e-09, 2.84264e-09, 4.2468e-09
0.442191, 0, 1.41325e-06, 5.28581e-09, 1.41421, -1.41325e-06, 5.28581e-09, 5.28638e-09, 5.64635e-09, 5.62012e-09, 1.02075e-08, 4.55062e-08, 6.42959e-09, 6.32948e-09, 7.14637e-09, 1.75801e-08, 1.75103e-08, 5.48787e-09, 5.29937e-09, 2.93332e-07, 5.59149e-09, 5.28585e-09, 1.04767e-06, 5.28581e-09, 5.28581e-09, 7.89361e-09
0.450042, 0, 1.83889e-06, 9.61885e-09, 1.41421, -1.83889e-06, 9.61885e-09, 9.6199e-09, 1.02744e-08, 1.02267e-08, 1.85671e-08, 8.27442e-08, 1.21178e-08, 1.15164e-08, 1.30016e-08, 3.19714e-08, 2.49183e-08, 9.98623e-09, 9.64351e-09, 4.12234e-07, 1.02012e-08, 9.61893e-09, 1.30179e-06, 9.61885e-09, 9.61885e-09, 1.43602e-08
0.457894, 0, 2.41155e-06, 1.72072e-08, 1.41421, -2.41155e-06, 1.72072e-08, 1.72091e-08, 1.83791e-08, 1.82938e-08, 3.32037e-08, 1.47932e-07, 2.56776e-08, 2.05994e-08, 2.32544e-08, 5.71664e-08, 3.63022e-08, 1.7864e-08, 1.72513e-08, 5.77801e-07, 1.82868e-08, 1.72074e-08, 1.61475e-06, 1.72072e-08, 1.72072e-08, 2.56831e-08
0.465746, 0, 3.18909e-06, 3.03309e-08, 1.41421, -3.18909e-06, 3.03309e-08, 3.03342e-08, 3.23954e-08, 3.22452e-08, 5.85122e-08, 2.6063e-07, 4.98301e-08, 3.63069e-08, 4.09844e-08, 1.00727e-07, 5.40976e-08, 3.14879e-08, 3.04086e-08, 8.07844e-07, 3.22908e-08, 3.03312e-08, 2.00069e-06, 3.03309e-08, 3.03309e-08, 4.5263e-08
0.473597, 0, 4.26104e-06, 5.27459e-08, 1.41421, -4.26104e-06, 5.27459e-08, 5.27516e-08, 5.63343e-08, 5.60732e-08, 1.0173e-07, 4.53047e-07, 9.23537e-08, 6.31333e-08, 7.12635e-08, 1.75108e-07, 8.22465e-08, 5.4757e-08, 5.28808e-08, 1.12759e-06, 5.6243e-08, 5.27463e-08, 2.47802e-06, 5.27459e-08, 5.27459e-08, 7.87006e-08
0.481449, 0, 5.75899e-06, 9.05559e-08, 1.41421, -5.75899e-06, 9.05559e-08, 9.05657e-08, 9.67138e-08, 9.62657e-08, 1.74616e-07, 7.77503e-07, 1.65946e-07, 1.08381e-07, 1.22333e-07, 3.00538e-07, 1.27075e-07, 9.4007e-08, 9.07875e-08, 1.56981e-06, 9.67024e-08, 9.05566e-08, 3.07099e-06, 9.05559e-08, 9.05559e-08, 1.35096e-07
0.489301, 0, 7.88374e-06, 1.53547e-07, 1.41421, -7.88374e-06, 1.53547e-07, 1.53563e-07, 1.63984e-07, 1.63224e-07, 2.96019e-07, 1.31784e-06, 2.92594e-07, 1.83759e-07, 2.07406e-07, 5.09441e-07, 1.98632e-07, 1.59396e-07, 1.53939e-07, 2.18133e-06, 1.64202e-07, 1.53548e-07, 3.81258e-06, 1.53547e-07, 1.53547e-07, 2.29037e-07
0.497153, 0, 1.09329e-05, 2.5719e-07, 1.41421, -1.09329e-05, 2.5719e-07, 2.57218e-07, 2.74665e-07, 2.73393e-07, 4.9573e-07, 2.20655e-06, 5.04426e-07, 3.07774e-07, 3.47366e-07, 8.5306e-07, 3.12703e-07, 2.66984e-07, 2.57847e-07, 3.02597e-06, 2.75424e-07, 2.57192e-07, 4.74807e-06, 2.5719e-07, 2.5719e-07, 3.83583e-07
