   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_242.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.514605, 0, 5.01816e-07, 4.80773e-27, 1.41421, -5.01816e-07, 4.80773e-27, 0, 4.80773e-27, 4.80773e-27, 4.80773e-27, 4.80773e-27, 4.80773e-27, 4.80773e-27, 4.80773e-27, 1.10697e-09, 4.80773e-27, 4.80773e-27, 1.21506e-11, 2.13937e-10, 5.00483e-07, 4.80773e-27, 4.80773e-27
0.522683, 0, 7.98337e-07, 2.17384e-26, 1.41421, -7.98337e-07, 2.17384e-26, 0, 2.17384e-26, 2.17384e-26, 2.17384e-26, 2.17384e-26, 2.17384e-26, 2.17384e-26, 2.17384e-26, 1.77399e-09, 2.17384e-26, 2.17384e-26, 2.27714e-11, 3.91071e-10, 7.96149e-07, 2.17384e-26, 2.17384e-26
0.530761, 0, 1.25518e-06, 9.34336e-26, 1.41421, -1.25518e-06, 9.34336e-26, 0, 9.34336e-26, 9.34336e-26, 9.34336e-26, 9.34336e-26, 9.34336e-26, 9.34336e-26, 9.34336e-26, 2.81368e-09, 9.34336e-26, 9.34336e-26, 4.24717e-11, 7.16916e-10, 1.25161e-06, 9.34336e-26, 9.34336e-26
0.538839, 0, 1.95063e-06, 3.82828e-25, 1.41421, -1.95063e-06, 3.82828e-25, 0, 3.82828e-25, 3.82828e-25, 3.82828e-25, 7.45397e-13, 3.82828e-25, 3.82828e-25, 3.82828e-25, 4.41829e-09, 3.82828e-25, 3.82828e-25, 7.87382e-11, 1.31693e-09, 1.94481e-06, 3.82828e-25, 3.82828e-25
0.546917, 0, 2.99689e-06, 1.4994e-24, 1.41421, -2.99689e-06, 1.4994e-24, 0, 1.4994e-24, 1.4994e-24, 1.4994e-24, 3.09041e-12, 1.4994e-24, 1.4994e-24, 1.4994e-24, 6.87121e-09, 1.4994e-24, 1.4994e-24, 1.44921e-10, 2.42074e-09, 2.98745e-06, 1.4994e-24, 1.4994e-24
0.554995, 0, 4.55271e-06, 5.65829e-24, 1.41421, -4.55271e-06, 5.65829e-24, 0, 5.65829e-24, 5.65829e-24, 5.65829e-24, 1.01067e-11, 5.65829e-24, 5.65829e-24, 5.65829e-24, 1.05864e-08, 5.65829e-24, 5.65829e-24, 2.64521e-10, 4.44486e-09, 4.53741e-06, 5.65829e-24, 5.65829e-24
0.563073, 0, 6.86128e-06, 1.90381e-08, 1.41421, -6.86128e-06, 1.93223e-08, 1.90381e-08, 1.90382e-08, 1.90384e-08, 1.90392e-08, 1.91044e-08, 1.90926e-08, 1.90494e-08, 1.9212e-08, 3.52019e-08, 1.90451e-08, 1.90382e-08, 1.95165e-08, 2.71745e-08, 6.83517e-06, 1.90381e-08, 1.97737e-08
0.571151, 0, 1.02526e-05, 7.81521e-08, 1.41421, -1.02526e-05, 7.93213e-08, 7.81521e-08, 7.81526e-08, 7.81535e-08, 7.81564e-08, 7.83858e-08, 7.83762e-08, 7.81985e-08, 7.88674e-08, 1.02615e-07, 7.8181e-08, 7.81523e-08, 7.90088e-08, 9.29698e-08, 1.0207e-05, 7.81521e-08, 8.1178e-08
0.579229, 0, 1.52316e-05, 2.53394e-07, 1.41421, -1.52316e-05, 2.5719e-07, 2.53394e-07, 2.53395e-07, 2.53398e-07, 2.53408e-07, 2.54107e-07, 2.54121e-07, 2.53544e-07, 2.55716e-07, 2.90102e-07, 2.53488e-07, 2.53395e-07, 2.54912e-07, 2.80188e-07, 1.51489e-05, 2.53394e-07, 2.63217e-07
0.587307, 0, 2.25951e-05, 7.51542e-07, 1.41421, -2.25951e-05, 7.62809e-07, 7.51542e-07, 7.51546e-07, 7.51555e-07, 7.51583e-07, 7.53573e-07, 7.53702e-07, 7.51989e-07, 7.58435e-07, 8.06164e-07, 7.5182e-07, 7.51544e-07, 7.54202e-07, 7.99564e-07, 2.24375e-05, 7.51542e-07, 7.807e-07
0.595385, 0, 3.37047e-05, 2.11139e-06, 1.41421, -3.37047e-05, 2.14306e-06, 2.11139e-06, 2.1114e-06, 2.11143e-06, 2.11151e-06, 2.11691e-06, 2.11746e-06, 2.11265e-06, 2.13076e-06, 2.192e-06, 2.11217e-06, 2.11139e-06, 2.116e-06, 2.19656e-06, 3.33875e-05, 2.11139e-06, 2.19335e-06
0.603463, 0, 5.10784e-05, 5.67885e-06, 1.41421, -5.10784e-05, 5.76406e-06, 5.67885e-06, 5.67888e-06, 5.67895e-06, 5.67916e-06, 5.69399e-06, 5.69518e-06, 5.68223e-06, 5.73098e-06, 5.79683e-06, 5.68095e-06, 5.67886e-06, 5.68674e-06, 5.82835e-06, 5.04077e-05, 5.67885e-06, 5.89939e-06
0.611541, 0.990799, 7.96703e-05, 1.46761e-05, 1.72939, 0.99072, 1.48964e-05, 1.46761e-05, 1.46762e-05, 1.46764e-05, 1.46769e-05, 1.47154e-05, 1.47184e-05, 1.46849e-05, 1.48109e-05, 1.48474e-05, 1.46816e-05, 1.46762e-05, 1.46895e-05, 1.49351e-05, 7.82046e-05, 1.46761e-05, 1.52463e-05
0.619619, 0.997599, 0.000129578, 3.64963e-05, 1.73136, 0.99747, 3.70444e-05, 3.64963e-05, 3.64965e-05, 3.64969e-05, 3.64983e-05, 3.66032e-05, 3.66013e-05, 3.6518e-05, 3.68316e-05, 3.6743e-05, 3.65098e-05, 3.64964e-05, 3.65187e-05, 3.69389e-05, 0.000126314, 3.64963e-05, 3.79147e-05
0.627697, 0.0116014, 0.0002215, 8.73955e-05, 1.41831, 0.0113799, 8.87085e-05, 8.73955e-05, 8.7396e-05, 8.7397e-05, 8.74003e-05, 8.7668e-05, 8.76472e-05, 8.74476e-05, 8.81987e-05, 8.7748e-05, 8.7428e-05, 8.73958e-05, 8.74326e-05, 8.8142e-05, 0.000214234, 8.73955e-05, 9.07935e-05
0.635775, 0, 0.000397359, 0.000201626, 1.41421, -0.000397359, 0.000204656, 0.000201626, 0.000201627, 0.000201629, 0.000201637, 0.000202292, 0.000202206, 0.000201746, 0.000203479, 0.000202125, 0.0002017, 0.000201626, 0.000201686, 0.000202868, 0.000381371, 0.000201626, 0.000209468
0.643853, 0, 0.000739933, 0.000448319, 1.41421, -0.000739933, 0.00045506, 0.000448319, 0.000448322, 0.000448327, 0.000448344, 0.000449902, 0.000449611, 0.000448587, 0.000452443, 0.000449023, 0.000448486, 0.00044832, 0.000448418, 0.00045036, 0.000705434, 0.000448319, 0.000465765
0.651931, 1, 0.00140737, 0.000961121, 1.73205, 0.998593, 0.000975579, 0.000961121, 0.000961127, 0.000961138, 0.000961174, 0.000964778, 0.000963893, 0.000961695, 0.000969966, 0.000962104, 0.000961478, 0.000961124, 0.000961279, 0.000964432, 0.00133475, 0.000961121, 0.00099854
0.660009, 0, 0.00269068, 0.00198734, 1.41421, -0.00269068, 0.00201726, 0.00198734, 0.00198736, 0.00198738, 0.00198745, 0.00199561, 0.00199308, 0.00198853, 0.00200564, 0.00198871, 0.00198808, 0.00198735, 0.0019876, 0.00199266, 0.00254204, 0.00198734, 0.00206476
0.668087, 0.973932, 0.00510428, 0.00396494, 1.72451, 0.968827, 0.00402465, 0.00396494, 0.00396497, 0.00396501, 0.00396516, 0.00398321, 0.00397639, 0.00396731, 0.00400147, 0.00396683, 0.00396642, 0.00396495, 0.00396534, 0.00397339, 0.0048089, 0.00396494, 0.00411947
0.676165, 0.0260684, 0.0095199, 0.0076355, 1.4234, 0.0165485, 0.00775056, 0.0076355, 0.00763554, 0.00763563, 0.00763592, 0.007675, 0.00765755, 0.00764006, 0.00770589, 0.00763809, 0.00763834, 0.00763552, 0.00763612, 0.00764881, 0.00895057, 0.0076355, 0.00793327
0.684243, 0, 0.0173514, 0.0141987, 1.41421, -0.0173514, 0.0144128, 0.0141987, 0.0141987, 0.0141989, 0.0141994, 0.0142822, 0.0142397, 0.0142072, 0.0143296, 0.0142022, 0.014204, 0.0141987, 0.0141996, 0.0142195, 0.0162873, 0.0141987, 0.0147528
0.692321, 0.966691, 0.0307906, 0.0255064, 1.72241, 0.9359, 0.0258913, 0.0255064, 0.0255066, 0.0255069, 0.0255078, 0.025679, 0.0255802, 0.0255217, 0.0257419, 0.0255112, 0.0255159, 0.0255065, 0.0255079, 0.0255389, 0.0288621, 0.0255064, 0.0265025
0.700399, 1.9976, 0.0530807, 0.0442826, 1.9994, 1.94452, 0.0449514, 0.0442826, 0.0442828, 0.0442834, 0.044285, 0.0446307, 0.0444108, 0.0443091, 0.0446917, 0.0442891, 0.0442991, 0.0442827, 0.0442848, 0.044333, 0.0496898, 0.0442826, 0.0460134
0.708477, 0.0357104, 0.0887924, 0.0743364, 1.42678, -0.053082, 0.0754601, 0.0743364, 0.0743368, 0.0743377, 0.0743405, 0.0750209, 0.0745518, 0.074381, 0.0750238, 0.0743452, 0.0743641, 0.0743366, 0.0743398, 0.0744141, 0.0830048, 0.0743364, 0.0772445
0.716555, 1, 0.144046, 0.120716, 1.73205, 0.855954, 0.122543, 0.120716, 0.120717, 0.120718, 0.120723, 0.122027, 0.121066, 0.120788, 0.121833, 0.120728, 0.120761, 0.120716, 0.120721, 0.120835, 0.13445, 0.120716, 0.125443
0.724633, 0, 0.226604, 0.189737, 1.41421, -0.226604, 0.192611, 0.189737, 0.189738, 0.18974, 0.189747, 0.19218, 0.190288, 0.189851, 0.191495, 0.189752, 0.189808, 0.189737, 0.189744, 0.189918, 0.211134, 0.189737, 0.197175
0.732711, 2.86394, 0.345746, 0.288805, 2.20543, 2.5182, 0.293185, 0.288805, 0.288807, 0.28881, 0.288821, 0.293232, 0.289645, 0.288979, 0.291485, 0.288826, 0.288913, 0.288806, 0.288817, 0.289077, 0.321473, 0.288805, 0.300141
