   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_33.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.526263, 0, 5.14749e-08, 2.66441e-27, 1.41421, -5.14749e-08, 2.66441e-27, 0, 2.66441e-27, 2.66441e-27, 2.66441e-27, 2.66441e-27, 2.66441e-27, 2.66441e-27, 2.66441e-27, 2.66441e-27, 2.66441e-27, 2.66441e-27, 2.66441e-27, 2.36282e-10, 2.66441e-27, 2.66441e-27, 4.12774e-12, 3.64706e-11, 2.66441e-27, 5.1198e-08, 2.66441e-27, 2.66441e-27
0.534112, 0, 7.90294e-08, 1.07348e-26, 1.41421, -7.90294e-08, 1.07348e-26, 0, 1.07348e-26, 1.07348e-26, 1.07348e-26, 1.07348e-26, 1.07348e-26, 1.07348e-26, 1.07348e-26, 1.03775e-13, 1.07348e-26, 1.07348e-26, 1.07348e-26, 3.65899e-10, 1.07348e-26, 1.07348e-26, 7.48701e-12, 6.52254e-11, 1.07348e-26, 7.85907e-08, 1.07348e-26, 1.07348e-26
0.54196, 0, 1.20026e-07, 4.13959e-26, 1.41421, -1.20026e-07, 4.13959e-26, 0, 4.13959e-26, 4.13959e-26, 4.13959e-26, 4.13959e-26, 4.13959e-26, 4.13959e-26, 4.13959e-26, 4.83679e-13, 4.13959e-26, 4.13959e-26, 4.13959e-26, 5.61322e-10, 4.13959e-26, 4.13959e-26, 1.34999e-11, 1.16855e-10, 4.13959e-26, 1.19334e-07, 4.13959e-26, 4.13959e-26
0.549809, 0, 1.80355e-07, 1.53306e-25, 1.41421, -1.80355e-07, 1.53306e-25, 0, 1.53306e-25, 1.53306e-25, 1.53306e-25, 1.53306e-25, 1.53306e-25, 1.53306e-25, 1.53306e-25, 1.60128e-12, 1.53306e-25, 1.53306e-25, 1.53306e-25, 8.53312e-10, 1.53306e-25, 1.53306e-25, 2.41722e-11, 2.09465e-10, 1.53306e-25, 1.79267e-07, 1.53306e-25, 1.53306e-25
0.557657, 0, 2.69712e-07, 5.49745e-25, 1.41421, -2.69712e-07, 6.75662e-13, 0, 8.32942e-15, 4.01143e-14, 6.91216e-14, 3.95279e-13, 9.68333e-14, 5.64776e-13, 9.38691e-13, 1.34617e-11, 1.33619e-11, 6.11312e-12, 1.45698e-09, 1.2858e-09, 1.10911e-12, 4.32828e-14, 4.29391e-11, 3.7508e-10, 1.37153e-15, 2.665e-07, 5.49745e-25, 1.42784e-11
0.565505, 0, 4.01248e-07, 3.92454e-10, 1.41421, -4.01248e-07, 3.95179e-10, 3.92454e-10, 3.92487e-10, 3.92616e-10, 3.92733e-10, 3.94048e-10, 3.92844e-10, 3.94731e-10, 3.96239e-10, 4.40873e-10, 4.46337e-10, 4.17105e-10, 6.26781e-09, 2.31335e-09, 3.96926e-10, 3.92628e-10, 4.68073e-10, 1.06222e-09, 3.92459e-10, 3.92506e-07, 3.92454e-10, 4.50033e-10
0.573354, 0, 5.9621e-07, 1.57892e-09, 1.41421, -5.9621e-07, 1.58758e-09, 1.57892e-09, 1.57903e-09, 1.57944e-09, 1.57981e-09, 1.58399e-09, 1.58016e-09, 1.58616e-09, 1.59095e-09, 1.72617e-09, 1.75019e-09, 1.65728e-09, 2.02539e-08, 4.42467e-09, 1.59314e-09, 1.57948e-09, 1.71085e-09, 2.76936e-09, 1.57894e-09, 5.72737e-07, 1.57892e-09, 1.76194e-09
0.581202, 0, 8.91567e-07, 5.00715e-09, 1.41421, -8.91567e-07, 5.03233e-09, 5.00715e-09, 5.00746e-09, 5.00865e-09, 5.00973e-09, 5.02188e-09, 5.01076e-09, 5.0282e-09, 5.04213e-09, 5.42338e-09, 5.50501e-09, 5.23492e-09, 5.92933e-08, 9.18861e-09, 5.04848e-09, 5.00877e-09, 5.23506e-09, 7.1095e-09, 5.0072e-09, 8.28948e-07, 5.00715e-09, 5.53916e-09
0.589051, 0, 1.35691e-06, 1.45212e-08, 1.41421, -1.35691e-06, 1.45906e-08, 1.45212e-08, 1.45221e-08, 1.45254e-08, 1.45283e-08, 1.45618e-08, 1.45312e-08, 1.45792e-08, 1.46176e-08, 1.56433e-08, 1.58934e-08, 1.5149e-08, 1.64139e-07, 2.0616e-08, 1.46351e-08, 1.45257e-08, 1.49109e-08, 1.82047e-08, 1.45214e-08, 1.19213e-06, 1.45212e-08, 1.59875e-08
0.596899, 0, 2.13296e-06, 3.99355e-08, 1.41421, -2.13296e-06, 4.01188e-08, 3.99355e-08, 3.99377e-08, 3.99464e-08, 3.99542e-08, 4.00427e-08, 3.99618e-08, 4.00887e-08, 4.01902e-08, 4.2844e-08, 4.35614e-08, 4.15944e-08, 4.35306e-07, 4.87488e-08, 4.02365e-08, 3.99472e-08, 4.05949e-08, 4.6332e-08, 3.99359e-08, 1.70858e-06, 3.99355e-08, 4.38101e-08
