   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_441.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.402961, 0, 2.88187e-07, 8.29322e-28, 1.41421, -2.88187e-07, 8.29322e-28, 0, 8.29322e-28, 8.29322e-28, 8.29322e-28, 8.29322e-28, 8.29322e-28, 8.29322e-28, 8.29322e-28, 8.29322e-28, 8.29322e-28, 8.29322e-28, 8.29322e-28, 2.25428e-10, 8.29322e-28, 1.5364e-07, 8.29322e-28, 1.34322e-07, 8.29322e-28, 8.29322e-28, 8.29322e-28
0.410826, 0, 4.06574e-07, 3.3934e-27, 1.41421, -4.06574e-07, 3.3934e-27, 0, 3.3934e-27, 3.3934e-27, 3.3934e-27, 3.3934e-27, 3.3934e-27, 3.3934e-27, 3.3934e-27, 3.3934e-27, 3.3934e-27, 3.3934e-27, 3.3934e-27, 3.39546e-10, 3.3934e-27, 2.27099e-07, 3.3934e-27, 1.79136e-07, 3.3934e-27, 3.3934e-27, 3.3934e-27
0.41869, 0, 5.73026e-07, 1.32344e-26, 1.41421, -5.73026e-07, 1.32344e-26, 0, 1.32344e-26, 1.32344e-26, 1.32344e-26, 1.32344e-26, 1.32344e-26, 1.32344e-26, 1.32344e-26, 1.32344e-26, 1.32344e-26, 1.32344e-26, 1.32344e-26, 5.10504e-10, 1.32344e-26, 3.34758e-07, 1.32344e-26, 2.37758e-07, 1.32344e-26, 1.32344e-26, 1.32344e-26
0.426554, 0, 8.06809e-07, 4.92592e-26, 1.41421, -8.06809e-07, 4.92592e-26, 0, 4.92592e-26, 4.92592e-26, 4.92592e-26, 4.92592e-26, 4.92592e-26, 4.92592e-26, 4.92592e-26, 4.92592e-26, 4.92592e-26, 4.92592e-26, 4.92592e-26, 7.6586e-10, 4.92592e-26, 4.91975e-07, 4.92592e-26, 3.14067e-07, 4.92592e-26, 4.92592e-26, 4.92592e-26
0.434419, 0, 1.13473e-06, 1.75312e-25, 1.41421, -1.13473e-06, 1.75312e-25, 0, 1.75312e-25, 1.75312e-25, 1.75312e-25, 1.75312e-25, 1.75312e-25, 1.75312e-25, 1.75312e-25, 1.75312e-25, 1.75312e-25, 1.75312e-25, 1.75312e-25, 1.146e-09, 1.75312e-25, 7.20666e-07, 1.75312e-25, 4.12917e-07, 1.75312e-25, 1.75312e-25, 1.75312e-25
0.442283, 0, 1.59399e-06, 6.01812e-25, 1.41421, -1.59399e-06, 6.01812e-25, 0, 6.01812e-25, 6.01812e-25, 6.01812e-25, 6.01812e-25, 6.01812e-25, 6.01812e-25, 6.01812e-25, 6.01812e-25, 6.01812e-25, 6.01812e-25, 6.01812e-25, 1.70983e-09, 6.01812e-25, 1.05193e-06, 6.01812e-25, 5.40352e-07, 6.01812e-25, 6.01812e-25, 6.01812e-25
0.450148, 0, 2.23747e-06, 1.19704e-10, 1.41421, -2.23747e-06, 1.40959e-10, 1.19704e-10, 1.2015e-10, 1.5032e-10, 3.74412e-10, 1.30015e-10, 3.29901e-10, 5.28691e-10, 1.87022e-10, 1.31023e-10, 3.53568e-10, 1.24023e-10, 1.19898e-10, 2.66246e-09, 1.19816e-10, 1.5297e-06, 1.19705e-10, 7.04069e-07, 1.19704e-10, 1.19704e-10, 1.47513e-10
0.458012, 0, 3.136e-06, 3.6446e-10, 1.41421, -3.136e-06, 4.29681e-10, 3.6446e-10, 3.6583e-10, 4.58403e-10, 1.14601e-09, 3.96098e-10, 1.00943e-09, 1.61941e-09, 5.71022e-10, 3.99191e-10, 1.08205e-09, 3.77714e-10, 3.65055e-10, 4.13273e-09, 3.66888e-10, 2.21537e-06, 3.64463e-10, 9.13295e-07, 3.6446e-10, 3.6446e-10, 4.49789e-10
0.465876, 0, 4.38819e-06, 8.56202e-10, 1.41421, -4.38819e-06, 1.01065e-09, 8.56202e-10, 8.59445e-10, 1.07867e-09, 2.707e-09, 9.31125e-10, 2.38357e-09, 3.82806e-09, 1.34536e-09, 9.38448e-10, 2.55555e-09, 8.87588e-10, 8.57611e-10, 6.41899e-09, 8.63676e-10, 3.19439e-06, 8.56208e-10, 1.17978e-06, 8.56202e-10, 8.56202e-10, 1.05827e-09
0.473741, 0, 6.12889e-06, 1.83271e-09, 1.41421, -6.12889e-06, 2.16509e-09, 1.83271e-09, 1.83969e-09, 2.31146e-09, 5.81561e-09, 1.99394e-09, 5.11959e-09, 8.2281e-09, 2.88538e-09, 2.0097e-09, 5.48967e-09, 1.90025e-09, 1.83574e-09, 1.00107e-08, 1.85109e-09, 4.58476e-06, 1.83273e-09, 1.51773e-06, 1.83271e-09, 1.83271e-09, 2.26756e-09
