   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_673.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.4138, 0, 3.59527e-07, 1.61858e-26, 1.41421, -3.59527e-07, 0, 1.61858e-26, 1.61858e-26, 1.61858e-26, 1.61858e-26, 1.61858e-26, 1.61858e-26, 1.61858e-26, 1.61858e-26, 1.61858e-26, 1.61858e-26, 1.61858e-26, 1.34549e-09, 1.61858e-26, 1.61858e-26, 3.95379e-09, 1.61858e-26, 2.53526e-08, 1.61858e-26, 3.28875e-07, 1.61858e-26, 1.61858e-26, 1.61858e-26
0.421689, 0, 4.77002e-07, 5.87008e-26, 1.41421, -4.77002e-07, 0, 5.87008e-26, 5.87008e-26, 5.87008e-26, 5.87008e-26, 5.87008e-26, 5.87008e-26, 5.87008e-26, 5.64708e-13, 5.87008e-26, 5.87008e-26, 5.87008e-26, 1.78115e-09, 5.87008e-26, 5.87008e-26, 5.9148e-09, 5.87008e-26, 3.69933e-08, 5.87008e-26, 4.32312e-07, 5.87008e-26, 5.87008e-26, 5.87008e-26
0.429578, 0, 6.30729e-07, 2.03815e-25, 1.41421, -6.30729e-07, 0, 2.03815e-25, 2.03815e-25, 2.03815e-25, 2.03815e-25, 2.03815e-25, 2.03815e-25, 2.03815e-25, 1.73003e-12, 2.03815e-25, 2.03815e-25, 2.03815e-25, 2.34886e-09, 2.03815e-25, 2.03815e-25, 8.82547e-09, 2.03815e-25, 5.38241e-08, 2.03815e-25, 5.65729e-07, 2.03815e-25, 2.03815e-25, 2.03815e-25
0.437467, 0, 8.32663e-07, 6.87183e-25, 1.41421, -8.32663e-07, 0, 8.13774e-15, 2.63818e-12, 1.81638e-12, 2.08868e-11, 1.71748e-14, 5.42757e-11, 7.89335e-10, 2.8922e-11, 2.38575e-11, 1.67887e-11, 2.22579e-10, 3.08592e-09, 4.24138e-12, 1.94572e-13, 1.31297e-08, 2.45981e-13, 7.80686e-08, 6.03362e-16, 7.37105e-07, 6.87183e-25, 6.87183e-25, 1.07522e-10
0.445356, 0, 1.09653e-06, 8.79414e-11, 1.41421, -1.09653e-06, 8.79414e-11, 8.79663e-11, 9.59988e-11, 9.34889e-11, 1.51732e-10, 8.79939e-11, 2.53706e-10, 2.49867e-09, 1.72573e-10, 1.60805e-10, 1.39216e-10, 7.67724e-10, 4.1272e-09, 1.00895e-10, 8.85357e-11, 1.9558e-08, 9.13268e-11, 1.1294e-07, 8.79433e-11, 9.56279e-07, 8.79414e-11, 8.79414e-11, 4.16326e-10
0.453245, 0, 1.44108e-06, 2.6751e-10, 1.41421, -1.44108e-06, 2.6751e-10, 2.67568e-10, 2.86519e-10, 2.80598e-10, 4.18013e-10, 2.67633e-10, 6.58603e-10, 5.95521e-09, 4.64448e-10, 4.39419e-10, 3.88484e-10, 1.87134e-09, 5.53536e-09, 2.98072e-10, 2.68912e-10, 2.90363e-08, 2.79216e-10, 1.62809e-07, 2.67514e-10, 1.23533e-06, 2.6751e-10, 2.6751e-10, 1.04228e-09
0.461134, 0, 1.89138e-06, 6.29536e-10, 1.41421, -1.89138e-06, 6.29536e-10, 6.29661e-10, 6.70333e-10, 6.57624e-10, 9.52532e-10, 6.29801e-10, 1.46886e-09, 1.28359e-08, 1.04932e-09, 9.98471e-10, 8.89159e-10, 4.07152e-09, 7.47497e-09, 6.95125e-10, 6.32544e-10, 4.29736e-08, 6.5949e-10, 2.33825e-07, 6.29545e-10, 1.5893e-06, 6.29536e-10, 6.29536e-10, 2.29227e-09
0.469023, 0, 2.4809e-06, 1.34967e-09, 1.41421, -2.4809e-06, 1.34967e-09, 1.34993e-09, 1.43313e-09, 1.40713e-09, 2.01043e-09, 1.35021e-09, 3.06671e-09, 2.63207e-08, 2.20479e-09, 2.10441e-09, 1.88079e-09, 8.39105e-09, 1.02135e-08, 1.48385e-09, 1.35583e-09, 6.34169e-08, 1.4176e-09, 3.34542e-07, 1.34969e-09, 2.0365e-06, 1.34967e-09, 1.34967e-09, 4.75117e-09
0.476912, 0, 3.25565e-06, 2.76032e-09, 1.41421, -3.25565e-06, 2.76032e-09, 2.76083e-09, 2.92602e-09, 2.87441e-09, 4.07222e-09, 2.7614e-09, 6.16939e-09, 5.23387e-08, 4.45207e-09, 4.25881e-09, 3.81482e-09, 1.67405e-08, 1.41975e-08, 3.02672e-09, 2.77254e-09, 9.33407e-08, 2.90469e-09, 4.76871e-07, 2.76036e-09, 2.59954e-06, 2.76032e-09, 2.76032e-09, 9.51378e-09
0.484801, 0, 4.2803e-06, 5.48e-09, 1.41421, -4.2803e-06, 5.48e-09, 5.48099e-09, 5.80179e-09, 5.70155e-09, 8.02767e-09, 5.48209e-09, 1.21003e-08, 1.01759e-07, 9.21808e-09, 8.39002e-09, 7.52781e-09, 3.26291e-08, 2.01862e-08, 5.99734e-09, 5.50373e-09, 1.3707e-07, 5.77455e-09, 6.77324e-07, 5.48007e-09, 3.30637e-06, 5.48e-09, 5.48e-09, 1.8595e-08
