   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_147.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.500619, 0, 1.31251e-06, 4.89574e-09, 1.41421, -1.31251e-06, 5.0782e-09, 4.89574e-09, 4.89595e-09, 4.8963e-09, 5.09762e-09, 4.89877e-09, 4.90388e-09, 4.89711e-09, 4.99993e-09, 5.03646e-09, 4.94045e-09, 2.58226e-08, 9.10085e-09, 4.90357e-09, 4.89644e-09, 5.08197e-09, 5.06299e-07, 4.89579e-09, 7.84854e-07, 4.89574e-09, 5.13856e-09
0.50848, 0, 1.84195e-06, 1.12596e-08, 1.41421, -1.84195e-06, 1.16603e-08, 1.12596e-08, 1.12601e-08, 1.12608e-08, 1.17029e-08, 1.12663e-08, 1.12775e-08, 1.12626e-08, 1.14872e-08, 1.15686e-08, 1.13578e-08, 5.72099e-08, 1.68572e-08, 1.12768e-08, 1.12612e-08, 1.15431e-08, 7.63672e-07, 1.12597e-08, 1.03565e-06, 1.12596e-08, 1.17928e-08
0.516342, 0, 2.59576e-06, 2.46806e-08, 1.41421, -2.59576e-06, 2.55325e-08, 2.46806e-08, 2.46816e-08, 2.46832e-08, 2.56232e-08, 2.46947e-08, 2.47186e-08, 2.4687e-08, 2.51625e-08, 2.53376e-08, 2.48893e-08, 1.2239e-07, 3.20985e-08, 2.47171e-08, 2.46839e-08, 2.51097e-08, 1.14707e-06, 2.46808e-08, 1.36344e-06, 2.46806e-08, 2.58143e-08
0.524204, 0, 3.68151e-06, 5.24062e-08, 1.41421, -3.68151e-06, 5.41725e-08, 5.24062e-08, 5.24082e-08, 5.24115e-08, 5.43605e-08, 5.24355e-08, 5.24849e-08, 5.24194e-08, 5.34918e-08, 5.37684e-08, 5.28389e-08, 2.54993e-07, 6.21931e-08, 5.24819e-08, 5.24129e-08, 5.30521e-08, 1.71784e-06, 5.24067e-08, 1.79389e-06, 5.24062e-08, 5.47568e-08
0.532066, 0, 5.26101e-06, 1.08519e-07, 1.41421, -5.26101e-06, 1.12101e-07, 1.08519e-07, 1.08523e-07, 1.0853e-07, 1.12482e-07, 1.08579e-07, 1.08679e-07, 1.08546e-07, 1.10825e-07, 1.11281e-07, 1.09397e-07, 5.19302e-07, 1.21375e-07, 1.08673e-07, 1.08533e-07, 1.09486e-07, 2.56186e-06, 1.0852e-07, 2.36438e-06, 1.08519e-07, 1.13285e-07
0.539927, 0, 7.59363e-06, 2.19788e-07, 1.41421, -7.59363e-06, 2.26901e-07, 2.19788e-07, 2.19796e-07, 2.1981e-07, 2.27658e-07, 2.19906e-07, 2.20105e-07, 2.19841e-07, 2.25662e-07, 2.25274e-07, 2.21531e-07, 1.03554e-06, 2.36603e-07, 2.20093e-07, 2.19815e-07, 2.21226e-07, 3.80954e-06, 2.1979e-07, 3.13146e-06, 2.19788e-07, 2.29253e-07
0.547789, 0, 1.10885e-05, 4.35988e-07, 1.41421, -1.10885e-05, 4.4983e-07, 4.35988e-07, 4.36003e-07, 4.3603e-07, 4.51303e-07, 4.36217e-07, 4.36605e-07, 4.36091e-07, 4.49165e-07, 4.46663e-07, 4.39379e-07, 2.02365e-06, 4.57886e-07, 4.36581e-07, 4.36041e-07, 4.38113e-07, 5.65264e-06, 4.35991e-07, 4.18371e-06, 4.35988e-07, 4.54409e-07
0.555651, 0, 1.64015e-05, 8.4764e-07, 1.41421, -1.64015e-05, 8.74054e-07, 8.4764e-07, 8.4767e-07, 8.4772e-07, 8.76865e-07, 8.48078e-07, 8.48818e-07, 8.47838e-07, 8.75507e-07, 8.68011e-07, 8.54111e-07, 3.87717e-06, 8.76039e-07, 8.48772e-07, 8.47741e-07, 8.50762e-07, 8.37616e-06, 8.47647e-07, 5.6633e-06, 8.4764e-07, 8.82791e-07
0.563512, 0, 2.4585e-05, 1.61576e-06, 1.41421, -2.4585e-05, 1.66518e-06, 1.61576e-06, 1.61581e-06, 1.61591e-06, 1.67044e-06, 1.61658e-06, 1.61796e-06, 1.61613e-06, 1.67266e-06, 1.65388e-06, 1.62787e-06, 7.28484e-06, 1.65243e-06, 1.61787e-06, 1.61594e-06, 1.62031e-06, 1.24058e-05, 1.61577e-06, 7.80175e-06, 1.61576e-06, 1.68153e-06
0.571374, 0, 3.73233e-05, 3.0204e-06, 1.41421, -3.73233e-05, 3.11112e-06, 3.0204e-06, 3.0205e-06, 3.02067e-06, 3.12077e-06, 3.0219e-06, 3.02444e-06, 3.02107e-06, 3.1327e-06, 3.09036e-06, 3.04262e-06, 1.34255e-05, 3.06757e-06, 3.02429e-06, 3.02074e-06, 3.02701e-06, 1.83795e-05, 3.02042e-06, 1.09781e-05, 3.0204e-06, 3.14113e-06
0.579236, 0, 5.72981e-05, 5.5379e-06, 1.41421, -5.72981e-05, 5.70124e-06, 5.5379e-06, 5.53809e-06, 5.53839e-06, 5.71862e-06, 5.54061e-06, 5.54518e-06, 5.53912e-06, 5.75632e-06, 5.66387e-06, 5.57792e-06, 2.42717e-05, 5.59833e-06, 5.5449e-06, 5.53852e-06, 5.54743e-06, 2.72561e-05, 5.53795e-06, 1.58107e-05, 5.5379e-06, 5.75527e-06
