   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_63.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.421791, 0, 2.77487e-13, 1.37187e-42, 1.41421, -2.77487e-13, 0, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 1.37187e-42, 2.10785e-15, 1.37187e-42, 1.37187e-42, 2.00976e-18, 5.81616e-17, 1.37187e-42, 2.75319e-13, 1.37187e-42, 1.37187e-42
0.42965, 0, 6.17604e-13, 1.98186e-41, 1.41421, -6.17604e-13, 0, 1.98186e-41, 1.98186e-41, 1.98186e-41, 1.98186e-41, 1.98186e-41, 1.98186e-41, 1.98186e-41, 1.98186e-41, 1.98186e-41, 1.98186e-41, 1.98186e-41, 1.98186e-41, 4.69124e-15, 1.98186e-41, 1.98186e-41, 4.52698e-18, 1.32647e-16, 1.98186e-41, 6.12776e-13, 1.98186e-41, 1.98186e-41
0.437508, 0, 1.3512e-12, 2.50524e-40, 1.41421, -1.3512e-12, 0, 2.50524e-40, 2.50524e-40, 2.50524e-40, 2.50524e-40, 2.50524e-40, 2.50524e-40, 2.50524e-40, 2.50524e-40, 2.50524e-40, 2.50524e-40, 2.50524e-40, 2.50524e-40, 1.02632e-14, 2.50524e-40, 2.50524e-40, 1.00403e-17, 2.97473e-16, 2.50524e-40, 1.34063e-12, 2.50524e-40, 2.50524e-40
0.445367, 0, 2.90623e-12, 2.84157e-39, 1.41421, -2.90623e-12, 0, 2.84157e-39, 2.84157e-39, 2.84157e-39, 2.84157e-39, 2.84157e-39, 2.84157e-39, 2.84157e-39, 2.84157e-39, 2.84157e-39, 2.84157e-39, 2.84157e-39, 2.84157e-39, 2.20742e-14, 2.84157e-39, 2.84157e-39, 2.19388e-17, 6.56126e-16, 2.84157e-39, 2.88347e-12, 2.84157e-39, 2.84157e-39
0.453225, 0, 6.14597e-12, 2.91741e-38, 1.41421, -6.14597e-12, 0, 2.91741e-38, 2.91741e-38, 2.91741e-38, 2.91741e-38, 2.91741e-38, 2.91741e-38, 2.91741e-38, 2.91741e-38, 2.91741e-38, 2.91741e-38, 2.91741e-38, 2.91741e-38, 4.66825e-14, 2.91741e-38, 2.91741e-38, 4.72631e-17, 1.42372e-15, 2.91741e-38, 6.09782e-12, 2.91741e-38, 2.91741e-38
0.461084, 0, 1.27806e-11, 2.72838e-37, 1.41421, -1.27806e-11, 0, 2.72838e-37, 2.72838e-37, 2.72838e-37, 2.72838e-37, 2.72838e-37, 2.72838e-37, 2.72838e-37, 2.72838e-37, 2.72838e-37, 2.72838e-37, 2.72838e-37, 2.72838e-37, 9.70832e-14, 2.72838e-37, 2.72838e-37, 1.00475e-16, 3.04001e-15, 2.72838e-37, 1.26804e-11, 2.72838e-37, 2.72838e-37
0.468943, 0, 2.61372e-11, 2.33713e-36, 1.41421, -2.61372e-11, 0, 2.33713e-36, 2.33713e-36, 2.33713e-36, 2.33713e-36, 2.33713e-36, 2.33713e-36, 2.33713e-36, 2.33713e-36, 2.33713e-36, 2.33713e-36, 2.33713e-36, 2.33713e-36, 1.98569e-13, 2.33713e-36, 2.33713e-36, 2.11003e-16, 6.38959e-15, 2.33713e-36, 2.5932e-11, 2.33713e-36, 2.33713e-36
0.476801, 0, 5.25721e-11, 1.84303e-35, 1.41421, -5.25721e-11, 0, 1.84303e-35, 1.84303e-35, 1.84303e-35, 1.84303e-35, 1.84303e-35, 1.84303e-35, 1.84303e-35, 1.84303e-35, 1.84303e-35, 1.84303e-35, 1.84303e-35, 1.84303e-35, 3.99499e-13, 1.84303e-35, 1.84303e-35, 4.38309e-16, 1.32247e-14, 1.84303e-35, 5.2159e-11, 1.84303e-35, 1.84303e-35
0.48466, 0, 1.04013e-10, 1.34432e-34, 1.41421, -1.04013e-10, 0, 1.34432e-34, 1.34432e-34, 1.34432e-34, 1.34432e-34, 1.34432e-34, 1.34432e-34, 1.34432e-34, 1.34432e-34, 1.34432e-34, 1.34432e-34, 1.34432e-34, 1.34432e-34, 7.90712e-13, 1.34432e-34, 1.34432e-34, 9.01989e-16, 2.6966e-14, 1.34432e-34, 1.03195e-10, 1.34432e-34, 1.34432e-34
0.492519, 0, 2.02444e-10, 9.428e-34, 1.41421, -2.02444e-10, 0, 9.428e-34, 9.428e-34, 9.428e-34, 9.428e-34, 9.428e-34, 9.428e-34, 9.428e-34, 9.428e-34, 9.428e-34, 9.428e-34, 9.428e-34, 9.428e-34, 1.53989e-12, 9.428e-34, 9.428e-34, 1.84208e-15, 5.42036e-14, 9.428e-34, 2.00848e-10, 9.428e-34, 9.428e-34
0.500377, 0, 3.87653e-10, 6.38404e-33, 1.41421, -3.87653e-10, 0, 6.38404e-33, 6.38404e-33, 6.38404e-33, 6.38404e-33, 6.38404e-33, 6.38404e-33, 6.38404e-33, 6.38404e-33, 6.38404e-33, 6.38404e-33, 6.38404e-33, 6.38404e-33, 2.9512e-12, 6.38404e-33, 6.38404e-33, 3.74048e-15, 1.07486e-13, 6.38404e-33, 3.84591e-10, 6.38404e-33, 6.38404e-33
0.508236, 0, 7.30403e-10, 4.09683e-32, 1.41421, -7.30403e-10, 0, 4.09683e-32, 4.09683e-32, 4.09683e-32, 4.09683e-32, 4.09683e-32, 4.09683e-32, 4.09683e-32, 4.09683e-32, 4.09683e-32, 4.09683e-32, 4.09683e-32, 4.09683e-32, 5.56722e-12, 4.09683e-32, 4.09683e-32, 7.56675e-15, 2.10488e-13, 4.09683e-32, 7.24618e-10, 4.09683e-32, 4.09683e-32
0.516094, 0, 1.35427e-09, 2.47575e-31, 1.41421, -1.35427e-09, 0, 2.47575e-31, 2.47575e-31, 2.47575e-31, 2.47575e-31, 2.47575e-31, 2.47575e-31, 2.47575e-31, 2.47575e-31, 2.47575e-31, 2.47575e-31, 2.47575e-31, 2.47575e-31, 1.03394e-11, 2.47575e-31, 2.47575e-31, 1.52769e-14, 4.07571e-13, 2.47575e-31, 1.34351e-09, 2.47575e-31, 2.47575e-31
0.523953, 0, 2.47132e-09, 1.40767e-30, 1.41421, -2.47132e-09, 0, 1.40767e-30, 1.40767e-30, 1.40767e-30, 1.40767e-30, 1.40767e-30, 1.40767e-30, 1.40767e-30, 1.40767e-30, 1.40767e-30, 1.40767e-30, 1.40767e-30, 1.40767e-30, 1.89096e-11, 1.40767e-30, 1.40767e-30, 3.08289e-14, 7.81598e-13, 1.40767e-30, 2.45159e-09, 1.40767e-30, 1.40767e-30
0.531812, 0, 4.43907e-09, 7.54305e-30, 1.41421, -4.43907e-09, 0, 7.54305e-30, 7.54305e-30, 7.54305e-30, 7.54305e-30, 7.54305e-30, 7.54305e-30, 7.54305e-30, 7.54305e-30, 7.54305e-30, 7.54305e-30, 7.54305e-30, 7.54305e-30, 3.40659e-11, 7.54305e-30, 7.54305e-30, 6.22426e-14, 1.48743e-12, 7.54305e-30, 4.40346e-09, 7.54305e-30, 7.54305e-30
0.53967, 0, 7.8499e-09, 3.81898e-29, 1.41421, -7.8499e-09, 0, 3.81898e-29, 3.81898e-29, 3.81898e-29, 3.81898e-29, 3.81898e-29, 3.81898e-29, 3.81898e-29, 3.81898e-29, 3.81898e-29, 3.81898e-29, 3.81898e-29, 3.81898e-29, 6.04709e-11, 3.81898e-29, 3.81898e-29, 1.25759e-13, 2.81584e-12, 3.81898e-29, 7.78649e-09, 3.81898e-29, 3.81898e-29
0.547529, 0, 1.36681e-08, 1.8322e-28, 1.41421, -1.36681e-08, 0, 1.8322e-28, 1.8322e-28, 1.8322e-28, 1.8322e-28, 1.8322e-28, 1.8322e-28, 1.8322e-28, 1.8322e-28, 1.8322e-28, 1.8322e-28, 1.8322e-28, 1.8322e-28, 1.05806e-10, 1.8322e-28, 1.8322e-28, 2.54146e-13, 5.31703e-12, 1.8322e-28, 1.35568e-08, 1.8322e-28, 1.8322e-28
0.555387, 0, 2.34374e-08, 8.35423e-28, 1.41421, -2.34374e-08, 0, 8.35423e-28, 8.35423e-28, 8.35423e-28, 8.35423e-28, 8.35423e-28, 8.35423e-28, 8.35423e-28, 8.35423e-28, 8.35423e-28, 8.35423e-28, 8.35423e-28, 8.35423e-28, 1.8255e-10, 8.35423e-28, 8.35423e-28, 5.13095e-13, 1.00435e-11, 8.35423e-28, 2.32443e-08, 8.35423e-28, 8.35423e-28
0.563246, 0, 3.9586e-08, 3.63057e-27, 1.41421, -3.9586e-08, 0, 3.63057e-27, 3.63057e-27, 3.63057e-27, 3.63057e-27, 3.63057e-27, 3.63057e-27, 3.63057e-27, 3.63057e-27, 3.63057e-27, 3.63057e-27, 3.63057e-27, 3.63057e-27, 3.10696e-10, 3.63057e-27, 3.63057e-27, 1.03302e-12, 1.90308e-11, 3.63057e-27, 3.92552e-08, 3.63057e-27, 3.63057e-27
0.571105, 0, 6.58715e-08, 1.50787e-26, 1.41421, -6.58715e-08, 0, 1.50787e-26, 1.50787e-26, 1.50787e-26, 1.50787e-26, 1.50787e-26, 1.50787e-26, 1.50787e-26, 1.50787e-26, 1.50787e-26, 1.50787e-26, 1.50787e-26, 1.50787e-26, 5.21866e-10, 1.50787e-26, 1.50787e-26, 2.06968e-12, 3.62576e-11, 1.50787e-26, 6.53113e-08, 1.50787e-26, 1.50787e-26
0.578963, 0, 1.08013e-07, 6.00076e-26, 1.41421, -1.08013e-07, 0, 6.00076e-26, 6.00076e-26, 6.00076e-26, 6.00076e-26, 6.00076e-26, 6.00076e-26, 6.00076e-26, 6.00076e-26, 2.69829e-13, 6.00076e-26, 6.00076e-26, 6.00076e-26, 8.65455e-10, 6.00076e-26, 6.00076e-26, 4.11737e-12, 6.95561e-11, 6.00076e-26, 1.07074e-07, 6.00076e-26, 6.00076e-26
