   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_332.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.598403, 2, 6.67225e-05, 4.68728e-06, 2, 1.99993, 4.68728e-06, 4.68747e-06, 9.21958e-06, 4.75029e-06, 4.70211e-06, 4.86046e-06, 9.31377e-06, 5.00202e-06, 3.41089e-05, 4.79792e-06, 4.69234e-06, 4.70606e-06, 4.68731e-06, 2.68792e-05, 4.68728e-06, 4.68728e-06, 5.24964e-06
0.606286, 0, 0.000114299, 8.82773e-06, 1.41421, -0.000114299, 8.82773e-06, 8.82809e-06, 1.73748e-05, 8.94656e-06, 8.85571e-06, 9.15432e-06, 1.83132e-05, 9.42127e-06, 6.43111e-05, 8.97245e-06, 8.83728e-06, 8.86315e-06, 8.82779e-06, 3.84659e-05, 8.82773e-06, 8.82773e-06, 9.88824e-06
0.61417, 0, 0.000197534, 1.62435e-05, 1.41421, -0.000197534, 1.62435e-05, 1.62441e-05, 3.19923e-05, 1.64624e-05, 1.6295e-05, 1.68452e-05, 3.53538e-05, 1.73371e-05, 0.000118477, 1.64319e-05, 1.6261e-05, 1.63087e-05, 1.62436e-05, 5.62486e-05, 1.62435e-05, 1.62435e-05, 1.81975e-05
0.622054, 0, 0.000341683, 2.92071e-05, 1.41421, -0.000341683, 2.92071e-05, 2.92083e-05, 5.75667e-05, 2.96014e-05, 2.92999e-05, 3.02907e-05, 6.70329e-05, 3.11765e-05, 0.000213305, 2.94514e-05, 2.92387e-05, 2.93246e-05, 2.92073e-05, 8.39462e-05, 2.92071e-05, 2.92071e-05, 3.27259e-05
0.629937, 0, 0.000587892, 5.13274e-05, 1.41421, -0.000587892, 5.13274e-05, 5.13295e-05, 0.000101244, 5.20214e-05, 5.14908e-05, 5.32347e-05, 0.000124862, 5.47938e-05, 0.000375365, 5.16429e-05, 5.13831e-05, 5.15342e-05, 5.13277e-05, 0.000127397, 5.13274e-05, 5.13274e-05, 5.7521e-05
0.637821, 0, 0.00100167, 8.81728e-05, 1.41421, -0.00100167, 8.81728e-05, 8.81764e-05, 0.000174068, 8.9367e-05, 8.84539e-05, 9.14548e-05, 0.000228532, 9.41376e-05, 0.000645763, 8.85789e-05, 8.82687e-05, 8.85287e-05, 8.81733e-05, 0.000195587, 8.81728e-05, 8.81728e-05, 9.88305e-05
0.645705, 0, 0.00168494, 0.000148088, 1.41421, -0.00168494, 0.000148088, 0.000148095, 0.000292613, 0.000150098, 0.000148561, 0.000153611, 0.000411052, 0.000158125, 0.00108627, 0.00014861, 0.00014825, 0.000148687, 0.000148089, 0.000302007, 0.000148088, 0.000148088, 0.000166021
0.653588, 0, 0.00279262, 0.000243217, 1.41421, -0.00279262, 0.000243217, 0.000243227, 0.000481043, 0.000246524, 0.000243996, 0.000252305, 0.000726625, 0.000259733, 0.00178707, 0.000243884, 0.000243483, 0.000244203, 0.000243219, 0.000466412, 0.000243217, 0.000243217, 0.000272726
0.661472, 0, 0.00455474, 0.00039069, 1.41421, -0.00455474, 0.00039069, 0.000390706, 0.000773517, 0.000396012, 0.000391943, 0.000405318, 0.00126236, 0.000417275, 0.00287583, 0.00039154, 0.000391117, 0.000392276, 0.000390692, 0.000716929, 0.00039069, 0.00039069, 0.000438191
0.669356, 0, 0.00730504, 0.000613934, 1.41421, -0.00730504, 0.000613934, 0.00061396, 0.00121687, 0.000622317, 0.000615908, 0.000636972, 0.00215522, 0.000655804, 0.00452789, 0.000615017, 0.000614608, 0.000616433, 0.000613938, 0.00109252, 0.000613934, 0.000613934, 0.000688746
