   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_141.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.40222, 0, 8.66427e-09, 1.79109e-33, 1.41421, -8.66427e-09, 0, 1.79109e-33, 1.79109e-33, 1.79109e-33, 1.79109e-33, 1.79109e-33, 1.79109e-33, 1.79109e-33, 1.79109e-33, 1.79109e-33, 1.79109e-33, 9.81575e-11, 1.79109e-33, 4.1924e-13, 2.43818e-12, 1.79109e-33, 8.56326e-09, 1.79109e-33, 1.79109e-33, 1.79109e-33
0.410107, 0, 1.30985e-08, 1.16093e-32, 1.41421, -1.30985e-08, 0, 1.16093e-32, 1.16093e-32, 1.16093e-32, 1.16093e-32, 1.16093e-32, 1.16093e-32, 1.16093e-32, 1.16093e-32, 1.16093e-32, 1.16093e-32, 1.48656e-10, 1.16093e-32, 6.92753e-13, 4.00857e-12, 1.16093e-32, 1.29451e-08, 1.16093e-32, 1.16093e-32, 1.16093e-32
0.417993, 0, 1.96482e-08, 7.30895e-32, 1.41421, -1.96482e-08, 0, 7.30895e-32, 7.30895e-32, 7.30895e-32, 7.30895e-32, 7.30895e-32, 7.30895e-32, 7.30895e-32, 7.30895e-32, 7.30895e-32, 7.30895e-32, 2.23464e-10, 7.30895e-32, 1.14396e-12, 6.58182e-12, 7.30895e-32, 1.9417e-08, 7.30895e-32, 7.30895e-32, 7.30895e-32
0.425879, 0, 2.92459e-08, 4.20963e-31, 1.41421, -2.92459e-08, 0, 4.20963e-31, 4.20963e-31, 4.20963e-31, 4.20963e-31, 4.20963e-31, 4.20963e-31, 4.20963e-31, 4.20963e-31, 4.20963e-31, 4.20963e-31, 3.33462e-10, 4.20963e-31, 1.88792e-12, 1.07955e-11, 4.20963e-31, 2.88997e-08, 4.20963e-31, 4.20963e-31, 4.20963e-31
0.433765, 0, 4.31991e-08, 2.31024e-30, 1.41421, -4.31991e-08, 0, 2.31024e-30, 2.31024e-30, 2.31024e-30, 2.31024e-30, 2.31024e-30, 2.31024e-30, 2.31024e-30, 2.31024e-30, 2.31024e-30, 2.31024e-30, 4.9403e-10, 2.31024e-30, 3.11358e-12, 1.76908e-11, 2.31024e-30, 4.26843e-08, 2.31024e-30, 2.31024e-30, 2.31024e-30
0.441652, 0, 6.33262e-08, 1.1961e-29, 1.41421, -6.33262e-08, 0, 1.1961e-29, 1.1961e-29, 1.1961e-29, 1.1961e-29, 1.1961e-29, 1.1961e-29, 1.1961e-29, 1.1961e-29, 1.1961e-29, 1.1961e-29, 7.26752e-10, 1.1961e-29, 5.13037e-12, 2.89644e-11, 1.1961e-29, 6.25653e-08, 1.1961e-29, 1.1961e-29, 1.1961e-29
0.449538, 0, 9.21341e-08, 5.83201e-29, 1.41421, -9.21341e-08, 0, 5.83201e-29, 5.83201e-29, 5.83201e-29, 5.83201e-29, 5.83201e-29, 5.83201e-29, 5.83201e-29, 5.83201e-29, 5.83201e-29, 5.83201e-29, 1.0617e-09, 5.83201e-29, 8.44316e-12, 4.73742e-11, 5.83201e-29, 9.10166e-08, 5.83201e-29, 5.83201e-29, 5.83201e-29
0.457424, 0, 1.33052e-07, 2.71074e-28, 1.41421, -1.33052e-07, 0, 2.71074e-28, 2.71074e-28, 2.71074e-28, 2.71074e-28, 2.71074e-28, 2.71074e-28, 2.71074e-28, 2.71074e-28, 2.71074e-28, 2.71074e-28, 1.54053e-09, 2.71074e-28, 1.38722e-11, 7.73872e-11, 2.71074e-28, 1.3142e-07, 2.71074e-28, 2.71074e-28, 2.71074e-28
0.465311, 0, 1.90731e-07, 2.09801e-27, 1.41421, -1.90731e-07, 0, 2.09801e-27, 2.09801e-27, 2.09801e-27, 2.09801e-27, 2.09801e-27, 2.09801e-27, 2.09801e-27, 2.09801e-27, 2.09801e-27, 2.09801e-27, 2.22052e-09, 2.09801e-27, 2.27574e-11, 1.26266e-10, 2.09801e-27, 1.88361e-07, 2.09801e-27, 2.09801e-27, 2.09801e-27
0.473197, 0, 2.71425e-07, 8.43971e-27, 1.41421, -2.71425e-07, 0, 8.43971e-27, 8.43971e-27, 8.43971e-27, 8.43971e-27, 8.43971e-27, 8.43971e-27, 8.43971e-27, 8.43971e-27, 8.43971e-27, 8.43971e-27, 3.17986e-09, 8.43971e-27, 3.72067e-11, 2.05461e-10, 8.43971e-27, 2.68002e-07, 8.43971e-27, 8.43971e-27, 8.43971e-27
0.481083, 0, 3.83486e-07, 3.24138e-26, 1.41421, -3.83486e-07, 0, 3.24138e-26, 3.24138e-26, 3.24138e-26, 3.24138e-26, 3.24138e-26, 3.24138e-26, 2.00455e-12, 3.24138e-26, 3.24138e-26, 3.24138e-26, 4.52488e-09, 3.24138e-26, 6.06328e-11, 3.33425e-10, 3.24138e-26, 3.78565e-07, 3.24138e-26, 3.24138e-26, 3.24138e-26
0.488969, 0, 5.37967e-07, 1.1911e-25, 1.41421, -5.37967e-07, 0, 1.1911e-25, 1.1911e-25, 1.1911e-25, 1.1911e-25, 1.1911e-25, 1.1911e-25, 7.00948e-12, 1.1911e-25, 1.1911e-25, 1.1911e-25, 6.39901e-09, 1.1911e-25, 9.84317e-11, 5.39278e-10, 1.1911e-25, 5.30924e-07, 1.1911e-25, 1.1911e-25, 1.1911e-25
0.496856, 0, 7.49394e-07, 4.22317e-25, 1.41421, -7.49394e-07, 0, 4.22317e-25, 4.22317e-25, 4.22317e-25, 4.22317e-25, 4.22317e-25, 4.22317e-25, 1.90968e-11, 4.22317e-25, 4.22317e-25, 4.22317e-25, 8.99478e-09, 4.22317e-25, 1.59098e-10, 8.68721e-10, 4.22317e-25, 7.39352e-07, 4.22317e-25, 4.22317e-25, 4.22317e-25
0.504742, 0, 1.03905e-06, 3.36029e-10, 1.41421, -1.03905e-06, 3.36029e-10, 3.36074e-10, 3.36108e-10, 3.3608e-10, 5.38696e-10, 3.40204e-10, 3.48899e-10, 4.7777e-10, 5.23582e-10, 3.36989e-10, 1.72133e-09, 1.29052e-08, 3.37212e-10, 5.91931e-10, 1.72887e-09, 3.3603e-10, 1.02287e-06, 3.36029e-10, 3.36029e-10, 3.57717e-10
0.512628, 0, 1.43255e-06, 1.16872e-09, 1.41421, -1.43255e-06, 1.16872e-09, 1.16888e-09, 1.16899e-09, 1.1689e-09, 1.87354e-09, 1.18324e-09, 1.21348e-09, 1.60891e-09, 1.82097e-09, 1.17206e-09, 5.98638e-09, 1.86315e-08, 1.17283e-09, 1.57817e-09, 3.38989e-09, 1.16872e-09, 1.4057e-06, 1.16872e-09, 1.16872e-09, 1.24415e-09
0.520515, 0, 1.9663e-06, 3.16965e-09, 1.41421, -1.9663e-06, 3.16965e-09, 3.17008e-09, 3.17039e-09, 3.17013e-09, 5.08055e-09, 3.20902e-09, 3.291e-09, 4.31542e-09, 4.93804e-09, 3.17871e-09, 1.62313e-08, 2.72943e-08, 3.1808e-09, 3.82102e-09, 6.6904e-09, 3.16966e-09, 1.91973e-06, 3.16965e-09, 3.16965e-09, 3.37415e-09
0.528401, 0, 2.69106e-06, 7.84617e-09, 1.41421, -2.69106e-06, 7.84617e-09, 7.84723e-09, 7.84801e-09, 7.84736e-09, 1.25755e-08, 7.94361e-09, 8.1465e-09, 1.06171e-08, 1.22228e-08, 7.86859e-09, 4.01725e-08, 4.09894e-08, 7.87378e-09, 8.87603e-09, 1.33899e-08, 7.8462e-09, 2.60618e-06, 7.84617e-09, 7.84617e-09, 8.35228e-09
0.536287, 0, 3.68109e-06, 1.84934e-08, 1.41421, -3.68109e-06, 1.84934e-08, 1.84959e-08, 1.84977e-08, 1.84962e-08, 2.96398e-08, 1.8723e-08, 1.92012e-08, 2.49129e-08, 2.88086e-08, 1.85462e-08, 9.4683e-08, 6.37779e-08, 1.85585e-08, 2.01112e-08, 2.71595e-08, 1.84935e-08, 3.51919e-06, 1.84934e-08, 1.84934e-08, 1.96862e-08
0.544173, 0, 5.05059e-06, 4.21308e-08, 1.41421, -5.05059e-06, 4.21308e-08, 4.21365e-08, 4.21407e-08, 4.21372e-08, 6.75235e-08, 4.2654e-08, 4.37434e-08, 5.67454e-08, 6.56298e-08, 4.22512e-08, 2.15698e-07, 1.03672e-07, 4.22791e-08, 4.46551e-08, 5.5589e-08, 4.2131e-08, 4.73085e-06, 4.21308e-08, 4.21308e-08, 4.48482e-08
0.55206, 0, 6.9854e-06, 9.33132e-08, 1.41421, -6.9854e-06, 9.33132e-08, 9.33257e-08, 9.3335e-08, 9.33273e-08, 1.49553e-07, 9.44718e-08, 9.68846e-08, 1.27463e-07, 1.45359e-07, 9.35797e-08, 4.77732e-07, 1.76501e-07, 9.36415e-08, 9.72246e-08, 1.14033e-07, 9.33135e-08, 6.33933e-06, 9.33132e-08, 9.33132e-08, 9.93317e-08
0.559946, 0, 9.81591e-06, 2.01428e-07, 1.41421, -9.81591e-06, 2.01428e-07, 2.01455e-07, 2.01476e-07, 2.01459e-07, 3.22828e-07, 2.03929e-07, 2.09138e-07, 2.96883e-07, 3.13775e-07, 2.02004e-07, 1.03124e-06, 3.13286e-07, 2.02137e-07, 2.07446e-07, 2.33064e-07, 2.01429e-07, 8.4828e-06, 2.01428e-07, 2.01428e-07, 2.1442e-07
0.567832, 0, 1.40925e-05, 4.24251e-07, 1.41421, -1.40925e-05, 4.24251e-07, 4.24308e-07, 4.24351e-07, 4.24315e-07, 6.79943e-07, 4.29519e-07, 4.40489e-07, 6.55067e-07, 6.60874e-07, 4.25463e-07, 2.17199e-06, 5.73875e-07, 4.25744e-07, 4.33443e-07, 4.72147e-07, 4.24253e-07, 1.13631e-05, 4.24251e-07, 4.24251e-07, 4.51614e-07
0.575719, 0, 2.08084e-05, 8.72381e-07, 1.41421, -2.08084e-05, 8.72381e-07, 8.72498e-07, 8.72586e-07, 8.72513e-07, 1.39815e-06, 8.83213e-07, 9.0577e-07, 1.39629e-06, 1.35894e-06, 8.74873e-07, 4.46618e-06, 1.07149e-06, 8.7545e-07, 8.86325e-07, 9.44276e-07, 8.72384e-07, 1.52869e-05, 8.72381e-07, 8.72381e-07, 9.28647e-07
0.583605, 0, 3.17349e-05, 1.75192e-06, 1.41421, -3.17349e-05, 1.75192e-06, 1.75216e-06, 1.75233e-06, 1.75219e-06, 2.80776e-06, 1.77367e-06, 1.81897e-06, 2.89662e-06, 2.72902e-06, 1.75693e-06, 8.96893e-06, 2.01555e-06, 1.75809e-06, 1.77291e-06, 1.85892e-06, 1.75193e-06, 2.07347e-05, 1.75192e-06, 1.75192e-06, 1.86491e-06
0.591491, 0, 5.00125e-05, 3.43678e-06, 1.41421, -5.00125e-05, 3.43678e-06, 3.43724e-06, 3.43759e-06, 3.4373e-06, 5.50802e-06, 3.47945e-06, 3.56831e-06, 5.86862e-06, 5.35355e-06, 3.4466e-06, 1.75944e-05, 3.78409e-06, 3.44887e-06, 3.46815e-06, 3.5947e-06, 3.43679e-06, 2.84789e-05, 3.43678e-06, 3.43678e-06, 3.65844e-06
0.599377, 0, 8.11436e-05, 6.5872e-06, 1.41421, -8.11436e-05, 6.5872e-06, 6.58808e-06, 6.58874e-06, 6.58819e-06, 1.0557e-05, 6.66898e-06, 6.8393e-06, 1.16411e-05, 1.0261e-05, 6.60601e-06, 3.37224e-05, 7.04255e-06, 6.61037e-06, 6.63375e-06, 6.81838e-06, 6.58722e-06, 3.97737e-05, 6.5872e-06, 6.5872e-06, 7.01203e-06
