   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_65.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.424252, 0, 2.60844e-08, 5.37432e-30, 1.41421, -2.60844e-08, 0, 5.37432e-30, 5.37432e-30, 5.37432e-30, 5.37432e-30, 5.37432e-30, 5.37432e-30, 5.37432e-30, 5.37432e-30, 5.37432e-30, 2.22505e-10, 5.37432e-30, 5.37432e-30, 5.37432e-30, 2.58619e-08, 5.37432e-30, 5.37432e-30, 5.37432e-30
0.432151, 0, 3.73638e-08, 2.58238e-29, 1.41421, -3.73638e-08, 0, 2.58238e-29, 2.58238e-29, 2.58238e-29, 2.58238e-29, 2.58238e-29, 2.58238e-29, 2.58238e-29, 2.58238e-29, 2.58238e-29, 3.19964e-10, 2.58238e-29, 2.58238e-29, 2.58238e-29, 3.70438e-08, 2.58238e-29, 2.58238e-29, 2.58238e-29
0.440049, 0, 5.31559e-08, 1.19103e-28, 1.41421, -5.31559e-08, 0, 1.19103e-28, 1.19103e-28, 1.19103e-28, 1.19103e-28, 1.19103e-28, 1.19103e-28, 1.19103e-28, 1.19103e-28, 1.19103e-28, 4.57248e-10, 1.19103e-28, 1.19103e-28, 1.19103e-28, 5.26986e-08, 1.19103e-28, 1.19103e-28, 1.19103e-28
0.447947, 0, 7.5112e-08, 5.26285e-28, 1.41421, -7.5112e-08, 0, 5.26285e-28, 5.26285e-28, 5.26285e-28, 5.26285e-28, 5.26285e-28, 5.26285e-28, 5.26285e-28, 5.26285e-28, 5.26285e-28, 6.49449e-10, 5.26285e-28, 5.26285e-28, 5.26285e-28, 7.44625e-08, 5.26285e-28, 5.26285e-28, 5.26285e-28
0.455845, 0, 1.05428e-07, 2.21735e-27, 1.41421, -1.05428e-07, 0, 2.21735e-27, 2.21735e-27, 2.21735e-27, 2.21735e-27, 2.21735e-27, 2.21735e-27, 2.21735e-27, 2.21735e-27, 2.21735e-27, 9.16941e-10, 2.21735e-27, 2.21735e-27, 2.21735e-27, 1.04511e-07, 2.21735e-27, 2.21735e-27, 2.21735e-27
0.463743, 0, 1.47001e-07, 8.90922e-27, 1.41421, -1.47001e-07, 0, 8.90922e-27, 8.90922e-27, 8.90922e-27, 8.90922e-27, 8.90922e-27, 8.90922e-27, 8.90922e-27, 8.90922e-27, 8.90922e-27, 1.28705e-09, 8.90922e-27, 8.90922e-27, 8.90922e-27, 1.45714e-07, 8.90922e-27, 8.90922e-27, 8.90922e-27
0.471641, 0, 2.0363e-07, 3.41745e-26, 1.41421, -2.0363e-07, 0, 3.41745e-26, 3.41745e-26, 3.41745e-26, 3.41745e-26, 3.41745e-26, 2.45046e-12, 3.41745e-26, 3.41745e-26, 3.41745e-26, 1.79623e-09, 3.41745e-26, 3.41745e-26, 3.41745e-26, 2.01831e-07, 3.41745e-26, 3.41745e-26, 3.41745e-26
0.479539, 0, 2.8025e-07, 1.25365e-25, 1.41421, -2.8025e-07, 0, 1.25365e-25, 1.25365e-25, 1.25365e-25, 1.25365e-25, 1.25365e-25, 8.24433e-12, 1.25365e-25, 1.25365e-25, 1.25365e-25, 2.49287e-09, 1.25365e-25, 1.25365e-25, 1.25365e-25, 2.77748e-07, 1.25365e-25, 1.25365e-25, 1.25365e-25
0.487437, 0, 3.83235e-07, 4.42993e-25, 1.41421, -3.83235e-07, 0, 4.42993e-25, 4.42993e-25, 4.42993e-25, 4.42993e-25, 4.42993e-25, 2.1534e-11, 4.42993e-25, 4.42993e-25, 4.42993e-25, 3.44079e-09, 4.42993e-25, 4.42993e-25, 4.42993e-25, 3.79773e-07, 4.42993e-25, 4.42993e-25, 4.42993e-25
0.495335, 0, 5.23583e-07, 1.03977e-10, 1.41421, -5.23583e-07, 1.03977e-10, 1.03995e-10, 8.37386e-10, 1.21326e-10, 1.0717e-10, 1.1275e-10, 2.69422e-10, 1.47084e-10, 1.06662e-10, 1.78631e-09, 4.82786e-09, 1.06688e-10, 1.03977e-10, 1.03978e-10, 5.16163e-07, 1.03977e-10, 1.03977e-10, 1.40882e-10
