   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_228.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.358218, 0, 7.91013e-11, 7.60204e-42, 1.41421, -7.91013e-11, 0, 7.60204e-42, 7.60204e-42, 7.60204e-42, 7.60204e-42, 7.60204e-42, 7.60204e-42, 7.60204e-42, 7.60204e-42, 7.60204e-42, 5.28947e-13, 7.60204e-42, 7.60204e-42, 7.60204e-42, 7.85724e-11, 7.60204e-42, 7.60204e-42, 7.60204e-42
0.366108, 0, 1.36727e-10, 1.05987e-40, 1.41421, -1.36727e-10, 0, 1.05987e-40, 1.05987e-40, 1.05987e-40, 1.05987e-40, 1.05987e-40, 1.05987e-40, 1.05987e-40, 1.05987e-40, 1.05987e-40, 9.14477e-13, 1.05987e-40, 1.05987e-40, 1.05987e-40, 1.35813e-10, 1.05987e-40, 1.05987e-40, 1.05987e-40
0.373998, 0, 2.33926e-10, 1.32625e-39, 1.41421, -2.33926e-10, 0, 1.32625e-39, 1.32625e-39, 1.32625e-39, 1.32625e-39, 1.32625e-39, 1.32625e-39, 1.32625e-39, 1.32625e-39, 1.32625e-39, 1.56499e-12, 1.32625e-39, 1.32625e-39, 1.32625e-39, 2.32361e-10, 1.32625e-39, 1.32625e-39, 1.32625e-39
0.381888, 0, 3.96172e-10, 1.49502e-38, 1.41421, -3.96172e-10, 0, 1.49502e-38, 1.49502e-38, 1.49502e-38, 1.49502e-38, 1.49502e-38, 1.49502e-38, 1.49502e-38, 1.49502e-38, 1.49502e-38, 2.65137e-12, 1.49502e-38, 1.49502e-38, 1.49502e-38, 3.93521e-10, 1.49502e-38, 1.49502e-38, 1.49502e-38
0.389778, 0, 6.64204e-10, 1.52396e-37, 1.41421, -6.64204e-10, 0, 1.52396e-37, 1.52396e-37, 1.52396e-37, 1.52396e-37, 1.52396e-37, 1.52396e-37, 1.52396e-37, 1.52396e-37, 1.52396e-37, 4.44718e-12, 1.52396e-37, 1.52396e-37, 1.52396e-37, 6.59757e-10, 1.52396e-37, 1.52396e-37, 1.52396e-37
0.397668, 0, 1.10245e-09, 1.41385e-36, 1.41421, -1.10245e-09, 0, 1.41385e-36, 1.41385e-36, 1.41385e-36, 1.41385e-36, 1.41385e-36, 1.41385e-36, 1.41385e-36, 1.41385e-36, 1.41385e-36, 7.38577e-12, 1.41385e-36, 1.41385e-36, 1.41385e-36, 1.09507e-09, 1.41385e-36, 1.41385e-36, 1.41385e-36
0.405558, 0, 1.81172e-09, 1.2005e-35, 1.41421, -1.81172e-09, 0, 1.2005e-35, 1.2005e-35, 1.2005e-35, 1.2005e-35, 1.2005e-35, 1.2005e-35, 1.2005e-35, 1.2005e-35, 1.2005e-35, 1.21464e-11, 1.2005e-35, 1.2005e-35, 1.2005e-35, 1.79957e-09, 1.2005e-35, 1.2005e-35, 1.2005e-35
0.413448, 0, 2.948e-09, 9.36873e-35, 1.41421, -2.948e-09, 0, 9.36873e-35, 9.36873e-35, 9.36873e-35, 9.36873e-35, 9.36873e-35, 9.36873e-35, 9.36873e-35, 9.36873e-35, 9.36873e-35, 1.97828e-11, 9.36873e-35, 9.36873e-35, 9.36873e-35, 2.92822e-09, 9.36873e-35, 9.36873e-35, 9.36873e-35
0.421338, 0, 4.75006e-09, 6.74906e-34, 1.41421, -4.75006e-09, 0, 6.74906e-34, 6.74906e-34, 6.74906e-34, 6.74906e-34, 6.74906e-34, 6.74906e-34, 6.74906e-34, 6.74906e-34, 6.74906e-34, 3.19127e-11, 6.74906e-34, 6.74906e-34, 6.74906e-34, 4.71815e-09, 6.74906e-34, 6.74906e-34, 6.74906e-34
0.429228, 0, 7.5795e-09, 4.70082e-33, 1.41421, -7.5795e-09, 0, 4.70082e-33, 4.70082e-33, 4.70082e-33, 4.70082e-33, 4.70082e-33, 4.70082e-33, 4.70082e-33, 4.70082e-33, 4.70082e-33, 5.09953e-11, 4.70082e-33, 4.70082e-33, 4.70082e-33, 7.52851e-09, 4.70082e-33, 4.70082e-33, 4.70082e-33
0.437118, 0, 1.19781e-08, 2.63744e-32, 1.41421, -1.19781e-08, 0, 2.63744e-32, 2.63744e-32, 2.63744e-32, 2.63744e-32, 2.63744e-32, 2.63744e-32, 2.63744e-32, 2.63744e-32, 2.63744e-32, 8.07321e-11, 2.63744e-32, 2.63744e-32, 2.63744e-32, 1.18974e-08, 2.63744e-32, 2.63744e-32, 2.63744e-32
0.445008, 0, 1.87489e-08, 1.39348e-31, 1.41421, -1.87489e-08, 0, 1.39348e-31, 1.39348e-31, 1.39348e-31, 1.39348e-31, 1.39348e-31, 1.39348e-31, 1.39348e-31, 1.39348e-31, 1.39348e-31, 1.26641e-10, 1.39348e-31, 1.39348e-31, 1.39348e-31, 1.86222e-08, 1.39348e-31, 1.39348e-31, 1.39348e-31
0.452898, 0, 2.90698e-08, 7.41531e-31, 1.41421, -2.90698e-08, 0, 7.41531e-31, 7.41531e-31, 7.41531e-31, 7.41531e-31, 7.41531e-31, 7.41531e-31, 7.41531e-31, 7.41531e-31, 7.41531e-31, 1.96871e-10, 7.41531e-31, 7.41531e-31, 7.41531e-31, 2.8873e-08, 7.41531e-31, 7.41531e-31, 7.41531e-31
0.460788, 0, 4.46506e-08, 3.82264e-30, 1.41421, -4.46506e-08, 0, 3.82264e-30, 3.82264e-30, 3.82264e-30, 3.82264e-30, 3.82264e-30, 3.82264e-30, 3.82264e-30, 3.82264e-30, 3.82264e-30, 3.03346e-10, 3.82264e-30, 3.82264e-30, 3.82264e-30, 4.43473e-08, 3.82264e-30, 3.82264e-30, 3.82264e-30
0.468678, 0, 6.79477e-08, 1.87735e-29, 1.41421, -6.79477e-08, 0, 1.87735e-29, 1.87735e-29, 1.87735e-29, 1.87735e-29, 1.87735e-29, 1.87735e-29, 1.87735e-29, 1.87735e-29, 1.87735e-29, 4.63369e-10, 1.87735e-29, 1.87735e-29, 1.87735e-29, 6.74843e-08, 1.87735e-29, 1.87735e-29, 1.87735e-29
0.476568, 0, 1.02453e-07, 8.8156e-29, 1.41421, -1.02453e-07, 0, 8.8156e-29, 8.8156e-29, 8.8156e-29, 8.8156e-29, 8.8156e-29, 8.8156e-29, 8.8156e-29, 8.8156e-29, 8.8156e-29, 7.01817e-10, 8.8156e-29, 8.8156e-29, 8.8156e-29, 1.01751e-07, 8.8156e-29, 8.8156e-29, 8.8156e-29
0.484458, 0, 1.53083e-07, 4.00553e-28, 1.41421, -1.53083e-07, 0, 4.00553e-28, 4.00553e-28, 4.00553e-28, 4.00553e-28, 4.00553e-28, 4.00553e-28, 4.00553e-28, 4.00553e-28, 4.00553e-28, 1.05418e-09, 4.00553e-28, 4.00553e-28, 4.00553e-28, 1.52029e-07, 4.00553e-28, 4.00553e-28, 4.00553e-28
0.492348, 0, 2.26686e-07, 1.74558e-27, 1.41421, -2.26686e-07, 0, 1.74558e-27, 1.74558e-27, 1.74558e-27, 1.74558e-27, 1.74558e-27, 1.74558e-27, 1.74558e-27, 1.74558e-27, 1.74558e-27, 1.5707e-09, 1.74558e-27, 1.74558e-27, 1.74558e-27, 2.25115e-07, 1.74558e-27, 1.74558e-27, 1.74558e-27
0.500238, 0, 3.32713e-07, 7.27013e-27, 1.41421, -3.32713e-07, 0, 7.27013e-27, 7.27013e-27, 7.27013e-27, 7.27013e-27, 7.27013e-27, 7.27013e-27, 7.27013e-27, 7.27013e-27, 7.27013e-27, 2.32188e-09, 7.27013e-27, 7.27013e-27, 7.27013e-27, 3.30391e-07, 7.27013e-27, 7.27013e-27, 7.27013e-27
0.508128, 0, 4.84074e-07, 2.8949e-26, 1.41421, -4.84074e-07, 0, 2.8949e-26, 2.8949e-26, 2.8949e-26, 2.8949e-26, 2.8949e-26, 2.8949e-26, 2.8949e-26, 2.8949e-26, 2.8949e-26, 3.40604e-09, 2.8949e-26, 2.8949e-26, 2.8949e-26, 4.80668e-07, 2.8949e-26, 2.8949e-26, 2.8949e-26
0.516018, 0, 6.98238e-07, 1.10319e-25, 1.41421, -6.98238e-07, 0, 1.10319e-25, 1.10319e-25, 1.10319e-25, 1.10319e-25, 1.10319e-25, 4.74761e-12, 1.10319e-25, 1.10319e-25, 1.10319e-25, 4.95914e-09, 1.10319e-25, 1.10319e-25, 1.10319e-25, 6.93274e-07, 1.10319e-25, 1.10319e-25, 1.10319e-25
0.523908, 0, 9.98619e-07, 4.03029e-25, 1.41421, -9.98619e-07, 0, 4.03029e-25, 4.03029e-25, 4.03029e-25, 4.03029e-25, 4.03029e-25, 1.74637e-11, 4.03029e-25, 4.03029e-25, 4.03029e-25, 7.16799e-09, 4.03029e-25, 4.03029e-25, 4.03029e-25, 9.91434e-07, 4.03029e-25, 4.03029e-25, 4.03029e-25
0.531798, 0, 1.41833e-06, 1.42779e-24, 1.41421, -1.41833e-06, 0, 3.80587e-14, 7.50751e-10, 1.80064e-11, 4.88298e-11, 1.1372e-12, 2.70778e-10, 1.26815e-10, 6.70846e-11, 5.2857e-10, 1.02874e-08, 7.48427e-12, 2.54239e-12, 1.97152e-15, 1.40618e-06, 1.42779e-24, 1.42779e-24, 4.18131e-11
0.539688, 0, 1.99982e-06, 2.37489e-10, 1.41421, -1.99982e-06, 2.37489e-10, 2.37628e-10, 2.98426e-09, 3.03369e-10, 4.16142e-10, 2.4165e-10, 1.17609e-09, 7.01467e-10, 4.82931e-10, 2.17137e-09, 1.48998e-08, 2.64872e-10, 2.46791e-10, 2.37496e-10, 1.97839e-06, 2.37489e-10, 2.37489e-10, 3.90471e-10
0.547578, 0, 2.80276e-06, 9.50898e-10, 1.41421, -2.80276e-06, 9.50898e-10, 9.51311e-10, 9.11084e-09, 1.14661e-09, 1.48163e-09, 9.63258e-10, 3.67804e-09, 2.32926e-09, 1.68004e-09, 6.69595e-09, 2.1707e-08, 1.03224e-09, 9.78531e-10, 9.50919e-10, 2.76196e-06, 9.50898e-10, 9.50898e-10, 1.40537e-09
0.555468, 0, 3.90681e-06, 2.54077e-09, 1.41421, -3.90681e-06, 2.54077e-09, 2.54182e-09, 2.33505e-08, 3.03988e-09, 3.89426e-09, 2.57229e-09, 9.44205e-09, 6.05591e-09, 4.40026e-09, 1.7192e-08, 3.17275e-08, 2.74822e-09, 2.61124e-09, 2.54082e-09, 3.82657e-06, 2.54077e-09, 2.54077e-09, 3.69977e-09
0.563358, 0, 5.4305e-06, 6.46093e-09, 1.41421, -5.4305e-06, 6.46093e-09, 6.46352e-09, 5.75919e-08, 7.68728e-09, 9.78655e-09, 6.53838e-09, 2.33044e-08, 1.50979e-08, 1.10298e-08, 4.246e-08, 4.7234e-08, 6.97066e-09, 6.63408e-09, 6.46106e-09, 5.26439e-06, 6.46093e-09, 6.46093e-09, 9.30868e-09
0.571248, 0, 7.55307e-06, 1.58347e-08, 1.41421, -7.55307e-06, 1.58347e-08, 1.58409e-08, 1.37467e-07, 1.8752e-08, 2.37458e-08, 1.6019e-08, 5.73003e-08, 3.63805e-08, 2.67033e-08, 1.0147e-07, 7.24253e-08, 1.70473e-08, 1.62466e-08, 1.5835e-08, 7.19691e-06, 1.58347e-08, 1.58347e-08, 2.2609e-08
0.579138, 0, 1.05586e-05, 3.75806e-08, 1.41421, -1.05586e-05, 3.75806e-08, 3.75948e-08, 3.18273e-07, 4.43128e-08, 5.58372e-08, 3.80057e-08, 1.35075e-07, 8.49945e-08, 6.26623e-08, 2.35204e-07, 1.15624e-07, 4.03788e-08, 3.85311e-08, 3.75813e-08, 9.78744e-06, 3.75806e-08, 3.75806e-08, 5.32138e-08
0.587028, 0, 1.49459e-05, 8.65304e-08, 1.41421, -1.49459e-05, 8.65304e-08, 8.65623e-08, 7.15499e-07, 1.01616e-07, 1.27439e-07, 8.74831e-08, 3.29588e-07, 1.92774e-07, 1.42733e-07, 5.29359e-07, 1.93481e-07, 9.28006e-08, 8.86604e-08, 8.65321e-08, 1.32612e-05, 8.65304e-08, 8.65304e-08, 1.21561e-07
0.594918, 0, 2.15602e-05, 1.93471e-07, 1.41421, -2.15602e-05, 1.93471e-07, 1.93541e-07, 1.56267e-06, 2.26311e-07, 2.82526e-07, 1.95545e-07, 7.62012e-07, 4.24753e-07, 3.15818e-07, 1.15746e-06, 3.39126e-07, 2.07121e-07, 1.98108e-07, 1.93475e-07, 1.79406e-05, 1.93471e-07, 1.93471e-07, 2.69729e-07
0.602808, 0, 3.19301e-05, 4.20271e-07, 1.41421, -3.19301e-05, 4.20271e-07, 4.20418e-07, 3.31697e-06, 4.89747e-07, 6.08676e-07, 4.24659e-07, 1.70076e-06, 9.09575e-07, 6.79111e-07, 2.45971e-06, 6.17432e-07, 4.49149e-07, 4.30081e-07, 4.20279e-07, 2.43058e-05, 4.20271e-07, 4.20271e-07, 5.81603e-07
0.610698, 0, 4.88112e-05, 8.87249e-07, 1.41421, -4.88112e-05, 8.87249e-07, 8.87551e-07, 6.84459e-06, 1.03013e-06, 1.27472e-06, 8.96273e-07, 3.69277e-06, 1.89355e-06, 1.41958e-06, 5.08155e-06, 1.15255e-06, 9.46638e-07, 9.07423e-07, 8.87264e-07, 3.30991e-05, 8.87249e-07, 8.87249e-07, 1.21904e-06
0.618588, 0, 7.71268e-05, 1.82093e-06, 1.41421, -7.71268e-05, 1.82093e-06, 1.82153e-06, 1.37343e-05, 2.10666e-06, 2.59579e-06, 1.83897e-06, 7.80895e-06, 3.83331e-06, 2.88547e-06, 1.02086e-05, 2.17589e-06, 1.93969e-06, 1.86127e-06, 1.82096e-06, 4.55039e-05, 1.82093e-06, 1.82093e-06, 2.48444e-06
0.626478, 0, 0.000125625, 3.63402e-06, 1.41421, -0.000125625, 3.63402e-06, 3.63519e-06, 2.6806e-05, 4.18979e-06, 5.14115e-06, 3.66912e-06, 1.61792e-05, 7.54818e-06, 5.70459e-06, 1.99484e-05, 4.10639e-06, 3.86502e-06, 3.71249e-06, 3.63408e-06, 6.34375e-05, 3.63402e-06, 3.63402e-06, 4.92458e-06
0.634368, 0, 0.000209497, 7.05391e-06, 1.41421, -0.000209497, 7.05391e-06, 7.05613e-06, 5.09011e-05, 8.10556e-06, 9.90578e-06, 7.12032e-06, 3.2864e-05, 1.44605e-05, 1.09719e-05, 3.79247e-05, 7.67938e-06, 7.49102e-06, 7.20239e-06, 7.05402e-06, 9.00184e-05, 7.05391e-06, 7.05391e-06, 9.49598e-06
0.642258, 0, 0.00035461, 1.3321e-05, 1.41421, -0.00035461, 1.3321e-05, 1.33251e-05, 9.40608e-05, 1.52575e-05, 1.85724e-05, 1.34433e-05, 6.5481e-05, 2.69594e-05, 2.05356e-05, 7.01663e-05, 1.41454e-05, 1.41259e-05, 1.35944e-05, 1.33212e-05, 0.000130297, 1.3321e-05, 1.3321e-05, 1.78178e-05
0.650148, 0, 0.000604019, 2.44803e-05, 1.41421, -0.000604019, 2.44803e-05, 2.44876e-05, 0.000169196, 2.79512e-05, 3.38928e-05, 2.46995e-05, 0.000128028, 4.89254e-05, 3.74116e-05, 0.000126368, 2.55624e-05, 2.5923e-05, 2.49703e-05, 2.44807e-05, 0.000192305, 2.44803e-05, 2.44803e-05, 3.25402e-05
0.658038, 0, 0.00102779, 4.37908e-05, 1.41421, -0.00102779, 4.37908e-05, 4.38036e-05, 0.000296339, 4.9848e-05, 6.02168e-05, 4.41733e-05, 0.00024569, 8.64507e-05, 6.63577e-05, 0.000221599, 4.52061e-05, 4.63084e-05, 4.4646e-05, 4.37914e-05, 0.000288576, 4.37908e-05, 4.37908e-05, 5.78565e-05
