   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_136.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.425153, 0, 2.51032e-08, 1.05775e-30, 1.41421, -2.51032e-08, 0, 1.05775e-30, 1.05775e-30, 1.05775e-30, 1.05775e-30, 1.05775e-30, 1.05775e-30, 1.05775e-30, 1.05775e-30, 1.05775e-30, 1.05775e-30, 1.05775e-30, 3.44516e-10, 1.05775e-30, 1.46416e-12, 1.05775e-30, 9.91304e-12, 1.05775e-30, 2.47473e-08, 1.05775e-30, 1.05775e-30, 1.05775e-30
0.433041, 0, 3.68644e-08, 5.4505e-30, 1.41421, -3.68644e-08, 0, 5.4505e-30, 5.4505e-30, 5.4505e-30, 5.4505e-30, 5.4505e-30, 5.4505e-30, 5.4505e-30, 5.4505e-30, 5.4505e-30, 5.4505e-30, 5.4505e-30, 5.075e-10, 5.4505e-30, 2.39608e-12, 5.4505e-30, 1.61671e-11, 5.4505e-30, 3.63384e-08, 5.4505e-30, 5.4505e-30, 5.4505e-30
0.44093, 0, 5.37347e-08, 2.64818e-29, 1.41421, -5.37347e-08, 0, 2.64818e-29, 2.64818e-29, 2.64818e-29, 2.64818e-29, 2.64818e-29, 2.64818e-29, 2.64818e-29, 2.64818e-29, 2.64818e-29, 2.64818e-29, 2.64818e-29, 7.42441e-10, 2.64818e-29, 3.91824e-12, 2.64818e-29, 2.63406e-11, 2.64818e-29, 5.2962e-08, 2.64818e-29, 2.64818e-29, 2.64818e-29
0.448819, 0, 7.77498e-08, 1.23016e-28, 1.41421, -7.77498e-08, 0, 1.23016e-28, 1.23016e-28, 1.23016e-28, 1.23016e-28, 1.23016e-28, 1.23016e-28, 1.23016e-28, 1.23016e-28, 1.23016e-28, 1.23016e-28, 1.23016e-28, 1.0788e-09, 1.23016e-28, 6.40074e-12, 1.23016e-28, 4.2867e-11, 1.23016e-28, 7.66217e-08, 1.23016e-28, 1.23016e-28, 1.23016e-28
0.456707, 0, 1.1168e-07, 5.45413e-28, 1.41421, -1.1168e-07, 0, 5.45413e-28, 5.45413e-28, 5.45413e-28, 5.45413e-28, 5.45413e-28, 5.45413e-28, 5.45413e-28, 5.45413e-28, 5.45413e-28, 5.45413e-28, 5.45413e-28, 1.55719e-09, 5.45413e-28, 1.04414e-11, 5.45413e-28, 6.96637e-11, 5.45413e-28, 1.10043e-07, 5.45413e-28, 5.45413e-28, 5.45413e-28
0.464596, 0, 1.59263e-07, 2.30228e-27, 1.41421, -1.59263e-07, 0, 2.30228e-27, 2.30228e-27, 2.30228e-27, 2.30228e-27, 2.30228e-27, 2.30228e-27, 2.30228e-27, 2.30228e-27, 2.30228e-27, 2.30228e-27, 2.30228e-27, 2.23317e-09, 2.30228e-27, 1.70011e-11, 2.30228e-27, 1.13007e-10, 2.30228e-27, 1.569e-07, 2.30228e-27, 2.30228e-27, 2.30228e-27
0.472485, 0, 2.25505e-07, 9.26553e-27, 1.41421, -2.25505e-07, 0, 9.26553e-27, 9.26553e-27, 9.26553e-27, 9.26553e-27, 9.26553e-27, 9.26553e-27, 9.26553e-27, 9.26553e-27, 9.26553e-27, 9.26553e-27, 9.26553e-27, 3.18234e-09, 9.26553e-27, 2.76162e-11, 9.26553e-27, 1.82898e-10, 9.26553e-27, 2.22112e-07, 9.26553e-27, 9.26553e-27, 9.26553e-27
0.480373, 0, 3.17054e-07, 3.56049e-26, 1.41421, -3.17054e-07, 0, 3.56049e-26, 3.56049e-26, 3.56049e-26, 3.56049e-26, 3.56049e-26, 3.56049e-26, 3.56049e-26, 2.08444e-12, 3.56049e-26, 3.56049e-26, 3.56049e-26, 4.5069e-09, 3.56049e-26, 4.47287e-11, 3.56049e-26, 2.95169e-10, 3.56049e-26, 3.12205e-07, 3.56049e-26, 3.56049e-26, 3.56049e-26
0.488262, 0, 4.42673e-07, 1.30892e-25, 1.41421, -4.42673e-07, 0, 1.30892e-25, 1.30892e-25, 1.30892e-25, 1.30892e-25, 1.30892e-25, 1.30892e-25, 1.30892e-25, 7.20986e-12, 1.30892e-25, 1.30892e-25, 1.30892e-25, 6.34424e-09, 1.30892e-25, 7.21944e-11, 1.30892e-25, 4.74699e-10, 1.30892e-25, 4.35774e-07, 1.30892e-25, 1.30892e-25, 1.30892e-25
0.49615, 0, 6.13825e-07, 4.63878e-25, 1.41421, -6.13825e-07, 0, 4.63878e-25, 4.63878e-25, 4.63878e-25, 4.63878e-25, 4.63878e-25, 4.63878e-25, 4.63878e-25, 1.94102e-11, 4.63878e-25, 4.63878e-25, 4.63878e-25, 8.87792e-09, 4.63878e-25, 1.1606e-10, 4.63878e-25, 7.60273e-10, 4.63878e-25, 6.04051e-07, 4.63878e-25, 4.63878e-25, 4.63878e-25
0.504039, 0, 8.48511e-07, 2.16629e-10, 1.41421, -8.48511e-07, 2.16629e-10, 2.16674e-10, 2.16689e-10, 2.16673e-10, 6.62826e-10, 2.34093e-10, 2.17106e-10, 2.3174e-10, 3.61922e-10, 7.68599e-10, 2.23162e-10, 1.85593e-09, 1.25687e-08, 2.18835e-10, 4.02369e-10, 2.16661e-10, 1.42845e-09, 2.1663e-10, 8.31912e-07, 2.16629e-10, 2.16629e-10, 2.41603e-10
0.511928, 0, 1.16727e-06, 7.32196e-10, 1.41421, -1.16727e-06, 7.32196e-10, 7.32353e-10, 7.32405e-10, 7.32349e-10, 2.26737e-09, 7.92282e-10, 7.33838e-10, 7.84188e-10, 1.1795e-09, 2.63129e-09, 7.54674e-10, 6.37234e-09, 1.78209e-08, 7.39786e-10, 1.02801e-09, 7.32912e-10, 2.65328e-09, 7.322e-10, 1.13821e-06, 7.32196e-10, 7.32196e-10, 8.18122e-10
0.519816, 0, 1.60077e-06, 1.94097e-09, 1.41421, -1.60077e-06, 1.94097e-09, 1.94139e-09, 1.94153e-09, 1.94138e-09, 6.05453e-09, 2.10197e-09, 1.94537e-09, 2.08028e-09, 3.09266e-09, 7.02967e-09, 2.0012e-09, 1.70539e-08, 2.54519e-08, 1.96131e-09, 2.40954e-09, 1.94344e-09, 4.96801e-09, 1.94098e-09, 1.54767e-06, 1.94097e-09, 1.94097e-09, 2.17121e-09
0.527705, 0, 2.19334e-06, 4.71347e-09, 1.41421, -2.19334e-06, 4.71347e-09, 4.7145e-09, 4.71484e-09, 4.71448e-09, 1.47701e-08, 5.10708e-09, 4.72423e-09, 5.05407e-09, 7.46654e-09, 1.71541e-08, 4.86073e-09, 4.1661e-08, 3.68844e-08, 4.7632e-09, 5.45141e-09, 4.72029e-09, 9.45157e-09, 4.7135e-09, 2.09198e-06, 4.71347e-09, 4.71347e-09, 5.27636e-09
