   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_296.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.386478, 0, 5.29443e-10, 1.72866e-35, 1.41421, -5.29443e-10, 0, 1.72866e-35, 1.72866e-35, 1.72866e-35, 1.72866e-35, 1.72866e-35, 1.72866e-35, 1.72866e-35, 1.72866e-35, 1.72866e-35, 1.72866e-35, 1.72866e-35, 1.72866e-35, 5.29443e-10, 1.72866e-35, 1.72866e-35, 1.72866e-35
0.394361, 0, 8.2684e-10, 1.27633e-34, 1.41421, -8.2684e-10, 0, 1.27633e-34, 1.27633e-34, 1.27633e-34, 1.27633e-34, 1.27633e-34, 1.27633e-34, 1.27633e-34, 1.27633e-34, 1.27633e-34, 1.27633e-34, 1.27633e-34, 1.27633e-34, 8.2684e-10, 1.27633e-34, 1.27633e-34, 1.27633e-34
0.402244, 0, 1.28059e-09, 8.85653e-34, 1.41421, -1.28059e-09, 0, 8.85653e-34, 8.85653e-34, 8.85653e-34, 8.85653e-34, 8.85653e-34, 8.85653e-34, 8.85653e-34, 8.85653e-34, 8.85653e-34, 8.85653e-34, 8.85653e-34, 8.85653e-34, 1.28059e-09, 8.85653e-34, 8.85653e-34, 8.85653e-34
0.410127, 0, 1.96703e-09, 5.24013e-33, 1.41421, -1.96703e-09, 0, 5.24013e-33, 5.24013e-33, 5.24013e-33, 5.24013e-33, 5.24013e-33, 5.24013e-33, 5.24013e-33, 5.24013e-33, 5.24013e-33, 5.24013e-33, 5.24013e-33, 5.24013e-33, 1.96703e-09, 5.24013e-33, 5.24013e-33, 5.24013e-33
0.41801, 0, 2.99675e-09, 3.1452e-32, 1.41421, -2.99675e-09, 0, 3.1452e-32, 3.1452e-32, 3.1452e-32, 3.1452e-32, 3.1452e-32, 3.1452e-32, 3.1452e-32, 3.1452e-32, 3.1452e-32, 3.1452e-32, 3.1452e-32, 3.1452e-32, 2.99675e-09, 3.1452e-32, 3.1452e-32, 3.1452e-32
0.425892, 0, 4.52849e-09, 1.6889e-31, 1.41421, -4.52849e-09, 0, 1.6889e-31, 1.6889e-31, 1.6889e-31, 1.6889e-31, 1.6889e-31, 1.6889e-31, 1.6889e-31, 1.6889e-31, 1.6889e-31, 1.6889e-31, 1.6889e-31, 1.6889e-31, 4.52849e-09, 1.6889e-31, 1.6889e-31, 1.6889e-31
0.433775, 0, 6.78814e-09, 8.88244e-31, 1.41421, -6.78814e-09, 0, 8.88244e-31, 8.88244e-31, 8.88244e-31, 8.88244e-31, 8.88244e-31, 8.88244e-31, 8.88244e-31, 8.88244e-31, 8.88244e-31, 8.88244e-31, 8.88244e-31, 8.88244e-31, 6.78814e-09, 8.88244e-31, 8.88244e-31, 8.88244e-31
0.441658, 0, 1.00942e-08, 4.46319e-30, 1.41421, -1.00942e-08, 0, 4.46319e-30, 4.46319e-30, 4.46319e-30, 4.46319e-30, 4.46319e-30, 4.46319e-30, 4.46319e-30, 4.46319e-30, 4.46319e-30, 4.46319e-30, 4.46319e-30, 4.46319e-30, 1.00942e-08, 4.46319e-30, 4.46319e-30, 4.46319e-30
0.449541, 0, 1.48917e-08, 2.12402e-29, 1.41421, -1.48917e-08, 0, 2.12402e-29, 2.12402e-29, 2.12402e-29, 2.12402e-29, 2.12402e-29, 2.12402e-29, 2.12402e-29, 2.12402e-29, 2.12402e-29, 2.12402e-29, 2.12402e-29, 2.12402e-29, 1.48917e-08, 2.12402e-29, 2.12402e-29, 2.12402e-29
0.457424, 0, 2.17974e-08, 9.76425e-29, 1.41421, -2.17974e-08, 0, 9.76425e-29, 9.76425e-29, 9.76425e-29, 9.76425e-29, 9.76425e-29, 9.76425e-29, 9.76425e-29, 9.76425e-29, 9.76425e-29, 9.76425e-29, 9.76425e-29, 9.76425e-29, 2.17974e-08, 9.76425e-29, 9.76425e-29, 9.76425e-29
0.465307, 0, 3.16581e-08, 4.30651e-28, 1.41421, -3.16581e-08, 0, 4.30651e-28, 4.30651e-28, 4.30651e-28, 4.30651e-28, 4.30651e-28, 4.30651e-28, 4.30651e-28, 4.30651e-28, 4.30651e-28, 4.30651e-28, 4.30651e-28, 4.30651e-28, 3.16581e-08, 4.30651e-28, 4.30651e-28, 4.30651e-28
0.47319, 0, 4.56269e-08, 1.8137e-27, 1.41421, -4.56269e-08, 0, 1.8137e-27, 1.8137e-27, 1.8137e-27, 1.8137e-27, 1.8137e-27, 1.8137e-27, 1.8137e-27, 1.8137e-27, 1.8137e-27, 1.8137e-27, 1.8137e-27, 1.8137e-27, 4.56269e-08, 1.8137e-27, 1.8137e-27, 1.8137e-27
0.481073, 0, 6.52604e-08, 7.29403e-27, 1.41421, -6.52604e-08, 0, 7.29403e-27, 7.29403e-27, 7.29403e-27, 7.29403e-27, 7.29403e-27, 7.29403e-27, 7.29403e-27, 7.29403e-27, 7.29403e-27, 7.29403e-27, 7.29403e-27, 7.29403e-27, 6.52604e-08, 7.29403e-27, 7.29403e-27, 7.29403e-27
0.488956, 0, 9.26428e-08, 2.80363e-26, 1.41421, -9.26428e-08, 0, 2.80363e-26, 2.80363e-26, 2.80363e-26, 2.80363e-26, 7.16322e-13, 2.80363e-26, 2.80363e-26, 2.80363e-26, 2.80363e-26, 2.80363e-26, 2.80363e-26, 2.80363e-26, 9.26421e-08, 2.80363e-26, 2.80363e-26, 2.80363e-26
0.496838, 0, 1.3054e-07, 1.03169e-25, 1.41421, -1.3054e-07, 0, 1.03169e-25, 1.03169e-25, 1.03169e-25, 1.03169e-25, 2.52509e-12, 1.03169e-25, 1.03169e-25, 1.03169e-25, 1.03169e-25, 1.03169e-25, 1.03169e-25, 1.03169e-25, 1.30537e-07, 1.03169e-25, 1.03169e-25, 1.03169e-25
0.504721, 0, 1.82594e-07, 3.66347e-25, 1.41421, -1.82594e-07, 0, 3.66347e-25, 3.66347e-25, 3.66347e-25, 3.66347e-25, 6.93699e-12, 3.66347e-25, 3.66347e-25, 3.66347e-25, 3.66347e-25, 3.66347e-25, 3.66347e-25, 3.66347e-25, 1.82587e-07, 3.66347e-25, 3.66347e-25, 3.66347e-25
0.512604, 0, 2.5536e-07, 1.20764e-10, 1.41421, -2.5536e-07, 1.20764e-10, 7.65607e-10, 1.37445e-10, 1.26393e-10, 1.31943e-10, 1.72005e-10, 1.37207e-10, 1.22652e-10, 1.02011e-09, 1.21145e-10, 1.23874e-10, 1.20764e-10, 1.20766e-10, 2.53693e-07, 1.20764e-10, 1.20764e-10, 1.37022e-10
0.520487, 0, 3.55908e-07, 4.24008e-10, 1.41421, -3.55908e-07, 4.24008e-10, 2.68422e-09, 4.82476e-10, 4.43738e-10, 4.63192e-10, 5.84134e-10, 4.81644e-10, 4.30627e-10, 3.57625e-09, 4.25344e-10, 4.34909e-10, 4.24008e-10, 4.24014e-10, 3.50085e-07, 4.24008e-10, 4.24008e-10, 4.80992e-10
0.52837, 0, 4.9595e-07, 1.15954e-09, 1.41421, -4.9595e-07, 1.15954e-09, 7.33717e-09, 1.31934e-09, 1.21346e-09, 1.26664e-09, 1.57935e-09, 1.31707e-09, 1.17763e-09, 9.77527e-09, 1.16319e-09, 1.18933e-09, 1.15954e-09, 1.15956e-09, 4.80051e-07, 1.15954e-09, 1.15954e-09, 1.31529e-09
0.536253, 0, 6.94029e-07, 2.89354e-09, 1.41421, -6.94029e-07, 2.89354e-09, 1.83033e-08, 3.29216e-09, 3.02805e-09, 3.16068e-09, 3.91611e-09, 3.28648e-09, 2.93866e-09, 2.43851e-08, 2.90264e-09, 2.96785e-09, 2.89354e-09, 2.89357e-09, 6.54394e-07, 2.89354e-09, 2.89354e-09, 3.28205e-09
0.544136, 0, 9.81591e-07, 6.87179e-09, 1.41421, -9.81591e-07, 6.87179e-09, 4.34593e-08, 7.81824e-09, 7.19116e-09, 7.50608e-09, 9.25676e-09, 7.80477e-09, 6.97894e-09, 5.78992e-08, 6.8934e-09, 7.04824e-09, 6.87179e-09, 6.87188e-09, 8.8753e-07, 6.87179e-09, 6.87179e-09, 7.79423e-09
0.552019, 0, 1.41475e-06, 1.57614e-08, 1.41421, -1.41475e-06, 1.57614e-08, 9.96664e-08, 1.79319e-08, 1.64938e-08, 1.7216e-08, 2.12214e-08, 1.7901e-08, 1.60071e-08, 1.32781e-07, 1.5811e-08, 1.61661e-08, 1.57614e-08, 1.57616e-08, 1.19905e-06, 1.57614e-08, 1.57614e-08, 1.78768e-08
0.559902, 0, 2.09755e-06, 3.51153e-08, 1.41421, -2.09755e-06, 3.51153e-08, 2.2203e-07, 3.99504e-08, 3.67469e-08, 3.83557e-08, 4.79107e-08, 3.98816e-08, 3.56627e-08, 2.95798e-07, 3.52257e-08, 3.60168e-08, 3.51153e-08, 3.51158e-08, 1.61641e-06, 3.51153e-08, 3.51153e-08, 3.98278e-08
0.567784, 0, 3.23115e-06, 7.61812e-08, 1.41421, -3.23115e-06, 7.61812e-08, 4.81644e-07, 8.66698e-08, 7.97205e-08, 8.32104e-08, 1.11788e-07, 8.65205e-08, 7.73686e-08, 6.41666e-07, 7.64208e-08, 7.81367e-08, 7.61812e-08, 7.61823e-08, 2.1796e-06, 7.61812e-08, 7.61812e-08, 8.64037e-08
0.575667, 0, 5.18393e-06, 1.61115e-07, 1.41421, -5.18393e-06, 1.61115e-07, 1.01854e-06, 1.83295e-07, 1.68599e-07, 1.75979e-07, 2.47297e-07, 1.82979e-07, 1.63626e-07, 1.35693e-06, 1.61621e-07, 1.6525e-07, 1.61115e-07, 1.61117e-07, 2.94934e-06, 1.61115e-07, 1.61115e-07, 1.82732e-07
0.58355, 0, 8.64894e-06, 3.32363e-07, 1.41421, -8.64894e-06, 3.32363e-07, 2.10094e-06, 3.78112e-07, 3.478e-07, 3.63023e-07, 5.28462e-07, 3.77461e-07, 3.37542e-07, 2.79895e-06, 3.33407e-07, 3.40892e-07, 3.32363e-07, 3.32367e-07, 4.02138e-06, 3.32363e-07, 3.32363e-07, 3.76952e-07
0.591433, 0, 1.48993e-05, 6.68995e-07, 1.41421, -1.48993e-05, 6.68995e-07, 4.22849e-06, 7.61072e-07, 7.00065e-07, 7.30703e-07, 1.0987e-06, 7.59762e-07, 6.79419e-07, 5.63331e-06, 6.71098e-07, 6.86161e-07, 6.68995e-07, 6.69004e-07, 5.55075e-06, 6.68995e-07, 6.68995e-07, 7.58736e-07
0.599316, 0, 2.62279e-05, 1.31425e-06, 1.41421, -2.62279e-05, 1.31425e-06, 8.30617e-06, 1.49512e-06, 1.37529e-06, 1.43547e-06, 2.22983e-06, 1.49255e-06, 1.33473e-06, 1.10657e-05, 1.31838e-06, 1.34797e-06, 1.31425e-06, 1.31427e-06, 7.79293e-06, 1.31425e-06, 1.31425e-06, 1.49053e-06
0.607199, 0, 4.66726e-05, 2.52043e-06, 1.41421, -4.66726e-05, 2.52043e-06, 1.59278e-05, 2.86726e-06, 2.63746e-06, 2.75287e-06, 4.42848e-06, 2.86232e-06, 2.5597e-06, 2.12192e-05, 2.52835e-06, 2.58509e-06, 2.52043e-06, 2.52047e-06, 1.11704e-05, 2.52043e-06, 2.52043e-06, 2.85846e-06
0.615082, 0, 8.31809e-05, 4.71943e-06, 1.41421, -8.31809e-05, 4.71943e-06, 2.98212e-05, 5.36877e-06, 4.93854e-06, 5.1546e-06, 8.6257e-06, 5.35953e-06, 4.79294e-06, 3.9728e-05, 4.73426e-06, 4.84049e-06, 4.71943e-06, 4.7195e-06, 1.63782e-05, 4.71943e-06, 4.71943e-06, 5.35229e-06
