   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_195.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.325627, 0, 7.65146e-11, 1.87774e-43, 1.41421, -7.65146e-11, 1.87774e-43, 0, 1.87774e-43, 1.87774e-43, 1.87774e-43, 1.87774e-43, 1.87774e-43, 1.87774e-43, 1.87774e-43, 1.87774e-43, 1.87774e-43, 1.87774e-43, 7.56292e-13, 1.87774e-43, 5.02659e-15, 1.46599e-14, 1.87774e-43, 7.57386e-11, 1.87774e-43, 1.87774e-43, 1.87774e-43
0.333509, 0, 1.25989e-10, 3.25942e-42, 1.41421, -1.25989e-10, 3.25942e-42, 0, 3.25942e-42, 3.25942e-42, 3.25942e-42, 3.25942e-42, 3.25942e-42, 3.25942e-42, 3.25942e-42, 3.25942e-42, 3.25942e-42, 3.25942e-42, 1.24558e-12, 3.25942e-42, 8.56648e-15, 2.51462e-14, 3.25942e-42, 1.2471e-10, 3.25942e-42, 3.25942e-42, 3.25942e-42
0.341392, 0, 2.05689e-10, 4.66632e-41, 1.41421, -2.05689e-10, 4.66632e-41, 0, 4.66632e-41, 4.66632e-41, 4.66632e-41, 4.66632e-41, 4.66632e-41, 4.66632e-41, 4.66632e-41, 4.66632e-41, 4.66632e-41, 4.66632e-41, 2.0341e-12, 4.66632e-41, 1.452e-14, 4.28759e-14, 4.66632e-41, 2.03597e-10, 4.66632e-41, 4.66632e-41, 4.66632e-41
0.349274, 0, 3.32965e-10, 5.91188e-40, 1.41421, -3.32965e-10, 5.91188e-40, 0, 5.91188e-40, 5.91188e-40, 5.91188e-40, 5.91188e-40, 5.91188e-40, 5.91188e-40, 5.91188e-40, 5.91188e-40, 5.91188e-40, 5.91188e-40, 3.29394e-12, 5.91188e-40, 2.44898e-14, 7.26965e-14, 5.91188e-40, 3.29574e-10, 5.91188e-40, 5.91188e-40, 5.91188e-40
0.357156, 0, 5.34468e-10, 6.71011e-39, 1.41421, -5.34468e-10, 6.71011e-39, 0, 6.71011e-39, 6.71011e-39, 6.71011e-39, 6.71011e-39, 6.71011e-39, 6.71011e-39, 6.71011e-39, 6.71011e-39, 6.71011e-39, 6.71011e-39, 5.28973e-12, 6.71011e-39, 4.11241e-14, 1.22616e-13, 6.71011e-39, 5.29014e-10, 6.71011e-39, 6.71011e-39, 6.71011e-39
0.365039, 0, 8.50743e-10, 6.88293e-38, 1.41421, -8.50743e-10, 6.88293e-38, 0, 6.88293e-38, 6.88293e-38, 6.88293e-38, 6.88293e-38, 6.88293e-38, 6.88293e-38, 6.88293e-38, 6.88293e-38, 6.88293e-38, 6.88293e-38, 8.42471e-12, 6.88293e-38, 6.87938e-14, 2.05826e-13, 6.88293e-38, 8.42044e-10, 6.88293e-38, 6.88293e-38, 6.88293e-38
0.372921, 0, 1.34293e-09, 6.41563e-37, 1.41421, -1.34293e-09, 6.41563e-37, 0, 6.41563e-37, 6.41563e-37, 6.41563e-37, 6.41563e-37, 6.41563e-37, 6.41563e-37, 6.41563e-37, 6.41563e-37, 6.41563e-37, 6.41563e-37, 1.3308e-11, 6.41563e-37, 1.14711e-13, 3.44021e-13, 6.41563e-37, 1.32916e-09, 6.41563e-37, 6.41563e-37, 6.41563e-37
0.380803, 0, 2.10235e-09, 5.46617e-36, 1.41421, -2.10235e-09, 5.46617e-36, 0, 5.46617e-36, 5.46617e-36, 5.46617e-36, 5.46617e-36, 5.46617e-36, 5.46617e-36, 5.46617e-36, 5.46617e-36, 5.46617e-36, 5.46617e-36, 2.08515e-11, 5.46617e-36, 1.90778e-13, 5.72818e-13, 5.46617e-36, 2.08073e-09, 5.46617e-36, 5.46617e-36, 5.46617e-36
0.388686, 0, 3.26421e-09, 4.27587e-35, 1.41421, -3.26421e-09, 4.27587e-35, 0, 4.27587e-35, 4.27587e-35, 4.27587e-35, 4.27587e-35, 4.27587e-35, 4.27587e-35, 4.27587e-35, 4.27587e-35, 4.27587e-35, 4.27587e-35, 3.24093e-11, 4.27587e-35, 3.16645e-13, 9.50661e-13, 4.27587e-35, 3.23053e-09, 4.27587e-35, 4.27587e-35, 4.27587e-35
0.396568, 0, 5.02689e-09, 3.08506e-34, 1.41421, -5.02689e-09, 3.08506e-34, 0, 3.08506e-34, 3.08506e-34, 3.08506e-34, 3.08506e-34, 3.08506e-34, 3.08506e-34, 3.08506e-34, 3.08506e-34, 3.08506e-34, 3.08506e-34, 4.99746e-11, 3.08506e-34, 5.2478e-13, 1.57343e-12, 3.08506e-34, 4.97482e-09, 3.08506e-34, 3.08506e-34, 3.08506e-34
