   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_346.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.847027, 0, 2.0747, 0.0294556, 1.41421, -2.0747, 0.0294556, 0.0294616, 0.0294591, 0.170954, 0.0326572, 0.029549, 0.0313141, 1.16452, 0.0443044, 0.27659, 0.0295229, 0.0295238, 0.0302373, 0.0295396, 0.0352689, 0.0294558, 0.511225, 0.0294556, 0.0294556, 0.0424052
0.854915, 2, 2.303, 0.0313071, 2, -0.303001, 0.0313071, 0.0313133, 0.0313107, 0.179898, 0.0346692, 0.0314051, 0.0332587, 1.25888, 0.0468955, 0.290828, 0.0313768, 0.0313778, 0.0322387, 0.0314112, 0.0393562, 0.0313073, 0.623167, 0.0313071, 0.0313071, 0.0452217
0.862803, 4, 2.52764, 0.0330047, 2.44949, 1.47236, 0.0330047, 0.0330112, 0.0330085, 0.187777, 0.0365066, 0.0331068, 0.0350375, 1.33404, 0.0492361, 0.303322, 0.0330764, 0.0330771, 0.0341305, 0.0331342, 0.0443459, 0.0330049, 0.751962, 0.0330047, 0.0330047, 0.0479427
0.870691, 4, 2.74452, 0.0345476, 2.44949, 1.25548, 0.0345476, 0.0345544, 0.0345516, 0.194598, 0.038169, 0.0346533, 0.0366498, 1.38593, 0.0513261, 0.314083, 0.0346207, 0.034621, 0.0359262, 0.0347091, 0.0507143, 0.0345478, 0.89702, 0.0345476, 0.0345476, 0.0506128
0.878579, 6, 2.94992, 0.0359434, 2.82843, 3.05008, 0.0359434, 0.0359504, 0.0359475, 0.200408, 0.0396647, 0.036052, 0.0381036, 1.41176, 0.0531773, 0.32319, 0.0360173, 0.0360169, 0.03765, 0.0361449, 0.0591089, 0.0359436, 1.05658, 0.0359434, 0.0359434, 0.0533014
0.886467, 0, 3.14063, 0.0372061, 1.41421, -3.14063, 0.0372061, 0.0372132, 0.0372103, 0.205289, 0.0410092, 0.0373171, 0.0394138, 1.41027, 0.0548109, 0.330771, 0.0372801, 0.0372789, 0.0393357, 0.0374578, 0.0703728, 0.0372063, 1.22758, 0.0372061, 0.0372061, 0.056105
0.894355, 4, 3.31399, 0.0383546, 2.44949, 0.686005, 0.0383546, 0.0383618, 0.0383589, 0.209341, 0.0422234, 0.0384675, 0.0406004, 1.38183, 0.0562545, 0.336991, 0.0384282, 0.0384259, 0.0410242, 0.0386683, 0.0855576, 0.0383548, 1.40563, 0.0383546, 0.0383546, 0.0591503
0.902243, 4, 3.46805, 0.0394104, 2.44949, 0.531952, 0.0394104, 0.0394177, 0.0394147, 0.212682, 0.0433309, 0.0395248, 0.0416863, 1.32843, 0.0575399, 0.342037, 0.039483, 0.0394795, 0.0427614, 0.0397997, 0.10592, 0.0394106, 1.58509, 0.0394104, 0.0394104, 0.0625999
0.910131, 6, 3.60145, 0.0403959, 2.82843, 2.39855, 0.0403959, 0.0404033, 0.0404003, 0.215428, 0.0443563, 0.0405115, 0.0426949, 1.25346, 0.0586995, 0.346098, 0.040467, 0.0404621, 0.0445959, 0.0408761, 0.132888, 0.0403961, 1.75939, 0.0403959, 0.0403959, 0.0666587
0.918019, 2, 3.71351, 0.0413326, 2, -1.71351, 0.0413326, 0.0413401, 0.041337, 0.217695, 0.0453231, 0.041449, 0.0436491, 1.16139, 0.059765, 0.349358, 0.0414017, 0.0413954, 0.0465761, 0.04192, 0.167997, 0.0413328, 1.92133, 0.0413326, 0.0413326, 0.0715824
