   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_257.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.354776, 0, 6.14963e-10, 3.01051e-38, 1.41421, -6.14963e-10, 0, 3.01051e-38, 3.01051e-38, 3.01051e-38, 3.01051e-38, 3.01051e-38, 3.01051e-38, 3.01051e-38, 3.01051e-38, 3.01051e-38, 3.01051e-38, 1.54916e-12, 3.01051e-38, 3.01051e-38, 2.65257e-13, 3.01051e-38, 6.13149e-10, 3.01051e-38, 3.01051e-38, 3.01051e-38
0.36266, 0, 9.66392e-10, 2.87971e-37, 1.41421, -9.66392e-10, 0, 2.87971e-37, 2.87971e-37, 2.87971e-37, 2.87971e-37, 2.87971e-37, 2.87971e-37, 2.87971e-37, 2.87971e-37, 2.87971e-37, 2.87971e-37, 2.43588e-12, 2.87971e-37, 2.87971e-37, 4.40458e-13, 2.87971e-37, 9.63516e-10, 2.87971e-37, 2.87971e-37, 2.87971e-37
0.370544, 0, 1.50669e-09, 2.51336e-36, 1.41421, -1.50669e-09, 0, 2.51336e-36, 2.51336e-36, 2.51336e-36, 2.51336e-36, 2.51336e-36, 2.51336e-36, 2.51336e-36, 2.51336e-36, 2.51336e-36, 2.51336e-36, 3.80053e-12, 2.51336e-36, 2.51336e-36, 7.28689e-13, 2.51336e-36, 1.50217e-09, 2.51336e-36, 2.51336e-36, 2.51336e-36
0.378428, 0, 2.33069e-09, 2.01101e-35, 1.41421, -2.33069e-09, 0, 2.01101e-35, 2.01101e-35, 2.01101e-35, 2.01101e-35, 2.01101e-35, 2.01101e-35, 2.01101e-35, 2.01101e-35, 2.01101e-35, 2.01101e-35, 5.88425e-12, 2.01101e-35, 2.01101e-35, 1.20165e-12, 2.01101e-35, 2.3236e-09, 2.01101e-35, 2.01101e-35, 2.01101e-35
0.386312, 0, 3.57725e-09, 1.48197e-34, 1.41421, -3.57725e-09, 0, 1.48197e-34, 1.48197e-34, 1.48197e-34, 1.48197e-34, 1.48197e-34, 1.48197e-34, 1.48197e-34, 1.48197e-34, 1.48197e-34, 1.48197e-34, 9.04129e-12, 1.48197e-34, 1.48197e-34, 1.9761e-12, 1.48197e-34, 3.56623e-09, 1.48197e-34, 1.48197e-34, 1.48197e-34
0.394196, 0, 5.4481e-09, 1.02627e-33, 1.41421, -5.4481e-09, 0, 1.02627e-33, 1.02627e-33, 1.02627e-33, 1.02627e-33, 1.02627e-33, 1.02627e-33, 1.02627e-33, 1.02627e-33, 1.02627e-33, 1.02627e-33, 1.3788e-11, 1.02627e-33, 1.02627e-33, 3.24216e-12, 1.02627e-33, 5.43107e-09, 1.02627e-33, 1.02627e-33, 1.02627e-33
0.40208, 0, 8.23365e-09, 6.60047e-33, 1.41421, -8.23365e-09, 0, 6.60047e-33, 6.60047e-33, 6.60047e-33, 6.60047e-33, 6.60047e-33, 6.60047e-33, 6.60047e-33, 6.60047e-33, 6.60047e-33, 6.60047e-33, 2.08711e-11, 6.60047e-33, 6.60047e-33, 5.30925e-12, 6.60047e-33, 8.20747e-09, 6.60047e-33, 6.60047e-33, 6.60047e-33
0.409964, 0, 1.23486e-08, 4.14221e-32, 1.41421, -1.23486e-08, 0, 4.14221e-32, 4.14221e-32, 4.14221e-32, 4.14221e-32, 4.14221e-32, 4.14221e-32, 4.14221e-32, 4.14221e-32, 4.14221e-32, 4.14221e-32, 3.13618e-11, 4.14221e-32, 4.14221e-32, 8.68085e-12, 4.14221e-32, 1.23085e-08, 4.14221e-32, 4.14221e-32, 4.14221e-32
0.417848, 0, 1.83799e-08, 2.37169e-31, 1.41421, -1.83799e-08, 0, 2.37169e-31, 2.37169e-31, 2.37169e-31, 2.37169e-31, 2.37169e-31, 2.37169e-31, 2.37169e-31, 2.37169e-31, 2.37169e-31, 2.37169e-31, 4.67864e-11, 2.37169e-31, 2.37169e-31, 1.41758e-11, 2.37169e-31, 1.83189e-08, 2.37169e-31, 2.37169e-31, 2.37169e-31
0.425731, 0, 2.71516e-08, 1.29758e-30, 1.41421, -2.71516e-08, 0, 1.29758e-30, 1.29758e-30, 1.29758e-30, 1.29758e-30, 1.29758e-30, 1.29758e-30, 1.29758e-30, 1.29758e-30, 1.29758e-30, 1.29758e-30, 6.93022e-11, 1.29758e-30, 1.29758e-30, 2.31245e-11, 1.29758e-30, 2.70592e-08, 1.29758e-30, 1.29758e-30, 1.29758e-30
0.433615, 0, 3.98113e-08, 6.70528e-30, 1.41421, -3.98113e-08, 0, 6.70528e-30, 6.70528e-30, 6.70528e-30, 6.70528e-30, 6.70528e-30, 6.70528e-30, 6.70528e-30, 6.70528e-30, 6.70528e-30, 6.70528e-30, 1.01939e-10, 6.70528e-30, 6.70528e-30, 3.76853e-11, 6.70528e-30, 3.96717e-08, 6.70528e-30, 6.70528e-30, 6.70528e-30
0.441499, 0, 5.79432e-08, 3.26466e-29, 1.41421, -5.79432e-08, 0, 3.26466e-29, 3.26466e-29, 3.26466e-29, 3.26466e-29, 3.26466e-29, 3.26466e-29, 3.26466e-29, 3.26466e-29, 3.26466e-29, 3.26466e-29, 1.48919e-10, 3.26466e-29, 3.26466e-29, 6.1352e-11, 3.26466e-29, 5.7733e-08, 3.26466e-29, 3.26466e-29, 3.26466e-29
0.449383, 0, 8.37172e-08, 1.51676e-28, 1.41421, -8.37172e-08, 0, 1.51676e-28, 1.51676e-28, 1.51676e-28, 1.51676e-28, 1.51676e-28, 1.51676e-28, 1.51676e-28, 1.51676e-28, 1.51676e-28, 1.51676e-28, 2.16094e-10, 1.51676e-28, 1.51676e-28, 9.97628e-11, 1.51676e-28, 8.34013e-08, 1.51676e-28, 1.51676e-28, 1.51676e-28
0.457267, 0, 1.20082e-07, 6.71255e-28, 1.41421, -1.20082e-07, 0, 6.71255e-28, 6.71255e-28, 6.71255e-28, 6.71255e-28, 6.71255e-28, 6.71255e-28, 6.71255e-28, 6.71255e-28, 6.71255e-28, 6.71255e-28, 3.1151e-10, 6.71255e-28, 6.71255e-28, 1.61982e-10, 6.71255e-28, 1.19608e-07, 6.71255e-28, 6.71255e-28, 6.71255e-28
0.465151, 0, 1.7101e-07, 2.82683e-27, 1.41421, -1.7101e-07, 0, 2.82683e-27, 2.82683e-27, 2.82683e-27, 2.82683e-27, 2.82683e-27, 2.82683e-27, 2.82683e-27, 2.82683e-27, 2.82683e-27, 2.82683e-27, 4.46175e-10, 2.82683e-27, 2.82683e-27, 2.62509e-10, 2.82683e-27, 1.70301e-07, 2.82683e-27, 2.82683e-27, 2.82683e-27
0.473035, 0, 2.41815e-07, 1.13445e-26, 1.41421, -2.41815e-07, 0, 1.13445e-26, 1.13445e-26, 1.13445e-26, 1.13445e-26, 1.13445e-26, 1.13445e-26, 1.13445e-26, 1.13445e-26, 1.13445e-26, 1.13445e-26, 6.35045e-10, 1.13445e-26, 1.13445e-26, 4.24411e-10, 1.13445e-26, 2.40756e-07, 1.13445e-26, 1.13445e-26, 1.13445e-26
0.480919, 0, 3.39551e-07, 4.34636e-26, 1.41421, -3.39551e-07, 0, 4.34636e-26, 4.34636e-26, 4.34636e-26, 4.34636e-26, 4.34636e-26, 4.34636e-26, 2.71006e-12, 4.34636e-26, 4.34636e-26, 4.34636e-26, 8.98324e-10, 4.34636e-26, 4.34636e-26, 6.84139e-10, 4.34636e-26, 3.37966e-07, 4.34636e-26, 4.34636e-26, 4.34636e-26
0.488803, 0, 4.73501e-07, 1.59307e-25, 1.41421, -4.73501e-07, 0, 1.59307e-25, 1.59307e-25, 1.59307e-25, 1.59307e-25, 1.59307e-25, 1.59307e-25, 9.34781e-12, 1.59307e-25, 1.59307e-25, 1.59307e-25, 1.26315e-09, 1.59307e-25, 1.59307e-25, 1.09887e-09, 1.59307e-25, 4.71129e-07, 1.59307e-25, 1.59307e-25, 1.59307e-25
0.496686, 0, 6.55797e-07, 5.63185e-25, 1.41421, -6.55797e-07, 0, 5.63185e-25, 5.63185e-25, 5.63185e-25, 5.63185e-25, 5.63185e-25, 5.63185e-25, 2.50888e-11, 5.63185e-25, 5.63185e-25, 5.63185e-25, 1.76573e-09, 5.63185e-25, 5.63185e-25, 1.75757e-09, 5.63185e-25, 6.52249e-07, 5.63185e-25, 5.63185e-25, 5.63185e-25
0.50457, 0, 9.05596e-07, 6.45592e-10, 1.41421, -9.05596e-07, 6.45592e-10, 6.45602e-10, 6.45705e-10, 9.88065e-10, 6.5229e-10, 6.46548e-10, 6.61106e-10, 8.33905e-10, 7.04265e-10, 6.46409e-10, 2.71139e-09, 3.09981e-09, 6.46201e-10, 6.4719e-10, 3.443e-09, 6.45594e-10, 8.97627e-07, 6.45592e-10, 6.45592e-10, 6.81047e-10
0.512454, 0, 1.24463e-06, 2.20659e-09, 1.41421, -1.24463e-06, 2.20659e-09, 2.20662e-09, 2.20697e-09, 3.38164e-09, 2.22957e-09, 2.20987e-09, 2.25982e-09, 2.78506e-09, 2.4079e-09, 2.20939e-09, 9.2945e-09, 5.59865e-09, 2.20868e-09, 2.21207e-09, 6.63454e-09, 2.20659e-09, 1.22755e-06, 2.20659e-09, 2.20659e-09, 2.32823e-09
0.520338, 0, 1.70546e-06, 5.87943e-09, 1.41421, -1.70546e-06, 5.87943e-09, 5.87953e-09, 5.88047e-09, 9.01844e-09, 5.94082e-09, 5.8882e-09, 6.02163e-09, 7.36468e-09, 6.41721e-09, 5.88691e-09, 2.48139e-08, 1.0542e-08, 5.88502e-09, 5.89407e-09, 1.28454e-08, 5.87944e-09, 1.66917e-06, 5.87943e-09, 5.87943e-09, 6.2044e-09
0.528222, 0, 2.3352e-06, 1.42996e-08, 1.41421, -2.3352e-06, 1.42996e-08, 1.42998e-08, 1.43021e-08, 2.19491e-08, 1.44492e-08, 1.43209e-08, 1.46461e-08, 1.78392e-08, 1.56101e-08, 1.43178e-08, 6.04415e-08, 2.06739e-08, 1.43132e-08, 1.43353e-08, 2.51852e-08, 1.42996e-08, 2.25792e-06, 1.42996e-08, 1.42996e-08, 1.50915e-08
0.536106, 0, 3.2061e-06, 3.31364e-08, 1.41421, -3.2061e-06, 3.31364e-08, 3.31369e-08, 3.31422e-08, 5.08856e-08, 3.34835e-08, 3.31859e-08, 3.39404e-08, 4.12148e-08, 3.61772e-08, 3.31787e-08, 1.402e-07, 4.18046e-08, 3.3168e-08, 3.32192e-08, 5.00248e-08, 3.31364e-08, 3.04141e-06, 3.31364e-08, 3.31364e-08, 3.49739e-08
0.54399, 0, 4.43497e-06, 7.42566e-08, 1.41421, -4.43497e-06, 7.42566e-08, 7.42578e-08, 7.42698e-08, 1.14069e-07, 7.50353e-08, 7.43678e-08, 7.60602e-08, 9.23957e-08, 8.10773e-08, 7.43516e-08, 3.14404e-07, 8.59823e-08, 7.43275e-08, 7.44424e-08, 1.00291e-07, 7.42568e-08, 4.08511e-06, 7.42566e-08, 7.42566e-08, 7.83782e-08
0.551874, 0, 6.22103e-06, 1.61867e-07, 1.41421, -6.22103e-06, 1.61867e-07, 1.6187e-07, 1.61896e-07, 2.48715e-07, 1.63566e-07, 1.6211e-07, 1.65802e-07, 2.03878e-07, 1.76746e-07, 1.62074e-07, 6.85734e-07, 1.77647e-07, 1.62022e-07, 1.62272e-07, 2.01654e-07, 1.61868e-07, 5.4822e-06, 1.61867e-07, 1.61867e-07, 1.70858e-07
0.559758, 0, 8.93377e-06, 3.44072e-07, 1.41421, -8.93377e-06, 3.44072e-07, 3.44078e-07, 3.44133e-07, 5.28798e-07, 3.47685e-07, 3.44588e-07, 3.5244e-07, 4.6179e-07, 3.7572e-07, 3.44512e-07, 1.45834e-06, 3.65197e-07, 3.44401e-07, 3.44934e-07, 4.04382e-07, 3.44073e-07, 7.37066e-06, 3.44072e-07, 3.44072e-07, 3.63196e-07
0.567641, 0, 1.3197e-05, 7.13991e-07, 1.41421, -1.3197e-05, 7.13991e-07, 7.14003e-07, 7.14118e-07, 1.09755e-06, 7.21493e-07, 7.15062e-07, 7.31367e-07, 9.96874e-07, 7.79704e-07, 7.14906e-07, 3.02764e-06, 7.4213e-07, 7.14674e-07, 7.15781e-07, 8.04656e-07, 7.13993e-07, 9.96324e-06, 7.13991e-07, 7.13991e-07, 7.537e-07
0.575525, 0, 2.0152e-05, 1.44724e-06, 1.41421, -2.0152e-05, 1.44724e-06, 1.44726e-06, 1.44749e-06, 2.22517e-06, 1.46245e-06, 1.44941e-06, 1.48248e-06, 2.08355e-06, 1.58051e-06, 1.44909e-06, 6.13975e-06, 1.48453e-06, 1.44862e-06, 1.45087e-06, 1.5824e-06, 1.44724e-06, 1.35992e-05, 1.44724e-06, 1.44724e-06, 1.52777e-06
0.583409, 0, 3.18404e-05, 2.86641e-06, 1.41421, -3.18404e-05, 2.86641e-06, 2.86646e-06, 2.86692e-06, 4.40815e-06, 2.89656e-06, 2.87071e-06, 2.93625e-06, 4.24231e-06, 3.13054e-06, 2.87008e-06, 1.21662e-05, 2.91559e-06, 2.86915e-06, 2.8736e-06, 3.06625e-06, 2.86642e-06, 1.88318e-05, 2.86641e-06, 2.86641e-06, 3.02602e-06
0.591293, 0, 5.18759e-05, 5.54854e-06, 1.41421, -5.18759e-05, 5.54854e-06, 5.54863e-06, 5.54953e-06, 8.53483e-06, 5.60695e-06, 5.55688e-06, 5.68383e-06, 8.44286e-06, 6.06016e-06, 5.55566e-06, 2.35618e-05, 5.61309e-06, 5.55386e-06, 5.56247e-06, 5.84163e-06, 5.54856e-06, 2.65741e-05, 5.54854e-06, 5.54854e-06, 5.8577e-06
0.599177, 0, 8.65446e-05, 1.0499e-05, 1.41421, -8.65446e-05, 1.0499e-05, 1.04992e-05, 1.05009e-05, 1.61535e-05, 1.06096e-05, 1.05148e-05, 1.07552e-05, 1.64472e-05, 1.14678e-05, 1.05125e-05, 4.46071e-05, 1.05833e-05, 1.05091e-05, 1.05254e-05, 1.09255e-05, 1.0499e-05, 3.83343e-05, 1.0499e-05, 1.0499e-05, 1.10844e-05
0.607061, 0, 0.000146623, 1.94232e-05, 1.41421, -0.000146623, 1.94232e-05, 1.94235e-05, 1.94267e-05, 2.98916e-05, 1.96279e-05, 1.94524e-05, 1.98974e-05, 3.14393e-05, 2.12166e-05, 1.94481e-05, 8.25685e-05, 1.95328e-05, 1.94418e-05, 1.9472e-05, 2.00393e-05, 1.94232e-05, 5.65854e-05, 1.94232e-05, 1.94232e-05, 2.05069e-05
0.614945, 0, 0.000250141, 3.5137e-05, 1.41421, -0.000250141, 3.5137e-05, 3.51375e-05, 3.51432e-05, 5.40889e-05, 3.55076e-05, 3.51899e-05, 3.59955e-05, 5.89923e-05, 3.83838e-05, 3.51821e-05, 0.000149455, 3.52789e-05, 3.51707e-05, 3.52254e-05, 3.60208e-05, 3.5137e-05, 8.5325e-05, 3.5137e-05, 3.5137e-05, 3.7099e-05
