   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_49.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.280956, 0, 1.82461e-12, 0, 1.41421, -1.82461e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.03321e-17, 0, 4.02909e-17, 0, 1.82448e-12, 0, 0, 0
0.288862, 0, 3.11698e-12, 0, 1.41421, -3.11698e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58426e-16, 0, 7.10375e-17, 0, 3.11675e-12, 0, 0, 0
0.296767, 0, 5.2791e-12, 0, 1.41421, -5.2791e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75858e-16, 0, 1.24363e-16, 0, 5.2787e-12, 0, 0, 0
0.304672, 0, 8.8648e-12, 0, 1.41421, -8.8648e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.77012e-16, 0, 2.16224e-16, 0, 8.86411e-12, 0, 0, 0
0.312578, 0, 1.476e-11, 0, 1.41421, -1.476e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.194e-16, 0, 3.7345e-16, 0, 1.47588e-11, 0, 0, 0
0.320483, 0, 2.43688e-11, 6.16571e-44, 1.41421, -2.43688e-11, 0, 6.16571e-44, 6.16571e-44, 6.16571e-44, 6.16571e-44, 6.16571e-44, 6.16571e-44, 6.16571e-44, 6.16571e-44, 6.16571e-44, 6.16571e-44, 6.16571e-44, 6.16571e-44, 1.39872e-15, 6.16571e-44, 6.40895e-16, 6.16571e-44, 2.43668e-11, 6.16571e-44, 6.16571e-44, 6.16571e-44
0.328388, 0, 3.98964e-11, 1.14206e-42, 1.41421, -3.98964e-11, 0, 1.14206e-42, 1.14206e-42, 1.14206e-42, 1.14206e-42, 1.14206e-42, 1.14206e-42, 1.14206e-42, 1.14206e-42, 1.14206e-42, 1.14206e-42, 1.14206e-42, 1.14206e-42, 2.37357e-15, 1.14206e-42, 1.09319e-15, 1.14206e-42, 3.98929e-11, 1.14206e-42, 1.14206e-42, 1.14206e-42
0.336293, 0, 6.47748e-11, 1.75429e-41, 1.41421, -6.47748e-11, 0, 1.75429e-41, 1.75429e-41, 1.75429e-41, 1.75429e-41, 1.75429e-41, 1.75429e-41, 1.75429e-41, 1.75429e-41, 1.75429e-41, 1.75429e-41, 1.75429e-41, 1.75429e-41, 4.00583e-15, 1.75429e-41, 1.85392e-15, 1.75429e-41, 6.47689e-11, 1.75429e-41, 1.75429e-41, 1.75429e-41
0.344199, 0, 1.04297e-10, 2.36905e-40, 1.41421, -1.04297e-10, 0, 2.36905e-40, 2.36905e-40, 2.36905e-40, 2.36905e-40, 2.36905e-40, 2.36905e-40, 2.36905e-40, 2.36905e-40, 2.36905e-40, 2.36905e-40, 2.36905e-40, 2.36905e-40, 6.72674e-15, 2.36905e-40, 3.12699e-15, 2.36905e-40, 1.04287e-10, 2.36905e-40, 2.36905e-40, 2.36905e-40
0.352104, 0, 1.66553e-10, 2.85913e-39, 1.41421, -1.66553e-10, 0, 2.85913e-39, 2.85913e-39, 2.85913e-39, 2.85913e-39, 2.85913e-39, 2.85913e-39, 2.85913e-39, 2.85913e-39, 2.85913e-39, 2.85913e-39, 2.85913e-39, 2.85913e-39, 1.1245e-14, 2.85913e-39, 5.24773e-15, 2.85913e-39, 1.66537e-10, 2.85913e-39, 2.85913e-39, 2.85913e-39
0.360009, 0, 2.63797e-10, 3.10853e-38, 1.41421, -2.63797e-10, 0, 3.10853e-38, 3.10853e-38, 3.10853e-38, 3.10853e-38, 3.10853e-38, 3.10853e-38, 3.10853e-38, 3.10853e-38, 3.10853e-38, 3.10853e-38, 3.10853e-38, 3.10853e-38, 1.87234e-14, 3.10853e-38, 8.76605e-15, 3.10853e-38, 2.6377e-10, 3.10853e-38, 3.10853e-38, 3.10853e-38
0.367915, 0, 4.14425e-10, 3.05927e-37, 1.41421, -4.14425e-10, 0, 3.05927e-37, 3.05927e-37, 3.05927e-37, 3.05927e-37, 3.05927e-37, 3.05927e-37, 3.05927e-37, 3.05927e-37, 3.05927e-37, 3.05927e-37, 3.05927e-37, 3.05927e-37, 3.10688e-14, 3.05927e-37, 1.4582e-14, 3.05927e-37, 4.14379e-10, 3.05927e-37, 3.05927e-37, 3.05927e-37
0.37582, 0, 6.45806e-10, 2.74327e-36, 1.41421, -6.45806e-10, 0, 2.74327e-36, 2.74327e-36, 2.74327e-36, 2.74327e-36, 2.74327e-36, 2.74327e-36, 2.74327e-36, 2.74327e-36, 2.74327e-36, 2.74327e-36, 2.74327e-36, 2.74327e-36, 5.14072e-14, 2.74327e-36, 2.41667e-14, 2.74327e-36, 6.45731e-10, 2.74327e-36, 2.74327e-36, 2.74327e-36
0.383725, 0, 9.98298e-10, 2.25244e-35, 1.41421, -9.98298e-10, 0, 2.25244e-35, 2.25244e-35, 2.25244e-35, 2.25244e-35, 2.25244e-35, 2.25244e-35, 2.25244e-35, 2.25244e-35, 2.25244e-35, 2.25244e-35, 2.25244e-35, 2.25244e-35, 8.48633e-14, 2.25244e-35, 3.99214e-14, 2.25244e-35, 9.98174e-10, 2.25244e-35, 2.25244e-35, 2.25244e-35
0.391631, 0, 1.5309e-09, 1.70083e-34, 1.41421, -1.5309e-09, 0, 1.70083e-34, 1.70083e-34, 1.70083e-34, 1.70083e-34, 1.70083e-34, 1.70083e-34, 1.70083e-34, 1.70083e-34, 1.70083e-34, 1.70083e-34, 1.70083e-34, 1.70083e-34, 1.39842e-13, 1.70083e-34, 6.5765e-14, 1.70083e-34, 1.53069e-09, 1.70083e-34, 1.70083e-34, 1.70083e-34
0.399536, 0, 2.32906e-09, 1.18641e-33, 1.41421, -2.32906e-09, 0, 1.18641e-33, 1.18641e-33, 1.18641e-33, 1.18641e-33, 1.18641e-33, 1.18641e-33, 1.18641e-33, 1.18641e-33, 1.18641e-33, 1.18641e-33, 1.18641e-33, 1.18641e-33, 2.30132e-13, 1.18641e-33, 1.08089e-13, 1.18641e-33, 2.32872e-09, 1.18641e-33, 1.18641e-33, 1.18641e-33
0.407441, 0, 3.51553e-09, 7.21555e-33, 1.41421, -3.51553e-09, 0, 7.21555e-33, 7.21555e-33, 7.21555e-33, 7.21555e-33, 7.21555e-33, 7.21555e-33, 7.21555e-33, 7.21555e-33, 7.21555e-33, 7.21555e-33, 7.21555e-33, 7.21555e-33, 3.78353e-13, 7.21555e-33, 1.77316e-13, 7.21555e-33, 3.51498e-09, 7.21555e-33, 7.21555e-33, 7.21555e-33
0.415347, 0, 5.26507e-09, 4.45192e-32, 1.41421, -5.26507e-09, 0, 4.45192e-32, 4.45192e-32, 4.45192e-32, 4.45192e-32, 4.45192e-32, 4.45192e-32, 4.45192e-32, 4.45192e-32, 4.45192e-32, 4.45192e-32, 4.45192e-32, 4.45192e-32, 6.2161e-13, 4.45192e-32, 2.90435e-13, 4.45192e-32, 5.26416e-09, 4.45192e-32, 4.45192e-32, 4.45192e-32
0.423252, 0, 7.82432e-09, 2.45595e-31, 1.41421, -7.82432e-09, 0, 2.45595e-31, 2.45595e-31, 2.45595e-31, 2.45595e-31, 2.45595e-31, 2.45595e-31, 2.45595e-31, 2.45595e-31, 2.45595e-31, 2.45595e-31, 2.45595e-31, 2.45595e-31, 1.0207e-12, 2.45595e-31, 4.75121e-13, 2.45595e-31, 7.82283e-09, 2.45595e-31, 2.45595e-31, 2.45595e-31
0.431157, 0, 1.15387e-08, 2.79396e-30, 1.41421, -1.15387e-08, 0, 2.79396e-30, 2.79396e-30, 2.79396e-30, 2.79396e-30, 2.79396e-30, 2.79396e-30, 2.79396e-30, 2.79396e-30, 2.79396e-30, 2.79396e-30, 2.79396e-30, 2.79396e-30, 1.67693e-12, 2.79396e-30, 7.77133e-13, 2.79396e-30, 1.15363e-08, 2.79396e-30, 2.79396e-30, 2.79396e-30
0.439063, 0, 1.68867e-08, 1.35846e-29, 1.41421, -1.68867e-08, 0, 1.35846e-29, 1.35846e-29, 1.35846e-29, 1.35846e-29, 1.35846e-29, 1.35846e-29, 1.35846e-29, 1.35846e-29, 1.35846e-29, 1.35846e-29, 1.35846e-29, 1.35846e-29, 2.75006e-12, 1.35846e-29, 1.26847e-12, 1.35846e-29, 1.68827e-08, 1.35846e-29, 1.35846e-29, 1.35846e-29
