   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_138.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.299658, 0, 1.04941e-11, 0, 1.41421, -1.04941e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07056e-13, 0, 0, 1.1209e-15, 0, 1.01859e-11, 0, 0, 0
0.307545, 0, 1.75462e-11, 0, 1.41421, -1.75462e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.13444e-13, 0, 0, 1.93994e-15, 0, 1.70308e-11, 0, 0, 0
0.315432, 0, 2.90935e-11, 0, 1.41421, -2.90935e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.51452e-13, 0, 0, 3.33611e-15, 0, 2.82387e-11, 0, 0, 0
0.323318, 0, 4.78414e-11, 1.47136e-43, 1.41421, -4.78414e-11, 0, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.40035e-12, 1.47136e-43, 1.47136e-43, 5.7021e-15, 1.47136e-43, 4.64354e-11, 1.47136e-43, 1.47136e-43, 1.47136e-43
0.331205, 0, 7.80246e-11, 2.60782e-42, 1.41421, -7.80246e-11, 0, 2.60782e-42, 2.60782e-42, 2.60782e-42, 2.60782e-42, 2.60782e-42, 2.60782e-42, 2.60782e-42, 2.60782e-42, 2.28431e-12, 2.60782e-42, 2.60782e-42, 9.68962e-15, 2.60782e-42, 7.57306e-11, 2.60782e-42, 2.60782e-42, 2.60782e-42
0.339091, 0, 1.26211e-10, 3.82568e-41, 1.41421, -1.26211e-10, 0, 3.82568e-41, 3.82568e-41, 3.82568e-41, 3.82568e-41, 3.82568e-41, 3.82568e-41, 3.82568e-41, 3.82568e-41, 3.69604e-12, 3.82568e-41, 3.82568e-41, 1.63757e-14, 3.82568e-41, 1.22498e-10, 3.82568e-41, 3.82568e-41, 3.82568e-41
0.346978, 0, 2.02496e-10, 4.97877e-40, 1.41421, -2.02496e-10, 0, 4.97877e-40, 4.97877e-40, 4.97877e-40, 4.97877e-40, 4.97877e-40, 4.97877e-40, 4.97877e-40, 4.97877e-40, 5.93206e-12, 4.97877e-40, 4.97877e-40, 2.75342e-14, 4.97877e-40, 1.96537e-10, 4.97877e-40, 4.97877e-40, 4.97877e-40
0.354865, 0, 3.22268e-10, 5.7826e-39, 1.41421, -3.22268e-10, 0, 5.7826e-39, 5.7826e-39, 5.7826e-39, 5.7826e-39, 5.7826e-39, 5.7826e-39, 5.7826e-39, 5.7826e-39, 9.44477e-12, 5.7826e-39, 5.7826e-39, 4.6079e-14, 5.7826e-39, 3.12777e-10, 5.7826e-39, 5.7826e-39, 5.7826e-39
0.362751, 0, 5.0876e-10, 6.0644e-38, 1.41421, -5.0876e-10, 0, 6.0644e-38, 6.0644e-38, 6.0644e-38, 6.0644e-38, 6.0644e-38, 6.0644e-38, 6.0644e-38, 6.0644e-38, 1.49183e-11, 6.0644e-38, 6.0644e-38, 7.6785e-14, 6.0644e-38, 4.93765e-10, 6.0644e-38, 6.0644e-38, 6.0644e-38
0.370638, 0, 7.96761e-10, 5.76831e-37, 1.41421, -7.96761e-10, 0, 5.76831e-37, 5.76831e-37, 5.76831e-37, 5.76831e-37, 5.76831e-37, 5.76831e-37, 5.76831e-37, 5.76831e-37, 2.3379e-11, 5.76831e-37, 5.76831e-37, 1.27465e-13, 5.76831e-37, 7.73254e-10, 5.76831e-37, 5.76831e-37, 5.76831e-37
