   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_4.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.490029, 0, 2.41385e-06, 1.33267e-10, 1.41421, -2.41385e-06, 1.33267e-10, 1.33322e-10, 1.33732e-10, 1.63363e-09, 1.76374e-10, 1.34198e-10, 2.34029e-10, 7.83458e-10, 7.4661e-10, 8.99443e-10, 1.0392e-08, 1.41343e-10, 1.39232e-10, 1.11572e-09, 1.33267e-10, 1.3327e-10, 2.39889e-06, 1.33267e-10, 1.33267e-10, 1.59037e-10
0.497956, 0, 3.25306e-06, 4.43954e-10, 1.41421, -3.25306e-06, 4.43954e-10, 4.44097e-10, 4.45173e-10, 4.38482e-09, 5.57178e-10, 4.46398e-10, 7.08615e-10, 2.12485e-09, 2.05497e-09, 2.4564e-09, 1.44013e-08, 4.65165e-10, 4.59621e-10, 1.98378e-09, 4.43954e-10, 4.43962e-10, 3.22784e-06, 4.43954e-10, 4.43954e-10, 5.1164e-10
0.505882, 0, 4.3626e-06, 1.15679e-09, 1.41421, -4.3626e-06, 1.15679e-09, 1.15714e-09, 1.15972e-09, 1.05966e-08, 1.42801e-09, 1.16265e-09, 1.79075e-09, 5.15007e-09, 5.01574e-09, 5.97732e-09, 2.00497e-08, 1.2076e-09, 1.19432e-09, 3.55805e-09, 1.15679e-09, 1.15681e-09, 4.31802e-06, 1.15679e-09, 1.15679e-09, 1.31893e-09
0.513808, 0, 5.82601e-06, 2.75694e-09, 1.41421, -5.82601e-06, 2.75694e-09, 2.75773e-09, 2.76361e-09, 2.42959e-08, 3.37577e-09, 2.7703e-09, 4.20346e-09, 1.18175e-08, 1.1562e-08, 1.37561e-08, 2.82027e-08, 2.87287e-09, 2.84257e-09, 6.48111e-09, 2.75694e-09, 2.75698e-09, 5.74378e-06, 2.75694e-09, 2.75694e-09, 3.12688e-09
0.521734, 0, 7.75633e-06, 6.26818e-09, 1.41421, -7.75633e-06, 6.26818e-09, 6.26991e-09, 6.28289e-09, 5.38225e-08, 7.63446e-09, 6.29767e-09, 9.46184e-09, 2.61777e-08, 2.57083e-08, 3.05523e-08, 4.03706e-08, 6.52414e-09, 6.45724e-09, 1.20106e-08, 6.26818e-09, 6.26828e-09, 7.59943e-06, 6.26818e-09, 6.26818e-09, 7.08494e-09
0.52966, 0, 1.0314e-05, 1.38018e-08, 1.41421, -1.0314e-05, 1.38018e-08, 1.38056e-08, 1.38335e-08, 1.16037e-07, 1.67391e-08, 1.38652e-08, 2.06678e-08, 5.9637e-08, 5.55953e-08, 6.60094e-08, 5.92832e-08, 1.43521e-08, 1.42083e-08, 2.26025e-08, 1.38018e-08, 1.3802e-08, 1.0005e-05, 1.38018e-08, 1.38018e-08, 1.55578e-08
0.537586, 0, 1.37268e-05, 2.96045e-08, 1.41421, -1.37268e-05, 2.96045e-08, 2.96123e-08, 2.96709e-08, 2.4421e-07, 3.57703e-08, 2.97376e-08, 4.4017e-08, 1.2956e-07, 1.17335e-07, 1.39195e-07, 8.99688e-08, 3.07596e-08, 3.04577e-08, 4.30064e-08, 2.96045e-08, 2.9605e-08, 1.31147e-05, 2.96045e-08, 2.96045e-08, 3.32905e-08
0.545513, 0, 1.83818e-05, 6.20153e-08, 1.41421, -1.83818e-05, 6.20153e-08, 6.20314e-08, 6.21516e-08, 5.02437e-07, 7.4669e-08, 6.22885e-08, 9.15932e-08, 3.1406e-07, 2.42058e-07, 2.86921e-07, 1.41751e-07, 6.43859e-08, 6.37663e-08, 8.22905e-08, 6.20153e-08, 6.20162e-08, 1.71301e-05, 6.20153e-08, 6.20153e-08, 6.95797e-08
0.553439, 0, 2.48339e-05, 1.27016e-07, 1.41421, -2.48339e-05, 1.27016e-07, 1.27049e-07, 1.2729e-07, 1.01123e-06, 1.52421e-07, 1.27565e-07, 1.86399e-07, 6.98706e-07, 4.88481e-07, 5.78551e-07, 2.31842e-07, 1.31776e-07, 1.30532e-07, 1.57492e-07, 1.27016e-07, 1.27018e-07, 2.23205e-05, 1.27016e-07, 1.27016e-07, 1.42203e-07
0.561365, 0, 3.40196e-05, 2.54508e-07, 1.41421, -3.40196e-05, 2.54508e-07, 2.54571e-07, 2.55046e-07, 1.99179e-06, 3.04422e-07, 2.55586e-07, 3.71181e-07, 1.4858e-06, 9.64706e-07, 1.14167e-06, 3.91677e-07, 2.63859e-07, 2.61415e-07, 3.00001e-07, 2.54508e-07, 2.54512e-07, 2.90567e-05, 2.54508e-07, 2.54508e-07, 2.84347e-07
0.569291, 0, 4.7503e-05, 4.99074e-07, 1.41421, -4.7503e-05, 4.99074e-07, 4.99196e-07, 5.00108e-07, 3.84031e-06, 5.95071e-07, 5.01147e-07, 7.23466e-07, 3.06704e-06, 1.86496e-06, 2.20531e-06, 6.77743e-07, 5.17058e-07, 5.12358e-07, 5.66513e-07, 4.99074e-07, 4.99081e-07, 3.78633e-05, 4.99074e-07, 4.99074e-07, 5.56461e-07
0.577217, 0, 6.78826e-05, 9.57978e-07, 1.41421, -6.78826e-05, 9.57978e-07, 9.58208e-07, 9.59926e-07, 7.24942e-06, 1.13874e-06, 9.6188e-07, 1.3805e-06, 6.15022e-06, 3.5299e-06, 4.17077e-06, 1.18966e-06, 9.91842e-07, 9.82991e-07, 1.05726e-06, 9.57978e-07, 9.57991e-07, 4.95069e-05, 9.57978e-07, 9.57978e-07, 1.06604e-06
0.585144, 0, 9.96114e-05, 1.80033e-06, 1.41421, -9.96114e-05, 1.80033e-06, 1.80076e-06, 1.80392e-06, 1.34007e-05, 2.13362e-06, 1.80753e-06, 2.57939e-06, 1.21374e-05, 6.54254e-06, 7.7242e-06, 2.09946e-06, 1.86277e-06, 1.84645e-06, 1.94551e-06, 1.80033e-06, 1.80036e-06, 6.51322e-05, 1.80033e-06, 1.80033e-06, 1.99957e-06
0.59307, 0, 0.000150128, 3.31301e-06, 1.41421, -0.000150128, 3.31301e-06, 3.31377e-06, 3.31949e-06, 2.42607e-05, 3.91486e-06, 3.326e-06, 4.71982e-06, 2.35764e-05, 1.18764e-05, 1.40102e-05, 3.6976e-06, 3.42576e-06, 3.39629e-06, 3.52387e-06, 3.31301e-06, 3.31305e-06, 8.64757e-05, 3.31301e-06, 3.31301e-06, 3.67279e-06
0.600996, 0, 0.000231796, 5.97077e-06, 1.41421, -0.000231796, 5.97077e-06, 5.97212e-06, 5.98223e-06, 4.30226e-05, 7.0353e-06, 5.99375e-06, 8.4591e-06, 4.50781e-05, 2.11174e-05, 2.48917e-05, 6.4633e-06, 6.1702e-06, 6.11807e-06, 6.27503e-06, 5.97077e-06, 5.97084e-06, 0.0001162, 5.97077e-06, 5.97077e-06, 6.60715e-06
0.608922, 0, 0.000364882, 1.054e-05, 1.41421, -0.000364882, 1.054e-05, 1.05424e-05, 1.05599e-05, 7.47434e-05, 1.23847e-05, 1.05799e-05, 1.48518e-05, 8.48381e-05, 3.67862e-05, 4.33262e-05, 1.11685e-05, 1.08856e-05, 1.07953e-05, 1.09763e-05, 1.054e-05, 1.05402e-05, 0.000158361, 1.054e-05, 1.054e-05, 1.16428e-05
