   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_290.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.205319, 0, 2.00939e-15, 0, 1.41421, -2.00939e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41383e-17, 0, 9.1422e-20, 0, 0, 1.98516e-15, 0, 0, 0
0.213201, 0, 3.93897e-15, 0, 1.41421, -3.93897e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73178e-17, 0, 1.82923e-19, 0, 0, 3.89147e-15, 0, 0, 0
0.221083, 0, 7.5954e-15, 0, 1.41421, -7.5954e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.12413e-17, 0, 3.59284e-19, 0, 0, 7.5038e-15, 0, 0, 0
0.228965, 0, 1.44999e-14, 0, 1.41421, -1.44999e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74183e-16, 0, 6.9897e-19, 0, 0, 1.4325e-14, 0, 0, 0
0.236846, 0, 2.74082e-14, 0, 1.41421, -2.74082e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.29244e-16, 0, 1.34708e-18, 0, 0, 2.70776e-14, 0, 0, 0
0.244728, 0, 5.13024e-14, 0, 1.41421, -5.13024e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.16275e-16, 0, 2.57219e-18, 0, 0, 5.06836e-14, 0, 0, 0
0.25261, 0, 9.51009e-14, 0, 1.41421, -9.51009e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14241e-15, 0, 4.86692e-18, 0, 0, 9.39536e-14, 0, 0, 0
0.260491, 0, 1.74606e-13, 0, 1.41421, -1.74606e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09746e-15, 0, 9.12664e-18, 0, 0, 1.72499e-13, 0, 0, 0
0.268373, 0, 3.17537e-13, 0, 1.41421, -3.17537e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81444e-15, 0, 1.69645e-17, 0, 0, 3.13706e-13, 0, 0, 0
0.276255, 0, 5.72047e-13, 0, 1.41421, -5.72047e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.87181e-15, 0, 3.12625e-17, 0, 0, 5.65144e-13, 0, 0, 0
