   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_103.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.345327, 0, 7.55173e-10, 4.72494e-39, 1.41421, -7.55173e-10, 0, 4.72494e-39, 4.72494e-39, 4.72494e-39, 4.72494e-39, 4.72494e-39, 4.72494e-39, 4.72494e-39, 4.72494e-39, 4.72494e-39, 4.72494e-39, 4.72494e-39, 3.27957e-12, 4.72494e-39, 4.72494e-39, 5.07948e-14, 1.17748e-13, 4.72494e-39, 7.51725e-10, 4.72494e-39, 4.72494e-39, 4.72494e-39
0.353223, 0, 1.17687e-09, 5.05511e-38, 1.41421, -1.17687e-09, 0, 5.05511e-38, 5.05511e-38, 5.05511e-38, 5.05511e-38, 5.05511e-38, 5.05511e-38, 5.05511e-38, 5.05511e-38, 5.05511e-38, 5.05511e-38, 5.05511e-38, 5.11395e-12, 5.05511e-38, 5.05511e-38, 8.33097e-14, 1.93948e-13, 5.05511e-38, 1.17148e-09, 5.05511e-38, 5.05511e-38, 5.05511e-38
0.361118, 0, 1.82013e-09, 4.89964e-37, 1.41421, -1.82013e-09, 0, 4.89964e-37, 4.89964e-37, 4.89964e-37, 4.89964e-37, 4.89964e-37, 4.89964e-37, 4.89964e-37, 4.89964e-37, 4.89964e-37, 4.89964e-37, 4.89964e-37, 7.91493e-12, 4.89964e-37, 4.89964e-37, 1.36236e-13, 3.18284e-13, 4.89964e-37, 1.81176e-09, 4.89964e-37, 4.89964e-37, 4.89964e-37
0.369013, 0, 2.79375e-09, 4.32717e-36, 1.41421, -2.79375e-09, 0, 4.32717e-36, 4.32717e-36, 4.32717e-36, 4.32717e-36, 4.32717e-36, 4.32717e-36, 4.32717e-36, 4.32717e-36, 4.32717e-36, 4.32717e-36, 4.32717e-36, 1.21597e-11, 4.32717e-36, 4.32717e-36, 2.22246e-13, 5.20623e-13, 4.32717e-36, 2.78085e-09, 4.32717e-36, 4.32717e-36, 4.32717e-36
0.376909, 0, 4.25604e-09, 3.49999e-35, 1.41421, -4.25604e-09, 0, 3.49999e-35, 3.49999e-35, 3.49999e-35, 3.49999e-35, 3.49999e-35, 3.49999e-35, 3.49999e-35, 3.49999e-35, 3.49999e-35, 3.49999e-35, 3.49999e-35, 1.85443e-11, 3.49999e-35, 3.49999e-35, 3.61856e-13, 8.49158e-13, 3.49999e-35, 4.23628e-09, 3.49999e-35, 3.49999e-35, 3.49999e-35
0.384804, 0, 6.43539e-09, 2.60478e-34, 1.41421, -6.43539e-09, 0, 2.60478e-34, 2.60478e-34, 2.60478e-34, 2.60478e-34, 2.60478e-34, 2.60478e-34, 2.60478e-34, 2.60478e-34, 2.60478e-34, 2.60478e-34, 2.60478e-34, 2.80771e-11, 2.60478e-34, 2.60478e-34, 5.88295e-13, 1.38161e-12, 2.60478e-34, 6.40534e-09, 2.60478e-34, 2.60478e-34, 2.60478e-34
0.392699, 0, 9.65869e-09, 1.80192e-33, 1.41421, -9.65869e-09, 0, 1.80192e-33, 1.80192e-33, 1.80192e-33, 1.80192e-33, 1.80192e-33, 1.80192e-33, 1.80192e-33, 1.80192e-33, 1.80192e-33, 1.80192e-33, 1.80192e-33, 4.22067e-11, 1.80192e-33, 1.80192e-33, 9.55398e-13, 2.24325e-12, 1.80192e-33, 9.61329e-09, 1.80192e-33, 1.80192e-33, 1.80192e-33
0.400595, 0, 1.43899e-08, 1.10539e-32, 1.41421, -1.43899e-08, 0, 1.10539e-32, 1.10539e-32, 1.10539e-32, 1.10539e-32, 1.10539e-32, 1.10539e-32, 1.10539e-32, 1.10539e-32, 1.10539e-32, 1.10539e-32, 1.10539e-32, 6.3e-11, 1.10539e-32, 1.10539e-32, 1.55039e-12, 3.63589e-12, 1.10539e-32, 1.43217e-08, 1.10539e-32, 1.10539e-32, 1.10539e-32
0.40849, 0, 2.12823e-08, 6.80945e-32, 1.41421, -2.12823e-08, 0, 6.80945e-32, 6.80945e-32, 6.80945e-32, 6.80945e-32, 6.80945e-32, 6.80945e-32, 6.80945e-32, 6.80945e-32, 6.80945e-32, 6.80945e-32, 6.80945e-32, 9.33842e-11, 6.80945e-32, 6.80945e-32, 2.51454e-12, 5.88437e-12, 6.80945e-32, 2.11805e-08, 6.80945e-32, 6.80945e-32, 6.80945e-32
0.416386, 0, 3.12481e-08, 3.76462e-31, 1.41421, -3.12481e-08, 0, 3.76462e-31, 3.76462e-31, 3.76462e-31, 3.76462e-31, 3.76462e-31, 3.76462e-31, 3.76462e-31, 3.76462e-31, 3.76462e-31, 3.76462e-31, 3.76462e-31, 1.37476e-10, 3.76462e-31, 3.76462e-31, 4.07647e-12, 9.51109e-12, 3.76462e-31, 3.1097e-08, 3.76462e-31, 3.76462e-31, 3.76462e-31
