   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_219.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.409467, 0, 8.25746e-09, 1.96117e-33, 1.41421, -8.25746e-09, 0, 1.96117e-33, 1.96117e-33, 1.96117e-33, 1.96117e-33, 1.96117e-33, 1.96117e-33, 1.96117e-33, 1.96117e-33, 1.96117e-33, 1.96117e-33, 1.96117e-33, 1.96117e-33, 3.01302e-11, 1.96117e-33, 1.96117e-33, 1.40935e-13, 2.14446e-12, 1.96117e-33, 8.22504e-09, 1.96117e-33, 1.96117e-33, 1.96117e-33
0.417352, 0, 1.26718e-08, 1.19905e-32, 1.41421, -1.26718e-08, 0, 1.19905e-32, 1.19905e-32, 1.19905e-32, 1.19905e-32, 1.19905e-32, 1.19905e-32, 1.19905e-32, 1.19905e-32, 1.19905e-32, 1.19905e-32, 1.19905e-32, 1.19905e-32, 4.63135e-11, 1.19905e-32, 1.19905e-32, 2.36243e-13, 3.57083e-12, 1.19905e-32, 1.26216e-08, 1.19905e-32, 1.19905e-32, 1.19905e-32
0.425236, 0, 1.92846e-08, 7.35442e-32, 1.41421, -1.92846e-08, 0, 7.35442e-32, 7.35442e-32, 7.35442e-32, 7.35442e-32, 7.35442e-32, 7.35442e-32, 7.35442e-32, 7.35442e-32, 7.35442e-32, 7.35442e-32, 7.35442e-32, 7.35442e-32, 7.06228e-11, 7.35442e-32, 7.35442e-32, 3.9569e-13, 5.93797e-12, 7.35442e-32, 1.92076e-08, 7.35442e-32, 7.35442e-32, 7.35442e-32
0.433121, 0, 2.91068e-08, 4.05419e-31, 1.41421, -2.91068e-08, 0, 4.05419e-31, 4.05419e-31, 4.05419e-31, 4.05419e-31, 4.05419e-31, 4.05419e-31, 4.05419e-31, 4.05419e-31, 4.05419e-31, 4.05419e-31, 4.05419e-31, 4.05419e-31, 1.06848e-10, 4.05419e-31, 4.05419e-31, 6.62289e-13, 9.86474e-12, 4.05419e-31, 2.89894e-08, 4.05419e-31, 4.05419e-31, 4.05419e-31
0.441005, 0, 4.35736e-08, 2.17251e-30, 1.41421, -4.35736e-08, 0, 2.17251e-30, 2.17251e-30, 2.17251e-30, 2.17251e-30, 2.17251e-30, 2.17251e-30, 2.17251e-30, 2.17251e-30, 2.17251e-30, 2.17251e-30, 2.17251e-30, 2.17251e-30, 1.6041e-10, 2.17251e-30, 2.17251e-30, 1.10769e-12, 1.63765e-11, 2.17251e-30, 4.33957e-08, 2.17251e-30, 2.17251e-30, 2.17251e-30
0.44889, 0, 6.47032e-08, 1.10765e-29, 1.41421, -6.47032e-08, 0, 1.10765e-29, 1.10765e-29, 1.10765e-29, 1.10765e-29, 1.10765e-29, 1.10765e-29, 1.10765e-29, 1.10765e-29, 1.10765e-29, 1.10765e-29, 1.10765e-29, 1.10765e-29, 2.38999e-10, 1.10765e-29, 1.10765e-29, 1.85086e-12, 2.71701e-11, 1.10765e-29, 6.44352e-08, 1.10765e-29, 1.10765e-29, 1.10765e-29
0.456774, 0, 9.53106e-08, 5.33725e-29, 1.41421, -9.53106e-08, 0, 5.33725e-29, 5.33725e-29, 5.33725e-29, 5.33725e-29, 5.33725e-29, 5.33725e-29, 5.33725e-29, 5.33725e-29, 5.33725e-29, 5.33725e-29, 5.33725e-29, 5.33725e-29, 3.53454e-10, 5.33725e-29, 5.33725e-29, 3.0887e-12, 4.50474e-11, 5.33725e-29, 9.4909e-08, 5.33725e-29, 5.33725e-29, 5.33725e-29
0.464659, 0, 1.39284e-07, 2.47104e-28, 1.41421, -1.39284e-07, 0, 2.47104e-28, 2.47104e-28, 2.47104e-28, 2.47104e-28, 2.47104e-28, 2.47104e-28, 2.47104e-28, 2.47104e-28, 2.47104e-28, 2.47104e-28, 2.47104e-28, 2.47104e-28, 5.18924e-10, 2.47104e-28, 2.47104e-28, 5.14548e-12, 7.46206e-11, 2.47104e-28, 1.38686e-07, 2.47104e-28, 2.47104e-28, 2.47104e-28
0.472543, 0, 2.01955e-07, 1.87982e-27, 1.41421, -2.01955e-07, 0, 1.87982e-27, 1.87982e-27, 1.87982e-27, 1.87982e-27, 1.87982e-27, 1.87982e-27, 1.87982e-27, 1.87982e-27, 1.87982e-27, 1.87982e-27, 1.87982e-27, 1.87982e-27, 7.56466e-10, 1.87982e-27, 1.87982e-27, 8.558e-12, 1.23515e-10, 1.87982e-27, 2.01066e-07, 1.87982e-27, 1.87982e-27, 1.87982e-27
0.480428, 0, 2.90552e-07, 7.619e-27, 1.41421, -2.90552e-07, 0, 7.619e-27, 7.619e-27, 7.619e-27, 7.619e-27, 7.619e-27, 7.619e-27, 7.619e-27, 7.619e-27, 7.619e-27, 7.619e-27, 7.619e-27, 7.619e-27, 1.09507e-09, 7.619e-27, 7.619e-27, 1.41832e-11, 2.03954e-10, 7.619e-27, 2.89238e-07, 7.619e-27, 7.619e-27, 7.619e-27
