   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_220.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.459524, 0, 5.65492e-08, 2.75441e-30, 1.41421, -5.65492e-08, 0, 2.75441e-30, 2.75441e-30, 2.75441e-30, 2.75441e-30, 2.75441e-30, 2.75441e-30, 2.75441e-30, 2.75441e-30, 2.75441e-30, 2.67984e-10, 2.75441e-30, 2.75441e-30, 3.65706e-13, 2.75441e-30, 5.62808e-08, 2.75441e-30, 2.75441e-30, 2.75441e-30
0.467406, 0, 8.61821e-08, 1.36263e-29, 1.41421, -8.61821e-08, 0, 1.36263e-29, 1.36263e-29, 1.36263e-29, 1.36263e-29, 1.36263e-29, 1.36263e-29, 1.36263e-29, 1.36263e-29, 1.36263e-29, 4.09912e-10, 1.36263e-29, 1.36263e-29, 6.29941e-13, 1.36263e-29, 8.57716e-08, 1.36263e-29, 1.36263e-29, 1.36263e-29
0.475287, 0, 1.30134e-07, 6.43051e-29, 1.41421, -1.30134e-07, 0, 6.43051e-29, 6.43051e-29, 6.43051e-29, 6.43051e-29, 6.43051e-29, 6.43051e-29, 6.43051e-29, 6.43051e-29, 6.43051e-29, 6.21664e-10, 6.43051e-29, 6.43051e-29, 1.08398e-12, 6.43051e-29, 1.29512e-07, 6.43051e-29, 6.43051e-29, 6.43051e-29
0.483169, 0, 1.94713e-07, 2.94366e-28, 1.41421, -1.94713e-07, 0, 2.94366e-28, 2.94366e-28, 2.94366e-28, 2.94366e-28, 2.94366e-28, 2.94366e-28, 2.94366e-28, 2.94366e-28, 2.94366e-28, 9.34947e-10, 2.94366e-28, 2.94366e-28, 1.86235e-12, 2.94366e-28, 1.93776e-07, 2.94366e-28, 2.94366e-28, 2.94366e-28
0.49105, 0, 2.88719e-07, 1.29373e-27, 1.41421, -2.88719e-07, 0, 1.29373e-27, 1.29373e-27, 1.29373e-27, 1.29373e-27, 1.29373e-27, 1.29373e-27, 1.29373e-27, 1.29373e-27, 1.29373e-27, 1.39467e-09, 1.29373e-27, 1.29373e-27, 3.19243e-12, 1.29373e-27, 2.87321e-07, 1.29373e-27, 1.29373e-27, 1.29373e-27
0.498932, 0, 4.24309e-07, 5.43538e-27, 1.41421, -4.24309e-07, 0, 5.43538e-27, 5.43538e-27, 5.43538e-27, 5.43538e-27, 5.43538e-27, 5.43538e-27, 5.43538e-27, 5.43538e-27, 5.43538e-27, 2.06396e-09, 5.43538e-27, 5.43538e-27, 5.45605e-12, 5.43538e-27, 4.22239e-07, 5.43538e-27, 5.43538e-27, 5.43538e-27
0.506813, 0, 6.1811e-07, 2.18327e-26, 1.41421, -6.1811e-07, 0, 2.18327e-26, 2.18327e-26, 2.18327e-26, 2.18327e-26, 2.18327e-26, 2.18327e-26, 2.18327e-26, 2.18327e-26, 2.18327e-26, 3.03086e-09, 2.18327e-26, 2.18327e-26, 9.28949e-12, 2.18327e-26, 6.1507e-07, 2.18327e-26, 2.18327e-26, 2.18327e-26
0.514695, 0, 8.92652e-07, 8.39134e-26, 1.41421, -8.92652e-07, 0, 8.39134e-26, 8.39134e-26, 8.39134e-26, 8.39134e-26, 8.39134e-26, 8.39134e-26, 6.94672e-12, 8.39134e-26, 8.39134e-26, 4.41723e-09, 8.39134e-26, 8.39134e-26, 1.57442e-11, 8.39134e-26, 8.88213e-07, 8.39134e-26, 8.39134e-26, 8.39134e-26
0.522576, 0, 1.27815e-06, 3.09075e-25, 1.41421, -1.27815e-06, 0, 3.09075e-25, 3.09075e-25, 3.09075e-25, 3.09075e-25, 3.09075e-25, 3.09075e-25, 2.56276e-11, 3.09075e-25, 3.09075e-25, 6.39055e-09, 3.09075e-25, 3.09075e-25, 2.65424e-11, 3.09075e-25, 1.27171e-06, 3.09075e-25, 3.09075e-25, 3.09075e-25
0.530458, 0, 1.81733e-06, 1.10168e-24, 1.41421, -1.81733e-06, 0, 3.42547e-14, 2.08469e-14, 7.27837e-10, 1.96338e-11, 5.62265e-11, 5.18444e-12, 3.96385e-10, 6.11774e-10, 4.99119e-10, 9.1796e-09, 2.31814e-12, 3.25863e-12, 4.44799e-11, 2.48355e-15, 1.80577e-06, 1.10168e-24, 1.10168e-24, 2.29606e-11
0.538339, 0, 2.56505e-06, 2.83309e-10, 1.41421, -2.56505e-06, 2.83309e-10, 2.83435e-10, 2.83385e-10, 2.95392e-09, 3.5535e-10, 4.89618e-10, 3.02332e-10, 1.66091e-09, 2.52806e-09, 2.1147e-09, 1.33771e-08, 2.91815e-10, 2.95266e-10, 3.57364e-10, 2.83318e-10, 2.54336e-06, 2.83309e-10, 2.83309e-10, 3.67557e-10
0.546221, 0, 3.59696e-06, 1.02961e-09, 1.41421, -3.59696e-06, 1.02961e-09, 1.02997e-09, 1.02983e-09, 8.68983e-09, 1.23625e-09, 1.62137e-09, 1.08417e-09, 4.90889e-09, 7.4683e-09, 6.28266e-09, 1.9579e-08, 1.05401e-09, 1.06391e-09, 1.15204e-09, 1.02964e-09, 3.5539e-06, 1.02961e-09, 1.02961e-09, 1.27126e-09
0.554103, 0, 5.01893e-06, 2.93317e-09, 1.41421, -5.01893e-06, 2.93317e-09, 2.93411e-09, 2.93374e-09, 2.29848e-08, 3.47407e-09, 4.48219e-09, 3.076e-09, 1.29841e-08, 1.97873e-08, 1.66837e-08, 2.90352e-08, 2.99703e-09, 3.02294e-09, 3.13406e-09, 2.93324e-09, 4.9289e-06, 2.93317e-09, 2.93317e-09, 3.56573e-09
0.561984, 0, 6.98419e-06, 7.74462e-09, 1.41421, -6.98419e-06, 7.74462e-09, 7.74698e-09, 7.74606e-09, 5.79261e-08, 9.0983e-09, 1.16212e-08, 8.10207e-09, 3.2693e-08, 4.9924e-08, 4.21569e-08, 4.42322e-08, 7.90445e-09, 7.96929e-09, 8.0717e-09, 7.74479e-09, 6.78809e-06, 7.74462e-09, 7.74462e-09, 9.32766e-09
0.569866, 0, 9.72047e-06, 1.90284e-08, 1.41421, -9.72047e-06, 1.90284e-08, 1.90341e-08, 1.90319e-08, 1.38775e-07, 2.22587e-08, 2.8279e-08, 1.98814e-08, 7.9585e-08, 1.19679e-07, 1.01145e-07, 6.97016e-08, 1.94098e-08, 1.95646e-08, 1.95566e-08, 1.90288e-08, 9.28816e-06, 1.90284e-08, 1.90284e-08, 2.2806e-08
0.577747, 0, 1.3597e-05, 4.52736e-08, 1.41421, -1.3597e-05, 4.52736e-08, 4.52866e-08, 4.52815e-08, 3.22441e-07, 5.27503e-08, 6.66852e-08, 4.72479e-08, 1.87945e-07, 2.78243e-07, 2.35343e-07, 1.15195e-07, 4.61563e-08, 4.65145e-08, 4.61193e-08, 4.52745e-08, 1.26416e-05, 4.52736e-08, 4.52736e-08, 5.40172e-08
0.585629, 0, 1.92609e-05, 1.04499e-07, 1.41421, -1.92609e-05, 1.04499e-07, 1.04528e-07, 1.04517e-07, 7.27346e-07, 1.21301e-07, 1.52615e-07, 1.08935e-07, 4.60532e-07, 6.28024e-07, 5.3162e-07, 2.00369e-07, 1.06483e-07, 1.07287e-07, 1.05842e-07, 1.04501e-07, 1.71404e-05, 1.04499e-07, 1.04499e-07, 1.24147e-07
0.59351, 0, 2.78074e-05, 2.3419e-07, 1.41421, -2.78074e-05, 2.3419e-07, 2.34254e-07, 2.34229e-07, 1.59376e-06, 2.70865e-07, 3.39219e-07, 2.43875e-07, 1.06753e-06, 1.37696e-06, 1.16653e-06, 3.64817e-07, 2.3852e-07, 2.40277e-07, 2.36305e-07, 2.34195e-07, 2.32019e-05, 2.3419e-07, 2.3419e-07, 2.7708e-07
0.601392, 0, 4.1224e-05, 5.09819e-07, 1.41421, -4.1224e-05, 5.09819e-07, 5.09955e-07, 5.09902e-07, 3.39355e-06, 5.8761e-07, 7.32592e-07, 5.3036e-07, 2.38754e-06, 2.9337e-06, 2.48736e-06, 6.86713e-07, 5.19004e-07, 5.2273e-07, 5.13121e-07, 5.09829e-07, 3.14465e-05, 5.09819e-07, 5.09819e-07, 6.00791e-07
0.609273, 0, 6.31069e-05, 1.07846e-06, 1.41421, -6.31069e-05, 1.07846e-06, 1.07874e-06, 1.07863e-06, 7.02375e-06, 1.23884e-06, 1.53774e-06, 1.12081e-06, 5.19391e-06, 6.07569e-06, 5.15548e-06, 1.31659e-06, 1.0974e-06, 1.10508e-06, 1.08357e-06, 1.07848e-06, 4.28331e-05, 1.07846e-06, 1.07846e-06, 1.26601e-06
0.617155, 0, 9.99018e-05, 2.21739e-06, 1.41421, -9.99018e-05, 2.21739e-06, 2.21796e-06, 2.21774e-06, 1.41342e-05, 2.53886e-06, 3.13799e-06, 2.30228e-06, 1.10044e-05, 1.22339e-05, 1.03894e-05, 2.53611e-06, 2.25535e-06, 2.27075e-06, 2.22524e-06, 2.21744e-06, 5.88876e-05, 2.21739e-06, 2.21739e-06, 2.59333e-06
0.625036, 0, 0.000163119, 4.43249e-06, 1.41421, -0.000163119, 4.43249e-06, 4.43358e-06, 4.43315e-06, 2.76619e-05, 5.05912e-06, 6.227e-06, 4.59795e-06, 2.28499e-05, 2.39577e-05, 2.03622e-05, 4.85676e-06, 4.50647e-06, 4.53649e-06, 4.44444e-06, 4.43257e-06, 8.20822e-05, 4.43249e-06, 4.43249e-06, 5.16529e-06
0.632918, 0, 0.000272845, 8.61635e-06, 1.41421, -0.000272845, 8.61635e-06, 8.61842e-06, 8.61761e-06, 5.26633e-05, 9.80454e-06, 1.2019e-05, 8.9301e-06, 4.65307e-05, 4.56394e-05, 3.88218e-05, 9.17829e-06, 8.75663e-06, 8.81355e-06, 8.63441e-06, 8.6165e-06, 0.00011644, 8.61635e-06, 8.61635e-06, 1.00059e-05
0.640799, 0, 0.000463457, 1.6292e-05, 1.41421, -0.000463457, 1.6292e-05, 1.62959e-05, 1.62944e-05, 9.75572e-05, 1.84842e-05, 2.25699e-05, 1.68709e-05, 9.29762e-05, 8.45984e-05, 7.20202e-05, 1.70329e-05, 1.65509e-05, 1.66559e-05, 1.63191e-05, 1.62923e-05, 0.000168463, 1.6292e-05, 1.6292e-05, 1.88557e-05
