   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_173.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.50398, 0, 1.02029e-06, 1.48306e-25, 1.41421, -1.02029e-06, 0, 1.48306e-25, 1.48306e-25, 1.48306e-25, 1.48306e-25, 1.48306e-25, 7.77773e-12, 1.48306e-25, 1.48306e-25, 1.48306e-25, 8.61779e-10, 1.48306e-25, 5.84756e-11, 1.48306e-25, 1.48306e-25, 1.01936e-06, 1.48306e-25, 1.48306e-25, 1.48306e-25
0.511866, 0, 1.43928e-06, 5.30845e-25, 1.41421, -1.43928e-06, 0, 5.30845e-25, 5.30845e-25, 5.30845e-25, 5.30845e-25, 5.30845e-25, 2.1778e-11, 5.30845e-25, 5.30845e-25, 5.30845e-25, 1.2275e-09, 5.30845e-25, 9.63604e-11, 5.30845e-25, 5.30845e-25, 1.43794e-06, 5.30845e-25, 5.30845e-25, 5.30845e-25
0.519753, 0, 2.01688e-06, 1.65961e-10, 1.41421, -2.01688e-06, 1.65961e-10, 1.65966e-10, 1.66007e-10, 7.59102e-10, 1.81633e-10, 2.11326e-10, 3.24803e-10, 2.08923e-10, 1.68183e-10, 9.7824e-10, 1.90307e-09, 1.68052e-10, 3.23856e-10, 1.65961e-10, 1.65962e-10, 2.0133e-06, 1.65961e-10, 1.65961e-10, 1.86572e-10
0.527639, 0, 2.80662e-06, 5.93255e-10, 1.41421, -2.80662e-06, 5.93255e-10, 5.93274e-10, 5.93418e-10, 2.70908e-09, 6.49162e-10, 7.5508e-10, 1.09657e-09, 7.46508e-10, 6.01181e-10, 3.49078e-09, 3.03593e-09, 6.00717e-10, 8.50433e-10, 5.93255e-10, 5.9326e-10, 2.79794e-06, 5.93255e-10, 5.93255e-10, 6.66779e-10
0.535526, 0, 3.88131e-06, 1.65384e-09, 1.41421, -3.88131e-06, 1.65384e-09, 1.65389e-09, 1.6543e-09, 7.54498e-09, 1.80951e-09, 2.10442e-09, 2.99567e-09, 2.08055e-09, 1.67591e-09, 9.72148e-09, 5.06731e-09, 1.67462e-09, 2.06999e-09, 1.65384e-09, 1.65386e-09, 3.8609e-06, 1.65384e-09, 1.65384e-09, 1.85856e-09
0.543412, 0, 5.33851e-06, 4.20493e-09, 1.41421, -5.33851e-06, 4.20493e-09, 4.20507e-09, 4.20609e-09, 1.91762e-08, 4.60052e-09, 5.34999e-09, 7.53009e-09, 5.28933e-09, 4.26102e-09, 2.47074e-08, 8.94589e-09, 4.25773e-09, 4.87365e-09, 4.20493e-09, 4.20497e-09, 5.29105e-06, 4.20493e-09, 4.20493e-09, 4.72518e-09
0.551299, 0, 7.31331e-06, 1.0168e-08, 1.41421, -7.31331e-06, 1.0168e-08, 1.01683e-08, 1.01708e-08, 4.6361e-08, 1.11244e-08, 1.29362e-08, 1.80547e-08, 1.27896e-08, 1.03036e-08, 5.97327e-08, 1.67132e-08, 1.02957e-08, 1.12349e-08, 1.0168e-08, 1.01681e-08, 7.20418e-06, 1.0168e-08, 1.0168e-08, 1.14257e-08
0.559185, 0, 9.99928e-06, 2.37225e-08, 1.41421, -9.99928e-06, 2.37225e-08, 2.37233e-08, 2.37291e-08, 1.08149e-07, 2.59534e-08, 3.01798e-08, 4.20484e-08, 2.98377e-08, 2.40388e-08, 1.39341e-07, 3.2705e-08, 2.40203e-08, 2.54119e-08, 2.37225e-08, 2.37227e-08, 9.75187e-06, 2.37225e-08, 2.37225e-08, 2.66563e-08
0.567072, 0, 1.36879e-05, 5.36966e-08, 1.41421, -1.36879e-05, 5.36966e-08, 5.36983e-08, 5.37113e-08, 2.44776e-07, 5.87455e-08, 6.83109e-08, 9.70504e-08, 6.75368e-08, 5.44124e-08, 3.1537e-07, 6.59519e-08, 5.43704e-08, 5.63513e-08, 5.36966e-08, 5.3697e-08, 1.31354e-05, 5.36966e-08, 5.36966e-08, 6.03365e-08
0.574958, 0, 1.88549e-05, 1.18198e-07, 1.41421, -1.88549e-05, 1.18198e-07, 1.18201e-07, 1.1823e-07, 5.38757e-07, 1.2931e-07, 1.50364e-07, 2.36215e-07, 1.4866e-07, 1.19773e-07, 6.94135e-07, 1.34822e-07, 1.19681e-07, 1.22337e-07, 1.18198e-07, 1.18199e-07, 1.76281e-05, 1.18198e-07, 1.18198e-07, 1.32812e-07
0.582845, 0, 2.62587e-05, 2.53289e-07, 1.41421, -2.62587e-05, 2.53289e-07, 2.53297e-07, 2.53359e-07, 1.15442e-06, 2.771e-07, 3.22211e-07, 5.38167e-07, 3.1856e-07, 2.56665e-07, 1.48734e-06, 2.7571e-07, 2.56467e-07, 2.59693e-07, 2.53289e-07, 2.53291e-07, 2.36139e-05, 2.53289e-07, 2.53289e-07, 2.84603e-07
0.590732, 0, 3.72065e-05, 5.28706e-07, 1.41421, -3.72065e-05, 5.28706e-07, 5.28723e-07, 5.28852e-07, 2.40948e-06, 5.78403e-07, 6.72554e-07, 1.1789e-06, 6.64934e-07, 5.35752e-07, 3.10434e-06, 5.58776e-07, 5.35339e-07, 5.3854e-07, 5.28706e-07, 5.28711e-07, 3.1651e-05, 5.28706e-07, 5.28706e-07, 5.94063e-07
0.598618, 0, 5.39635e-05, 1.07537e-06, 1.41421, -5.39635e-05, 1.07537e-06, 1.0754e-06, 1.07566e-06, 4.90034e-06, 1.17643e-06, 1.36791e-06, 2.50741e-06, 1.35242e-06, 1.08969e-06, 6.31349e-06, 1.11547e-06, 1.08885e-06, 1.09034e-06, 1.07537e-06, 1.07537e-06, 4.25815e-05, 1.07537e-06, 1.07537e-06, 1.20828e-06
0.606505, 0, 8.0485e-05, 2.13187e-06, 1.41421, -8.0485e-05, 2.13187e-06, 2.13194e-06, 2.13246e-06, 9.71388e-06, 2.33221e-06, 2.71177e-06, 5.21094e-06, 2.68105e-06, 2.16027e-06, 1.25151e-05, 2.18508e-06, 2.15861e-06, 2.15451e-06, 2.13187e-06, 2.13189e-06, 5.77161e-05, 2.13187e-06, 2.13187e-06, 2.39534e-06
0.614391, 0, 0.000123601, 4.12025e-06, 1.41421, -0.000123601, 4.12025e-06, 4.12038e-06, 4.12138e-06, 1.87722e-05, 4.5074e-06, 5.24088e-06, 1.05806e-05, 5.18152e-06, 4.17513e-06, 2.41855e-05, 4.19047e-06, 4.17192e-06, 4.15421e-06, 4.12025e-06, 4.12028e-06, 7.91331e-05, 4.12025e-06, 4.12025e-06, 4.6294e-06
0.622278, 0, 0.000195037, 7.76502e-06, 1.41421, -0.000195037, 7.76502e-06, 7.76526e-06, 7.76715e-06, 3.53751e-05, 8.49457e-06, 9.87673e-06, 2.10755e-05, 9.76487e-06, 7.86845e-06, 4.55757e-05, 7.85724e-06, 7.86239e-06, 7.81559e-06, 7.76502e-06, 7.76508e-06, 0.000110159, 7.76502e-06, 7.76502e-06, 8.72446e-06
0.630164, 0, 0.000314498, 1.42729e-05, 1.41421, -0.000314498, 1.42729e-05, 1.42734e-05, 1.42768e-05, 6.50177e-05, 1.56138e-05, 1.8154e-05, 4.11971e-05, 1.79484e-05, 1.4463e-05, 8.37655e-05, 1.43935e-05, 1.44519e-05, 1.43477e-05, 1.42729e-05, 1.4273e-05, 0.000156107, 1.42729e-05, 1.42729e-05, 1.60363e-05
