   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_86.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.488193, 0, 4.58258e-07, 1.20098e-25, 1.41421, -4.58258e-07, 0, 1.20098e-25, 1.20098e-25, 1.20098e-25, 1.20098e-25, 1.20098e-25, 1.20098e-25, 1.20098e-25, 1.20098e-25, 9.6166e-12, 1.20098e-25, 1.20098e-25, 3.8648e-09, 1.20098e-25, 8.97131e-11, 1.20098e-25, 6.13131e-10, 1.20098e-25, 4.53681e-07, 1.20098e-25, 1.20098e-25, 1.20098e-25
0.496087, 0, 6.36584e-07, 4.26829e-25, 1.41421, -6.36584e-07, 0, 4.26829e-25, 4.26829e-25, 4.26829e-25, 4.26829e-25, 4.26829e-25, 4.26829e-25, 4.26829e-25, 4.26829e-25, 2.60343e-11, 4.26829e-25, 4.26829e-25, 5.41945e-09, 4.26829e-25, 1.44525e-10, 4.26829e-25, 9.8405e-10, 4.26829e-25, 6.3001e-07, 4.26829e-25, 4.26829e-25, 4.26829e-25
0.50398, 0, 8.81616e-07, 5.15963e-10, 1.41421, -8.81616e-07, 5.15963e-10, 5.15998e-10, 5.16058e-10, 5.16035e-10, 6.76797e-10, 5.16862e-10, 5.16946e-10, 5.21511e-10, 5.16031e-10, 7.10476e-10, 5.81496e-10, 2.8615e-09, 8.07148e-09, 5.16976e-10, 7.47731e-10, 5.16039e-10, 2.08779e-09, 5.15964e-10, 8.69455e-07, 5.15963e-10, 5.15963e-10, 5.41968e-10
0.511874, 0, 1.21512e-06, 1.77457e-09, 1.41421, -1.21512e-06, 1.77457e-09, 1.77469e-09, 1.7749e-09, 1.77482e-09, 2.33075e-09, 1.77768e-09, 1.77797e-09, 1.79376e-09, 1.77481e-09, 2.376e-09, 2.00119e-09, 9.88559e-09, 1.22483e-08, 1.77808e-09, 2.14443e-09, 1.77626e-09, 4.27163e-09, 1.77458e-09, 1.19216e-06, 1.77457e-09, 1.77457e-09, 1.8645e-09
0.519768, 0, 1.66976e-06, 4.76521e-09, 1.41421, -1.66976e-06, 4.76521e-09, 4.76554e-09, 4.7661e-09, 4.76588e-09, 6.2635e-09, 4.77359e-09, 4.77436e-09, 4.81689e-09, 4.76585e-09, 6.32152e-09, 5.3757e-09, 2.66157e-08, 1.92035e-08, 4.77465e-09, 5.3522e-09, 4.77104e-09, 8.70809e-09, 4.76522e-09, 1.62495e-06, 4.76521e-09, 4.76521e-09, 5.00747e-09
0.527662, 0, 2.29313e-06, 1.16887e-08, 1.41421, -2.29313e-06, 1.16887e-08, 1.16895e-08, 1.16909e-08, 1.16904e-08, 1.53717e-08, 1.17093e-08, 1.17112e-08, 1.18158e-08, 1.16903e-08, 1.54284e-08, 1.31894e-08, 6.53997e-08, 3.14836e-08, 1.17119e-08, 1.26149e-08, 1.17049e-08, 1.78732e-08, 1.16888e-08, 2.20278e-06, 1.16887e-08, 1.16887e-08, 1.22842e-08
0.535555, 0, 3.15876e-06, 2.73143e-08, 1.41421, -3.15876e-06, 2.73143e-08, 2.73162e-08, 2.73194e-08, 2.73182e-08, 3.59341e-08, 2.73625e-08, 2.7367e-08, 2.76117e-08, 2.7318e-08, 3.59204e-08, 3.08265e-08, 1.53022e-07, 5.4307e-08, 2.73686e-08, 2.87666e-08, 2.73549e-08, 3.69453e-08, 2.73144e-08, 2.97233e-06, 2.73143e-08, 2.73143e-08, 2.87081e-08
0.543449, 0, 4.38664e-06, 6.17194e-08, 1.41421, -4.38664e-06, 6.17194e-08, 6.17237e-08, 6.1731e-08, 6.17282e-08, 8.12188e-08, 6.18285e-08, 6.18386e-08, 6.23921e-08, 6.17277e-08, 8.11911e-08, 6.96646e-08, 3.4609e-07, 9.83319e-08, 6.18423e-08, 6.3982e-08, 6.18161e-08, 7.66202e-08, 6.17196e-08, 3.99727e-06, 6.17194e-08, 6.17194e-08, 6.48723e-08
0.551343, 0, 6.18365e-06, 1.35629e-07, 1.41421, -6.18365e-06, 1.35629e-07, 1.35638e-07, 1.35655e-07, 1.35648e-07, 1.78518e-07, 1.35869e-07, 1.35891e-07, 1.37109e-07, 1.35647e-07, 1.80957e-07, 1.53104e-07, 7.61101e-07, 1.85029e-07, 1.35899e-07, 1.3913e-07, 1.3585e-07, 1.58485e-07, 1.35629e-07, 5.36725e-06, 1.35629e-07, 1.35629e-07, 1.42564e-07
0.559236, 0, 8.93726e-06, 2.90549e-07, 1.41421, -8.93726e-06, 2.90549e-07, 2.90569e-07, 2.90603e-07, 2.9059e-07, 3.82499e-07, 2.91063e-07, 2.91111e-07, 2.93721e-07, 2.90588e-07, 4.1715e-07, 3.28015e-07, 1.63152e-06, 3.56856e-07, 2.91128e-07, 2.9593e-07, 2.91039e-07, 3.25319e-07, 2.9055e-07, 7.21347e-06, 2.90549e-07, 2.90549e-07, 3.05416e-07
