   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_44.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.440511, 0, 8.70949e-08, 2.61546e-29, 1.41421, -8.70949e-08, 0, 2.61546e-29, 2.61546e-29, 2.61546e-29, 2.61546e-29, 2.61546e-29, 2.61546e-29, 2.61546e-29, 2.61546e-29, 2.61546e-29, 2.61546e-29, 1.75528e-10, 2.61546e-29, 2.61546e-29, 7.8461e-13, 2.61546e-29, 2.61546e-29, 8.69185e-08, 2.61546e-29, 2.61546e-29, 2.61546e-29
0.448416, 0, 1.25997e-07, 1.20726e-28, 1.41421, -1.25997e-07, 0, 1.20726e-28, 1.20726e-28, 1.20726e-28, 1.20726e-28, 1.20726e-28, 1.20726e-28, 1.20726e-28, 1.20726e-28, 1.20726e-28, 1.20726e-28, 2.55007e-10, 1.20726e-28, 1.20726e-28, 1.28286e-12, 1.20726e-28, 1.20726e-28, 1.2574e-07, 1.20726e-28, 1.20726e-28, 1.20726e-28
0.45632, 0, 1.80936e-07, 5.34588e-28, 1.41421, -1.80936e-07, 0, 5.34588e-28, 5.34588e-28, 5.34588e-28, 5.34588e-28, 5.34588e-28, 5.34588e-28, 5.34588e-28, 5.34588e-28, 5.34588e-28, 5.34588e-28, 3.67999e-10, 5.34588e-28, 5.34588e-28, 2.09448e-12, 5.34588e-28, 5.34588e-28, 1.80566e-07, 5.34588e-28, 5.34588e-28, 5.34588e-28
0.464225, 0, 2.57941e-07, 2.25913e-27, 1.41421, -2.57941e-07, 0, 2.25913e-27, 2.25913e-27, 2.25913e-27, 2.25913e-27, 2.25913e-27, 2.25913e-27, 2.25913e-27, 2.25913e-27, 2.25913e-27, 2.25913e-27, 5.27584e-10, 2.25913e-27, 2.25913e-27, 3.41306e-12, 2.25913e-27, 2.25913e-27, 2.5741e-07, 2.25913e-27, 2.25913e-27, 2.25913e-27
0.472129, 0, 3.65076e-07, 9.11153e-27, 1.41421, -3.65076e-07, 0, 9.11153e-27, 9.11153e-27, 9.11153e-27, 9.11153e-27, 9.11153e-27, 9.11153e-27, 9.11153e-27, 9.11153e-27, 9.11153e-27, 9.11153e-27, 7.51539e-10, 9.11153e-27, 9.11153e-27, 5.54823e-12, 9.11153e-27, 9.11153e-27, 3.64319e-07, 9.11153e-27, 9.11153e-27, 9.11153e-27
0.480033, 0, 5.1304e-07, 3.51049e-26, 1.41421, -5.1304e-07, 0, 3.51049e-26, 3.51049e-26, 3.51049e-26, 3.51049e-26, 3.51049e-26, 3.51049e-26, 2.97949e-12, 3.51049e-26, 3.51049e-26, 3.51049e-26, 1.06388e-09, 3.51049e-26, 3.51049e-26, 8.99232e-12, 3.51049e-26, 3.51049e-26, 5.11964e-07, 3.51049e-26, 3.51049e-26, 3.51049e-26
0.487938, 0, 7.15908e-07, 1.29411e-25, 1.41421, -7.15908e-07, 0, 1.29411e-25, 1.29411e-25, 1.29411e-25, 1.29411e-25, 1.29411e-25, 1.29411e-25, 1.0327e-11, 1.29411e-25, 1.29411e-25, 1.29411e-25, 1.49683e-09, 1.29411e-25, 1.29411e-25, 1.45229e-11, 1.29411e-25, 1.29411e-25, 7.14387e-07, 1.29411e-25, 1.29411e-25, 1.29411e-25
0.495842, 0, 9.92065e-07, 4.60127e-25, 1.41421, -9.92065e-07, 0, 4.60127e-25, 4.60127e-25, 4.60127e-25, 4.60127e-25, 4.60127e-25, 4.60127e-25, 2.78496e-11, 4.60127e-25, 4.60127e-25, 4.60127e-25, 2.09343e-09, 4.60127e-25, 4.60127e-25, 2.33592e-11, 4.60127e-25, 4.60127e-25, 9.8992e-07, 4.60127e-25, 4.60127e-25, 4.60127e-25
0.503747, 0, 1.36779e-06, 1.80037e-10, 1.41421, -1.36779e-06, 1.80037e-10, 1.80046e-10, 1.80047e-10, 7.59291e-10, 1.97012e-10, 1.82515e-10, 2.0275e-10, 3.88982e-10, 8.79073e-10, 1.85812e-10, 7.91251e-10, 3.09085e-09, 1.82007e-10, 1.82634e-10, 2.17437e-10, 1.80037e-10, 1.80039e-10, 1.36267e-06, 1.80037e-10, 1.80037e-10, 2.01378e-10
0.511651, 0, 1.87481e-06, 6.27636e-10, 1.41421, -1.87481e-06, 6.27636e-10, 6.27667e-10, 6.2767e-10, 2.62395e-09, 6.86137e-10, 6.36174e-10, 7.0591e-10, 1.27195e-09, 3.03676e-09, 6.47538e-10, 2.7341e-09, 4.65189e-09, 6.34425e-10, 6.36585e-10, 6.87219e-10, 6.27636e-10, 6.27643e-10, 1.86331e-06, 6.27636e-10, 6.27636e-10, 7.01183e-10
0.519556, 0, 2.55731e-06, 1.69648e-09, 1.41421, -2.55731e-06, 1.69648e-09, 1.69656e-09, 1.69657e-09, 7.05266e-09, 1.85344e-09, 1.71939e-09, 1.90649e-09, 3.35751e-09, 8.16024e-09, 1.74988e-09, 7.34818e-09, 7.229e-09, 1.7147e-09, 1.72049e-09, 1.79088e-09, 1.69648e-09, 1.6965e-09, 2.53187e-06, 1.69648e-09, 1.69648e-09, 1.89381e-09
0.52746, 0, 3.4754e-06, 4.1712e-09, 1.41421, -3.4754e-06, 4.1712e-09, 4.1714e-09, 4.17142e-09, 1.72782e-08, 4.55529e-09, 4.22726e-09, 4.68512e-09, 8.14546e-09, 1.99886e-08, 4.30187e-09, 1.80014e-08, 1.17355e-08, 4.21577e-09, 4.22996e-09, 4.31989e-09, 4.1712e-09, 4.17125e-09, 3.41929e-06, 4.1712e-09, 4.1712e-09, 4.65409e-09
