   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_129.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.385728, 0, 2.26098e-10, 9.10104e-40, 1.41421, -2.26098e-10, 0, 9.10104e-40, 9.10104e-40, 9.10104e-40, 9.10104e-40, 9.10104e-40, 9.10104e-40, 9.10104e-40, 9.10104e-40, 9.10104e-40, 9.10104e-40, 1.62014e-12, 9.10104e-40, 9.10104e-40, 3.1565e-15, 9.10104e-40, 2.37141e-15, 9.10104e-40, 2.24472e-10, 9.10104e-40, 9.10104e-40, 9.10104e-40
0.393616, 0, 3.96675e-10, 1.08629e-38, 1.41421, -3.96675e-10, 0, 1.08629e-38, 1.08629e-38, 1.08629e-38, 1.08629e-38, 1.08629e-38, 1.08629e-38, 1.08629e-38, 1.08629e-38, 1.08629e-38, 1.08629e-38, 2.84306e-12, 1.08629e-38, 1.08629e-38, 5.77496e-15, 1.08629e-38, 4.31327e-15, 1.08629e-38, 3.93822e-10, 1.08629e-38, 1.08629e-38, 1.08629e-38
0.401505, 0, 6.88161e-10, 1.17093e-37, 1.41421, -6.88161e-10, 0, 1.17093e-37, 1.17093e-37, 1.17093e-37, 1.17093e-37, 1.17093e-37, 1.17093e-37, 1.17093e-37, 1.17093e-37, 1.17093e-37, 1.17093e-37, 4.93368e-12, 1.17093e-37, 1.17093e-37, 1.04979e-14, 1.17093e-37, 7.78239e-15, 1.17093e-37, 6.83209e-10, 1.17093e-37, 1.17093e-37, 1.17093e-37
0.409393, 0, 1.18076e-09, 3.58769e-36, 1.41421, -1.18076e-09, 0, 3.58769e-36, 3.58769e-36, 3.58769e-36, 3.58769e-36, 3.58769e-36, 3.58769e-36, 3.58769e-36, 3.58769e-36, 3.58769e-36, 3.58769e-36, 8.46885e-12, 3.58769e-36, 3.58769e-36, 1.90126e-14, 3.58769e-36, 1.39591e-14, 3.58769e-36, 1.17226e-09, 3.58769e-36, 3.58769e-36, 3.58769e-36
0.417281, 0, 2.00332e-09, 2.95328e-35, 1.41421, -2.00332e-09, 0, 2.95328e-35, 2.95328e-35, 2.95328e-35, 2.95328e-35, 2.95328e-35, 2.95328e-35, 2.95328e-35, 2.95328e-35, 2.95328e-35, 2.95328e-35, 1.43762e-11, 2.95328e-35, 2.95328e-35, 3.42071e-14, 2.95328e-35, 2.48382e-14, 2.95328e-35, 1.98888e-09, 2.95328e-35, 2.95328e-35, 2.95328e-35
0.42517, 0, 3.36176e-09, 2.23948e-34, 1.41421, -3.36176e-09, 0, 2.23948e-34, 2.23948e-34, 2.23948e-34, 2.23948e-34, 2.23948e-34, 2.23948e-34, 2.23948e-34, 2.23948e-34, 2.23948e-34, 2.23948e-34, 2.41415e-11, 2.23948e-34, 2.23948e-34, 6.13075e-14, 2.23948e-34, 4.39424e-14, 2.23948e-34, 3.33751e-09, 2.23948e-34, 2.23948e-34, 2.23948e-34
0.433058, 0, 5.58029e-09, 1.58602e-33, 1.41421, -5.58029e-09, 0, 1.58602e-33, 1.58602e-33, 1.58602e-33, 1.58602e-33, 1.58602e-33, 1.58602e-33, 1.58602e-33, 1.58602e-33, 1.58602e-33, 1.58602e-33, 4.01091e-11, 1.58602e-33, 1.58602e-33, 1.09548e-13, 1.58602e-33, 7.73683e-14, 1.58602e-33, 5.53999e-09, 1.58602e-33, 1.58602e-33, 1.58602e-33
0.440947, 0, 9.16338e-09, 8.96512e-33, 1.41421, -9.16338e-09, 0, 8.96512e-33, 8.96512e-33, 8.96512e-33, 8.96512e-33, 8.96512e-33, 8.96512e-33, 8.96512e-33, 8.96512e-33, 8.96512e-33, 8.96512e-33, 6.59384e-11, 8.96512e-33, 8.96512e-33, 1.95302e-13, 8.96512e-33, 1.35705e-13, 8.96512e-33, 9.09711e-09, 8.96512e-33, 8.96512e-33, 8.96512e-33
0.448835, 0, 1.4887e-08, 5.25371e-32, 1.41421, -1.4887e-08, 0, 5.25371e-32, 5.25371e-32, 5.25371e-32, 5.25371e-32, 5.25371e-32, 5.25371e-32, 5.25371e-32, 5.25371e-32, 5.25371e-32, 5.25371e-32, 1.07279e-10, 5.25371e-32, 5.25371e-32, 3.47608e-13, 5.25371e-32, 2.37375e-13, 5.25371e-32, 1.47791e-08, 5.25371e-32, 5.25371e-32, 5.25371e-32
0.456723, 0, 2.39305e-08, 2.75174e-31, 1.41421, -2.39305e-08, 0, 2.75174e-31, 2.75174e-31, 2.75174e-31, 2.75174e-31, 2.75174e-31, 2.75174e-31, 2.75174e-31, 2.75174e-31, 2.75174e-31, 2.75174e-31, 1.72761e-10, 2.75174e-31, 2.75174e-31, 6.17922e-13, 2.75174e-31, 4.14504e-13, 2.75174e-31, 2.37567e-08, 2.75174e-31, 2.75174e-31, 2.75174e-31
0.464612, 0, 3.80658e-08, 1.43156e-30, 1.41421, -3.80658e-08, 0, 1.43156e-30, 1.43156e-30, 1.43156e-30, 1.43156e-30, 1.43156e-30, 1.43156e-30, 1.43156e-30, 1.43156e-30, 1.43156e-30, 1.43156e-30, 2.75424e-10, 1.43156e-30, 1.43156e-30, 1.09729e-12, 1.43156e-30, 7.23248e-13, 1.43156e-30, 3.77886e-08, 1.43156e-30, 1.43156e-30, 1.43156e-30
0.4725, 0, 5.99245e-08, 7.19066e-30, 1.41421, -5.99245e-08, 0, 7.19066e-30, 7.19066e-30, 7.19066e-30, 7.19066e-30, 7.19066e-30, 7.19066e-30, 7.19066e-30, 7.19066e-30, 7.19066e-30, 7.19066e-30, 4.34774e-10, 7.19066e-30, 7.19066e-30, 1.94642e-12, 7.19066e-30, 1.26197e-12, 7.19066e-30, 5.94866e-08, 7.19066e-30, 7.19066e-30, 7.19066e-30
0.480389, 0, 9.33706e-08, 3.44355e-29, 1.41421, -9.33706e-08, 0, 3.44355e-29, 3.44355e-29, 3.44355e-29, 3.44355e-29, 3.44355e-29, 3.44355e-29, 3.44355e-29, 3.44355e-29, 3.44355e-29, 3.44355e-29, 6.79705e-10, 3.44355e-29, 3.44355e-29, 3.44782e-12, 3.44355e-29, 2.20321e-12, 3.44355e-29, 9.26852e-08, 3.44355e-29, 3.44355e-29, 3.44355e-29
0.488277, 0, 1.44013e-07, 1.60144e-28, 1.41421, -1.44013e-07, 0, 1.60144e-28, 1.60144e-28, 1.60144e-28, 1.60144e-28, 1.60144e-28, 1.60144e-28, 1.60144e-28, 1.60144e-28, 1.60144e-28, 1.60144e-28, 1.05259e-09, 1.60144e-28, 1.60144e-28, 6.09579e-12, 1.60144e-28, 3.84957e-12, 1.60144e-28, 1.4295e-07, 1.60144e-28, 1.60144e-28, 1.60144e-28
0.496165, 0, 2.19902e-07, 7.18963e-28, 1.41421, -2.19902e-07, 0, 7.18963e-28, 7.18963e-28, 7.18963e-28, 7.18963e-28, 7.18963e-28, 7.18963e-28, 7.18963e-28, 7.18963e-28, 7.18963e-28, 7.18963e-28, 1.61503e-09, 7.18963e-28, 7.18963e-28, 1.07497e-11, 7.18963e-28, 6.73107e-12, 7.18963e-28, 2.1827e-07, 7.18963e-28, 7.18963e-28, 7.18963e-28
0.504054, 0, 3.32472e-07, 3.09399e-27, 1.41421, -3.32472e-07, 0, 3.09399e-27, 3.09399e-27, 3.09399e-27, 3.09399e-27, 3.09399e-27, 3.09399e-27, 3.09399e-27, 3.09399e-27, 3.09399e-27, 3.09399e-27, 2.45574e-09, 3.09399e-27, 3.09399e-27, 1.88932e-11, 3.09399e-27, 1.1773e-11, 3.09399e-27, 3.29986e-07, 3.09399e-27, 3.09399e-27, 3.09399e-27
0.511942, 0, 4.97773e-07, 1.27463e-26, 1.41421, -4.97773e-07, 0, 1.27463e-26, 1.27463e-26, 1.27463e-26, 1.27463e-26, 1.27463e-26, 1.27463e-26, 1.27463e-26, 1.27463e-26, 1.27463e-26, 1.27463e-26, 3.70141e-09, 1.27463e-26, 1.27463e-26, 3.30659e-11, 1.27463e-26, 2.05823e-11, 1.27463e-26, 4.94018e-07, 1.27463e-26, 1.27463e-26, 1.27463e-26
0.519831, 0, 7.38111e-07, 5.02691e-26, 1.41421, -7.38111e-07, 0, 5.02691e-26, 5.02691e-26, 5.02691e-26, 5.02691e-26, 5.02691e-26, 5.02691e-26, 5.02691e-26, 3.86257e-12, 5.02691e-26, 5.02691e-26, 5.53142e-09, 5.02691e-26, 5.02691e-26, 5.7577e-11, 5.02691e-26, 3.59315e-11, 5.02691e-26, 7.32482e-07, 5.02691e-26, 5.02691e-26, 5.02691e-26
0.527719, 0, 1.08414e-06, 1.89998e-25, 1.41421, -1.08414e-06, 0, 1.89998e-25, 1.89998e-25, 1.89998e-25, 1.89998e-25, 1.89998e-25, 1.89998e-25, 1.89998e-25, 1.48186e-11, 1.89998e-25, 1.89998e-25, 8.19776e-09, 1.89998e-25, 1.89998e-25, 9.96668e-11, 1.89998e-25, 6.25625e-11, 1.89998e-25, 1.07577e-06, 1.89998e-25, 1.89998e-25, 1.89998e-25
0.535607, 0, 1.57756e-06, 6.9247e-25, 1.41421, -1.57756e-06, 0, 6.9247e-25, 6.9247e-25, 6.9247e-25, 6.9247e-25, 6.9247e-25, 6.9247e-25, 6.9247e-25, 4.45195e-11, 6.9247e-25, 6.9247e-25, 1.20514e-08, 6.9247e-25, 6.9247e-25, 1.71376e-10, 6.9247e-25, 1.08505e-10, 6.9247e-25, 1.56519e-06, 6.9247e-25, 6.9247e-25, 6.9247e-25
0.543496, 0, 2.27659e-06, 3.16491e-10, 1.41421, -2.27659e-06, 3.16491e-10, 3.16542e-10, 3.16582e-10, 3.16499e-10, 1.17358e-09, 3.43158e-10, 3.17051e-10, 3.99471e-10, 6.27964e-10, 3.64763e-10, 5.37293e-10, 1.78945e-08, 3.17478e-10, 3.19787e-10, 6.09013e-10, 3.16491e-10, 5.03695e-10, 3.16492e-10, 2.25696e-06, 3.16491e-10, 3.16491e-10, 3.38646e-10
0.551384, 0, 3.25768e-06, 1.19618e-09, 1.41421, -3.25768e-06, 1.19618e-09, 1.19637e-09, 1.19652e-09, 1.19621e-09, 4.45814e-09, 1.29767e-09, 1.19831e-09, 1.51199e-09, 2.23452e-09, 1.3799e-09, 2.03652e-09, 2.66391e-08, 1.19993e-09, 1.20872e-09, 1.69162e-09, 1.19618e-09, 1.51707e-09, 1.19618e-09, 3.22557e-06, 1.19618e-09, 1.19618e-09, 1.2805e-09
0.559273, 0, 4.62635e-06, 3.55345e-09, 1.41421, -4.62635e-06, 3.55345e-09, 3.55403e-09, 3.55448e-09, 3.55354e-09, 1.3279e-08, 3.85605e-09, 3.55981e-09, 4.49505e-09, 6.49617e-09, 4.10121e-09, 6.05894e-09, 4.0105e-08, 3.56465e-09, 3.59085e-09, 4.38557e-09, 3.55345e-09, 4.09928e-09, 3.55347e-09, 4.57115e-06, 3.55345e-09, 3.55345e-09, 3.80485e-09
0.567161, 0, 6.52715e-06, 9.65025e-09, 1.41421, -6.52715e-06, 9.65025e-09, 9.65182e-09, 9.65305e-09, 9.6505e-09, 3.61184e-08, 1.04738e-08, 9.66755e-09, 1.22128e-08, 1.74141e-08, 1.1141e-08, 1.64689e-08, 6.17761e-08, 9.68072e-09, 9.75203e-09, 1.10357e-08, 9.65025e-09, 1.05706e-08, 9.65029e-09, 6.42596e-06, 9.65025e-09, 9.65025e-09, 1.03344e-08
0.575049, 0, 9.16503e-06, 2.4888e-08, 1.41421, -9.16503e-06, 2.4888e-08, 2.4892e-08, 2.48952e-08, 2.48886e-08, 9.32477e-08, 2.70149e-08, 2.49326e-08, 3.15063e-08, 4.44593e-08, 2.87381e-08, 4.24987e-08, 9.86895e-08, 2.49666e-08, 2.51508e-08, 2.71739e-08, 2.4888e-08, 2.64248e-08, 2.48881e-08, 8.9671e-06, 2.4888e-08, 2.4888e-08, 2.6655e-08
0.582938, 0, 1.28426e-05, 6.172e-08, 1.41421, -1.28426e-05, 6.172e-08, 6.17301e-08, 6.17379e-08, 6.17216e-08, 2.31424e-07, 6.70001e-08, 6.18309e-08, 7.81502e-08, 1.09734e-07, 7.12779e-08, 1.05439e-07, 1.6547e-07, 6.19153e-08, 6.23725e-08, 6.54574e-08, 6.172e-08, 6.42632e-08, 6.17202e-08, 1.24345e-05, 6.172e-08, 6.172e-08, 6.61067e-08
0.590826, 0, 1.80336e-05, 1.47845e-07, 1.41421, -1.80336e-05, 1.47845e-07, 1.4787e-07, 1.47889e-07, 1.47849e-07, 5.54722e-07, 1.60505e-07, 1.48112e-07, 1.87238e-07, 2.65687e-07, 1.70761e-07, 2.52664e-07, 2.92678e-07, 1.48314e-07, 1.4941e-07, 1.539e-07, 1.47845e-07, 1.52005e-07, 1.47846e-07, 1.71611e-05, 1.47845e-07, 1.47845e-07, 1.58363e-07
