   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_26.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.399384, 0, 1.88289e-08, 1.19826e-31, 1.41421, -1.88289e-08, 0, 1.19826e-31, 1.19826e-31, 1.19826e-31, 1.19826e-31, 1.19826e-31, 1.19826e-31, 1.19826e-31, 1.19826e-31, 1.19826e-31, 2.69133e-10, 1.19826e-31, 1.40067e-12, 1.19826e-31, 1.19826e-31, 1.85583e-08, 1.19826e-31, 1.19826e-31, 1.19826e-31
0.407298, 0, 2.72822e-08, 6.76333e-31, 1.41421, -2.72822e-08, 0, 6.76333e-31, 6.76333e-31, 6.76333e-31, 6.76333e-31, 6.76333e-31, 6.76333e-31, 6.76333e-31, 6.76333e-31, 6.76333e-31, 3.91052e-10, 6.76333e-31, 2.24132e-12, 6.76333e-31, 6.76333e-31, 2.68889e-08, 6.76333e-31, 6.76333e-31, 6.76333e-31
0.415213, 0, 3.92628e-08, 3.58763e-30, 1.41421, -3.92628e-08, 0, 3.58763e-30, 3.58763e-30, 3.58763e-30, 3.58763e-30, 3.58763e-30, 3.58763e-30, 3.58763e-30, 3.58763e-30, 3.58763e-30, 5.6461e-10, 3.58763e-30, 3.58512e-12, 3.58763e-30, 3.58763e-30, 3.86946e-08, 3.58763e-30, 3.58763e-30, 3.58763e-30
0.423127, 0, 5.61243e-08, 1.78839e-29, 1.41421, -5.61243e-08, 0, 1.78839e-29, 1.78839e-29, 1.78839e-29, 1.78839e-29, 1.78839e-29, 1.78839e-29, 1.78839e-29, 1.78839e-29, 1.78839e-29, 8.10134e-10, 1.78839e-29, 5.73152e-12, 1.78839e-29, 1.78839e-29, 5.53084e-08, 1.78839e-29, 1.78839e-29, 1.78839e-29
0.431042, 0, 7.96926e-08, 8.44544e-29, 1.41421, -7.96926e-08, 0, 8.44544e-29, 8.44544e-29, 8.44544e-29, 8.44544e-29, 8.44544e-29, 8.44544e-29, 8.44544e-29, 8.44544e-29, 8.44544e-29, 1.15535e-09, 8.44544e-29, 9.15583e-12, 8.44544e-29, 8.44544e-29, 7.85281e-08, 8.44544e-29, 8.44544e-29, 8.44544e-29
0.438956, 0, 1.12411e-07, 3.78668e-28, 1.41421, -1.12411e-07, 0, 3.78668e-28, 3.78668e-28, 3.78668e-28, 3.78668e-28, 3.78668e-28, 3.78668e-28, 3.78668e-28, 3.78668e-28, 3.78668e-28, 1.63784e-09, 3.78668e-28, 1.46097e-11, 3.78668e-28, 3.78668e-28, 1.10759e-07, 3.78668e-28, 3.78668e-28, 3.78668e-28
0.446871, 0, 1.57526e-07, 1.61234e-27, 1.41421, -1.57526e-07, 0, 1.61234e-27, 1.61234e-27, 1.61234e-27, 1.61234e-27, 1.61234e-27, 1.61234e-27, 1.61234e-27, 1.61234e-27, 1.61234e-27, 2.30826e-09, 1.61234e-27, 2.32769e-11, 1.61234e-27, 1.61234e-27, 1.55194e-07, 1.61234e-27, 1.61234e-27, 1.61234e-27
0.454785, 0, 2.1932e-07, 6.53126e-27, 1.41421, -2.1932e-07, 0, 6.53126e-27, 6.53126e-27, 6.53126e-27, 6.53126e-27, 6.53126e-27, 6.53126e-27, 6.53126e-27, 6.53126e-27, 6.53126e-27, 3.23453e-09, 6.53126e-27, 3.7013e-11, 6.53126e-27, 6.53126e-27, 2.16048e-07, 6.53126e-27, 6.53126e-27, 6.53126e-27
0.4627, 0, 3.03402e-07, 2.52243e-26, 1.41421, -3.03402e-07, 0, 2.52243e-26, 2.52243e-26, 2.52243e-26, 2.52243e-26, 2.52243e-26, 2.52243e-26, 2.45228e-12, 2.52243e-26, 2.52243e-26, 4.50718e-09, 2.52243e-26, 5.87106e-11, 2.52243e-26, 2.52243e-26, 2.98834e-07, 2.52243e-26, 2.52243e-26, 2.52243e-26
0.470614, 0, 4.17066e-07, 9.30943e-26, 1.41421, -4.17066e-07, 0, 9.30943e-26, 9.30943e-26, 9.30943e-26, 9.30943e-26, 9.30943e-26, 9.30943e-26, 8.25328e-12, 9.30943e-26, 9.30943e-26, 6.24626e-09, 9.30943e-26, 9.28536e-11, 9.30943e-26, 9.30943e-26, 4.10719e-07, 9.30943e-26, 9.30943e-26, 9.30943e-26
0.478529, 0, 5.6973e-07, 3.30615e-25, 1.41421, -5.6973e-07, 0, 3.30615e-25, 3.30615e-25, 3.30615e-25, 3.30615e-25, 3.30615e-25, 3.30615e-25, 2.15706e-11, 3.30615e-25, 3.30615e-25, 8.61014e-09, 3.30615e-25, 1.46347e-10, 3.30615e-25, 3.30615e-25, 5.60952e-07, 3.30615e-25, 3.30615e-25, 3.30615e-25
0.486443, 0, 7.7626e-07, 2.98578e-10, 1.41421, -7.7626e-07, 2.98578e-10, 2.98629e-10, 2.9866e-10, 4.68814e-10, 3.00175e-10, 2.99343e-10, 3.05125e-10, 4.64434e-10, 3.91774e-10, 2.29081e-09, 1.21054e-08, 2.99703e-10, 5.28334e-10, 2.98622e-10, 2.9858e-10, 7.61764e-07, 2.98578e-10, 2.98578e-10, 3.26346e-10
