   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_267.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.45646, 0, 4.76496e-08, 3.18615e-29, 1.41421, -4.76496e-08, 3.18615e-29, 0, 3.18615e-29, 3.18615e-29, 3.18615e-29, 3.18615e-29, 3.18615e-29, 3.18615e-29, 3.18615e-29, 3.18615e-29, 3.18615e-29, 1.34246e-10, 3.18615e-29, 3.18615e-29, 3.18615e-29, 1.41313e-11, 3.18615e-29, 4.75013e-08, 3.18615e-29, 3.18615e-29, 3.18615e-29
0.464344, 0, 6.98448e-08, 1.47337e-28, 1.41421, -6.98448e-08, 1.47337e-28, 0, 1.47337e-28, 1.47337e-28, 1.47337e-28, 1.47337e-28, 1.47337e-28, 1.47337e-28, 1.47337e-28, 1.47337e-28, 1.47337e-28, 1.97672e-10, 1.47337e-28, 1.47337e-28, 1.47337e-28, 2.34452e-11, 1.47337e-28, 6.96237e-08, 1.47337e-28, 1.47337e-28, 1.47337e-28
0.472228, 0, 1.01568e-07, 6.53766e-28, 1.41421, -1.01568e-07, 6.53766e-28, 0, 6.53766e-28, 6.53766e-28, 6.53766e-28, 6.53766e-28, 6.53766e-28, 6.53766e-28, 6.53766e-28, 6.53766e-28, 6.53766e-28, 2.88972e-10, 6.53766e-28, 6.53766e-28, 6.53766e-28, 3.88557e-11, 6.53766e-28, 1.0124e-07, 6.53766e-28, 6.53766e-28, 6.53766e-28
0.480112, 0, 1.46543e-07, 2.76947e-27, 1.41421, -1.46543e-07, 2.76947e-27, 0, 2.76947e-27, 2.76947e-27, 2.76947e-27, 2.76947e-27, 2.76947e-27, 2.76947e-27, 2.76947e-27, 2.76947e-27, 2.76947e-27, 4.19477e-10, 2.76947e-27, 2.76947e-27, 2.76947e-27, 6.42939e-11, 2.76947e-27, 1.46059e-07, 2.76947e-27, 2.76947e-27, 2.76947e-27
0.487996, 0, 2.09797e-07, 1.12001e-26, 1.41421, -2.09797e-07, 1.12001e-26, 0, 1.12001e-26, 1.12001e-26, 1.12001e-26, 1.12001e-26, 1.12001e-26, 1.12001e-26, 1.12001e-26, 1.12001e-26, 1.12001e-26, 6.04742e-10, 1.12001e-26, 1.12001e-26, 1.12001e-26, 1.06152e-10, 1.12001e-26, 2.09086e-07, 1.12001e-26, 1.12001e-26, 1.12001e-26
0.49588, 0, 2.98058e-07, 4.32775e-26, 1.41421, -2.98058e-07, 4.32775e-26, 0, 4.32775e-26, 4.32775e-26, 4.32775e-26, 4.32775e-26, 4.32775e-26, 1.07572e-12, 4.32775e-26, 4.32775e-26, 4.32775e-26, 8.65995e-10, 4.32775e-26, 4.32775e-26, 4.32775e-26, 1.74752e-10, 4.32775e-26, 2.97016e-07, 4.32775e-26, 4.32775e-26, 4.32775e-26
0.503765, 0, 4.20253e-07, 1.60037e-25, 1.41421, -4.20253e-07, 1.60037e-25, 0, 1.60037e-25, 1.60037e-25, 1.60037e-25, 1.60037e-25, 1.60037e-25, 3.78621e-12, 1.60037e-25, 1.60037e-25, 1.60037e-25, 1.23201e-09, 1.60037e-25, 1.60037e-25, 1.60037e-25, 2.86627e-10, 1.60037e-25, 4.18731e-07, 1.60037e-25, 1.60037e-25, 1.60037e-25
0.511649, 0, 5.88131e-07, 5.70194e-25, 1.41421, -5.88131e-07, 5.70194e-25, 0, 5.70194e-25, 5.70194e-25, 5.70194e-25, 5.70194e-25, 5.70194e-25, 1.03785e-11, 5.70194e-25, 5.70194e-25, 5.70194e-25, 1.74154e-09, 5.70194e-25, 5.70194e-25, 5.70194e-25, 4.6802e-10, 5.70194e-25, 5.85911e-07, 5.70194e-25, 5.70194e-25, 5.70194e-25
0.519533, 0, 8.21189e-07, 2.6168e-10, 1.41421, -8.21189e-07, 3.08535e-10, 2.6168e-10, 2.61695e-10, 2.6173e-10, 1.55881e-09, 2.95617e-10, 2.93327e-10, 3.59542e-10, 4.35599e-10, 2.64305e-10, 2.29628e-09, 2.70824e-09, 2.62226e-10, 2.68108e-10, 2.6168e-10, 1.02195e-09, 2.61685e-10, 8.1424e-07, 2.6168e-10, 2.6168e-10, 2.77916e-10
0.527417, 0, 1.13851e-06, 7.2815e-10, 1.41421, -1.13851e-06, 8.58771e-10, 7.2815e-10, 7.28192e-10, 7.28289e-10, 4.34425e-09, 8.22757e-10, 8.16374e-10, 9.89438e-10, 1.213e-09, 7.35468e-10, 6.40015e-09, 4.1441e-09, 7.29672e-10, 7.4607e-10, 7.2815e-10, 1.95554e-09, 7.28163e-10, 1.12344e-06, 7.2815e-10, 7.2815e-10, 7.73412e-10
0.535301, 0, 1.57284e-06, 1.85258e-09, 1.41421, -1.57284e-06, 2.18521e-09, 1.85258e-09, 1.85268e-09, 1.85293e-09, 1.10611e-08, 2.0935e-09, 2.07724e-09, 2.50156e-09, 3.08725e-09, 1.87121e-09, 1.62965e-08, 6.59348e-09, 1.85645e-09, 1.89821e-09, 1.85258e-09, 3.8207e-09, 1.85261e-09, 1.53962e-06, 1.85258e-09, 1.85258e-09, 1.96784e-09
0.543185, 0, 2.17056e-06, 4.4892e-09, 1.41421, -2.17056e-06, 5.29563e-09, 4.4892e-09, 4.48946e-09, 4.49006e-09, 2.68143e-08, 5.07329e-09, 5.03388e-09, 6.03325e-09, 7.48256e-09, 4.53438e-09, 3.95071e-08, 1.10303e-08, 4.4986e-09, 4.59984e-09, 4.4892e-09, 7.62189e-09, 4.48928e-09, 2.09663e-06, 4.4892e-09, 4.4892e-09, 4.76864e-09
