   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_29.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.50282, 0, 1.07042e-06, 1.17819e-09, 1.41421, -1.07042e-06, 1.17819e-09, 1.17842e-09, 1.17894e-09, 2.4456e-09, 1.19758e-09, 1.20925e-09, 1.84232e-09, 2.25178e-09, 8.81693e-09, 1.18496e-09, 1.46457e-09, 9.90343e-09, 1.1782e-09, 1.05059e-06, 1.17819e-09, 1.17819e-09, 1.29985e-09
0.510734, 0, 1.45641e-06, 3.07193e-09, 1.41421, -1.45641e-06, 3.07193e-09, 3.07251e-09, 3.07389e-09, 6.38508e-09, 3.12261e-09, 3.15311e-09, 4.74367e-09, 5.87842e-09, 2.30406e-08, 3.08962e-09, 3.51942e-09, 1.6573e-08, 3.07194e-09, 1.41423e-06, 3.07193e-09, 3.07193e-09, 3.38995e-09
0.518648, 0, 1.98237e-06, 7.30636e-09, 1.41421, -1.98237e-06, 7.30636e-09, 7.30775e-09, 7.31103e-09, 1.52003e-08, 7.42712e-09, 7.49979e-09, 1.12071e-08, 1.39932e-08, 5.4884e-08, 7.34852e-09, 8.00178e-09, 2.80644e-08, 7.3064e-09, 1.89374e-06, 7.30636e-09, 7.30636e-09, 8.06408e-09
0.526562, 0, 2.70914e-06, 1.65518e-08, 1.41421, -2.70914e-06, 1.65518e-08, 1.6555e-08, 1.65624e-08, 3.44592e-08, 1.68258e-08, 1.69906e-08, 2.5266e-08, 3.17208e-08, 1.24481e-07, 1.66475e-08, 1.76263e-08, 4.82519e-08, 1.65519e-08, 2.52411e-06, 1.65518e-08, 1.65518e-08, 1.82707e-08
0.534475, 0, 3.73578e-06, 3.62794e-08, 1.41421, -3.73578e-06, 3.62794e-08, 3.62864e-08, 3.63027e-08, 7.55691e-08, 3.68805e-08, 3.72422e-08, 5.54752e-08, 6.95608e-08, 2.73082e-07, 3.64893e-08, 3.79293e-08, 8.4402e-08, 3.62796e-08, 3.35186e-06, 3.62794e-08, 3.62794e-08, 4.00508e-08
0.542389, 0, 5.232e-06, 7.74174e-08, 1.41421, -5.232e-06, 7.74174e-08, 7.74322e-08, 7.74671e-08, 1.61325e-07, 7.8701e-08, 7.94735e-08, 1.21422e-07, 1.48494e-07, 5.83137e-07, 7.78656e-08, 7.9935e-08, 1.49875e-07, 7.74179e-08, 4.44041e-06, 7.74174e-08, 7.74174e-08, 8.54716e-08
0.550303, 0, 7.51867e-06, 1.61264e-07, 1.41421, -7.51867e-06, 1.61264e-07, 1.61295e-07, 1.61368e-07, 3.36169e-07, 1.6394e-07, 1.6555e-07, 2.86823e-07, 3.09422e-07, 1.21543e-06, 1.62199e-07, 1.65081e-07, 2.69532e-07, 1.61265e-07, 5.87898e-06, 1.61264e-07, 1.61264e-07, 1.78053e-07
0.558217, 0, 1.11211e-05, 3.28317e-07, 1.41421, -1.11211e-05, 3.28317e-07, 3.2838e-07, 3.28528e-07, 6.84633e-07, 3.33768e-07, 3.37048e-07, 6.29095e-07, 6.30144e-07, 2.47586e-06, 3.3022e-07, 3.34064e-07, 4.88841e-07, 3.28319e-07, 7.79782e-06, 3.28317e-07, 3.28317e-07, 3.62519e-07
0.566131, 0, 1.69991e-05, 6.53694e-07, 1.41421, -1.69991e-05, 6.53694e-07, 6.53819e-07, 6.54114e-07, 1.36358e-06, 6.64554e-07, 6.71089e-07, 1.3238e-06, 1.25503e-06, 4.93226e-06, 6.57486e-07, 6.62294e-07, 8.89848e-07, 6.53698e-07, 1.03937e-05, 6.53694e-07, 6.53694e-07, 7.21835e-07
0.574044, 0, 2.68518e-05, 1.2733e-06, 1.41421, -2.68518e-05, 1.2733e-06, 1.27354e-06, 1.27412e-06, 2.65694e-06, 1.29447e-06, 1.3072e-06, 2.70435e-06, 2.44535e-06, 9.61265e-06, 1.28069e-06, 1.28608e-06, 1.61803e-06, 1.27331e-06, 1.39719e-05, 1.2733e-06, 1.2733e-06, 1.40611e-06
0.581958, 0, 4.36589e-05, 2.42698e-06, 1.41421, -4.36589e-05, 2.42698e-06, 2.42745e-06, 2.42855e-06, 5.06605e-06, 2.46736e-06, 2.49165e-06, 5.39643e-06, 4.66247e-06, 1.83328e-05, 2.44108e-06, 2.44584e-06, 2.9264e-06, 2.427e-06, 1.90163e-05, 2.42698e-06, 2.42698e-06, 2.6803e-06
0.589872, 0, 7.25535e-05, 4.52755e-06, 1.41421, -7.25535e-05, 4.52755e-06, 4.52842e-06, 4.53046e-06, 9.45416e-06, 4.60292e-06, 4.64827e-06, 1.05431e-05, 8.70077e-06, 3.42207e-05, 4.55386e-06, 4.5552e-06, 5.24576e-06, 4.52757e-06, 2.63e-05, 4.52755e-06, 4.52755e-06, 5.00044e-06
0.597786, 0, 0.00012228, 8.26784e-06, 1.41421, -0.00012228, 8.26784e-06, 8.26942e-06, 8.27316e-06, 1.72711e-05, 8.40557e-06, 8.48845e-06, 2.02515e-05, 1.58943e-05, 6.25312e-05, 8.31593e-06, 8.3081e-06, 9.29355e-06, 8.26788e-06, 3.70594e-05, 8.26784e-06, 8.26784e-06, 9.13204e-06
0.6057, 0, 0.000207366, 1.47811e-05, 1.41421, -0.000207366, 1.47811e-05, 1.47839e-05, 1.47906e-05, 3.08895e-05, 1.50275e-05, 1.51758e-05, 3.82518e-05, 2.84262e-05, 0.000111868, 1.48671e-05, 1.48394e-05, 1.62365e-05, 1.47812e-05, 5.32551e-05, 1.47811e-05, 1.47811e-05, 1.63273e-05
