   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_259.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.275994, 0, 1.28512e-12, 0, 1.41421, -1.28512e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77033e-15, 0, 3.32027e-17, 0, 1.28232e-12, 0, 0, 0
0.283878, 0, 2.29206e-12, 0, 1.41421, -2.29206e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.94104e-15, 0, 6.0631e-17, 0, 2.28706e-12, 0, 0, 0
0.291761, 0, 4.05017e-12, 0, 1.41421, -4.05017e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.73123e-15, 0, 1.0981e-16, 0, 4.04133e-12, 0, 0, 0
0.299644, 0, 7.09113e-12, 0, 1.41421, -7.09113e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52873e-14, 0, 1.97293e-16, 0, 7.07565e-12, 0, 0, 0
0.307528, 0, 1.2302e-11, 0, 1.41421, -1.2302e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65225e-14, 0, 3.51734e-16, 0, 1.22752e-11, 0, 0, 0
0.315411, 0, 2.11488e-11, 0, 1.41421, -2.11488e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.55986e-14, 0, 6.22425e-16, 0, 2.11026e-11, 0, 0, 0
0.323295, 0, 3.60302e-11, 0, 1.41421, -3.60302e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.76913e-14, 0, 1.09362e-15, 0, 3.59514e-11, 0, 0, 0
0.331178, 0, 6.08333e-11, 1.33123e-43, 1.41421, -6.08333e-11, 0, 1.33123e-43, 1.33123e-43, 1.33123e-43, 1.33123e-43, 1.33123e-43, 1.33123e-43, 1.33123e-43, 1.33123e-43, 1.33123e-43, 1.3119e-13, 1.33123e-43, 1.90861e-15, 1.33123e-43, 6.07002e-11, 1.33123e-43, 1.33123e-43, 1.33123e-43
0.339062, 0, 1.01797e-10, 2.39762e-42, 1.41421, -1.01797e-10, 0, 2.39762e-42, 2.39762e-42, 2.39762e-42, 2.39762e-42, 2.39762e-42, 2.39762e-42, 2.39762e-42, 2.39762e-42, 2.39762e-42, 2.19568e-13, 2.39762e-42, 3.30992e-15, 2.39762e-42, 1.01574e-10, 2.39762e-42, 2.39762e-42, 2.39762e-42
0.346945, 0, 1.68837e-10, 3.5607e-41, 1.41421, -1.68837e-10, 0, 3.5607e-41, 3.5607e-41, 3.5607e-41, 3.5607e-41, 3.5607e-41, 3.5607e-41, 3.5607e-41, 3.5607e-41, 3.5607e-41, 3.64249e-13, 3.5607e-41, 5.70648e-15, 3.5607e-41, 1.68467e-10, 3.5607e-41, 3.5607e-41, 3.5607e-41
0.354828, 0, 2.77567e-10, 4.65203e-40, 1.41421, -2.77567e-10, 0, 4.65203e-40, 4.65203e-40, 4.65203e-40, 4.65203e-40, 4.65203e-40, 4.65203e-40, 4.65203e-40, 4.65203e-40, 4.65203e-40, 5.98992e-13, 4.65203e-40, 9.78581e-15, 4.65203e-40, 2.76958e-10, 4.65203e-40, 4.65203e-40, 4.65203e-40
0.362712, 0, 4.52326e-10, 5.44283e-39, 1.41421, -4.52326e-10, 0, 5.44283e-39, 5.44283e-39, 5.44283e-39, 5.44283e-39, 5.44283e-39, 5.44283e-39, 5.44283e-39, 5.44283e-39, 5.44283e-39, 9.76482e-13, 5.44283e-39, 1.67008e-14, 5.44283e-39, 4.51333e-10, 5.44283e-39, 5.44283e-39, 5.44283e-39
0.370595, 0, 7.30711e-10, 5.7492e-38, 1.41421, -7.30711e-10, 0, 5.7492e-38, 5.7492e-38, 5.7492e-38, 5.7492e-38, 5.7492e-38, 5.7492e-38, 5.7492e-38, 5.7492e-38, 5.7492e-38, 1.5782e-12, 5.7492e-38, 2.83824e-14, 5.7492e-38, 7.29105e-10, 5.7492e-38, 5.7492e-38, 5.7492e-38
0.378479, 0, 1.17023e-09, 5.50827e-37, 1.41421, -1.17023e-09, 0, 5.50827e-37, 5.50827e-37, 5.50827e-37, 5.50827e-37, 5.50827e-37, 5.50827e-37, 5.50827e-37, 5.50827e-37, 5.50827e-37, 2.52895e-12, 5.50827e-37, 4.8061e-14, 5.50827e-37, 1.16765e-09, 5.50827e-37, 5.50827e-37, 5.50827e-37
0.386362, 0, 1.85803e-09, 4.81993e-36, 1.41421, -1.85803e-09, 0, 4.81993e-36, 4.81993e-36, 4.81993e-36, 4.81993e-36, 4.81993e-36, 4.81993e-36, 4.81993e-36, 4.81993e-36, 4.81993e-36, 4.01828e-12, 4.81993e-36, 8.11403e-14, 4.81993e-36, 1.85393e-09, 4.81993e-36, 4.81993e-36, 4.81993e-36
0.394245, 0, 2.9249e-09, 3.86723e-35, 1.41421, -2.9249e-09, 0, 3.86723e-35, 3.86723e-35, 3.86723e-35, 3.86723e-35, 3.86723e-35, 3.86723e-35, 3.86723e-35, 3.86723e-35, 3.86723e-35, 6.33134e-12, 3.86723e-35, 1.36658e-13, 3.86723e-35, 2.91844e-09, 3.86723e-35, 3.86723e-35, 3.86723e-35
0.402129, 0, 4.56536e-09, 2.85806e-34, 1.41421, -4.56536e-09, 0, 2.85806e-34, 2.85806e-34, 2.85806e-34, 2.85806e-34, 2.85806e-34, 2.85806e-34, 2.85806e-34, 2.85806e-34, 2.85806e-34, 9.89343e-12, 2.85806e-34, 2.29735e-13, 2.85806e-34, 4.55524e-09, 2.85806e-34, 2.85806e-34, 2.85806e-34
0.410012, 0, 7.06591e-09, 1.98411e-33, 1.41421, -7.06591e-09, 0, 1.98411e-33, 1.98411e-33, 1.98411e-33, 1.98411e-33, 1.98411e-33, 1.98411e-33, 1.98411e-33, 1.98411e-33, 1.98411e-33, 1.53333e-11, 1.98411e-33, 3.85669e-13, 1.98411e-33, 7.05019e-09, 1.98411e-33, 1.98411e-33, 1.98411e-33
0.417896, 0, 1.08447e-08, 1.21183e-32, 1.41421, -1.08447e-08, 0, 1.21183e-32, 1.21183e-32, 1.21183e-32, 1.21183e-32, 1.21183e-32, 1.21183e-32, 1.21183e-32, 1.21183e-32, 1.21183e-32, 2.35727e-11, 1.21183e-32, 6.4678e-13, 1.21183e-32, 1.08205e-08, 1.21183e-32, 1.21183e-32, 1.21183e-32
0.425779, 0, 1.65063e-08, 7.40686e-32, 1.41421, -1.65063e-08, 0, 7.40686e-32, 7.40686e-32, 7.40686e-32, 7.40686e-32, 7.40686e-32, 7.40686e-32, 7.40686e-32, 7.40686e-32, 7.40686e-32, 3.59515e-11, 7.40686e-32, 1.08382e-12, 7.40686e-32, 1.64692e-08, 7.40686e-32, 7.40686e-32, 7.40686e-32
0.433663, 0, 2.49169e-08, 4.07186e-31, 1.41421, -2.49169e-08, 0, 4.07186e-31, 4.07186e-31, 4.07186e-31, 4.07186e-31, 4.07186e-31, 4.07186e-31, 4.07186e-31, 4.07186e-31, 4.07186e-31, 5.44016e-11, 4.07186e-31, 1.8149e-12, 4.07186e-31, 2.48607e-08, 4.07186e-31, 4.07186e-31, 4.07186e-31
