   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_191.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.253203, 0, 2.80117e-13, 0, 1.41421, -2.80117e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.93212e-17, 0, 0, 7.50642e-18, 0, 9.2653e-17, 0, 2.79928e-13, 0, 0, 0
0.261087, 0, 5.01293e-13, 0, 1.41421, -5.01293e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59847e-16, 0, 0, 1.37376e-17, 0, 1.69866e-16, 0, 5.00949e-13, 0, 0, 0
0.268971, 0, 8.90222e-13, 0, 1.41421, -8.90222e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83866e-16, 0, 0, 2.50037e-17, 0, 3.09863e-16, 0, 8.89603e-13, 0, 0, 0
0.276855, 0, 1.56438e-12, 0, 1.41421, -1.56438e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98839e-16, 0, 0, 4.50091e-17, 0, 5.59042e-16, 0, 1.56328e-12, 0, 0, 0
0.284738, 0, 2.72479e-12, 0, 1.41421, -2.72479e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.68876e-16, 0, 0, 8.0389e-17, 0, 1.00094e-15, 0, 2.72284e-12, 0, 0, 0
0.292622, 0, 4.70435e-12, 0, 1.41421, -4.70435e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50015e-15, 0, 0, 1.42494e-16, 0, 1.77885e-15, 0, 4.70093e-12, 0, 0, 0
0.300506, 0, 8.05132e-12, 0, 1.41421, -8.05132e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.56756e-15, 0, 0, 2.50735e-16, 0, 3.13854e-15, 0, 8.04536e-12, 0, 0, 0
0.30839, 0, 1.36602e-11, 0, 1.41421, -1.36602e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35648e-15, 0, 0, 4.38096e-16, 0, 5.49871e-15, 0, 1.36499e-11, 0, 0, 0
0.316273, 0, 2.2977e-11, 0, 1.41421, -2.2977e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.32842e-15, 0, 0, 7.60334e-16, 0, 9.56854e-15, 0, 2.29593e-11, 0, 0, 0
0.324157, 0, 3.83176e-11, 1.23314e-43, 1.41421, -3.83176e-11, 1.23314e-43, 0, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.22227e-14, 1.23314e-43, 1.23314e-43, 1.31122e-15, 1.23314e-43, 1.65422e-14, 1.23314e-43, 3.82875e-11, 1.23314e-43, 1.23314e-43, 1.23314e-43
0.332041, 0, 6.33569e-11, 2.17341e-42, 1.41421, -6.33569e-11, 2.17341e-42, 0, 2.17341e-42, 2.17341e-42, 2.17341e-42, 2.17341e-42, 2.17341e-42, 2.17341e-42, 2.17341e-42, 2.17341e-42, 2.17341e-42, 2.17341e-42, 2.0213e-14, 2.17341e-42, 2.17341e-42, 2.24779e-15, 2.17341e-42, 2.84206e-14, 2.17341e-42, 6.3306e-11, 2.17341e-42, 2.17341e-42, 2.17341e-42
0.339925, 0, 1.03873e-10, 3.171e-41, 1.41421, -1.03873e-10, 3.171e-41, 0, 3.171e-41, 3.171e-41, 3.171e-41, 3.171e-41, 3.171e-41, 3.171e-41, 3.171e-41, 3.171e-41, 3.171e-41, 3.171e-41, 3.3146e-14, 3.171e-41, 3.171e-41, 3.83218e-15, 3.171e-41, 4.85408e-14, 3.171e-41, 1.03788e-10, 3.171e-41, 3.171e-41, 3.171e-41
0.347808, 0, 1.68866e-10, 4.09356e-40, 1.41421, -1.68866e-10, 4.09356e-40, 0, 4.09356e-40, 4.09356e-40, 4.09356e-40, 4.09356e-40, 4.09356e-40, 4.09356e-40, 4.09356e-40, 4.09356e-40, 4.09356e-40, 4.09356e-40, 5.39001e-14, 4.09356e-40, 4.09356e-40, 6.5006e-15, 4.09356e-40, 8.2446e-14, 4.09356e-40, 1.68723e-10, 4.09356e-40, 4.09356e-40, 4.09356e-40
0.355692, 0, 2.72231e-10, 4.7249e-39, 1.41421, -2.72231e-10, 4.7249e-39, 0, 4.7249e-39, 4.7249e-39, 4.7249e-39, 4.7249e-39, 4.7249e-39, 4.7249e-39, 4.7249e-39, 4.7249e-39, 4.7249e-39, 4.7249e-39, 8.69235e-14, 4.7249e-39, 4.7249e-39, 1.09777e-14, 4.7249e-39, 1.39315e-13, 4.7249e-39, 2.71994e-10, 4.7249e-39, 4.7249e-39, 4.7249e-39
0.363576, 0, 4.35217e-10, 4.92469e-38, 1.41421, -4.35217e-10, 4.92469e-38, 0, 4.92469e-38, 4.92469e-38, 4.92469e-38, 4.92469e-38, 4.92469e-38, 4.92469e-38, 4.92469e-38, 4.92469e-38, 4.92469e-38, 4.92469e-38, 1.39027e-13, 4.92469e-38, 4.92469e-38, 1.84653e-14, 4.92469e-38, 2.34302e-13, 4.92469e-38, 4.34826e-10, 4.92469e-38, 4.92469e-38, 4.92469e-38
0.371459, 0, 6.90035e-10, 4.65886e-37, 1.41421, -6.90035e-10, 4.65886e-37, 0, 4.65886e-37, 4.65886e-37, 4.65886e-37, 4.65886e-37, 4.65886e-37, 4.65886e-37, 4.65886e-37, 4.65886e-37, 4.65886e-37, 4.65886e-37, 2.2055e-13, 4.65886e-37, 4.65886e-37, 3.0956e-14, 4.65886e-37, 3.92385e-13, 4.65886e-37, 6.89391e-10, 4.65886e-37, 4.65886e-37, 4.65886e-37
0.379343, 0, 1.08506e-09, 4.02763e-36, 1.41421, -1.08506e-09, 4.02763e-36, 0, 4.02763e-36, 4.02763e-36, 4.02763e-36, 4.02763e-36, 4.02763e-36, 4.02763e-36, 4.02763e-36, 4.02763e-36, 4.02763e-36, 4.02763e-36, 3.47052e-13, 4.02763e-36, 4.02763e-36, 5.17517e-14, 4.02763e-36, 6.54671e-13, 4.02763e-36, 1.08401e-09, 4.02763e-36, 4.02763e-36, 4.02763e-36
0.387227, 0, 1.6923e-09, 3.19438e-35, 1.41421, -1.6923e-09, 3.19438e-35, 0, 3.19438e-35, 3.19438e-35, 3.19438e-35, 3.19438e-35, 3.19438e-35, 3.19438e-35, 3.19438e-35, 3.19438e-35, 3.19438e-35, 3.19438e-35, 5.41742e-13, 3.19438e-35, 3.19438e-35, 8.63246e-14, 3.19438e-35, 1.08875e-12, 3.19438e-35, 1.69058e-09, 3.19438e-35, 3.19438e-35, 3.19438e-35
0.395111, 0, 2.61796e-09, 2.3349e-34, 1.41421, -2.61796e-09, 2.3349e-34, 0, 2.3349e-34, 2.3349e-34, 2.3349e-34, 2.3349e-34, 2.3349e-34, 2.3349e-34, 2.3349e-34, 2.3349e-34, 2.3349e-34, 2.3349e-34, 8.38957e-13, 2.3349e-34, 2.3349e-34, 1.43747e-13, 2.3349e-34, 1.80574e-12, 2.3349e-34, 2.61517e-09, 2.3349e-34, 2.3349e-34, 2.3349e-34
