   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_164.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.457219, 0, 1.82152e-08, 4.07632e-29, 1.41421, -1.82152e-08, 0, 4.07632e-29, 4.07632e-29, 4.07632e-29, 4.07632e-29, 4.07632e-29, 4.07632e-29, 4.07632e-29, 4.07632e-29, 4.07632e-29, 4.07632e-29, 1.62207e-10, 4.07632e-29, 4.07632e-29, 4.07632e-29, 4.07632e-29, 1.8053e-08, 4.07632e-29, 4.07632e-29, 4.07632e-29
0.465105, 0, 2.67102e-08, 1.87673e-28, 1.41421, -2.67102e-08, 0, 1.87673e-28, 1.87673e-28, 1.87673e-28, 1.87673e-28, 1.87673e-28, 1.87673e-28, 1.87673e-28, 1.87673e-28, 1.87673e-28, 1.87673e-28, 2.3895e-10, 1.87673e-28, 1.87673e-28, 1.87673e-28, 1.87673e-28, 2.64712e-08, 1.87673e-28, 1.87673e-28, 1.87673e-28
0.472991, 0, 3.88559e-08, 8.28979e-28, 1.41421, -3.88559e-08, 0, 8.28979e-28, 8.28979e-28, 8.28979e-28, 8.28979e-28, 8.28979e-28, 8.28979e-28, 8.28979e-28, 8.28979e-28, 8.28979e-28, 8.28979e-28, 3.49466e-10, 8.28979e-28, 8.28979e-28, 8.28979e-28, 8.28979e-28, 3.85065e-08, 8.28979e-28, 8.28979e-28, 8.28979e-28
0.480877, 0, 5.60809e-08, 3.49644e-27, 1.41421, -5.60809e-08, 0, 3.49644e-27, 3.49644e-27, 3.49644e-27, 3.49644e-27, 3.49644e-27, 3.49644e-27, 3.49644e-27, 3.49644e-27, 3.49644e-27, 3.49644e-27, 5.07503e-10, 3.49644e-27, 3.49644e-27, 3.49644e-27, 3.49644e-27, 5.55734e-08, 3.49644e-27, 3.49644e-27, 3.49644e-27
0.488763, 0, 8.03133e-08, 1.40806e-26, 1.41421, -8.03133e-08, 0, 1.40806e-26, 1.40806e-26, 1.40806e-26, 1.40806e-26, 1.40806e-26, 1.40806e-26, 1.40806e-26, 1.40806e-26, 1.40806e-26, 1.40806e-26, 7.31947e-10, 1.40806e-26, 1.40806e-26, 1.40806e-26, 1.40806e-26, 7.95814e-08, 1.40806e-26, 1.40806e-26, 1.40806e-26
0.496649, 0, 1.14135e-07, 5.4188e-26, 1.41421, -1.14135e-07, 0, 5.4188e-26, 5.4188e-26, 5.4188e-26, 5.4188e-26, 5.4188e-26, 5.4188e-26, 7.51315e-13, 5.4188e-26, 5.4188e-26, 5.4188e-26, 1.04858e-09, 5.4188e-26, 5.4188e-26, 5.4188e-26, 5.4188e-26, 1.13086e-07, 5.4188e-26, 5.4188e-26, 5.4188e-26
0.504535, 0, 1.60972e-07, 1.99619e-25, 1.41421, -1.60972e-07, 0, 1.99619e-25, 1.99619e-25, 1.99619e-25, 1.99619e-25, 1.99619e-25, 1.99619e-25, 2.64711e-12, 1.99619e-25, 1.99619e-25, 1.99619e-25, 1.49236e-09, 1.99619e-25, 1.99619e-25, 1.99619e-25, 1.99619e-25, 1.59477e-07, 1.99619e-25, 1.99619e-25, 1.99619e-25
0.512421, 0, 2.25332e-07, 7.0944e-25, 1.41421, -2.25332e-07, 0, 7.0944e-25, 7.0944e-25, 7.0944e-25, 7.0944e-25, 7.0944e-25, 7.0944e-25, 7.26365e-12, 7.0944e-25, 7.0944e-25, 7.0944e-25, 2.1104e-09, 7.0944e-25, 7.0944e-25, 7.0944e-25, 7.0944e-25, 2.23214e-07, 7.0944e-25, 7.0944e-25, 7.0944e-25
0.520307, 0, 3.1698e-07, 3.1263e-10, 1.41421, -3.1698e-07, 3.1263e-10, 3.12647e-10, 1.65122e-09, 3.41508e-10, 4.90948e-10, 3.89958e-10, 3.20728e-10, 3.81087e-10, 3.52223e-10, 3.17876e-10, 2.03992e-09, 3.27852e-09, 3.23918e-10, 3.18873e-10, 3.1263e-10, 3.12631e-10, 3.10498e-07, 3.1263e-10, 3.1263e-10, 3.39515e-10
0.528193, 0, 4.42762e-07, 8.67377e-10, 1.41421, -4.42762e-07, 8.67377e-10, 8.67425e-10, 4.60302e-09, 9.47967e-10, 1.36501e-09, 1.08318e-09, 8.89977e-10, 1.05034e-09, 9.77872e-10, 8.82018e-10, 5.68777e-09, 5.01006e-09, 8.98879e-10, 8.84799e-10, 8.67377e-10, 8.67381e-10, 4.28815e-07, 8.67377e-10, 8.67377e-10, 9.42405e-10
0.536079, 0, 6.19232e-07, 2.20383e-09, 1.41421, -6.19232e-07, 2.20383e-09, 2.20395e-09, 1.17267e-08, 2.40927e-09, 3.4724e-09, 2.75395e-09, 2.26144e-09, 2.65872e-09, 2.4855e-09, 2.24115e-09, 1.4492e-08, 7.95555e-09, 2.28413e-09, 2.24824e-09, 2.20383e-09, 2.20384e-09, 5.88498e-07, 2.20383e-09, 2.20383e-09, 2.39509e-09
0.543964, 0, 8.71718e-07, 5.33717e-09, 1.41421, -8.71718e-07, 5.33717e-09, 5.33746e-09, 2.84481e-08, 5.83575e-09, 8.41585e-09, 6.67224e-09, 5.47698e-09, 6.42048e-09, 6.02075e-09, 5.42774e-09, 3.51591e-08, 1.3276e-08, 5.53205e-09, 5.44495e-09, 5.33717e-09, 5.33719e-09, 8.0317e-07, 5.33717e-09, 5.33717e-09, 5.80134e-09
0.55185, 0, 1.2442e-06, 1.24896e-08, 1.41421, -1.2442e-06, 1.24896e-08, 1.24903e-08, 6.66497e-08, 1.3658e-08, 1.97044e-08, 1.56183e-08, 1.28172e-08, 1.50181e-08, 1.40915e-08, 1.27018e-08, 8.23768e-08, 2.33836e-08, 1.29463e-08, 1.27422e-08, 1.24896e-08, 1.24896e-08, 1.09128e-06, 1.24896e-08, 1.24896e-08, 1.35773e-08
