   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_184.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.551965, 0, 2.55993e-06, 2.01143e-08, 1.41421, -2.55993e-06, 2.01143e-08, 2.0123e-08, 9.00552e-08, 2.21449e-08, 2.01176e-08, 2.14596e-08, 2.0345e-08, 2.57699e-08, 7.00579e-08, 2.03952e-08, 1.02304e-07, 2.02151e-08, 2.04943e-08, 2.27857e-08, 2.01143e-08, 2.01145e-08, 2.34324e-06, 2.01143e-08, 2.01143e-08, 2.20297e-08
0.55985, 0, 3.64301e-06, 4.51666e-08, 1.41421, -3.64301e-06, 4.51666e-08, 4.51861e-08, 2.02369e-07, 4.97307e-08, 4.51739e-08, 4.81902e-08, 4.56851e-08, 5.84947e-08, 1.57422e-07, 4.5798e-08, 2.29899e-07, 4.53931e-08, 4.60206e-08, 4.93411e-08, 4.51666e-08, 4.5167e-08, 3.15716e-06, 4.51666e-08, 4.51666e-08, 4.94717e-08
0.567736, 0, 5.31555e-06, 9.87405e-08, 1.41421, -5.31555e-06, 9.87405e-08, 9.87831e-08, 4.42701e-07, 1.08727e-07, 9.87564e-08, 1.05356e-07, 9.9875e-08, 1.35703e-07, 3.44357e-07, 1.00122e-07, 5.02938e-07, 9.9236e-08, 1.00609e-07, 1.05215e-07, 9.87405e-08, 9.87413e-08, 4.24738e-06, 9.87405e-08, 9.87405e-08, 1.0816e-07
0.575621, 0, 8.00505e-06, 2.10367e-07, 1.41421, -8.00505e-06, 2.10367e-07, 2.10458e-07, 9.43776e-07, 2.3166e-07, 2.10401e-07, 2.24473e-07, 2.12786e-07, 3.00065e-07, 7.34082e-07, 2.13313e-07, 1.07222e-06, 2.11424e-07, 2.14351e-07, 2.20334e-07, 2.10367e-07, 2.10369e-07, 5.72039e-06, 2.10367e-07, 2.10367e-07, 2.30452e-07
0.583507, 0, 1.25023e-05, 4.37018e-07, 1.41421, -1.25023e-05, 4.37018e-07, 4.37207e-07, 1.96186e-06, 4.81289e-07, 4.37088e-07, 4.66347e-07, 4.42047e-07, 6.42045e-07, 1.52588e-06, 4.43142e-07, 2.2289e-06, 4.39215e-07, 4.45302e-07, 4.52249e-07, 4.37018e-07, 4.37021e-07, 7.7392e-06, 4.37018e-07, 4.37018e-07, 4.78776e-07
0.591392, 0, 2.02488e-05, 8.85501e-07, 1.41421, -2.02488e-05, 8.85501e-07, 8.85884e-07, 3.97781e-06, 9.7528e-07, 8.85644e-07, 9.44979e-07, 8.95701e-07, 1.33718e-06, 3.09367e-06, 8.97922e-07, 4.51937e-06, 8.89956e-07, 9.02301e-07, 9.08595e-07, 8.85501e-07, 8.85509e-07, 1.05613e-05, 8.85501e-07, 8.85501e-07, 9.70186e-07
0.599278, 0, 3.38345e-05, 1.75049e-06, 1.41421, -3.38345e-05, 1.75049e-06, 1.75125e-06, 7.86891e-06, 1.92812e-06, 1.75077e-06, 1.86817e-06, 1.77067e-06, 2.71846e-06, 6.11955e-06, 1.77506e-06, 8.94042e-06, 1.7593e-06, 1.78373e-06, 1.78524e-06, 1.75049e-06, 1.7505e-06, 1.46036e-05, 1.75049e-06, 1.75049e-06, 1.91804e-06
0.607163, 0, 5.78238e-05, 3.37671e-06, 1.41421, -5.78238e-05, 3.37671e-06, 3.37818e-06, 1.51903e-05, 3.7197e-06, 3.37726e-06, 3.60394e-06, 3.41568e-06, 5.40591e-06, 1.18126e-05, 3.42416e-06, 1.72592e-05, 3.39373e-06, 3.4409e-06, 3.42862e-06, 3.37671e-06, 3.37674e-06, 2.05473e-05, 3.37671e-06, 3.37671e-06, 3.70024e-06
0.615048, 0, 0.000100091, 6.35738e-06, 1.41421, -0.000100091, 6.35738e-06, 6.36014e-06, 2.86212e-05, 7.00376e-06, 6.35841e-06, 6.7856e-06, 6.43081e-06, 1.05359e-05, 2.22556e-05, 6.4468e-06, 3.25203e-05, 6.38945e-06, 6.47833e-06, 6.43435e-06, 6.35738e-06, 6.35743e-06, 2.95065e-05, 6.35738e-06, 6.35738e-06, 6.96708e-06
0.622934, 0, 0.000173882, 1.1684e-05, 1.41421, -0.000173882, 1.1684e-05, 1.1689e-05, 5.26455e-05, 1.28732e-05, 1.16858e-05, 1.24718e-05, 1.18191e-05, 2.01343e-05, 4.09339e-05, 1.18485e-05, 5.9819e-05, 1.1743e-05, 1.19065e-05, 1.17973e-05, 1.1684e-05, 1.1684e-05, 4.32853e-05, 1.1684e-05, 1.1684e-05, 1.28057e-05
0.630819, 0, 0.000300942, 2.09661e-05, 1.41421, -0.000300942, 2.09661e-05, 2.09752e-05, 9.45527e-05, 2.31025e-05, 2.09695e-05, 2.23814e-05, 2.12088e-05, 3.77439e-05, 7.3513e-05, 2.12616e-05, 0.00010744, 2.10721e-05, 2.13659e-05, 2.11318e-05, 2.09661e-05, 2.09662e-05, 6.47674e-05, 2.09661e-05, 2.09661e-05, 2.29813e-05
